pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-04-03,74.5,-1.27,6.22,"Guillorme, Luis",669003,641645,field_out,hit_into_play,,,,,2,Garrett Mitchell flies out sharply to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,X,8,fly_ball,3,1,2023,-0.64,1.32,-0.01,2.99,,,642133,2,8,Bot,151.17,51.63,,,,,3.662823419286057,-108.37412863133272,-1.6497092794708537,-5.6695738129397375,20.68633390754738,-21.787930660628433,3.35,1.55,369,106.3,40,73.4,1354,5.7,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.85,0.466,0.949,0.0,1,0,0,6,73,5,Other,10,0,10,0,0,10,10,0,Standard,Standard,201,0.0,-0.399,,,1.866,0.399,106.3,10,10,1.0,1.0,28,24,29,25,1,4,,1,,1,2.82,0.64,-0.64,60.5
FA,2023-04-03,67.3,-1.85,5.86,"Guillorme, Luis",669003,641645,,ball,,,,,14,Garrett Mitchell flies out sharply to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,B,,,2,1,2023,-0.81,1.22,0.98,2.38,,,642133,2,8,Bot,,,,,,,6.489563579285786,-97.8773043300251,-0.4279698439219089,-6.211253040404504,14.902413991999952,-24.4638399385283,3.46,1.6,,,,66.9,1432,5.9,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.63,,,,,,,,73,4,Other,10,0,10,0,0,10,10,0,Standard,Standard,210,0.0,0.097,,,,-0.097,,10,10,1.0,1.0,28,24,29,25,1,4,,1,,1,3.8,0.81,-0.81,50.0
FA,2023-04-03,66.2,-1.39,6.17,"Guillorme, Luis",669003,641645,,ball,,,,,11,Garrett Mitchell flies out sharply to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,B,,,1,1,2023,-0.27,1.46,-0.53,4.17,,,642133,2,8,Bot,,,,,,,1.9569435816368657,-96.44038571927672,2.149752561597661,-1.990902332062675,15.214090756071236,-23.65952261611996,3.45,1.59,,,,65.4,1276,5.5,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.95,,,,,,,,73,3,Other,10,0,10,0,0,10,10,0,Standard,Standard,194,0.0,0.036,,,,-0.036,,10,10,1.0,1.0,28,24,29,25,1,4,,1,,1,3.74,0.27,-0.27,67.6
FA,2023-04-03,66.1,-1.48,6.29,"Guillorme, Luis",669003,641645,,called_strike,,,,,2,Garrett Mitchell flies out sharply to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,S,,,1,0,2023,0.45,1.54,0.21,3.57,,,642133,2,8,Bot,,,,,,,2.3496409652409023,-96.223595847455,0.7774875435793428,2.3761462279875754,15.92338699152927,-22.986198795167734,3.46,1.54,,,,65.1,1125,5.5,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.97,,,,,,,,73,2,Other,10,0,10,0,0,10,10,0,Standard,Standard,188,0.0,-0.05,,,,0.05,,10,10,1.0,1.0,28,24,29,25,1,4,,1,,1,3.7,-0.45,0.45,64.8
FA,2023-04-03,77.7,-1.68,6.07,"Guillorme, Luis",669003,641645,,ball,,,,,11,Garrett Mitchell flies out sharply to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,B,,,0,0,2023,-0.85,1.05,-0.56,4.6,,,642133,2,8,Bot,,,,,,,3.914317442775196,-113.1377602449959,1.7833803399322417,-8.001803729308518,20.10906877517539,-23.65599315150049,3.57,1.71,,,,76.8,1696,5.6,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.93,,,,,,,,73,1,Other,10,0,10,0,0,10,10,0,Standard,Standard,208,0.0,0.03,,,,-0.03,,10,10,1.0,1.0,28,24,29,25,1,4,,1,,1,2.71,0.85,-0.85,49.2
FA,2023-04-03,72.4,-1.31,6.31,"Guillorme, Luis",661388,641645,field_out,hit_into_play,,,,,1,William Contreras flies out sharply to left fielder Tim Locastro.,R,R,R,MIL,NYM,X,7,fly_ball,1,0,2023,-0.4,1.48,-0.71,3.29,,,642133,1,8,Bot,66.26,67.88,,,,,1.8568492525067763,-105.35716513022454,-1.086002164393137,-3.295543747511876,19.14302028445704,-21.241298249986073,3.49,1.67,355,100.1,42,71.3,1442,5.6,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.9,0.089,0.157,0.0,1,0,0,3,72,2,Other,10,0,10,0,0,10,10,0,Standard,Standard,199,0.0,-0.293,,,0.304,0.293,100.1,10,10,1.0,1.0,28,25,29,26,1,4,,2,,2,2.89,0.4,0.4,64.7
FA,2023-04-03,71.4,-1.25,6.4,"Guillorme, Luis",661388,641645,,ball,,,,,13,William Contreras flies out sharply to left fielder Tim Locastro.,R,R,R,MIL,NYM,B,,,0,0,2023,-0.69,1.35,-0.79,1.3,,,642133,1,8,Bot,,,,,,,2.0350724390340957,-103.9570630982112,-4.7687162272761565,-5.355524092954274,17.085748683775996,-21.759933754598578,3.63,1.66,,,,70.6,1331,5.5,718731,553882,624413,500871,592192,643446,641796,607043,516782,54.95,,,,,,,,72,1,Other,10,0,10,0,0,10,10,0,Standard,Standard,195,0.0,0.036,,,,-0.036,,10,10,1.0,1.0,28,25,29,26,1,4,,2,,2,3.1,0.69,0.69,64.4
FA,2023-04-03,72.0,-1.46,6.25,"Guillorme, Luis",642133,641645,single,hit_into_play,,,,,1,Rowdy Tellez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIL,NYM,X,8,line_drive,0,0,2023,-1.15,1.1,-0.66,2.95,,,,1,8,Bot,153.08,91.08,,,,,3.4634526141181627,-104.88225654009337,-0.9546657916371796,-9.046374002372689,18.30161688973077,-24.10658120593556,3.52,1.68,278,96.3,13,70.7,1651,5.3,718731,553882,624413,500871,592192,643446,641796,607043,516782,55.21,0.951,0.916,0.9,1,1,0,4,71,1,Other,10,0,10,0,0,10,10,0,Infield shade,Standard,210,0.0,0.416,,,1.145,-0.416,96.3,10,10,1.0,1.0,28,28,29,28,1,4,,1,,1,3.3,1.15,-1.15,54.1
FA,2023-04-03,63.6,-1.27,6.59,"Guillorme, Luis",642715,641645,field_out,hit_into_play,,,,,9,Willy Adames pops out to shortstop Jeff McNeil.,R,R,R,MIL,NYM,X,6,popup,2,1,2023,0.42,1.55,0.63,1.82,,,,0,8,Bot,117.37,156.79,,,,,2.6477798872399783,-92.5696416805316,-2.144695698667192,1.9965778313104952,14.859130367005283,-23.19880417475388,3.41,1.68,113,79.9,68,62.0,1231,5.0,718731,553882,624413,500871,592192,643446,641796,607043,516782,55.52,0.001,0.0,0.0,1,0,0,3,70,4,Other,10,0,10,0,0,10,10,0,Standard,Standard,196,0.0,-0.313,,,0.001,0.313,88.0,10,10,1.0,1.0,28,27,29,28,1,4,,1,,1,4.12,-0.42,-0.42,67.4
FA,2023-04-03,63.8,-1.28,6.5,"Guillorme, Luis",642715,641645,,called_strike,,,,,12,Willy Adames pops out to shortstop Jeff McNeil.,R,R,R,MIL,NYM,S,,,2,0,2023,-0.13,1.65,1.02,2.84,,,,0,8,Bot,,,,,,,4.158992951967868,-92.84012076460532,-0.5250933923387846,-1.3830828048894828,13.479533585581866,-22.743745213602644,3.59,1.63,,,,62.6,1602,5.2,718731,553882,624413,500871,592192,643446,641796,607043,516782,55.34,,,,,,,,70,3,Other,10,0,10,0,0,10,10,0,Standard,Standard,196,0.0,-0.065,,,,0.065,,10,10,1.0,1.0,28,27,29,28,1,4,,1,,1,3.94,0.13,0.13,60.8
FA,2023-04-03,67.3,-1.13,6.57,"Guillorme, Luis",642715,641645,,ball,,,,,14,Willy Adames pops out to shortstop Jeff McNeil.,R,R,R,MIL,NYM,B,,,1,0,2023,0.33,1.52,1.01,1.62,,,,0,8,Bot,,,,,,,3.379691379877749,-97.89141514988242,-3.5150957312494544,1.519508510261088,16.37647013372041,-22.055288322691133,3.47,1.7,,,,65.7,1508,5.1,718731,553882,624413,500871,592192,643446,641796,607043,516782,55.44,,,,,,,,70,2,Other,10,0,10,0,0,10,10,0,Standard,Standard,194,0.0,0.071,,,,-0.071,,10,10,1.0,1.0,28,27,29,28,1,4,,1,,1,3.54,-0.33,-0.33,63.5
FA,2023-04-03,67.0,-1.04,6.72,"Guillorme, Luis",642715,641645,,ball,,,,,13,Willy Adames pops out to shortstop Jeff McNeil.,R,R,R,MIL,NYM,B,,,0,0,2023,-0.61,1.31,-0.63,1.36,,,,0,8,Bot,,,,,,,1.6738609355349403,-97.53540834141782,-3.898307761449291,-4.151433163133164,15.371359743533674,-23.384766507611328,3.43,1.68,,,,65.6,1390,5.1,718731,553882,624413,500871,592192,643446,641796,607043,516782,55.42,,,,,,,,70,1,Other,10,0,10,0,0,10,10,0,Standard,Standard,199,0.0,0.04,,,,-0.04,,10,10,1.0,1.0,28,27,29,28,1,4,,1,,1,3.76,0.61,0.61,65.8
