pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-26,,,,"Hanner, Bradley",640902,690440,field_out,hit_into_play,,,,,,Jhonny Pereda lines out to shortstop Angel Martinez.,S,R,R,CLE,CIN,X,6,line_drive,0,0,2023,,,,,,677956,691403,2,8,Top,113.28,152.05,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,64,1,,3,1,1,3,1,3,1,3,,,,0.069,-0.295,,,,0.295,,2,-2,0.873,0.127,24,27,24,27,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",682997,690440,strikeout,called_strike,,,,,,Tyler Callihan called out on strikes.,S,L,R,CLE,CIN,S,2,,0,2,2023,,,,,,677956,691403,1,8,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,63,3,,3,1,1,3,1,3,1,3,,,,0.078,-0.151,,,,0.151,,2,-2,0.795,0.205,24,23,24,23,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",682997,690440,,called_strike,,,,,,Tyler Callihan called out on strikes.,S,L,R,CLE,CIN,S,,,0,1,2023,,,,,,677956,691403,1,8,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,63,2,,3,1,1,3,1,3,1,3,,,,0.0,-0.05,,,,0.05,,2,-2,0.795,0.205,24,23,24,23,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",682997,690440,,called_strike,,,,,,Tyler Callihan called out on strikes.,S,L,R,CLE,CIN,S,,,0,0,2023,,,,,,677956,691403,1,8,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,63,1,,3,1,1,3,1,3,1,3,,,,0.0,-0.04,,,,0.04,,2,-2,0.795,0.205,24,23,24,23,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",691403,690440,single,hit_into_play,,,,,,Michel Triana singles on a line drive to left fielder Korey Holland.   Rece Hinds to 2nd.,S,L,R,CLE,CIN,X,7,line_drive,0,0,2023,,,,,,,677956,1,8,Top,108.73,142.94,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.9,,1,0,,62,1,,3,1,1,3,1,3,1,3,,,,-0.067,0.415,,,,-0.415,,2,-2,0.862,0.138,24,23,24,24,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",677956,690440,single,hit_into_play,,,,,,Rece Hinds singles on a soft line drive to right fielder Isaiah Greene.,S,R,R,CLE,CIN,X,9,line_drive,0,0,2023,,,,,,,,1,8,Top,173.53,130.79,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.9,,1,0,,61,1,,3,1,1,3,1,3,1,3,,,,-0.044,0.416,,,,-0.416,,2,-2,0.906,0.094,24,22,24,23,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",672279,690440,field_out,hit_into_play,,,,,,Michael Siani lines out to second baseman Christian Cairo.,S,L,R,CLE,CIN,X,4,line_drive,0,0,2023,,,,,,,,0,8,Top,150.75,155.09,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,60,1,,3,1,1,3,1,3,1,3,,,,0.036,-0.265,,,,0.265,,2,-2,0.87,0.13,24,23,24,24,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",669222,690440,strikeout,swinging_strike_blocked,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,2,,0,2,2023,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,53,3,,3,1,1,3,1,3,1,3,,,,0.013,-0.169,,,,0.169,,2,-2,0.88,0.12,24,28,24,28,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",669222,690440,,swinging_strike,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,,,0,1,2023,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,53,2,,3,1,1,3,1,3,1,3,,,,0.0,-0.061,,,,0.061,,2,-2,0.88,0.12,24,28,24,28,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",669222,690440,,swinging_strike,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,,,0,0,2023,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,53,1,,3,1,1,3,1,3,1,3,,,,0.0,-0.045,,,,0.045,,2,-2,0.88,0.12,24,28,24,28,1,1,,,,,,,,
,2023-03-26,,,,"Hanner, Bradley",682622,690440,field_out,hit_into_play,,,,,,Noelvi Marte pops out to first baseman Joe Naranjo in foul territory.,S,R,R,CLE,CIN,X,3,popup,0,0,2023,,,,,,,,1,7,Top,159.86,183.44,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,52,1,,3,1,1,3,1,3,1,3,,,,0.023,-0.267,,,,0.267,,2,-2,0.857,0.143,24,21,24,22,1,0,,,,,,,,
