pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-08-22,93.5,2.73,6.24,"Harris, Hogan",669004,663687,strikeout,swinging_strike,,,,,1,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,S,2,,3,2,2023,0.78,1.34,-0.31,3.04,,,521692,1,5,Top,,,,,,,-9.57224541998915,-135.7108275617391,-5.407833510406133,11.88875538129762,32.01696861340094,-14.617408609189187,3.25,1.58,,,,93.3,2273,6.5,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.99,,0.0,0.0,1,0,0,,43,7,4-Seam Fastball,5,4,4,5,4,5,4,5,Strategic,Standard,145,0.04,-0.314,68.8,6.8,,0.314,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,1.3,0.78,0.78,54.5
FF,2023-08-22,93.7,2.73,6.13,"Harris, Hogan",669004,663687,,ball,,,,,13,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,B,,,2,2,2023,0.97,1.09,-0.98,1.3,,,521692,1,5,Top,,,,,,,-11.726429206197931,-135.6717041408966,-9.079164581648868,14.688825174719629,31.320879412924867,-16.693069510005607,3.25,1.56,,,,93.4,2218,6.5,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.97,,,,,,,,43,6,4-Seam Fastball,5,4,4,5,4,5,4,5,Strategic,Standard,141,0.0,0.084,,,,-0.084,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,1.54,0.97,0.97,50.0
SL,2023-08-22,78.4,2.91,6.12,"Harris, Hogan",669004,663687,,ball,,,,,13,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,B,,,1,2,2023,-0.94,-0.85,-2.15,1.71,,,521692,1,5,Top,,,,,,,-9.221599856989508,-113.876513962214,-1.0196123656720668,-6.294196737860232,22.605712725790976,-39.59316036578185,3.21,1.53,,,,78.3,2527,6.5,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.96,,,,,,,,43,5,Slider,5,4,4,5,4,5,4,5,Infield shade,Standard,326,0.0,0.047,,,,-0.047,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,4.6,-0.94,-0.94,51.9
CU,2023-08-22,76.7,2.9,6.04,"Harris, Hogan",669004,663687,,foul,,,,,13,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,S,,,1,2,2023,-0.86,-1.19,-1.08,1.29,,,521692,1,5,Top,,,,,,,-6.8636920413700455,-111.41397179417308,-0.7400320625478454,-5.665762111725334,23.399242729709503,-42.058850731590674,3.25,1.58,2,71.8,-38,76.5,2706,6.6,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.9,,,,,,,,43,4,Curveball,5,4,4,5,4,5,4,5,Standard,Standard,324,0.0,0.0,54.4,8.4,,0.0,88.0,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,5.13,-0.86,-0.86,49.4
FF,2023-08-22,94.0,2.43,6.19,"Harris, Hogan",669004,663687,,ball,,,,,13,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,B,,,0,2,2023,0.71,1.36,-1.1,0.84,,,521692,1,5,Top,,,,,,,-10.70339815140558,-136.07671097316717,-11.099138698678969,11.21327055622594,31.158017437340646,-12.904555886112307,3.24,1.66,,,,93.7,2325,6.5,716888,669127,542208,680869,672478,669397,649557,665923,667670,54.0,,,,,,,,43,3,4-Seam Fastball,5,4,4,5,4,5,4,5,Standard,Standard,148,0.0,0.023,,,,-0.023,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,1.26,0.71,0.71,53.2
FF,2023-08-22,92.8,2.81,6.12,"Harris, Hogan",669004,663687,,swinging_strike,,,,,6,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,S,,,0,1,2023,0.76,1.43,0.4,2.42,,,521692,1,5,Top,,,,,,,-7.850202819598146,-134.70273472680483,-6.781257762756936,11.036921493609404,31.02490982758735,-13.440066614797448,3.25,1.58,,,,92.8,2248,6.6,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.92,,,,,,,,43,2,4-Seam Fastball,5,4,4,5,4,5,4,5,Strategic,Standard,154,0.0,-0.053,70.5,7.0,,0.053,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,1.24,0.76,0.76,53.2
FF,2023-08-22,93.8,2.66,6.17,"Harris, Hogan",669004,663687,,called_strike,,,,,7,MJ Melendez strikes out swinging.,R,L,L,OAK,KC,S,,,0,0,2023,0.88,1.24,-0.67,1.97,,,521692,1,5,Top,,,,,,,-10.591803818664756,-135.98200734715675,-7.848544862974533,13.32979792349396,32.22219495582105,-15.082156074741844,3.3,1.66,,,,93.8,2284,6.7,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.84,,,,,,,,43,1,4-Seam Fastball,5,4,4,5,4,5,4,5,Standard,Standard,151,0.0,-0.042,,,,0.042,,1,-1,0.64,0.36,26,24,27,25,3,2,20,1,,1,1.38,0.88,0.88,52.6
FC,2023-08-22,91.7,3.0,6.15,"Harris, Hogan",521692,663687,single,hit_into_play,,,,,14,Salvador Perez singles on a line drive to center fielder Esteury Ruiz.   Maikel Garcia scores.    Michael Massey scores.,R,R,L,OAK,KC,X,8,line_drive,0,1,2023,0.22,0.99,0.87,2.45,672580,686681,,1,5,Top,126.58,75.99,,,,,-5.902248338187167,-133.49301578046268,-5.693063083309357,3.83206862977952,27.10816033276465,-19.303923458943647,3.52,1.63,160,106.5,7,92.4,2217,6.5,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.95,0.671,0.622,0.9,1,1,0,4,42,2,Cutter,5,2,2,5,4,5,4,5,Standard,Standard,156,-0.117,0.547,72.3,7.8,0.763,-0.547,106.5,3,-3,0.757,0.243,26,33,27,33,3,2,20,1,,1,1.71,0.22,-0.22,48.1
CH,2023-08-22,81.0,3.05,5.9,"Harris, Hogan",521692,663687,,foul,,,,,14,Salvador Perez singles on a line drive to center fielder Esteury Ruiz.   Maikel Garcia scores.    Michael Massey scores.,R,R,L,OAK,KC,S,,,0,0,2023,1.28,0.83,0.97,2.0,672580,686681,,1,5,Top,,,,,,,-7.157996574261457,-117.73755237597702,-3.714776814232827,13.243137950708311,21.41886050168174,-23.91725076371583,3.52,1.63,,,,81.8,1909,6.8,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.68,,,,,,,,42,1,Changeup,5,2,2,5,2,5,2,5,Standard,Standard,117,0.0,-0.038,71.3,7.6,,0.038,,3,-3,0.757,0.243,26,33,27,33,3,2,20,1,,1,2.64,1.28,-1.28,45.3
FC,2023-08-22,89.5,2.81,6.03,"Harris, Hogan",686681,663687,double,hit_into_play,,,,,4,Michael Massey doubles (13) on a fly ball to center fielder Esteury Ruiz.   Maikel Garcia to 3rd.,R,L,L,OAK,KC,X,8,fly_ball,2,0,2023,-0.08,0.94,-0.66,2.35,,672580,,1,5,Top,90.55,49.5,,,,,-8.441763146706926,-130.11493987089577,-5.089761411190837,0.8780661297568256,26.97367123996286,-20.583416823587616,3.4,1.63,379,99.0,26,89.9,2294,6.6,716888,669127,542208,680869,672478,669397,649557,665923,667670,53.93,0.454,0.735,1.25,1,1,1,6,41,3,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,168,-0.073,0.742,72.8,7.2,1.341,-0.742,99.0,3,-3,0.83,0.17,26,25,27,25,2,2,20,1,,1,1.91,-0.08,-0.08,50.3
