pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-14,93.6,1.79,6.19,"Headrick, Brent",657757,687396,field_out,hit_into_play,,,,,2,"Gavin Sheets grounds out, second baseman Jorge Polanco to first baseman Alex Kirilloff.",R,L,L,CWS,MIN,X,4,ground_ball,2,1,2023,1.11,1.47,0.05,2.93,650391,,,2,9,Bot,152.58,155.67,,,,,-7.060092931210115,-135.95910804138475,-5.931078825651229,15.386007535247368,31.719275605137085,-12.781429035299228,3.34,1.61,10,89.0,-15,94.5,2388,7.1,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.42,0.089,0.076,0.0,1,0,0,2,76,4,4-Seam Fastball,2,10,2,10,10,2,2,10,Strategic,Standard,141,0.0,-0.324,70.4,7.0,0.089,0.324,89.0,-8,-8,0.0,0.0,25,27,26,27,1,3,3,1,,1,1.15,1.11,1.11,35.4
FF,2023-09-14,92.9,1.91,6.17,"Headrick, Brent",657757,687396,,called_strike,,,,,5,"Gavin Sheets grounds out, second baseman Jorge Polanco to first baseman Alex Kirilloff.",R,L,L,CWS,MIN,S,,,2,0,2023,0.97,1.49,-0.15,2.84,650391,,,2,9,Bot,,,,,,,-7.443516768969019,-135.0125447766416,-6.020814646629113,13.51002115424658,30.926439032539637,-12.769186352141588,3.49,1.6,,,,93.2,2308,6.7,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.83,,,,,,,,76,3,4-Seam Fastball,2,10,2,10,10,2,2,10,Strategic,Standard,143,0.0,-0.037,,,,0.037,,-8,-8,0.0,0.0,25,27,26,27,1,3,3,1,,1,1.16,0.97,0.97,35.1
SL,2023-09-14,80.8,2.04,5.97,"Headrick, Brent",657757,687396,,ball,,,,,13,"Gavin Sheets grounds out, second baseman Jorge Polanco to first baseman Alex Kirilloff.",R,L,L,CWS,MIN,B,,,1,0,2023,-0.29,0.22,-0.21,1.25,650391,,,2,9,Bot,,,,,,,-4.554970221946384,-117.59767834120574,-4.310854608837351,-1.777247160191762,23.98683127090037,-29.50869764444116,3.43,1.61,,,,82.1,1991,7.3,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.18,,,,,,,,76,2,Slider,2,10,2,10,10,2,2,10,Strategic,Standard,280,0.0,0.041,,,,-0.041,,-8,-8,0.0,0.0,25,27,26,27,1,3,3,1,,1,3.29,-0.29,-0.29,31.3
SL,2023-09-14,79.9,2.05,6.03,"Headrick, Brent",657757,687396,,ball,,,,,13,"Gavin Sheets grounds out, second baseman Jorge Polanco to first baseman Alex Kirilloff.",R,L,L,CWS,MIN,B,,,0,0,2023,-0.64,-0.13,-0.34,1.5,650391,,,2,9,Bot,,,,,,,-4.072866965989345,-116.30982163552868,-3.030785110470184,-5.026363130930842,22.168809414761466,-32.945168791458364,3.49,1.74,,,,80.2,2105,6.5,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.97,,,,,,,,76,1,Slider,2,10,2,10,10,2,2,10,Strategic,Standard,291,0.0,0.028,,,,-0.028,,-8,-8,0.0,0.0,25,27,26,27,1,3,3,1,,1,3.7,-0.64,-0.64,31.7
SL,2023-09-14,80.1,1.92,6.04,"Headrick, Brent",683734,687396,field_out,hit_into_play,,,,,2,Andrew Vaughn flies out to center fielder Andrew Stevenson. Eloy Jimenez to 3rd.,R,R,L,CWS,MIN,X,8,fly_ball,1,0,2023,-0.31,0.31,-0.07,3.39,,650391,,1,9,Bot,144.4,63.96,,,,,-3.852059044259032,-116.61758466710968,0.267196625241439,-2.102049337006853,21.461733333344164,-29.631511130320188,3.34,1.57,338,98.1,39,80.8,2080,6.7,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.82,0.12,0.218,0.0,1,0,0,3,75,2,Slider,2,10,2,10,10,2,2,10,Standard,Standard,292,0.0,-0.325,66.5,7.1,0.427,0.325,98.1,-8,-8,0.0,0.0,25,25,26,25,1,3,3,1,,1,3.24,-0.31,0.31,32.5
SL,2023-09-14,80.5,2.09,6.02,"Headrick, Brent",683734,687396,,ball,,,,,13,Andrew Vaughn flies out to center fielder Andrew Stevenson. Eloy Jimenez to 3rd.,R,R,L,CWS,MIN,B,,,0,0,2023,-0.43,0.21,-1.49,1.15,,650391,,1,9,Bot,,,,,,,-7.168696829977178,-117.07208914951494,-4.550382178210492,-2.5511281572410662,22.296300350333812,-29.589598725383915,3.38,1.54,,,,80.8,2109,6.5,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.97,,,,,,,,75,1,Slider,2,10,2,10,10,2,2,10,Standard,Standard,303,0.0,0.034,,,,-0.034,,-8,-8,0.0,0.0,25,25,26,25,1,3,3,1,,1,3.32,-0.43,0.43,31.0
FF,2023-09-14,93.2,1.93,6.13,"Headrick, Brent",660162,687396,strikeout,swinging_strike,,,,,3,Yoan Moncada strikes out swinging.,R,R,L,CWS,MIN,S,2,,2,2,2023,1.19,1.21,0.66,2.83,,650391,,0,9,Bot,,,,,,,-5.914544763316178,-135.47007012206504,-5.399460618836245,15.918226695654996,30.71793305440063,-16.26724147463767,3.31,1.48,,,,93.8,2390,6.8,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.7,,0.0,0.0,1,0,0,,74,5,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,137,-0.002,-0.264,75.9,8.1,,0.264,,-8,-8,0.002,0.002,25,28,26,28,1,3,3,1,,1,1.43,1.19,-1.19,32.9
FF,2023-09-14,92.3,1.94,5.99,"Headrick, Brent",660162,687396,,called_strike,,,,,7,Yoan Moncada strikes out swinging.,R,R,L,CWS,MIN,S,,,2,1,2023,1.35,1.18,-0.67,1.67,,650391,,0,9,Bot,,,,,,,-9.715172288413282,-133.9157180749213,-7.800026791258216,18.34177653009593,30.51437161984303,-16.41034074248692,3.27,1.43,,,,93.5,2331,7.3,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.21,,,,,,,,74,4,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,136,0.0,-0.082,,,,0.082,,-8,-8,0.002,0.002,25,28,26,28,1,3,3,1,,1,1.53,1.35,-1.35,32.8
FS,2023-09-14,83.3,2.22,5.92,"Headrick, Brent",660162,687396,,ball,,,,,12,Yoan Moncada strikes out swinging.,R,R,L,CWS,MIN,B,,,1,1,2023,1.3,0.64,2.13,3.09,,650391,,0,9,Bot,,,,,,,-2.84074238257719,-121.20976073092174,-1.281902699578078,13.383342183584478,25.353294675725373,-25.853700317941648,3.25,1.43,,,,84.7,1548,7.4,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.13,,,,,,,,74,3,Split-Finger,2,10,2,10,10,2,2,10,Standard,Standard,113,0.0,0.05,,,,-0.05,,-8,-8,0.002,0.002,25,28,26,28,1,3,3,1,,1,2.66,1.3,-1.3,29.3
FF,2023-09-14,92.0,2.02,6.2,"Headrick, Brent",660162,687396,,ball,,,,,9,Yoan Moncada strikes out swinging.,R,R,L,CWS,MIN,B,,,0,1,2023,1.31,1.19,0.59,1.37,,650391,,0,9,Bot,,,,,,,-6.479425344438895,-133.54028052399184,-8.965515154239997,17.078210057414537,30.865961162696347,-16.083460741284874,3.32,1.48,,,,92.0,2185,6.6,716580,543877,666135,593871,668904,571657,650489,664057,656669,53.91,,,,,,,,74,2,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,135,0.0,0.02,,,,-0.02,,-8,-8,0.002,0.002,25,28,26,28,1,3,3,1,,1,1.53,1.31,-1.31,34.7
