pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-08-28,95.9,2.79,6.48,"Hearn, Taylor",682848,621368,field_out,hit_into_play,,,,,13,Endy Rodriguez flies out to right fielder Nelson Velazquez.,R,R,L,KC,PIT,X,9,fly_ball,0,2,2023,0.39,1.59,-0.88,2.14,,457705,641943,2,7,Top,154.0,106.73,,,,,-10.551329792616864,-138.9555497562824,-9.389637301950613,7.409680881288971,31.00519087067562,-9.5784134945322,3.22,1.56,243,76.0,40,95.6,2357,6.4,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.15,0.131,0.134,0.0,1,0,0,3,53,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,141,0.01,-0.194,69.1,6.8,0.189,0.194,88.0,-4,4,0.054,0.946,28,23,29,23,1,3,3,2,,1,0.91,0.39,-0.39,36.2
SL,2023-08-28,87.9,2.66,6.38,"Hearn, Taylor",682848,621368,,swinging_strike,,,,,13,Endy Rodriguez flies out to right fielder Nelson Velazquez.,R,R,L,KC,PIT,S,,,0,1,2023,-0.11,0.01,-0.42,1.1,,457705,641943,2,7,Top,,,,,,,-7.23208930087583,-127.67711817081886,-6.691299778054213,0.268498000623953,26.339626796648155,-30.8325942073346,3.22,1.56,,,,87.9,1996,6.4,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.08,,,,,,,,53,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,260,0.0,-0.061,72.7,8.7,,0.061,,-4,4,0.054,0.946,28,23,29,23,1,3,3,2,,1,2.95,-0.11,0.11,38.7
SL,2023-08-28,89.6,2.8,6.41,"Hearn, Taylor",682848,621368,,foul,,,,,13,Endy Rodriguez flies out to right fielder Nelson Velazquez.,R,R,L,KC,PIT,S,,,0,0,2023,0.06,0.3,-0.91,1.29,,457705,641943,2,7,Top,,,,,,,-9.275550407927982,-130.0239638901457,-7.276660901760868,2.576920937746041,26.092888404867345,-27.38852438155087,3.22,1.56,3,83.4,-26,89.7,1940,6.4,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.1,,,,,,,,53,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,169,0.0,-0.04,73.6,8.0,,0.04,88.0,-4,4,0.054,0.946,28,23,29,23,1,3,3,2,,1,2.54,0.06,-0.06,38.8
SL,2023-08-28,89.4,2.5,6.36,"Hearn, Taylor",641943,621368,single,hit_into_play,,,,,7,Joshua Palacios singles on a soft ground ball to first baseman Matt Beaty.   Ke'Bryan Hayes scores.    Andrew McCutchen to 2nd.,R,L,L,KC,PIT,X,3,ground_ball,0,1,2023,-0.43,0.24,-0.35,1.9,663647,,457705,2,7,Top,137.39,176.51,,,,,-6.11403448527707,-129.94971057766008,-5.455063164144552,-3.524903434136706,28.491715259210213,-28.47699323237743,3.37,1.63,2,65.5,-41,89.2,2053,6.3,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.19,0.111,0.107,0.9,1,1,0,2,52,2,Slider,0,3,3,0,4,0,4,0,Standard,Standard,188,-0.044,0.646,75.2,7.1,0.111,-0.646,88.0,-3,3,0.098,0.902,28,27,29,28,1,3,3,1,,1,2.63,-0.43,-0.43,38.3
SL,2023-08-28,88.8,2.49,6.44,"Hearn, Taylor",641943,621368,,called_strike,,,,,5,Joshua Palacios singles on a soft ground ball to first baseman Matt Beaty.   Ke'Bryan Hayes scores.    Andrew McCutchen to 2nd.,R,L,L,KC,PIT,S,,,0,0,2023,-0.33,0.67,-0.18,2.76,663647,,457705,2,7,Top,,,,,,,-5.858267066323416,-129.2849774089836,-4.410313508855113,-2.531386965192329,25.651923809464517,-23.931750698924077,3.44,1.63,,,,89.0,2050,6.3,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.22,,,,,,,,52,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,209,0.0,-0.052,,,,0.052,,-3,3,0.098,0.902,28,27,29,28,1,3,3,1,,1,2.21,-0.33,-0.33,39.5
FF,2023-08-28,96.1,2.72,6.5,"Hearn, Taylor",457705,621368,single,hit_into_play,,,,,5,Andrew McCutchen singles on a line drive to left fielder MJ Melendez.   Alika Williams scores.    Ke'Bryan Hayes to 3rd.,R,R,L,KC,PIT,X,7,line_drive,0,0,2023,0.83,1.35,-0.04,2.15,,675961,663647,2,7,Top,99.34,111.34,,,,,-9.153990792127804,-139.47615799275553,-9.00560324891882,12.772805354246028,27.77907082893045,-12.70977925029225,3.34,1.56,141,103.6,8,96.2,2296,6.2,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.28,0.731,0.693,0.9,1,1,0,4,51,1,4-Seam Fastball,0,2,2,0,3,0,3,0,Infield shade,Standard,141,-0.082,0.549,72.1,7.4,0.862,-0.549,103.6,-2,2,0.18,0.82,28,36,29,37,1,3,3,2,,1,1.11,0.83,-0.83,38.2
SL,2023-08-28,87.8,2.77,6.4,"Hearn, Taylor",663647,621368,single,hit_into_play,,,,,8,Ke'Bryan Hayes singles on a ground ball to left fielder MJ Melendez.   Alika Williams to 2nd.,R,R,L,KC,PIT,X,7,ground_ball,2,2,2023,-0.23,0.1,-0.21,1.81,,,675961,2,7,Top,87.49,132.66,,,,,-6.718544129511762,-127.6733791025228,-5.212825913794919,-1.1483092230164345,25.124908419620173,-30.19185718093363,3.18,1.49,60,98.8,2,87.7,2070,6.2,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.31,0.454,0.418,0.9,1,1,0,4,50,5,Slider,0,2,2,0,2,0,2,0,Standard,Standard,283,-0.013,0.414,71.6,7.1,0.504,-0.414,98.8,-2,2,0.193,0.807,28,26,29,26,1,3,3,1,,1,2.85,-0.23,0.23,40.3
FF,2023-08-28,95.8,2.86,6.46,"Hearn, Taylor",663647,621368,,foul,,,,,12,Ke'Bryan Hayes singles on a ground ball to left fielder MJ Melendez.   Alika Williams to 2nd.,R,R,L,KC,PIT,S,,,2,1,2023,0.86,1.29,1.01,3.06,,,675961,2,7,Top,,,,,,,-6.801689647311921,-139.24874301372395,-6.274562299427783,12.666053468675504,29.72741034057017,-14.097917307312809,3.18,1.49,255,77.3,41,95.6,2297,6.1,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.36,,,,,,,,50,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,138,0.0,-0.063,68.6,6.3,,0.063,88.0,-2,2,0.193,0.807,28,26,29,26,1,3,3,1,,1,1.18,0.86,-0.86,35.0
CH,2023-08-28,91.4,2.89,6.18,"Hearn, Taylor",663647,621368,,blocked_ball,,,,,13,Ke'Bryan Hayes singles on a ground ball to left fielder MJ Melendez.   Alika Williams to 2nd.,R,R,L,KC,PIT,B,,,1,1,2023,1.2,0.6,-0.37,0.85,,,675961,2,7,Top,,,,,,,-10.777467064643885,-132.52272172578955,-8.851731676673888,16.35290641354014,25.9083143659653,-23.414058232429262,3.51,1.71,,,,91.6,1864,6.4,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.1,,,,,,,,50,3,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,146,0.0,0.036,,,,-0.036,,-2,2,0.193,0.807,28,26,29,26,1,3,3,1,,1,2.13,1.2,-1.2,34.9
FF,2023-08-28,95.7,2.74,6.53,"Hearn, Taylor",663647,621368,,called_strike,,,,,1,Ke'Bryan Hayes singles on a ground ball to left fielder MJ Melendez.   Alika Williams to 2nd.,R,R,L,KC,PIT,S,,,1,0,2023,0.71,1.33,-0.5,3.44,,,675961,2,7,Top,,,,,,,-10.103247105085648,-139.03500353496312,-5.552461721829461,11.32627234046213,29.444781616368996,-13.848774477678711,3.51,1.71,,,,95.7,2322,6.3,716811,521692,607461,686681,622110,677951,669004,664728,676369,54.24,,,,,,,,50,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,146,0.0,-0.05,,,,0.05,,-2,2,0.193,0.807,28,26,29,26,1,3,3,1,,1,1.16,0.71,-0.71,38.5
