pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-04-25,83.1,-1.24,5.36,"Hembree, Heath",665161,592390,strikeout,swinging_strike,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,TB,HOU,S,2,,2,2,2023,1.09,0.7,2.03,1.62,,,,2,6,Top,,,,,,,5.3779231271342045,-120.92103518885442,-3.4643795120018215,9.575680073672665,24.622907657289463,-24.805883036502557,3.57,1.73,,,,83.6,2736,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.78,,0.0,0.0,1,0,0,,48,5,Slider,0,5,5,0,5,0,5,0,Standard,Standard,82,0.002,-0.233,,,,0.233,,-5,5,0.048,0.952,34,25,34,26,1,3,,1,,1,2.61,-1.09,-1.09,29.9
SL,2023-04-25,84.1,-0.94,5.62,"Hembree, Heath",665161,592390,,ball,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,TB,HOU,B,,,1,2,2023,0.36,0.0,-0.92,1.82,,,,2,6,Top,,,,,,,-0.6693122217139783,-122.56007257768768,-2.475215077383842,3.787685389170437,24.013700089267857,-31.870788672981277,3.71,1.73,,,,84.8,2676,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.84,,,,,,,,48,4,Slider,0,5,5,0,5,0,5,0,Standard,Standard,94,0.0,0.041,,,,-0.041,,-5,5,0.048,0.952,34,25,34,26,1,3,,1,,1,3.21,-0.36,-0.36,36.7
FF,2023-04-25,94.9,-0.85,5.62,"Hembree, Heath",665161,592390,,ball,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,TB,HOU,B,,,0,2,2023,-0.66,1.77,1.05,2.71,,,,2,6,Top,,,,,,,6.525523078902807,-137.90732543487528,-5.909324625043652,-9.955381068411922,31.98270343745696,-8.523429165402892,3.77,1.73,,,,95.5,2444,6.8,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.67,,,,,,,,48,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,215,0.0,0.022,,,,-0.022,,-5,5,0.048,0.952,34,25,34,26,1,3,,1,,1,0.78,0.66,0.66,39.5
SL,2023-04-25,84.6,-1.21,5.34,"Hembree, Heath",665161,592390,,swinging_strike,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,TB,HOU,S,,,0,1,2023,0.85,0.66,1.47,1.79,,,,2,6,Top,,,,,,,4.570130430305762,-123.079444296555,-3.2071624626831436,7.642863940460184,26.309348054804524,-25.065445712545213,3.57,1.73,,,,84.9,2745,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.8,,,,,,,,48,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,95,0.0,-0.061,,,,0.061,,-5,5,0.048,0.952,34,25,34,26,1,3,,1,,1,2.55,-0.85,-0.85,32.7
SL,2023-04-25,87.6,-1.1,5.65,"Hembree, Heath",665161,592390,,called_strike,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,TB,HOU,S,,,0,0,2023,0.29,0.49,-0.21,1.52,,,,2,6,Top,,,,,,,1.5635256011737235,-127.62469191343328,-4.917929594646862,2.8752045440600447,25.486549301056854,-26.043878507800844,3.78,1.73,,,,88.5,2604,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.79,,,,,,,,48,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,175,0.0,-0.045,,,,0.045,,-5,5,0.048,0.952,34,25,34,26,1,3,,1,,1,2.47,-0.29,-0.29,39.2
SL,2023-04-25,85.5,-1.0,5.63,"Hembree, Heath",643289,592390,grounded_into_double_play,hit_into_play,,,,,5,"Mauricio Dubon grounds into a double play, third baseman Isaac Paredes to second baseman Taylor Walls to first baseman Luke Raley. Martin Maldonado out at 2nd. Mauricio Dubon out at 1st.",R,R,R,TB,HOU,X,5,ground_ball,0,0,2023,0.3,0.2,0.04,2.19,,,455117,0,6,Top,103.47,165.56,,,,,1.8612598397632736,-124.61543257210973,-2.282002634123197,2.7791847337847098,23.881092191267925,-29.875034734537195,3.33,1.57,6,83.9,-19,86.4,2552,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.84,0.077,0.072,0.0,1,0,0,2,47,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,140,0.012,-0.35,,,0.092,0.35,88.0,-5,5,0.036,0.964,34,28,34,29,1,3,,1,,1,2.9,-0.3,-0.3,37.3
SL,2023-04-25,83.3,-1.15,5.42,"Hembree, Heath",455117,592390,walk,ball,,,,,13,Martin Maldonado walks.,R,R,R,TB,HOU,B,,,3,2,2023,-0.16,1.1,-1.29,1.82,,,,0,6,Top,,,,,,,-0.005396569650864,-121.44595580437748,-4.086784983793977,-1.5489569666552732,21.48257551395405,-20.710929632968263,3.24,1.43,,,,84.4,2613,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.8,,0.695903,0.7,1,0,0,,46,9,Slider,0,5,5,0,5,0,5,0,Infield shade,Standard,129,-0.006,0.347,,,,-0.347,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.15,0.16,0.16,31.5
SL,2023-04-25,82.2,-1.13,5.33,"Hembree, Heath",455117,592390,,ball,,,,,14,Martin Maldonado walks.,R,R,R,TB,HOU,B,,,2,2,2023,0.79,1.14,1.24,0.68,,,,0,6,Top,,,,,,,3.8537300115237305,-119.58912646724602,-6.264550008681866,6.892389366193522,22.83026000373004,-20.212958339333756,3.11,1.43,,,,83.1,2675,6.9,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.65,,,,,,,,46,8,Slider,0,5,5,0,5,0,5,0,Standard,Standard,88,0.0,0.115,,,,-0.115,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.23,-0.79,-0.79,30.7
SL,2023-04-25,88.8,-0.85,5.67,"Hembree, Heath",455117,592390,,ball,,,,,14,Martin Maldonado walks.,R,R,R,TB,HOU,B,,,1,2,2023,-0.02,0.75,0.62,1.09,,,,0,6,Top,,,,,,,3.6720551601793896,-129.23576617390188,-6.782345387991975,-0.9362475178496494,26.65976820261974,-22.61274446337062,3.22,1.43,,,,89.7,2604,6.8,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.7,,,,,,,,46,7,Slider,0,5,5,0,5,0,5,0,Standard,Standard,189,0.0,0.046,,,,-0.046,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.14,0.02,0.02,38.1
FF,2023-04-25,92.9,-0.77,5.75,"Hembree, Heath",455117,592390,,ball,,,,,12,Martin Maldonado walks.,R,R,R,TB,HOU,B,,,0,2,2023,-0.22,1.53,1.93,4.0,,,,0,6,Top,,,,,,,7.462762368662359,-135.20680641283317,-2.0551163510584782,-4.383713112293154,29.432264162605417,-13.13833044890285,3.16,1.43,,,,93.5,2439,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.84,,,,,,,,46,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,206,0.0,0.024,,,,-0.024,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,1.11,0.22,0.22,38.4
SL,2023-04-25,83.6,-1.16,5.44,"Hembree, Heath",455117,592390,,foul,,,,,5,Martin Maldonado walks.,R,R,R,TB,HOU,S,,,0,2,2023,1.28,0.7,0.02,2.49,,,,0,6,Top,,,,,,,0.1853186175667074,-121.78767130223498,-1.7469700163184467,12.67233012764346,24.971187241137436,-25.086091027225017,3.14,1.43,160,59.1,23,84.1,2679,6.6,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.85,,,,,,,,46,5,Slider,0,5,5,0,5,0,5,0,Standard,Standard,101,0.0,0.0,,,,0.0,88.0,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.56,-1.28,-1.28,31.7
FF,2023-04-25,93.5,-0.8,5.74,"Hembree, Heath",455117,592390,,foul,,,,,12,Martin Maldonado walks.,R,R,R,TB,HOU,S,,,0,2,2023,-0.45,1.73,0.63,3.53,,,,0,6,Top,,,,,,,4.733048505252363,-135.98847188200463,-3.7428169467413537,-6.699311045316175,31.626062043168247,-10.13555295227106,3.14,1.43,213,77.4,55,93.9,2402,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.83,,,,,,,,46,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,213,0.0,0.0,,,,0.0,88.0,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,0.89,0.45,0.45,41.4
FF,2023-04-25,92.2,-0.8,5.72,"Hembree, Heath",455117,592390,,foul,,,,,1,Martin Maldonado walks.,R,R,R,TB,HOU,S,,,0,2,2023,-0.92,1.58,-0.52,2.75,,,,0,6,Top,,,,,,,2.736152663266153,-134.08336474363253,-5.164273959619764,-11.68081215617701,31.008996999287668,-12.22097732888454,3.14,1.43,5,78.5,-25,92.6,2262,6.7,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.81,,,,,,,,46,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,217,0.0,0.0,,,,0.0,88.0,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,1.12,0.92,0.92,38.3
SL,2023-04-25,83.4,-1.27,5.48,"Hembree, Heath",455117,592390,,swinging_strike,,,,,9,Martin Maldonado walks.,R,R,R,TB,HOU,S,,,0,1,2023,0.23,0.78,0.68,1.62,,,,0,6,Top,,,,,,,4.058022503539125,-121.37816658802922,-3.9927249551641024,1.4429757536436008,23.465182758202655,-23.894162698089627,3.14,1.43,,,,84.0,2741,6.6,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.88,,,,,,,,46,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,116,0.0,-0.054,,,,0.054,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.49,-0.23,-0.23,31.7
SL,2023-04-25,81.9,-1.17,5.54,"Hembree, Heath",455117,592390,,swinging_strike,,,,,14,Martin Maldonado walks.,R,R,R,TB,HOU,S,,,0,0,2023,0.68,0.68,0.6,1.07,,,,0,6,Top,,,,,,,2.70917420912921,-119.26929970455144,-4.8910120044993075,5.904450609289583,23.537937871837983,-24.90269578966791,3.14,1.43,,,,82.4,2776,6.6,718436,642336,670042,670764,670623,677551,668227,642350,666139,53.86,,,,,,,,46,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,87,0.0,-0.042,,,,0.042,,-5,5,0.042,0.958,34,36,34,37,1,2,,1,,3,2.72,-0.68,-0.68,41.7
