pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-06-09,94.4,-1.91,6.0,"Hendriks, Liam",493329,521230,field_out,hit_into_play,,,,,2,"Yuli Gurriel grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",R,R,R,CWS,MIA,X,6,ground_ball,2,1,2023,-0.86,1.41,-0.14,3.07,,,,2,9,Top,113.37,147.08,,,,,6.6146296242273355,-137.3183971275322,-5.121351550437956,-12.29539922928482,30.497033582669307,-13.411157342931912,3.37,1.63,28,103.6,-5,95.7,2425,7.0,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.45,0.366,0.329,0.0,1,0,0,2,67,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,209,0.032,-0.314,,,0.378,0.314,103.6,0,0,0.602,0.398,34,39,34,39,1,1,3,2,,1,1.15,0.86,0.86,47.2
SL,2023-06-09,86.8,-1.81,6.01,"Hendriks, Liam",493329,521230,,ball,,,,,14,"Yuli Gurriel grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",R,R,R,CWS,MIA,B,,,1,1,2023,0.34,0.33,1.93,1.22,,,,2,9,Top,,,,,,,8.36570453888439,-126.13753837784088,-6.070801699715649,2.116178181194419,23.46012397400475,-27.626363926586084,3.22,1.54,,,,88.4,2085,7.2,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.33,,,,,,,,67,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,182,0.0,0.053,,,,-0.053,,0,0,0.602,0.398,34,39,34,39,1,1,3,2,,1,2.68,-0.34,-0.34,51.1
FF,2023-06-09,93.7,-1.91,6.09,"Hendriks, Liam",493329,521230,,ball,,,,,13,"Yuli Gurriel grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",R,R,R,CWS,MIA,B,,,0,1,2023,-0.67,1.48,-1.82,2.27,,,,2,9,Top,,,,,,,1.7615177483505184,-136.3639235583807,-7.4889834941779165,-8.813171153273185,29.59811853234637,-12.241519602085855,3.28,1.56,,,,94.9,2448,7.0,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.55,,,,,,,,67,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,203,0.0,0.031,,,,-0.031,,0,0,0.602,0.398,34,39,34,39,1,1,3,2,,1,1.11,0.67,0.67,51.6
FF,2023-06-09,93.6,-1.84,6.05,"Hendriks, Liam",493329,521230,,swinging_strike,,,,,4,"Yuli Gurriel grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",R,R,R,CWS,MIA,S,,,0,0,2023,-0.12,1.63,-0.62,2.68,,,,2,9,Top,,,,,,,3.4651128919333245,-136.2101066098502,-6.64228677079311,-2.31068593982389,29.968921179477444,-10.610179097092622,3.37,1.63,,,,94.6,2377,6.9,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.61,,,,,,,,67,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,202,0.0,-0.045,,,,0.045,,0,0,0.602,0.398,34,39,34,39,1,1,3,2,,1,0.97,0.12,0.12,53.4
FF,2023-06-09,94.7,-1.9,6.06,"Hendriks, Liam",660821,521230,field_out,hit_into_play,,,,,5,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,X,7,fly_ball,3,2,2023,-0.17,1.71,-0.14,2.82,,,,1,9,Top,67.59,121.54,,,,,5.0062375031029305,-137.7791092439722,-6.659427997303959,-3.2372820537248264,29.855180615354175,-9.088644895914936,3.51,1.71,242,76.8,40,95.6,2360,6.8,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.73,0.1,0.106,0.0,1,0,0,3,66,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,207,0.044,-0.328,,,0.152,0.328,88.0,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,0.83,0.17,-0.17,48.5
FF,2023-06-09,94.8,-1.77,6.0,"Hendriks, Liam",660821,521230,,called_strike,,,,,9,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,S,,,3,1,2023,-0.71,1.33,0.29,1.67,,,,1,9,Top,,,,,,,7.051719367635737,-137.78107024106927,-8.72697317455577,-10.545681588516072,29.36451066479733,-13.449911129215856,3.31,1.62,,,,96.0,2316,7.0,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.53,,,,,,,,66,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,205,0.0,-0.104,,,,0.104,,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,1.2,0.71,-0.71,49.9
FF,2023-06-09,95.0,-1.66,6.1,"Hendriks, Liam",660821,521230,,ball,,,,,12,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,B,,,2,1,2023,-0.1,1.77,0.01,4.08,,,,1,9,Top,,,,,,,4.62704854137949,-138.21499734227547,-3.620717511831824,-2.318992413024475,31.068974749227543,-8.89598792869715,3.42,1.62,,,,95.7,2359,6.7,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.77,,,,,,,,66,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,202,0.0,0.122,,,,-0.122,,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,0.76,0.1,-0.1,51.2
FF,2023-06-09,94.2,-1.73,6.12,"Hendriks, Liam",660821,521230,,swinging_strike,,,,,2,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,S,,,2,0,2023,-0.72,1.52,0.02,3.2,,,,1,9,Top,,,,,,,6.179709703899389,-137.02283512830968,-5.319550053772578,-10.368334149916151,29.39981495636719,-11.969686196000383,3.51,1.71,,,,95.3,2345,6.9,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.61,,,,,,,,66,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,203,0.0,-0.062,,,,0.062,,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,1.04,0.72,-0.72,53.0
FF,2023-06-09,93.7,-1.87,6.05,"Hendriks, Liam",660821,521230,,ball,,,,,12,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,B,,,1,0,2023,-0.29,1.68,0.83,3.31,,,,1,9,Top,,,,,,,7.682721670799461,-136.19485297562235,-5.079553503280628,-5.290055750034728,30.032980471802823,-10.291699054675844,3.38,1.64,,,,94.4,2382,6.8,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.71,,,,,,,,66,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,202,0.0,0.066,,,,-0.066,,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,0.92,0.29,-0.29,49.3
SL,2023-06-09,85.8,-1.91,6.06,"Hendriks, Liam",660821,521230,,ball,,,,,14,Jesus Sanchez flies out to left fielder Andrew Benintendi.,R,L,R,CWS,MIA,B,,,0,0,2023,0.39,0.21,0.98,1.75,,,,1,9,Top,,,,,,,6.105296239818232,-124.88091336385652,-4.490137266787893,3.086918830647732,22.08436916909257,-29.32200078755207,3.53,1.64,,,,87.2,2172,6.9,717828,518735,683734,462101,660162,641313,643217,673357,640449,53.62,,,,,,,,66,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,176,0.0,0.039,,,,-0.039,,0,0,0.558,0.442,34,25,34,26,1,3,3,2,,1,2.85,-0.39,0.39,50.0
