pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-21,,,,"Hill, Jaden",673490,677955,field_out,hit_into_play,,,,,,Ha-Seong Kim flies out to second baseman Ryan McMahon.,S,R,R,SD,COL,X,4,fly_ball,0,0,2023,,,,,,593428,572761,2,4,Bot,175.88,128.02,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.0,,0,0,,37,1,,8,0,8,0,0,8,8,0,,,,-0.001,-0.295,,,,0.295,,8,8,0.991,0.991,23,27,24,28,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",572761,677955,single,hit_into_play,,,,,,Matt Carpenter singles on a line drive to left fielder Cole Tucker.   Fernando Tatis Jr.  scores.    Xander Bogaerts to 2nd.,S,L,R,SD,COL,X,7,line_drive,0,0,2023,,,,,,665487,593428,2,4,Bot,97.95,93.11,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.9,,1,0,,36,1,,7,0,7,0,0,8,8,0,,,,0.007,0.549,,,,-0.549,,7,7,0.984,0.984,23,37,24,38,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",593428,677955,hit_by_pitch,hit_by_pitch,,,,,,Xander Bogaerts hit by pitch.    Fernando Tatis Jr.  to 2nd.,S,R,R,SD,COL,B,,,0,0,2023,,,,,,,665487,2,4,Bot,,,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.7,,0,0,,35,1,,7,0,7,0,0,7,7,0,,,,0.001,0.275,,,,-0.275,,7,7,0.983,0.983,23,30,24,31,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",592518,677955,strikeout,swinging_strike,,,,,,Manny Machado strikes out swinging.,S,R,R,SD,COL,S,2,,0,2,2023,,,,,,,665487,1,4,Bot,,,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.0,,0,0,,34,3,,7,0,7,0,0,7,7,0,,,,-0.002,-0.16,,,,0.16,,7,7,0.985,0.985,23,30,24,31,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",592518,677955,,foul,,,,,,Manny Machado strikes out swinging.,S,R,R,SD,COL,S,,,0,1,2023,,,,,,,665487,1,4,Bot,,,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,,,,,,34,2,,7,0,7,0,0,7,7,0,,,,0.0,-0.053,,,,0.053,,7,7,0.985,0.985,23,30,24,31,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",592518,677955,,called_strike,,,,,,Manny Machado strikes out swinging.,S,R,R,SD,COL,S,,,0,0,2023,,,,,,,665487,1,4,Bot,,,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,,,,,,34,1,,7,0,7,0,0,7,7,0,,,,0.0,-0.042,,,,0.042,,7,7,0.985,0.985,23,30,24,31,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",630105,677955,field_out,hit_into_play,,,,,,Jake Cronenworth lines out to left fielder Cole Tucker.,S,L,R,SD,COL,X,7,line_drive,0,0,2023,,,,,,,665487,0,4,Bot,58.98,127.01,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.0,,0,0,,33,1,,7,0,7,0,0,7,7,0,,,,-0.001,-0.241,,,,0.241,,7,7,0.986,0.986,23,29,24,29,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",665487,677955,single,hit_into_play,,,,,,Fernando Tatis Jr.  singles on a sharp ground ball to left fielder Cole Tucker.,S,R,R,SD,COL,X,7,ground_ball,0,0,2023,,,,,,,,0,4,Bot,98.96,75.39,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.9,,1,0,,32,1,,7,0,7,0,0,7,7,0,,,,0.002,0.432,,,,-0.432,,7,7,0.984,0.984,23,24,24,24,1,2,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",621311,677955,field_out,hit_into_play,,,,,,"David Dahl grounds out, second baseman Ryan McMahon to first baseman Grant Lavigne.",S,L,R,SD,COL,X,4,ground_ball,0,0,2023,,,,,,,,2,3,Bot,157.66,155.35,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.0,,0,0,,28,1,,7,0,7,0,0,7,7,0,,,,-0.001,-0.275,,,,0.275,,7,7,0.975,0.975,23,29,24,29,1,1,,,,,,,,
,2023-03-21,,,,"Hill, Jaden",669134,677955,field_out,hit_into_play,,,,,,"Luis Campusano grounds out, third baseman Coco Montes to first baseman Grant Lavigne.",S,R,R,SD,COL,X,5,ground_ball,0,0,2023,,,,,,,,1,3,Bot,112.12,168.0,,,,,,,,,,,,,,,,,,,719015,661531,680693,641857,663796,605612,657061,686668,592178,,,,0.0,,0,0,,27,1,,7,0,7,0,0,7,7,0,,,,-0.002,-0.267,,,,0.267,,7,7,0.977,0.977,23,24,24,25,1,1,,,,,,,,
