pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-07-28,84.1,-2.26,5.86,"Howard, Spencer",670128,675921,strikeout,swinging_strike_blocked,,,,,14,Taylor Kohlwey strikes out swinging.,R,L,R,SD,TEX,S,2,,0,2,2023,0.49,-0.27,1.36,0.52,,596142,663757,2,8,Bot,,,,,,,7.4675248924712125,-122.1385925130593,-5.385987463892958,3.25883709240673,26.71037131060206,-33.909482380190596,3.41,1.56,,,,84.2,2273,6.7,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.8,,0.0,0.0,1,0,0,,70,3,Slider,7,0,7,0,0,7,7,0,Standard,Standard,49,0.0,-0.195,,,,0.195,,7,7,0.999,0.999,26,28,27,29,1,0,3,2,,,3.54,-0.49,0.49,
SL,2023-07-28,84.6,-2.28,5.97,"Howard, Spencer",670128,675921,,swinging_strike,,,,,14,Taylor Kohlwey strikes out swinging.,R,L,R,SD,TEX,S,,,0,1,2023,0.46,-0.23,1.06,1.28,,596142,663757,2,8,Bot,,,,,,,6.908683067730308,-122.95740547672284,-4.060130396337085,3.1228078100436343,26.514807069431857,-33.84840288987741,3.41,1.56,,,,84.6,2267,6.5,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.96,,,,,,,,70,2,Slider,7,0,7,0,0,7,7,0,Standard,Standard,49,0.0,-0.061,69.3,7.7,,0.061,,7,7,0.999,0.999,26,28,27,29,1,0,3,2,,,3.45,-0.46,0.46,
FF,2023-07-28,96.0,-2.5,5.78,"Howard, Spencer",670128,675921,,called_strike,,,,,5,Taylor Kohlwey strikes out swinging.,R,L,R,SD,TEX,S,,,0,0,2023,-0.9,1.34,-0.11,2.51,,596142,663757,2,8,Bot,,,,,,,8.450297657289862,-139.47599078487667,-6.074033621459797,-13.76601056199305,33.14447140200712,-13.48425628982016,3.29,1.6,,,,96.4,2199,6.7,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.76,,,,,,,,70,1,4-Seam Fastball,7,0,7,0,0,7,7,0,Standard,Standard,225,0.0,-0.04,,,,0.04,,7,7,0.999,0.999,26,28,27,29,1,0,3,2,,,1.15,0.9,-0.9,
FF,2023-07-28,96.2,-2.38,5.83,"Howard, Spencer",665487,675921,strikeout,swinging_strike,,,,,3,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,S,2,,3,2,2023,-0.64,1.3,0.45,3.75,,596142,663757,1,8,Bot,,,,,,,9.03371823453657,-139.84091379634458,-2.8434281508055883,-10.497715197617891,33.630513322305994,-14.70750053176182,3.74,1.78,,,,96.9,2225,6.9,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.63,,0.0,0.0,1,0,0,,69,6,4-Seam Fastball,7,0,7,0,0,7,7,0,Standard,Standard,221,0.0,-0.264,73.8,6.6,,0.264,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,1.18,0.64,0.64,
SL,2023-07-28,83.4,-2.3,6.02,"Howard, Spencer",665487,675921,,blocked_ball,,,,,14,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,B,,,2,2,2023,0.39,-0.15,1.16,0.75,,596142,663757,1,8,Bot,,,,,,,7.227379923171478,-121.30846447332642,-5.411685903835679,2.544495707889686,22.840481196495823,-32.82402991790573,3.75,1.83,,,,83.9,2451,6.6,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.93,,,,,,,,69,5,Slider,7,0,7,0,0,7,7,0,Standard,Standard,57,0.0,0.062,,,,-0.062,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,3.42,-0.39,-0.39,
SL,2023-07-28,86.3,-2.13,5.87,"Howard, Spencer",665487,675921,,ball,,,,,14,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,B,,,1,2,2023,0.25,0.22,1.42,1.92,,596142,663757,1,8,Bot,,,,,,,7.98812877405101,-125.50902640552935,-3.6508368640519455,1.1194014967899166,24.65373592469292,-29.3507764842185,3.66,1.78,,,,87.1,2299,6.7,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.75,,,,,,,,69,4,Slider,7,0,7,0,0,7,7,0,Standard,Standard,62,0.0,0.028,,,,-0.028,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,2.84,-0.25,-0.25,
FF,2023-07-28,95.9,-2.43,5.87,"Howard, Spencer",665487,675921,,called_strike,,,,,9,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,S,,,1,1,2023,-0.74,1.11,0.67,2.3,,596142,663757,1,8,Bot,,,,,,,9.93228745779195,-139.258087506357,-6.378703359039028,-11.922671782185398,31.245129658612285,-16.377479036074906,3.75,1.84,,,,96.6,2050,6.8,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.72,,,,,,,,69,3,4-Seam Fastball,7,0,7,0,0,7,7,0,Standard,Standard,218,0.0,-0.059,,,,0.059,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,1.37,0.74,0.74,
SL,2023-07-28,86.0,-2.1,6.1,"Howard, Spencer",665487,675921,,ball,,,,,14,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,B,,,0,1,2023,0.26,0.13,1.42,1.62,,596142,663757,1,8,Bot,,,,,,,7.835196148405688,-124.86191630522232,-4.543397305202836,0.840169997552224,28.971258203447057,-29.970328831608853,3.81,1.83,,,,85.7,2115,6.6,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.93,,,,,,,,69,2,Slider,7,0,7,0,0,7,7,0,Standard,Standard,84,0.0,0.031,,,,-0.031,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,3.0,-0.26,-0.26,
SL,2023-07-28,86.2,-2.25,6.04,"Howard, Spencer",665487,675921,,swinging_strike,,,,,6,Fernando Tatis Jr.  strikes out swinging.,R,R,R,SD,TEX,S,,,0,0,2023,0.34,0.23,0.6,2.44,,596142,663757,1,8,Bot,,,,,,,6.1066526341998255,-125.43713543679436,-2.824396877980731,2.338599557617106,25.32745377795332,-29.334613499774235,3.74,1.78,,,,86.6,2210,6.6,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.94,,,,,,,,69,1,Slider,7,0,7,0,0,7,7,0,Standard,Standard,97,0.0,-0.04,71.5,7.3,,0.04,,7,7,0.999,0.999,26,24,27,24,1,4,3,2,,1,2.83,-0.34,-0.34,
SL,2023-07-28,86.0,-2.22,6.02,"Howard, Spencer",676946,675921,field_out,hit_into_play,,,,,9,Matthew Batten flies out to center fielder Leody Taveras.,R,R,R,SD,TEX,X,8,fly_ball,2,2,2023,0.42,-0.06,0.75,1.78,,596142,663757,0,8,Bot,146.83,100.4,,,,,6.211575755149623,-125.03470827035484,-3.67672254064075,3.132624626778347,26.129628326002457,-32.19035694357297,3.26,1.56,253,79.2,41,86.4,2287,6.6,717224,669087,663993,543760,673962,677649,608671,665750,666969,53.85,0.06,0.066,0.0,1,0,0,3,68,5,Slider,7,0,7,0,0,7,7,0,Standard,Standard,82,-0.001,-0.177,71.0,7.8,0.099,0.177,88.0,7,7,1.0,1.0,26,28,27,28,1,0,3,3,,2,3.15,-0.42,-0.42,
