pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-07-05,86.3,-2.83,5.71,"Hudson, Daniel",669261,543339,strikeout,swinging_strike_blocked,,,,,14,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,S,2,,3,2,2023,0.55,0.25,1.15,0.6,656582,457705,668804,2,9,Top,,,,,,,8.35987611947038,-125.44648506753748,-6.5081445381478575,4.349760156073654,23.1024711265234,-28.50714315982644,3.42,1.58,,,,86.8,2455,6.5,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.03,,0.0,0.0,1,0,0,,78,6,Slider,6,4,4,6,4,6,4,6,Strategic,Standard,177,0.141,-0.279,,,,0.279,,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,2.8,-0.55,0.55,29.7
FF,2023-07-05,94.0,-2.98,5.72,"Hudson, Daniel",669261,543339,,ball,,,,,11,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,B,,,2,2,2023,-0.8,1.3,-0.09,4.21,656582,457705,668804,2,9,Top,,,,,,,9.240715501963775,-136.67789901832575,-1.0620566187091705,-12.073622275310449,30.687848074696515,-15.869822918935167,3.37,1.55,,,,93.6,2341,6.2,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.34,,,,,,,,78,5,4-Seam Fastball,6,4,4,6,4,6,4,6,Strategic,Standard,222,0.0,0.058,,,,-0.058,,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,1.29,0.8,-0.8,28.5
SL,2023-07-05,86.8,-2.88,5.67,"Hudson, Daniel",669261,543339,,blocked_ball,,,,,14,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,B,,,1,2,2023,0.01,0.34,0.02,0.06,656582,457705,668804,2,9,Top,,,,,,,6.930809913137437,-126.1201946583877,-7.944922614380659,-1.2545391562625654,25.21610494470684,-27.141483169440928,3.34,1.55,,,,87.0,2341,6.5,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.03,,,,,,,,78,4,Slider,6,4,4,6,4,6,4,6,Strategic,Standard,219,0.0,0.051,,,,-0.051,,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,2.69,-0.01,0.01,29.6
FF,2023-07-05,95.6,-3.02,5.53,"Hudson, Daniel",669261,543339,,foul,,,,,5,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,S,,,1,1,2023,-0.95,1.15,0.19,2.17,656582,457705,668804,2,9,Top,,,,,,,10.622173361173038,-138.7505755138654,-5.766404213436165,-14.801555911181609,33.49081780124113,-16.19897601715977,3.42,1.58,94,90.4,82,95.5,2395,6.6,717479,669257,518692,605141,571970,500743,444482,681546,676356,53.95,,,,,,,,78,3,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Strategic,227,0.0,-0.079,,,,0.079,90.4,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,1.38,0.95,-0.95,33.8
CH,2023-07-05,88.8,-2.8,5.57,"Hudson, Daniel",669261,543339,,ball,,,,,13,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,B,,,0,1,2023,-1.54,0.81,-1.07,0.98,656582,457705,668804,2,9,Top,,,,,,,7.56074937059623,-128.94622480880665,-6.894318219145573,-18.803138842710695,28.013674228960944,-21.880905067330275,3.47,1.68,,,,89.5,2352,6.9,717479,669257,518692,605141,571970,500743,444482,681546,676356,53.57,,,,,,,,78,2,Changeup,6,4,4,6,4,6,4,6,Standard,Strategic,244,0.0,0.034,,,,-0.034,,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,2.11,1.54,-1.54,31.7
SL,2023-07-05,89.8,-3.03,5.75,"Hudson, Daniel",669261,543339,,swinging_strike,,,,,8,Jack Suwinski strikes out swinging.,R,L,R,LAD,PIT,S,,,0,0,2023,0.14,0.71,-0.27,2.14,656582,457705,668804,2,9,Top,,,,,,,6.536972965394789,-130.6707099434404,-4.481487195273372,0.2168468442198595,27.789051598324036,-23.26186950272007,3.42,1.58,,,,90.0,2346,6.4,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.06,,,,,,,,78,1,Slider,6,4,4,6,4,6,4,6,Standard,Strategic,211,0.0,-0.047,,,,0.047,,2,-2,0.859,0.141,36,24,36,25,1,4,2,1,,1,2.12,-0.14,0.14,29.6
FF,2023-07-05,95.1,-3.08,5.56,"Hudson, Daniel",467793,543339,field_out,hit_into_play,,,,,4,Carlos Santana flies out to left fielder David Peralta.,R,L,R,LAD,PIT,X,7,fly_ball,0,0,2023,-0.84,1.32,-0.8,2.38,656582,457705,668804,1,9,Top,94.98,102.41,,,,,7.9148420532298545,-138.20685547168057,-5.6435525714433785,-12.564914583290683,32.454666957068646,-14.181053097063865,3.38,1.56,254,93.6,53,95.4,2502,6.7,717479,669257,518692,605141,571970,500743,444482,681546,676356,53.82,0.009,0.009,0.0,1,0,0,3,77,1,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Strategic,226,0.133,-0.161,,,0.015,0.161,93.6,2,-2,0.726,0.274,36,37,36,37,1,4,2,1,,1,1.22,0.84,-0.84,25.0
SL,2023-07-05,87.8,-2.98,5.68,"Hudson, Daniel",680779,543339,strikeout,called_strike,,,,,8,Henry Davis called out on strikes.,R,R,R,LAD,PIT,S,2,,2,2,2023,0.05,0.36,0.24,1.58,656582,457705,668804,0,9,Top,,,,,,,7.69572687340398,-127.6616284881808,-4.604315755995831,-0.9285555411713334,24.62536081728304,-27.514841169045443,3.29,1.57,,,,88.3,2388,6.5,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.03,,0.0,0.0,1,0,0,,76,5,Slider,6,4,4,6,4,6,4,6,Standard,Standard,176,0.149,-0.234,,,,0.234,,2,-2,0.577,0.423,36,23,36,24,1,4,2,1,,1,2.59,-0.05,-0.05,30.6
FF,2023-07-05,95.3,-3.02,5.6,"Hudson, Daniel",680779,543339,,foul,,,,,12,Henry Davis called out on strikes.,R,R,R,LAD,PIT,S,,,2,1,2023,-0.99,1.26,0.88,2.77,656582,457705,668804,0,9,Top,,,,,,,12.532933603030012,-138.27703969878732,-4.655605841865005,-15.44710949775996,29.473966045423175,-15.042311231769672,3.19,1.62,241,77.7,29,95.8,2399,6.6,717479,669257,518692,605141,571970,500743,444482,681546,676356,53.88,,,,,,,,76,4,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,223,0.0,-0.055,,,,0.055,88.0,2,-2,0.577,0.423,36,23,36,24,1,4,2,1,,1,1.25,0.99,0.99,28.3
FF,2023-07-05,94.7,-3.07,5.54,"Hudson, Daniel",680779,543339,,foul,,,,,3,Henry Davis called out on strikes.,R,R,R,LAD,PIT,S,,,2,0,2023,-0.73,1.38,0.31,3.14,656582,457705,668804,0,9,Top,,,,,,,10.546000129930688,-137.5422883017643,-3.695866721732216,-11.561744212644795,29.35076763580143,-13.987903395115856,3.19,1.62,252,76.9,33,95.6,2429,6.8,717479,669257,518692,605141,571970,500743,444482,681546,676356,53.68,,,,,,,,76,3,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,219,0.0,-0.076,,,,0.076,88.0,2,-2,0.577,0.423,36,23,36,24,1,4,2,1,,1,1.16,0.73,0.73,35.6
FF,2023-07-05,95.2,-2.9,5.66,"Hudson, Daniel",680779,543339,,ball,,,,,14,Henry Davis called out on strikes.,R,R,R,LAD,PIT,B,,,1,0,2023,-0.77,1.38,1.41,2.39,656582,457705,668804,0,9,Top,,,,,,,13.042848913094865,-137.95514226942774,-6.03783944636124,-12.68012540890128,29.437414562036793,-13.272651965537888,3.29,1.64,,,,95.2,2467,6.4,717479,669257,518692,605141,571970,500743,444482,681546,676356,54.06,,,,,,,,76,2,4-Seam Fastball,6,4,4,6,4,6,4,6,Standard,Standard,214,0.0,0.076,,,,-0.076,,2,-2,0.577,0.423,36,23,36,24,1,4,2,1,,1,1.15,0.77,0.77,30.6
