pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-06-11,93.5,2.28,5.65,"Hughes, Brandon",573262,676714,field_out,hit_into_play,,,,,1,Mike Yastrzemski flies out to left fielder Ian Happ.,R,L,L,SF,CHC,X,7,fly_ball,2,0,2023,0.86,1.4,-0.29,3.04,,,624424,1,5,Bot,87.43,117.5,,,,,-8.545181271299317,-135.8241634902072,-4.070847313655246,12.509314535950072,30.494995248018835,-14.102572117149617,3.42,1.63,227,87.2,54,93.7,2235,6.6,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.92,0.014,0.016,0.0,1,0,0,3,48,3,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,139,-0.004,-0.347,,,0.021,0.347,88.0,5,5,0.965,0.965,27,32,28,33,1,2,5,1,,2,1.22,0.86,0.86,29.4
SL,2023-06-11,81.6,2.37,5.42,"Hughes, Brandon",573262,676714,,ball,,,,,13,Mike Yastrzemski flies out to left fielder Ian Happ.,R,L,L,SF,CHC,B,,,1,0,2023,-0.4,0.17,-1.47,1.8,,,624424,1,5,Bot,,,,,,,-7.910024077985052,-118.49312742139792,-1.782109231368866,-1.9683825638980728,25.90942704040085,-30.41402322496508,3.54,1.74,,,,81.5,2314,6.7,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.81,,,,,,,,48,2,Slider,7,2,7,2,2,7,7,2,Standard,Standard,259,0.0,0.054,,,,-0.054,,5,5,0.965,0.965,27,32,28,33,1,2,5,1,,2,3.31,-0.4,-0.4,25.6
SL,2023-06-11,81.8,2.54,5.47,"Hughes, Brandon",573262,676714,,ball,,,,,13,Mike Yastrzemski flies out to left fielder Ian Happ.,R,L,L,SF,CHC,B,,,0,0,2023,-0.22,0.34,-0.27,1.25,,,624424,1,5,Bot,,,,,,,-6.00181524640921,-119.00795801779137,-3.666274445619939,-0.9644397341807855,21.863864394326555,-28.41844469750158,3.45,1.65,,,,83.0,2349,7.0,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.48,,,,,,,,48,1,Slider,7,2,7,2,2,7,7,2,Standard,Standard,252,0.0,0.036,,,,-0.036,,5,5,0.965,0.965,27,32,28,33,1,2,5,1,,2,3.05,-0.22,-0.22,26.6
SL,2023-06-11,82.7,2.49,5.46,"Hughes, Brandon",527038,676714,field_out,hit_into_play,,,,,7,Wilmer Flores flies out to left fielder Ian Happ.,R,R,L,SF,CHC,X,7,fly_ball,1,1,2023,-0.16,0.48,-0.32,1.58,,,624424,0,5,Bot,37.57,91.39,,,,,-6.191287640418492,-120.35573818865493,-3.371152919117451,-0.4465165872545279,21.67120671156707,-27.06156497283527,3.09,1.47,342,94.8,33,84.2,2340,7.1,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.37,0.123,0.191,0.0,1,0,0,3,47,3,Slider,7,2,7,2,2,7,7,2,Standard,Standard,264,-0.004,-0.229,,,0.359,0.229,94.8,5,5,0.969,0.969,27,31,28,32,1,2,5,2,,1,2.83,-0.16,0.16,30.2
SL,2023-06-11,82.0,2.48,5.53,"Hughes, Brandon",527038,676714,,ball,,,,,12,Wilmer Flores flies out to left fielder Ian Happ.,R,R,L,SF,CHC,B,,,0,1,2023,-0.16,0.62,1.22,3.22,,,624424,0,5,Bot,,,,,,,-2.5271168468244416,-119.49103846253551,0.0484862758372607,-1.1116553091733798,20.346694166817,-26.406583744894665,3.15,1.46,,,,82.4,2275,6.2,717796,543228,670223,663538,663611,621020,664023,643565,666624,54.27,,,,,,,,47,2,Slider,7,2,7,2,2,7,7,2,Standard,Standard,281,0.0,0.024,,,,-0.024,,5,5,0.969,0.969,27,31,28,32,1,2,5,2,,1,2.73,-0.16,0.16,29.7
FF,2023-06-11,93.8,2.39,5.68,"Hughes, Brandon",527038,676714,,called_strike,,,,,5,Wilmer Flores flies out to left fielder Ian Happ.,R,R,L,SF,CHC,S,,,0,0,2023,1.15,1.06,0.1,2.33,,,624424,0,5,Bot,,,,,,,-8.53684285663219,-136.34356307673673,-5.358220790367011,16.19097735224979,26.987373686027546,-17.909259735441097,3.3,1.53,,,,94.9,2184,6.8,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.72,,,,,,,,47,1,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,134,0.0,-0.036,,,,0.036,,5,5,0.969,0.969,27,31,28,32,1,2,5,2,,1,1.51,1.15,-1.15,28.3
SI,2023-06-11,94.4,2.34,5.68,"Hughes, Brandon",624424,676714,single,hit_into_play,,,,,9,Michael Conforto singles on a sharp line drive to center fielder Mike Tauchman.   Joc Pederson scores.    J.D. Davis scores.,R,L,L,SF,CHC,X,8,line_drive,1,0,2023,1.38,0.78,0.63,1.82,592626,605204,,0,5,Bot,136.25,85.83,,,,,-7.483553269632847,-137.27543886263257,-6.132715419935251,19.00978269606528,26.453046513421135,-21.22069191198074,3.09,1.47,173,101.4,11,94.8,2273,6.2,717796,543228,670223,663538,663611,621020,664023,643565,666624,54.25,0.923,0.91,0.9,1,1,0,4,46,2,Sinker,5,2,5,2,2,7,7,2,Strategic,Standard,139,0.025,0.488,,,1.173,-0.488,101.4,3,3,0.944,0.944,27,30,28,30,1,2,5,1,,1,1.76,1.38,1.38,29.1
SI,2023-06-11,94.3,2.21,5.7,"Hughes, Brandon",624424,676714,,ball,,,,,13,Michael Conforto singles on a sharp line drive to center fielder Mike Tauchman.   Joc Pederson scores.    J.D. Davis scores.,R,L,L,SF,CHC,B,,,0,0,2023,1.45,0.9,-1.37,0.85,592626,605204,,0,5,Bot,,,,,,,-12.532930752688284,-136.67885240045595,-8.959601136627137,20.704053940200694,26.31618336360582,-19.11640531071339,3.27,1.62,,,,94.9,2270,6.6,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.92,,,,,,,,46,1,Sinker,5,2,5,2,2,5,5,2,Strategic,Standard,139,0.0,0.032,,,,-0.032,,3,3,0.944,0.944,27,30,28,30,1,2,5,1,,1,1.66,1.45,1.45,32.2
FF,2023-06-11,94.3,2.14,5.67,"Hughes, Brandon",605204,676714,double,hit_into_play,,,,,7,J.D. Davis doubles (11) on a line drive to left fielder Ian Happ.   Joc Pederson to 3rd.,R,R,L,SF,CHC,X,7,line_drive,0,0,2023,1.04,1.21,-0.65,1.89,,,592626,0,5,Bot,42.45,126.73,,,,,-9.64705022711951,-136.8547858339402,-6.863225008606959,15.104923245366704,29.062017909328397,-15.632093892568545,3.38,1.61,126,98.1,9,95.4,2263,7.0,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.52,0.691,0.645,1.25,1,1,1,4,45,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,136,0.039,0.72,,,0.783,-0.72,98.1,3,3,0.905,0.905,27,30,28,30,1,2,5,1,,1,1.36,1.04,-1.04,27.2
SL,2023-06-11,84.0,2.36,5.44,"Hughes, Brandon",592626,676714,single,hit_into_play,,,,,7,Joc Pederson singles on a line drive to right fielder Christopher Morel.,R,L,L,SF,CHC,X,9,line_drive,2,2,2023,-0.12,0.47,-0.48,2.18,,,,0,5,Bot,143.72,109.85,,,,,-6.433365525009965,-122.2632868814692,-2.179143708865706,-0.0988116589990898,21.136965289932483,-27.204039895609217,3.44,1.74,158,75.0,13,85.5,2182,7.0,717796,543228,670223,663538,663611,621020,664023,643565,666624,53.51,0.449,0.404,0.9,1,1,0,4,44,5,Slider,5,2,5,2,2,5,5,2,Infield shade,Strategic,177,0.013,0.459,,,0.463,-0.459,88.0,3,3,0.892,0.892,27,31,28,31,1,2,5,1,,2,2.73,-0.12,-0.12,25.1
