pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-09,91.7,3.38,4.54,"Jacques, Joe",543510,682175,strikeout,called_strike,,,,,4,James McCann called out on strikes.,R,R,L,BOS,BAL,S,2,,1,2,2023,1.46,0.55,-0.44,2.37,683002,,602104,2,9,Top,,,,,,,-12.783348273738133,-132.86261680368509,-0.7522855434406388,20.078476709983313,28.6636194520362,-25.72238478817608,3.12,1.25,,,,91.4,2039,6.4,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.11,,0.0,0.0,1,0,0,,89,4,4-Seam Fastball,9,13,13,9,13,9,13,9,Standard,Standard,98,0.003,-0.218,,,,0.218,,-4,4,0.013,0.987,28,33,28,33,1,4,1,3,,3,2.19,1.46,-1.46,12.2
ST,2023-09-09,77.3,3.39,4.27,"Jacques, Joe",543510,682175,,ball,,,,,14,James McCann called out on strikes.,R,R,L,BOS,BAL,B,,,0,2,2023,-1.0,-0.22,0.52,0.95,683002,,602104,2,9,Top,,,,,,,-4.294327822992649,-112.5923927679784,0.2541698840061468,-7.714404046763565,20.707551873802288,-34.28448712744916,3.06,1.34,,,,77.0,1942,6.1,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.44,,,,,,,,89,3,Sweeper,9,13,13,9,13,9,13,9,Standard,Strategic,294,0.0,0.02,,,,-0.02,,-4,4,0.013,0.987,28,33,28,33,1,4,1,3,,3,4.03,-1.0,1.0,8.6
ST,2023-09-09,76.9,3.43,4.17,"Jacques, Joe",543510,682175,,called_strike,,,,,6,James McCann called out on strikes.,R,R,L,BOS,BAL,S,,,0,1,2023,-1.01,0.03,0.61,1.93,683002,,602104,2,9,Top,,,,,,,-4.177119865757959,-111.97252055239464,2.184811515143929,-7.7708538049566656,19.966901413518464,-32.54469645935676,3.21,1.28,,,,77.4,1942,6.6,716664,657136,671213,665839,646240,596115,807799,677800,657077,53.92,,,,,,,,89,2,Sweeper,9,13,13,9,13,9,13,9,Standard,Standard,293,0.0,-0.054,,,,0.054,,-4,4,0.013,0.987,28,33,28,33,1,4,1,3,,3,3.82,-1.01,1.01,7.9
ST,2023-09-09,76.2,3.42,4.24,"Jacques, Joe",543510,682175,,called_strike,,,,,3,James McCann called out on strikes.,R,R,L,BOS,BAL,S,,,0,0,2023,-0.89,0.05,0.73,2.89,683002,,602104,2,9,Top,,,,,,,-4.0327641808648345,-110.8256255512159,4.087434718635502,-6.712270430853496,18.868683751185053,-32.66839498069444,3.27,1.31,,,,76.2,1902,6.2,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.25,,,,,,,,89,1,Sweeper,9,13,13,9,13,9,13,9,Standard,Standard,291,0.0,-0.052,,,,0.052,,-4,4,0.013,0.987,28,33,28,33,1,4,1,3,,3,3.86,-0.89,0.89,7.9
SI,2023-09-09,90.6,3.24,4.5,"Jacques, Joe",602104,682175,single,hit_into_play,,,,,9,Ramon Urias singles on a ground ball to right fielder Alex Verdugo.   Austin Hays scores.    Gunnar Henderson to 3rd.,R,R,L,BOS,BAL,X,9,ground_ball,2,0,2023,1.54,0.02,0.48,1.67,669720,,683002,2,9,Top,164.77,95.04,,,,,-10.184012274612996,-131.46633128234714,-1.110166519300515,20.09536120517219,29.971294111053695,-31.870593326806414,3.1,1.48,74,99.5,2,90.3,2024,6.4,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.09,0.454,0.418,0.9,1,1,0,4,88,3,Sinker,9,12,12,9,13,9,13,9,Standard,Standard,92,-0.018,0.51,74.0,7.6,0.504,-0.51,99.5,-3,3,0.031,0.969,28,29,28,29,1,0,1,1,,1,2.79,1.54,-1.54,9.9
SI,2023-09-09,90.2,3.4,4.41,"Jacques, Joe",602104,682175,,ball,,,,,14,Ramon Urias singles on a ground ball to right fielder Alex Verdugo.   Austin Hays scores.    Gunnar Henderson to 3rd.,R,R,L,BOS,BAL,B,,,1,0,2023,1.39,-0.31,1.14,1.6,669720,,683002,2,9,Top,,,,,,,-8.56295160489355,-131.04520097211244,-0.2978478261446604,17.814996736850635,29.35851600020815,-35.9159486700579,2.98,1.39,,,,90.1,1942,6.4,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.07,,,,,,,,88,2,Sinker,9,12,12,9,12,9,12,9,Standard,Standard,87,0.0,0.042,,,,-0.042,,-3,3,0.031,0.969,28,29,28,29,1,0,1,1,,1,3.14,1.39,-1.39,9.8
ST,2023-09-09,76.1,3.46,4.26,"Jacques, Joe",602104,682175,,ball,,,,,12,Ramon Urias singles on a ground ball to right fielder Alex Verdugo.   Austin Hays scores.    Gunnar Henderson to 3rd.,R,R,L,BOS,BAL,B,,,0,0,2023,-1.23,0.22,1.18,2.35,669720,,683002,2,9,Top,,,,,,,-2.5426714011740645,-110.75414837448548,2.649163840651118,-9.683123225231098,20.08993623226036,-31.049614944199107,2.95,1.33,,,,75.7,1783,6.1,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.44,,,,,,,,88,1,Sweeper,9,12,12,9,12,9,12,9,Standard,Standard,290,0.0,0.042,,,,-0.042,,-3,3,0.031,0.969,28,29,28,29,1,0,1,1,,1,3.72,-1.23,1.23,8.4
SI,2023-09-09,90.3,3.41,4.45,"Jacques, Joe",683002,682175,force_out,hit_into_play,,,,,8,"Gunnar Henderson grounds into a force out, second baseman Enmanuel Valdez to shortstop Trevor Story.   Austin Hays to 3rd.    Aaron Hicks out at 2nd.    Gunnar Henderson to 1st.",R,L,L,BOS,BAL,X,4,ground_ball,2,2,2023,1.39,-0.26,0.26,1.64,,669720,543305,1,9,Top,136.94,161.33,,,,,-10.763886811000283,-131.1366216131057,-0.4597135035543276,18.338679200050407,27.894576784418724,-35.288989536709316,3.69,1.73,,,,90.0,2044,6.2,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.26,,,0.0,,0,0,,87,5,Sinker,9,12,12,9,12,9,12,9,Infield shade,Strategic,91,0.005,-0.284,74.2,7.0,,0.284,,-3,3,0.026,0.974,28,22,28,22,1,4,1,1,,1,3.07,1.39,1.39,11.1
ST,2023-09-09,78.7,3.38,4.14,"Jacques, Joe",683002,682175,,ball,,,,,13,"Gunnar Henderson grounds into a force out, second baseman Enmanuel Valdez to shortstop Trevor Story.   Austin Hays to 3rd.    Aaron Hicks out at 2nd.    Gunnar Henderson to 1st.",R,L,L,BOS,BAL,B,,,1,2,2023,-1.41,-0.04,-3.15,1.74,,669720,543305,1,9,Top,,,,,,,-11.47219730080196,-114.11107967143244,1.755825690125092,-10.035121565799663,21.960364787228844,-33.12775248311951,3.6,1.55,,,,78.0,1942,6.1,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.42,,,,,,,,87,4,Sweeper,9,12,12,9,12,9,12,9,Infield shade,Strategic,305,0.0,0.028,,,,-0.028,,-3,3,0.026,0.974,28,22,28,22,1,4,1,1,,1,3.76,-1.41,-1.41,6.0
ST,2023-09-09,76.4,3.49,4.22,"Jacques, Joe",683002,682175,,foul,,,,,9,"Gunnar Henderson grounds into a force out, second baseman Enmanuel Valdez to shortstop Trevor Story.   Austin Hays to 3rd.    Aaron Hicks out at 2nd.    Gunnar Henderson to 1st.",R,L,L,BOS,BAL,S,,,1,1,2023,-1.33,0.09,0.66,2.1,,669720,543305,1,9,Top,,,,,,,-3.5255656915370635,-111.19019396253736,2.4083144636366787,-10.343480114469632,21.021888886814523,-32.15272600995506,3.69,1.73,3,87.2,-32,75.6,1798,5.8,716664,657136,671213,665839,646240,596115,807799,677800,657077,54.66,,,,,,,,87,3,Sweeper,9,12,12,9,12,9,12,9,Standard,Standard,284,0.0,-0.059,83.1,7.9,,0.059,88.0,-3,3,0.026,0.974,28,22,28,22,1,4,1,1,,1,3.84,-1.33,-1.33,5.5
