pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-09-23,87.5,-2.03,5.7,"Junis, Jakob",518792,596001,strikeout,swinging_strike_blocked,,,,,14,Jason Heyward strikes out swinging.,R,L,R,LAD,SF,S,2,,1,2,2023,0.84,0.38,1.79,0.72,,,,2,4,Bot,,,,,,,7.466384616076623,-127.1064777176678,-6.606541544856453,7.429779026969287,27.508019501992543,-26.788221514272916,3.55,1.7,,,,86.9,2532,6.1,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.35,,0.0,0.0,1,0,0,,31,4,Slider,3,0,3,0,0,3,3,0,Infield shade,Strategic,48,-0.005,-0.191,64.3,9.1,,0.191,,3,3,0.851,0.851,30,33,31,34,1,1,7,1,,1,2.62,-0.84,0.84,32.0
SL,2023-09-23,84.8,-2.28,5.74,"Junis, Jakob",518792,596001,,foul,,,,,9,Jason Heyward strikes out swinging.,R,L,R,LAD,SF,S,,,1,1,2023,1.21,-0.06,0.42,1.83,,,,2,4,Bot,,,,,,,3.8867183632141535,-123.49018978018164,-2.6806214308995253,11.520762245423096,25.19097423779696,-32.41863361224259,3.55,1.7,11,102.5,-9,84.2,2551,5.9,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.57,,,,,,,,31,3,Slider,3,0,3,0,0,3,3,0,Infield shade,Strategic,56,0.0,-0.069,79.6,8.8,,0.069,102.5,3,3,0.851,0.851,30,33,31,34,1,1,7,1,,1,3.23,-1.21,1.21,30.5
SL,2023-09-23,84.3,-2.31,5.74,"Junis, Jakob",518792,596001,,ball,,,,,14,Jason Heyward strikes out swinging.,R,L,R,LAD,SF,B,,,0,1,2023,1.41,0.09,0.2,1.18,,,,2,4,Bot,,,,,,,3.002662262037235,-122.77418848963116,-4.352140491649815,13.630150988794409,25.36068901748295,-30.588702957993725,3.55,1.7,,,,83.3,2556,5.7,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.82,,,,,,,,31,2,Slider,3,0,3,0,0,3,3,0,Infield shade,Strategic,56,0.0,0.031,,,,-0.031,,3,3,0.851,0.851,30,33,31,34,1,1,7,1,,1,3.12,-1.41,1.41,29.2
CH,2023-09-23,88.4,-2.11,5.75,"Junis, Jakob",518792,596001,,called_strike,,,,,13,Jason Heyward strikes out swinging.,R,L,R,LAD,SF,S,,,0,0,2023,-1.24,-0.07,-0.87,1.68,,,,2,4,Bot,,,,,,,5.5903434269896835,-128.6182166401537,-3.687572953145892,-14.95962652238788,26.69701046671275,-32.3738281908598,3.48,1.65,,,,88.2,1271,6.2,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.35,,,,,,,,31,1,Changeup,3,0,3,0,0,3,3,0,Infield shade,Strategic,238,0.0,-0.045,,,,0.045,,3,3,0.851,0.851,30,33,31,34,1,1,7,1,,1,2.99,1.24,-1.24,28.6
SL,2023-09-23,85.9,-2.23,5.77,"Junis, Jakob",444482,596001,field_out,hit_into_play,,,,,9,David Peralta flies out to right fielder Luis Matos.,R,L,R,LAD,SF,X,9,fly_ball,1,2,2023,1.11,0.28,0.34,2.23,,,,1,4,Bot,190.39,91.94,,,,,3.8235571251628104,-125.0376033436313,-2.690476866555529,10.848314716227163,25.80541312737115,-28.886715565027355,3.51,1.71,309,83.5,34,85.4,2574,6.0,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.52,0.023,0.028,0.0,1,0,0,3,30,4,Slider,3,0,3,0,0,3,3,0,Strategic,Standard,50,-0.007,-0.189,74.5,7.6,0.043,0.189,88.0,3,3,0.858,0.858,30,35,31,36,1,1,7,1,,1,2.81,-1.11,1.11,34.3
CH,2023-09-23,88.4,-2.16,5.81,"Junis, Jakob",444482,596001,,ball,,,,,13,David Peralta flies out to right fielder Luis Matos.,R,L,R,LAD,SF,B,,,0,2,2023,-1.14,0.13,-1.7,0.82,,,,1,4,Bot,,,,,,,3.4558127072808005,-128.6923925940133,-6.323605535610873,-13.33936213204336,26.838146375220017,-29.602615430571827,3.51,1.69,,,,87.8,1304,5.9,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.62,,,,,,,,30,3,Changeup,3,0,3,0,0,3,3,0,Standard,Standard,230,0.0,0.019,,,,-0.019,,3,3,0.858,0.858,30,35,31,36,1,1,7,1,,1,2.78,1.14,-1.14,30.2
SL,2023-09-23,85.7,-2.2,5.8,"Junis, Jakob",444482,596001,,foul,,,,,9,David Peralta flies out to right fielder Luis Matos.,R,L,R,LAD,SF,S,,,0,1,2023,0.92,0.04,0.81,1.68,,,,1,4,Bot,,,,,,,5.213824411474182,-124.77308380690056,-3.548334490040248,8.676128094835134,24.08150718803524,-31.24956883319336,3.51,1.71,3,76.3,-26,85.3,2547,5.9,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.61,,,,,,,,30,2,Slider,3,0,3,0,0,3,3,0,Standard,Standard,57,0.0,-0.057,68.3,8.5,,0.057,88.0,3,3,0.858,0.858,30,35,31,36,1,1,7,1,,1,3.05,-0.92,0.92,31.5
SL,2023-09-23,84.1,-2.1,5.9,"Junis, Jakob",444482,596001,,foul,,,,,4,David Peralta flies out to right fielder Luis Matos.,R,L,R,LAD,SF,S,,,0,0,2023,1.01,0.18,-0.5,2.75,,,,1,4,Bot,,,,,,,1.7082134065730634,-122.62045585274524,-1.3289651070370874,9.87008796562927,23.105381472644805,-30.33505140617134,3.51,1.71,108,68.0,11,83.5,2428,5.7,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.8,,,,,,,,30,1,Slider,3,0,3,0,0,3,3,0,Standard,Standard,52,0.0,-0.041,72.2,7.0,,0.041,88.0,3,3,0.858,0.858,30,35,31,36,1,1,7,1,,1,3.02,-1.01,1.01,31.4
SL,2023-09-23,83.5,-2.18,5.81,"Junis, Jakob",500743,596001,field_out,hit_into_play,,,,,9,Miguel Rojas flies out to right fielder Luis Matos.,R,R,R,LAD,SF,X,9,fly_ball,3,2,2023,1.16,0.08,0.43,1.87,,,,0,4,Bot,163.66,83.73,,,,,3.71189354480832,-121.647846531623,-2.816645017749805,10.84106801763612,22.84378819801802,-31.07630789673842,3.2,1.55,301,87.0,27,83.2,2479,6.0,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.55,0.097,0.135,0.0,1,0,0,3,29,6,Slider,3,0,3,0,0,3,3,0,Standard,Standard,49,-0.01,-0.353,68.6,6.9,0.208,0.353,88.0,3,3,0.868,0.868,30,34,31,34,1,1,7,1,,1,3.17,-1.16,-1.16,31.9
SI,2023-09-23,94.3,-2.09,5.72,"Junis, Jakob",500743,596001,,ball,,,,,11,Miguel Rojas flies out to right fielder Luis Matos.,R,R,R,LAD,SF,B,,,2,2,2023,-1.3,0.55,-2.48,2.68,,,,0,4,Bot,,,,,,,1.8500066133799824,-137.39979966778978,-3.4143828614888463,-16.85163715091379,29.98208377687099,-24.70124906317016,3.15,1.6,,,,93.9,2116,5.9,716456,672275,527038,642731,605204,682617,596103,666149,682641,54.56,,,,,,,,29,5,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,210,0.0,0.115,,,,-0.115,,3,3,0.868,0.868,30,34,31,34,1,1,7,1,,1,2.01,1.3,1.3,29.7
