pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-09-17,80.0,1.4,5.24,"Justice, Evan",664774,687145,sac_bunt,hit_into_play,,,,,1,"LaMonte Wade Jr.  out on a sacrifice bunt, first baseman Elehuris Montero to second baseman Brendan Rodgers.   Austin Slater to 3rd.    J.D. Davis to 2nd.",R,L,L,COL,SF,X,3,ground_ball,1,1,2023,-0.01,-0.16,-0.32,2.97,,596103,605204,0,7,Top,127.86,198.91,,,,,-3.780147551954679,-116.50638474775832,1.9435732753869597,0.6060546778685353,20.448034559570512,-34.16710636254217,3.27,1.56,1,30.9,-65,80.0,2255,6.1,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.4,0.266,,0.2,0,0,0,1,61,3,Slider,5,9,9,5,9,5,9,5,Strategic,Standard,327,-0.001,0.009,8.9,1.1,0.271,-0.009,88.0,-4,4,0.036,0.964,24,29,25,29,1,3,1,1,,2,3.69,-0.01,-0.01,33.1
FF,2023-09-17,93.4,1.26,5.29,"Justice, Evan",664774,687145,,foul_bunt,,,,,12,"LaMonte Wade Jr.  out on a sacrifice bunt, first baseman Elehuris Montero to second baseman Brendan Rodgers.   Austin Slater to 3rd.    J.D. Davis to 2nd.",R,L,L,COL,SF,S,,,1,0,2023,0.16,0.89,0.04,3.73,,596103,605204,0,7,Top,,,,,,,-3.4851153173534057,-136.13397192808884,-0.3362059007144554,2.6632312988238147,24.503813813928407,-21.043965973932263,3.27,1.56,30,,,93.8,2291,6.1,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.44,,,,,,,,61,2,4-Seam Fastball,5,9,9,5,9,5,9,5,Strategic,Standard,148,0.0,-0.055,5.6,0.9,,0.055,88.0,-4,4,0.036,0.964,24,29,25,29,1,3,1,1,,2,1.67,0.16,0.16,31.3
FF,2023-09-17,93.7,1.35,5.3,"Justice, Evan",664774,687145,,ball,,,,,11,"LaMonte Wade Jr.  out on a sacrifice bunt, first baseman Elehuris Montero to second baseman Brendan Rodgers.   Austin Slater to 3rd.    J.D. Davis to 2nd.",R,L,L,COL,SF,B,,,0,0,2023,0.22,0.96,-0.65,3.66,,596103,605204,0,7,Top,,,,,,,-5.663264437251545,-136.55067727895394,-0.7333766778819826,3.8313139275414474,23.478569260029943,-20.065105907463856,2.65,1.4,,,,94.5,2334,6.2,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.3,,,,,,,,61,1,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,147,0.0,0.042,,,,-0.042,,-4,4,0.036,0.964,24,29,25,29,1,3,1,1,,2,1.59,0.22,0.22,32.8
FF,2023-09-17,94.2,1.39,5.26,"Justice, Evan",605204,687145,walk,ball,,,,,11,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,B,,,3,2,2023,0.04,0.97,-1.62,3.05,,,596103,0,7,Top,,,,,,,-7.941791413511472,-137.25989906889646,-2.307725929527724,1.9632028171305764,24.21457751870797,-19.41093068965718,3.35,1.59,,,,95.2,2225,6.3,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.17,,0.695903,0.7,1,0,0,,60,6,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,142,-0.01,0.311,,,,-0.311,,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,1.55,0.04,-0.04,31.9
FF,2023-09-17,92.1,1.62,5.23,"Justice, Evan",605204,687145,,ball,,,,,12,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,B,,,2,2,2023,0.4,0.98,1.34,3.35,,,596103,0,7,Top,,,,,,,-1.58860135970256,-134.34582422885325,-1.20640825273117,5.19270061032814,23.3022314015014,-20.041892742724073,3.29,1.57,,,,93.3,2217,6.4,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.05,,,,,,,,60,5,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,142,0.0,0.088,,,,-0.088,,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,1.65,0.4,-0.4,30.7
FF,2023-09-17,93.0,1.43,5.36,"Justice, Evan",605204,687145,,ball,,,,,12,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,B,,,1,2,2023,0.56,1.07,0.69,3.8,,,596103,0,7,Top,,,,,,,-3.13932092680205,-135.6020017635871,-0.6884776859190374,7.625978971968824,24.654693363644,-18.81583647312398,3.24,1.52,,,,93.8,2343,6.3,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.21,,,,,,,,60,4,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,141,0.0,0.045,,,,-0.045,,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,1.52,0.56,-0.56,34.8
SL,2023-09-17,79.5,1.54,5.11,"Justice, Evan",605204,687145,,foul,,,,,6,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,S,,,1,1,2023,-0.02,-0.21,0.47,2.71,,,596103,0,7,Top,,,,,,,-2.304964675503571,-115.96937438606346,1.7398159406615616,0.1795360171165743,17.147231150935223,-34.51688323251214,3.36,1.58,238,76.6,46,80.3,2083,6.3,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.24,,,,,,,,60,3,Slider,5,9,9,5,9,5,9,5,Standard,Standard,333,0.0,-0.059,66.3,7.1,,0.059,88.0,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,3.74,-0.02,0.02,31.3
FF,2023-09-17,92.6,1.49,5.2,"Justice, Evan",605204,687145,,foul_tip,,,,,2,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,S,,,1,0,2023,0.21,0.96,0.03,2.85,,,596103,0,7,Top,,,,,,,-4.201578966654748,-135.0224377867349,-2.4400428720319933,3.3844381552751917,23.751162242622385,-19.984246852556097,3.36,1.58,,,,93.6,2179,6.3,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.16,,,,,,,,60,2,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,144,0.0,-0.042,67.6,6.0,,0.042,,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,1.65,0.21,-0.21,29.9
FF,2023-09-17,93.1,1.52,5.26,"Justice, Evan",605204,687145,,ball,,,,,11,J.D. Davis walks.   Austin Slater to 2nd.,R,R,L,COL,SF,B,,,0,0,2023,0.47,1.03,-0.4,3.89,,,596103,0,7,Top,,,,,,,-5.973393702621848,-135.58455701418077,-0.0897772916705497,7.003904702639017,25.334877092395107,-19.51161534681923,3.19,1.5,,,,93.9,2381,6.4,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.13,,,,,,,,60,1,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,141,0.0,0.03,,,,-0.03,,-4,4,0.046,0.954,24,30,25,30,1,3,1,1,,2,1.57,0.47,-0.47,30.1
FF,2023-09-17,92.7,1.57,5.23,"Justice, Evan",596103,687145,single,hit_into_play,,,,,1,Austin Slater singles on a line drive to right fielder Hunter Goodman.,R,R,L,COL,SF,X,9,line_drive,0,0,2023,0.2,0.74,-0.3,3.08,,,,0,7,Top,175.08,117.47,,,,,-5.237166418258727,-135.0844015486925,-1.427231363617118,3.4356724426154237,23.153752660962237,-22.921395474950256,3.44,1.68,153,94.1,9,93.7,2257,6.3,716540,642851,660707,663898,676701,678662,666134,686668,696100,54.2,0.66,0.622,0.9,1,1,0,4,59,1,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,134,-0.007,0.432,59.7,5.7,0.754,-0.432,94.1,-4,4,0.053,0.947,24,30,25,31,1,0,1,1,,3,1.86,0.2,-0.2,30.0
