pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2023-09-23,83.0,-1.25,6.03,"Kelly, Michael",656775,547184,field_out,hit_into_play,,,,,8,Cedric Mullins flies out to left fielder Steven Kwan.,R,L,R,CLE,BAL,X,7,fly_ball,0,0,2023,1.48,-0.49,-0.18,1.85,,,,2,9,Top,68.95,85.93,,,,,-0.4445177643639015,-120.86206279471448,-2.1243664363820893,14.54687503983769,24.01660891125643,-36.79633676590516,3.32,1.53,314,90.0,33,82.7,2791,6.1,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.43,0.043,0.057,0.0,1,0,0,3,68,1,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,48,0.008,-0.275,71.8,7.2,0.098,0.275,90.0,-1,1,0.186,0.814,30,28,31,29,1,4,3,1,,1,3.8,-1.48,1.48,42.4
ST,2023-09-23,83.6,-1.35,5.96,"Kelly, Michael",656811,547184,strikeout,foul_tip,,,,,9,Ryan O'Hearn strikes out on a foul tip.,R,L,R,CLE,BAL,S,2,,2,2,2023,1.63,-0.45,0.3,1.64,,,,1,9,Top,,,,,,,0.5991310423787143,-121.76052770010833,-2.5943126432432653,15.98808771904405,25.917596288165196,-36.280913785098726,3.46,1.68,,,,82.7,2690,5.8,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.65,,0.0,0.0,1,0,0,,67,5,Sweeper,1,2,2,1,2,1,2,1,Infield shade,Standard,44,0.012,-0.234,71.7,7.5,,0.234,,-1,1,0.174,0.826,30,29,31,30,1,4,3,1,,1,3.73,-1.63,1.63,36.3
FF,2023-09-23,93.6,-1.1,6.07,"Kelly, Michael",656811,547184,,ball,,,,,12,Ryan O'Hearn strikes out on a foul tip.,R,L,R,CLE,BAL,B,,,1,2,2023,-0.45,1.06,0.98,2.84,,,,1,9,Top,,,,,,,6.370085745859171,-136.23109379522612,-4.986428901522589,-6.930826292128994,27.38775426223769,-18.05157677358543,3.46,1.65,,,,94.1,2372,6.4,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.12,,,,,,,,67,4,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,204,0.0,0.045,,,,-0.045,,-1,1,0.174,0.826,30,29,31,30,1,4,3,1,,1,1.52,0.45,-0.45,44.9
ST,2023-09-23,82.6,-1.33,5.98,"Kelly, Michael",656811,547184,,swinging_strike,,,,,14,Ryan O'Hearn strikes out on a foul tip.,R,L,R,CLE,BAL,S,,,1,1,2023,1.54,-0.61,0.86,1.12,,,,1,9,Top,,,,,,,1.981367597521448,-120.18869717547052,-3.3204992710174395,14.357222411951463,25.45310587339219,-37.558674047481034,3.46,1.68,,,,82.1,2725,6.2,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.31,,,,,,,,67,3,Sweeper,1,2,2,1,2,1,2,1,Infield shade,Standard,45,0.0,-0.068,70.3,8.4,,0.068,,-1,1,0.174,0.826,30,29,31,30,1,4,3,1,,1,3.97,-1.54,1.54,37.6
ST,2023-09-23,82.2,-1.28,5.99,"Kelly, Michael",656811,547184,,swinging_strike,,,,,14,Ryan O'Hearn strikes out on a foul tip.,R,L,R,CLE,BAL,S,,,1,0,2023,1.25,-0.68,0.2,0.95,,,,1,9,Top,,,,,,,0.9206574069683124,-119.74303254073276,-3.5150591407263594,11.823920643438983,24.613514556359423,-38.20756735862676,3.46,1.68,,,,81.6,2719,6.0,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.51,,,,,,,,67,2,Sweeper,1,2,2,1,2,1,2,1,Infield shade,Standard,43,0.0,-0.05,,,,0.05,,-1,1,0.174,0.826,30,29,31,30,1,4,3,1,,1,4.07,-1.25,1.25,38.3
FF,2023-09-23,94.1,-1.04,6.07,"Kelly, Michael",656811,547184,,ball,,,,,14,Ryan O'Hearn strikes out on a foul tip.,R,L,R,CLE,BAL,B,,,0,0,2023,-0.79,1.16,0.94,1.03,,,,1,9,Top,,,,,,,6.8751227694830925,-136.69798137778724,-9.958531437870922,-11.328509372465616,27.89332364244401,-15.671011258398869,3.46,1.7,,,,94.3,2160,6.3,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.15,,,,,,,,67,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,216,0.0,0.039,,,,-0.039,,-1,1,0.174,0.826,30,29,31,30,1,4,3,1,,1,1.41,0.79,-0.79,39.7
ST,2023-09-23,82.3,-1.21,6.05,"Kelly, Michael",623993,547184,field_out,hit_into_play,,,,,8,Anthony Santander lines out to left fielder Steven Kwan.,R,L,R,CLE,BAL,X,7,line_drive,0,0,2023,1.3,-0.45,-0.05,1.69,,,,0,9,Top,66.3,114.11,,,,,0.1024923676680875,-119.86959438023706,-2.4807910049391415,12.549620468230852,23.44584848795043,-36.278212135833705,3.39,1.61,258,83.9,25,81.8,2620,5.9,716464,681807,647304,665926,671289,677588,680757,657656,686823,54.57,0.174,0.174,0.0,1,0,0,3,66,1,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,46,0.016,-0.265,75.6,7.4,0.25,0.265,88.0,-1,1,0.158,0.842,30,28,31,29,1,4,3,1,,1,3.82,-1.3,1.3,43.1
FF,2023-09-23,95.6,-1.11,6.15,"Kelly, Michael",668939,547184,strikeout,swinging_strike,,,,,1,Adley Rutschman strikes out swinging.,R,L,R,CLE,BAL,S,2,,2,2,2023,-0.31,0.93,-0.76,3.18,,,,2,8,Top,,,,,,,1.6232744999745623,-139.23505302489482,-4.337601494182332,-4.331843778837418,28.553656629781816,-19.31122928683048,3.4,1.67,,,,95.7,2395,6.1,716464,595956,647304,665926,671289,677588,680757,664702,657656,54.42,,0.0,0.0,1,0,0,,62,5,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,196,0.012,-0.233,58.6,4.8,,0.233,,-1,1,0.285,0.715,30,25,31,25,1,4,3,1,,1,1.54,0.31,-0.31,38.4
ST,2023-09-23,83.9,-1.38,5.95,"Kelly, Michael",668939,547184,,swinging_strike,,,,,9,Adley Rutschman strikes out swinging.,R,L,R,CLE,BAL,S,,,2,1,2023,1.59,-0.44,0.67,1.72,,,,2,8,Top,,,,,,,1.5808399348226037,-122.19403026064916,-2.4468174276917285,15.442987573746745,26.30431732412484,-36.26019693416313,3.4,1.67,,,,83.3,2762,6.1,716464,595956,647304,665926,671289,677588,680757,664702,657656,54.44,,,,,,,,62,4,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,44,0.0,-0.081,73.7,7.6,,0.081,,-1,1,0.285,0.715,30,25,31,25,1,4,3,1,,1,3.7,-1.59,1.59,36.2
ST,2023-09-23,83.9,-1.25,5.99,"Kelly, Michael",668939,547184,,ball,,,,,13,Adley Rutschman strikes out swinging.,R,L,R,CLE,BAL,B,,,1,1,2023,1.48,-0.68,-0.68,1.01,,,,2,8,Top,,,,,,,-1.6352736643346897,-122.16454578752644,-3.708158797952627,15.10727760690359,26.62800330567824,-38.395756406369046,3.45,1.65,,,,83.3,2807,6.1,716464,595956,647304,665926,671289,677588,680757,664702,657656,54.41,,,,,,,,62,3,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,44,0.0,0.053,,,,-0.053,,-1,1,0.285,0.715,30,25,31,25,1,4,3,1,,1,3.95,-1.48,1.48,36.4
