pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-07-06,69.0,-1.58,6.92,"Kiner-Falefa, Isiah",543510,643396,force_out,hit_into_play,,,,,2,"James McCann grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres.   Ramon Urias out at 2nd.",R,R,R,NYY,BAL,X,6,ground_ball,1,2,2023,0.13,1.39,-0.11,3.45,,,602104,2,9,Top,112.18,146.32,,,,,2.5362612518623093,-100.58460244070592,-1.1522885672468126,0.5370090245138406,15.194285310096042,-22.688294921087564,3.38,1.53,134,100.9,9,67.9,1451,5.2,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.34,0.703,0.646,0.0,1,0,0,4,85,4,Other,0,14,14,0,14,0,14,0,Standard,Standard,197,0.0,-0.207,,,0.802,0.207,100.9,-14,14,0.0,1.0,28,33,28,33,1,1,14,2,,1,3.35,-0.13,-0.13,61.0
EP,2023-07-06,39.9,-1.52,7.44,"Kiner-Falefa, Isiah",543510,643396,,ball,,,,,11,"James McCann grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres.   Ramon Urias out at 2nd.",R,R,R,NYY,BAL,B,,,0,2,2023,0.34,1.05,-2.2,6.72,,,602104,2,9,Top,,,,,,,-0.9962760822486318,-56.5576786922934,11.53459032934651,0.8199003643157792,5.145560299015759,-31.1863999253363,3.3,1.4,,,,37.5,915,4.2,717475,624431,518934,650402,518626,683011,665828,664056,641856,56.26,,,,,,,,85,3,Eephus,0,14,14,0,14,0,14,0,Standard,Standard,205,0.0,0.02,,,,-0.02,,-14,14,0.0,1.0,28,33,28,33,1,1,14,2,,1,14.03,-0.34,-0.34,68.4
FA,2023-07-06,69.6,-1.68,6.8,"Kiner-Falefa, Isiah",543510,643396,,foul,,,,,6,"James McCann grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres.   Ramon Urias out at 2nd.",R,R,R,NYY,BAL,S,,,0,1,2023,-0.02,1.44,0.35,2.58,,,602104,2,9,Top,,,,,,,3.833806815825289,-101.27526105118996,-2.676776785939786,-0.7642084656978975,17.092935654378092,-22.01758681760521,3.38,1.53,118,57.0,23,68.1,1477,5.2,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.32,,,,,,,,85,2,Other,0,14,14,0,14,0,14,0,Standard,Standard,201,0.0,-0.055,,,,0.055,88.0,-14,14,0.0,1.0,28,33,28,33,1,1,14,2,,1,3.27,0.02,0.02,64.1
FA,2023-07-06,69.1,-1.72,6.9,"Kiner-Falefa, Isiah",543510,643396,,foul,,,,,1,"James McCann grounds into a force out, shortstop Anthony Volpe to second baseman Gleyber Torres.   Ramon Urias out at 2nd.",R,R,R,NYY,BAL,S,,,0,0,2023,-0.19,1.29,-0.34,3.04,,,602104,2,9,Top,,,,,,,2.864655398006903,-100.55641627577052,-1.6126328409829271,-1.7726617228163877,17.44921941519201,-23.42102237823958,3.38,1.53,72,59.2,7,67.4,1470,5.0,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.47,,,,,,,,85,1,Other,0,14,14,0,14,0,14,0,Standard,Standard,200,0.0,-0.045,,,,0.045,88.0,-14,14,0.0,1.0,28,33,28,33,1,1,14,2,,1,3.51,0.19,0.19,60.2
FA,2023-07-06,71.1,-2.08,6.61,"Kiner-Falefa, Isiah",683002,643396,field_out,hit_into_play,,,,,4,Gunnar Henderson flies out sharply to center fielder Harrison Bader.,R,L,R,NYY,BAL,X,8,fly_ball,1,1,2023,-0.04,1.02,-0.4,2.95,,,602104,1,9,Top,97.99,53.15,,,,,3.3104429694507815,-103.50811724188544,-1.3033958685256395,-0.8454966557297503,17.9622144604776,-24.833066016787026,3.69,1.77,366,100.5,30,69.8,1460,5.3,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.2,0.6,1.128,0.0,1,0,0,6,84,3,Other,0,14,14,0,14,0,14,0,Standard,Standard,206,0.0,-0.24,,,2.211,0.24,100.5,-14,14,0.0,1.0,28,22,28,22,1,6,14,1,,1,3.5,0.04,-0.04,51.3
FA,2023-07-06,72.0,-1.95,6.77,"Kiner-Falefa, Isiah",683002,643396,,called_strike,,,,,8,Gunnar Henderson flies out sharply to center fielder Harrison Bader.,R,L,R,NYY,BAL,S,,,1,0,2023,-0.02,1.01,0.17,1.55,,,602104,1,9,Top,,,,,,,4.127364198001516,-104.7222463512515,-4.51265158322843,-0.8780930243092419,18.502838124913172,-24.15223909848623,3.72,1.64,,,,70.2,1349,5.0,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.48,,,,,,,,84,2,Other,0,14,14,0,14,0,14,0,Standard,Standard,210,0.0,-0.053,,,,0.053,,-14,14,0.0,1.0,28,22,28,22,1,6,14,1,,1,3.4,0.02,-0.02,52.7
FA,2023-07-06,69.3,-2.06,6.76,"Kiner-Falefa, Isiah",683002,643396,,ball,,,,,11,Gunnar Henderson flies out sharply to center fielder Harrison Bader.,R,L,R,NYY,BAL,B,,,0,0,2023,-0.11,1.14,-0.92,3.73,,,602104,1,9,Top,,,,,,,2.3025137658346733,-100.93104340225857,0.0577729566669489,-1.1437718450608896,16.823927931584354,-24.62551878248737,3.58,1.72,,,,67.5,1450,4.9,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.65,,,,,,,,84,1,Other,0,14,14,0,14,0,14,0,Standard,Standard,209,0.0,0.036,,,,-0.036,,-14,14,0.0,1.0,28,22,28,22,1,6,14,1,,1,3.61,0.11,-0.11,51.7
FA,2023-07-06,76.9,-1.62,6.81,"Kiner-Falefa, Isiah",602104,643396,single,hit_into_play,,,,,3,Ramon Urias singles on a ground ball to right fielder Billy McKinney.,R,R,R,NYY,BAL,X,9,ground_ball,0,2,2023,0.11,1.34,0.65,2.91,,,,1,9,Top,149.36,124.64,,,,,4.5219463480521815,-111.8912652393512,-3.6442004626842617,0.0490905991239333,21.002882375671668,-20.451166192138356,3.15,1.5,27,102.9,-4,75.4,1569,5.3,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.19,0.426,0.376,0.9,1,1,0,2,83,3,Other,0,14,14,0,14,0,14,0,Standard,Standard,203,0.0,0.514,,,0.481,-0.514,102.9,-14,14,0.0,1.0,28,29,28,29,1,5,14,2,,1,2.52,-0.11,-0.11,57.8
FA,2023-07-06,72.9,-1.85,6.75,"Kiner-Falefa, Isiah",602104,643396,,foul,,,,,1,Ramon Urias singles on a ground ball to right fielder Billy McKinney.,R,R,R,NYY,BAL,S,,,0,1,2023,-0.21,1.35,-0.66,2.7,,,,1,9,Top,,,,,,,2.7093278502874933,-106.10482861602964,-3.035590619560197,-2.053298931651801,18.62152106654602,-21.649685298038204,3.15,1.5,5,83.0,-32,71.5,1488,5.3,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.23,,,,,,,,83,2,Other,0,14,14,0,14,0,14,0,Standard,Standard,211,0.0,-0.057,,,,0.057,88.0,-14,14,0.0,1.0,28,29,28,29,1,5,14,2,,1,2.94,0.21,0.21,59.5
FA,2023-07-06,70.9,-1.77,6.88,"Kiner-Falefa, Isiah",602104,643396,,called_strike,,,,,8,Ramon Urias singles on a ground ball to right fielder Billy McKinney.,R,R,R,NYY,BAL,S,,,0,0,2023,0.0,1.34,0.2,1.79,,,,1,9,Top,,,,,,,3.765892944684593,-103.09836639973888,-4.506523143443968,-0.6163843575608833,17.48197224187987,-22.094946508178204,3.12,1.5,,,,69.3,1560,5.1,717475,624431,518934,650402,518626,683011,665828,664056,641856,55.4,,,,,,,,83,1,Other,0,14,14,0,14,0,14,0,Standard,Standard,204,0.0,-0.041,,,,0.041,,-14,14,0.0,1.0,28,29,28,29,1,5,14,2,,1,3.21,0.0,0.0,59.3
