pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2023-09-09,86.8,1.58,6.13,"Krook, Matt",661388,640454,single,hit_into_play,,,,,14,William Contreras singles on a ground ball to center fielder Jasson Dominguez.   Brice Turang scores.    Tyrone Taylor scores.    Sal Frelick to 2nd.,R,R,L,NYY,MIL,X,8,ground_ball,2,2,2023,0.48,0.62,0.86,2.26,668930,621438,686217,0,9,Top,126.9,93.42,,,,,-2.7177955009652592,-126.3509588200186,-4.325111693347731,5.6554817487749975,26.747858436115497,-24.881339581605506,3.44,1.57,12,93.6,-10,86.8,2312,6.3,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.16,0.177,0.156,0.9,1,1,0,2,71,5,Cutter,2,5,5,2,7,2,7,2,Strategic,Standard,122,-0.009,0.447,67.4,7.5,0.198,-0.447,93.6,-3,3,0.012,0.988,28,25,29,26,1,4,2,1,,1,2.42,0.48,-0.48,32.2
SI,2023-09-09,87.4,1.51,6.19,"Krook, Matt",661388,640454,,swinging_strike,,,,,8,William Contreras singles on a ground ball to center fielder Jasson Dominguez.   Brice Turang scores.    Tyrone Taylor scores.    Sal Frelick to 2nd.,R,R,L,NYY,MIL,S,,,2,1,2023,1.29,-0.1,-0.11,1.97,668930,621438,686217,0,9,Top,,,,,,,-6.553238656033559,-127.09983973655356,-3.7363167375887354,15.32125047309234,28.60592393531592,-32.64069110643195,3.44,1.57,,,,87.0,2047,6.3,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.2,,,,,,,,71,4,Sinker,2,5,5,2,5,2,5,2,Strategic,Standard,117,0.0,-0.055,79.8,8.1,,0.055,,-3,3,0.012,0.988,28,25,29,26,1,4,2,1,,1,3.11,1.29,-1.29,34.1
SI,2023-09-09,85.5,1.46,6.06,"Krook, Matt",661388,640454,,ball,,,,,13,William Contreras singles on a ground ball to center fielder Jasson Dominguez.   Brice Turang scores.    Tyrone Taylor scores.    Sal Frelick to 2nd.,R,R,L,NYY,MIL,B,,,1,1,2023,1.2,-0.11,-0.92,0.68,668930,621438,686217,0,9,Top,,,,,,,-8.028259160834947,-124.17376572928816,-6.132842658519863,14.106625719811934,26.08933124048527,-32.202218023757595,3.31,1.47,,,,85.3,1994,6.4,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.11,,,,,,,,71,3,Sinker,2,5,5,2,5,2,5,2,Strategic,Standard,116,0.0,0.044,,,,-0.044,,-3,3,0.012,0.988,28,25,29,26,1,4,2,1,,1,3.25,1.2,-1.2,33.3
SI,2023-09-09,87.9,1.48,6.18,"Krook, Matt",661388,640454,,called_strike,,,,,5,William Contreras singles on a ground ball to center fielder Jasson Dominguez.   Brice Turang scores.    Tyrone Taylor scores.    Sal Frelick to 2nd.,R,R,L,NYY,MIL,S,,,1,0,2023,1.37,-0.28,0.08,2.24,668930,621438,686217,0,9,Top,,,,,,,-6.212900020056747,-127.83854387188592,-2.763129439557109,16.321781123342344,29.387119587028568,-34.86155276576385,3.31,1.47,,,,87.2,2041,6.2,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.34,,,,,,,,71,2,Sinker,2,5,5,2,5,2,5,2,Strategic,Standard,116,0.0,-0.043,,,,0.043,,-3,3,0.012,0.988,28,25,29,26,1,4,2,1,,1,3.27,1.37,-1.37,33.9
SI,2023-09-09,88.9,1.69,6.11,"Krook, Matt",661388,640454,,ball,,,,,14,William Contreras singles on a ground ball to center fielder Jasson Dominguez.   Brice Turang scores.    Tyrone Taylor scores.    Sal Frelick to 2nd.,R,R,L,NYY,MIL,B,,,0,0,2023,1.48,-0.01,1.98,1.91,668930,621438,686217,0,9,Top,,,,,,,-2.3937099387301632,-129.4009592297946,-4.1962247495259515,17.051561277250414,28.88584240182616,-31.52515526472521,3.39,1.57,,,,88.5,2038,6.2,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.34,,,,,,,,71,1,Sinker,2,5,5,2,5,2,5,2,Strategic,Standard,115,0.0,0.037,,,,-0.037,,-3,3,0.012,0.988,28,25,29,26,1,4,2,1,,1,2.9,1.48,-1.48,29.5
SI,2023-09-09,86.6,1.45,6.13,"Krook, Matt",686217,640454,walk,ball,,,,,13,Sal Frelick walks.,R,L,L,NYY,MIL,B,,,3,0,2023,1.36,0.04,-0.36,1.07,668930,621438,,0,9,Top,,,,,,,-7.092076804433678,-125.815543744586,-5.918565555245504,15.90354198537203,26.372904463543513,-30.713406002909178,2.87,1.35,,,,86.5,2020,6.4,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.14,,0.695903,0.7,1,0,0,,70,4,Sinker,2,5,5,2,5,2,5,2,Strategic,Standard,118,0.0,0.066,,,,-0.066,,-3,3,0.012,0.988,28,23,29,23,1,4,2,1,,1,3.02,1.36,1.36,34.7
SI,2023-09-09,89.0,1.45,6.15,"Krook, Matt",686217,640454,,ball,,,,,13,Sal Frelick walks.,R,L,L,NYY,MIL,B,,,2,0,2023,1.4,0.24,-0.29,0.65,,668930,621438,0,9,Top,,,,,,,-7.215794269285036,-129.23029088267984,-7.940408030405788,17.24283329098698,26.373271455342525,-27.992866394778144,2.82,1.17,,,,89.0,2038,6.3,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.16,,,,,,,,70,3,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,115,-0.008,0.105,,,,-0.105,,-3,3,0.02,0.98,28,23,29,23,1,4,2,1,,1,2.64,1.4,1.4,32.1
SI,2023-09-09,88.2,1.38,6.23,"Krook, Matt",686217,640454,,ball,,,,,11,Sal Frelick walks.,R,L,L,NYY,MIL,B,,,1,0,2023,1.1,-0.16,-1.16,2.16,,668930,621438,0,9,Top,,,,,,,-8.42542626523768,-128.16444273944708,-3.458607832036127,13.857321028854752,26.749920339036652,-33.39185863307985,2.72,1.25,,,,87.8,2148,6.2,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.35,,,,,,,,70,2,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,117,0.0,0.078,,,,-0.078,,-3,3,0.02,0.98,28,23,29,23,1,4,2,1,,1,3.1,1.1,1.1,33.0
FC,2023-09-09,84.8,1.58,6.09,"Krook, Matt",686217,640454,,blocked_ball,,,,,13,Sal Frelick walks.,R,L,L,NYY,MIL,B,,,0,0,2023,0.38,0.58,-0.95,0.1,,668930,621438,0,9,Top,,,,,,,-6.6755913816583865,-123.16426188095927,-8.79070158613564,5.216968436343791,24.941079256536653,-24.683867903722135,2.77,1.07,,,,84.6,2231,6.3,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.2,,,,,,,,70,1,Cutter,2,5,5,2,5,2,5,2,Strategic,Standard,112,0.0,0.042,,,,-0.042,,-3,3,0.02,0.98,28,23,29,23,1,4,2,1,,1,2.61,0.38,0.38,35.1
SI,2023-09-09,89.2,1.3,6.29,"Krook, Matt",621438,640454,single,hit_into_play,,,,,8,Tyrone Taylor singles on a fly ball to left fielder Everson Pereira.   Brice Turang to 2nd.,R,R,L,NYY,MIL,X,7,fly_ball,1,1,2023,1.29,-0.04,0.1,1.65,,,668930,0,9,Top,104.05,104.1,,,,,-5.64123569807415,-129.65922488779333,-5.248202715096771,15.787179266866008,28.59142949452151,-31.66755070780736,3.22,1.53,264,74.5,30,88.6,2227,6.1,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.41,0.46,0.414,0.9,1,1,0,3,69,3,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,119,-0.006,0.465,69.3,8.2,0.46,-0.465,88.0,-3,3,0.026,0.974,28,29,29,29,1,3,2,3,,1,2.92,1.29,-1.29,34.7
SI,2023-09-09,86.3,1.33,6.26,"Krook, Matt",621438,640454,,called_strike,,,,,2,Tyrone Taylor singles on a fly ball to left fielder Everson Pereira.   Brice Turang to 2nd.,R,R,L,NYY,MIL,S,,,1,0,2023,1.21,0.02,-0.2,3.14,,,668930,0,9,Top,,,,,,,-6.076266359597497,-125.5813608937581,-1.1948562187469076,14.01493114275502,26.830123119153768,-31.96767744771324,3.14,1.37,,,,85.8,2065,6.1,716659,669224,518934,650402,672724,683011,677592,691176,519317,54.39,,,,,,,,69,2,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,122,0.0,-0.042,,,,0.042,,-3,3,0.026,0.974,28,29,29,29,1,3,2,3,,1,3.06,1.21,-1.21,34.3
