pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-06-23,88.8,-2.74,5.79,"Kuhl, Chad",663757,641771,double,hit_into_play,,,,,9,Trent Grisham hits a ground-rule double (18) on a line drive to right-center field.   Jake Cronenworth scores.    Nelson Cruz to 3rd.,R,L,R,SD,WSH,X,,line_drive,0,1,2023,0.46,-0.22,0.58,2.0,630105,,443558,2,7,Bot,156.1,46.33,,,,,7.208621597397398,-129.15107789701793,-2.7341113122943064,3.4787371804266627,29.19967647926017,-34.175407043609766,3.57,1.78,384,102.1,21,88.9,2669,6.6,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.9,0.56,0.752,1.25,1,1,1,5,63,2,Slider,10,1,10,1,1,11,11,1,Strategic,Standard,79,0.001,0.904,,,1.253,-0.904,102.1,9,9,0.999,0.999,30,26,31,27,1,3,4,1,,1,3.13,-0.46,0.46,41.0
FF,2023-06-23,96.9,-2.19,5.88,"Kuhl, Chad",663757,641771,,foul,,,,,6,Trent Grisham hits a ground-rule double (18) on a line drive to right-center field.   Jake Cronenworth scores.    Nelson Cruz to 3rd.,R,L,R,SD,WSH,S,,,0,0,2023,-0.78,1.5,0.52,2.65,630105,,443558,2,7,Bot,,,,,,,9.108874506716845,-140.66570361578238,-6.49906431610998,-12.505306089719186,34.57290731760289,-10.99253691380866,3.57,1.78,260,76.8,41,97.3,2273,6.8,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.67,,,,,,,,63,1,4-Seam Fastball,10,1,10,1,1,10,10,1,Strategic,Standard,217,0.0,-0.052,,,,0.052,88.0,9,9,0.999,0.999,30,26,31,27,1,3,4,1,,1,0.96,0.78,-0.78,42.7
FF,2023-06-23,97.0,-2.18,5.95,"Kuhl, Chad",443558,641771,single,hit_into_play,,,,,3,Nelson Cruz singles on a sharp ground ball to center fielder Derek Hill.   Juan Soto scores.    Gary Sanchez scores.    Jake Cronenworth to 3rd.,R,R,R,SD,WSH,X,8,ground_ball,1,1,2023,-0.72,1.4,0.37,3.25,665742,596142,630105,2,7,Bot,122.45,95.1,,,,,8.5204507758093,-140.98745247043024,-4.907331757198011,-11.56967205790391,33.391817610935504,-12.524772445212202,3.51,1.6,48,105.8,-1,97.5,2214,6.7,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.76,0.469,0.441,0.9,1,1,0,4,62,3,4-Seam Fastball,8,1,8,1,1,10,10,1,Standard,Standard,220,0.001,0.534,,,0.533,-0.534,105.8,7,7,0.998,0.998,30,42,31,43,1,3,4,1,,2,1.03,0.72,0.72,43.8
FF,2023-06-23,96.8,-2.14,5.81,"Kuhl, Chad",443558,641771,,ball,,,,,14,Nelson Cruz singles on a sharp ground ball to center fielder Derek Hill.   Juan Soto scores.    Gary Sanchez scores.    Jake Cronenworth to 3rd.,R,R,R,SD,WSH,B,,,0,1,2023,-0.97,1.44,0.97,1.95,665742,596142,630105,2,7,Bot,,,,,,,10.590881862429296,-140.3622669408002,-8.051241990311658,-15.248241590201587,32.38349359028055,-11.422665456655931,3.63,1.68,,,,97.4,2253,6.9,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.65,,,,,,,,62,2,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,228,0.0,0.034,,,,-0.034,,7,7,0.998,0.998,30,42,31,43,1,3,4,1,,2,1.01,0.97,0.97,44.2
SL,2023-06-23,87.1,-2.5,5.74,"Kuhl, Chad",443558,641771,,called_strike,,,,,8,Nelson Cruz singles on a sharp ground ball to center fielder Derek Hill.   Juan Soto scores.    Gary Sanchez scores.    Jake Cronenworth to 3rd.,R,R,R,SD,WSH,S,,,0,0,2023,0.19,0.01,-0.01,1.88,665742,596142,630105,2,7,Bot,,,,,,,5.637073421839658,-126.700618460238,-3.116998996751226,0.8373755270637135,26.851208299742392,-31.611214015608564,3.57,1.68,,,,87.5,2566,6.7,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.84,,,,,,,,62,1,Slider,8,1,8,1,1,8,8,1,Standard,Standard,63,0.0,-0.047,,,,0.047,,7,7,0.998,0.998,30,42,31,43,1,3,4,1,,2,3.0,-0.19,-0.19,42.1
FF,2023-06-23,97.9,-2.26,5.82,"Kuhl, Chad",630105,641771,hit_by_pitch,hit_by_pitch,,,,,12,Jake Cronenworth hit by pitch.    Juan Soto to 3rd.    Gary Sanchez to 2nd.,R,L,R,SD,WSH,B,,,0,1,2023,-1.18,1.67,1.01,3.31,,665742,596142,2,7,Bot,,,,,,,11.64713343260487,-141.93167075352667,-5.098998935816649,-18.765803808522012,36.74094495549818,-8.594352841258159,3.38,1.63,,,,98.0,2518,6.8,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.66,,0.726005,0.7,1,0,0,,61,2,4-Seam Fastball,8,1,8,1,1,8,8,1,Strategic,Standard,222,0.001,0.239,,,,-0.239,,7,7,0.997,0.997,30,29,31,29,1,3,4,1,,1,0.75,1.18,-1.18,40.4
FF,2023-06-23,97.1,-2.42,5.86,"Kuhl, Chad",630105,641771,,foul,,,,,5,Jake Cronenworth hit by pitch.    Juan Soto to 3rd.    Gary Sanchez to 2nd.,R,L,R,SD,WSH,S,,,0,0,2023,-0.41,1.43,-0.03,2.61,,665742,596142,2,7,Bot,,,,,,,7.39213548489332,-141.05983763061244,-6.39272077232852,-7.34241460211831,35.92976948521039,-11.846866288736615,3.38,1.63,,,,97.2,2254,6.7,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.81,,,,,,,,61,1,4-Seam Fastball,8,1,8,1,1,8,8,1,Strategic,Standard,219,0.0,-0.04,,,,0.04,,7,7,0.997,0.997,30,29,31,29,1,3,4,1,,1,1.02,0.41,-0.41,42.6
FF,2023-06-23,95.6,-2.32,5.87,"Kuhl, Chad",596142,641771,walk,ball,,,,,11,Gary Sanchez walks.,R,R,R,SD,WSH,B,,,3,1,2023,-0.94,1.45,-1.55,3.97,,665742,,2,7,Bot,,,,,,,4.18351760432301,-139.06190915708106,-2.5753939717026757,-13.177463687063163,35.90261867657783,-13.147748130188797,3.35,1.71,,,,95.4,2170,6.5,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.95,,0.695903,0.7,1,0,0,,60,5,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,217,0.0,0.075,,,,-0.075,,7,7,0.997,0.997,30,30,31,31,1,3,4,1,,1,1.08,0.94,0.94,39.7
FF,2023-06-23,96.7,-2.3,5.91,"Kuhl, Chad",596142,641771,,called_strike,,,,,1,Gary Sanchez walks.,R,R,R,SD,WSH,S,,,3,0,2023,-1.1,1.46,-0.41,3.1,,665742,,2,7,Bot,,,,,,,7.601170148620416,-140.44465613230642,-5.192473441041384,-16.406224529571304,35.03907727783,-11.963763018642595,3.3,1.66,,,,96.6,2239,6.6,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.9,,,,,,,,60,4,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,217,0.0,-0.023,,,,0.023,,7,7,0.997,0.997,30,30,31,31,1,3,4,1,,1,1.01,1.1,1.1,42.1
SL,2023-06-23,87.3,-2.47,5.73,"Kuhl, Chad",596142,641771,,ball,,,,,9,Gary Sanchez walks.,R,R,R,SD,WSH,B,,,2,0,2023,0.54,-0.08,0.74,1.71,,665742,,2,7,Bot,,,,,,,6.6278052602561415,-126.89196410284892,-3.240617048456264,4.141201290282234,30.57926599542612,-32.53423820607095,3.41,1.67,,,,87.0,2587,6.5,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.96,,,,,,,,60,3,Slider,8,1,8,1,1,8,8,1,Standard,Standard,80,0.0,0.037,,,,-0.037,,7,7,0.997,0.997,30,30,31,31,1,3,4,1,,1,3.13,-0.54,-0.54,40.2
FF,2023-06-23,97.2,-2.12,5.91,"Kuhl, Chad",596142,641771,,ball,,,,,11,Gary Sanchez walks.,R,R,R,SD,WSH,B,,,1,0,2023,-0.9,1.41,-0.06,4.09,,665742,,2,7,Bot,,,,,,,7.673863351914708,-141.365224361814,-2.5674761684912055,-13.919873686666568,34.84266748430331,-12.906003276228017,3.35,1.74,,,,97.7,2228,6.8,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.69,,,,,,,,60,2,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,215,0.0,0.029,,,,-0.029,,7,7,0.997,0.997,30,30,31,31,1,3,4,1,,1,1.02,0.9,0.9,41.0
SL,2023-06-23,88.8,-2.45,5.67,"Kuhl, Chad",596142,641771,,ball,,,,,14,Gary Sanchez walks.,R,R,R,SD,WSH,B,,,0,0,2023,0.62,-0.11,1.35,1.03,,665742,,2,7,Bot,,,,,,,8.077961279030767,-129.04946027527495,-5.087511362877962,5.1742225949959435,28.2295123260571,-32.43371818157041,3.35,1.71,,,,89.3,2688,6.8,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.69,,,,,,,,60,1,Slider,8,1,8,1,1,8,8,1,Standard,Standard,73,0.0,0.02,,,,-0.02,,7,7,0.997,0.997,30,30,31,31,1,3,4,1,,1,3.02,-0.62,-0.62,39.8
FF,2023-06-23,98.7,-2.29,5.86,"Kuhl, Chad",593428,641771,strikeout,swinging_strike,,,,,12,Xander Bogaerts strikes out swinging.,R,R,R,SD,WSH,S,2,,1,2,2023,-0.73,1.33,0.38,4.2,,665742,,1,7,Bot,,,,,,,8.952675840732569,-143.49229784237818,-2.151838240522392,-12.147787541827098,34.49500063301906,-13.536630779365648,3.65,1.65,,,,98.8,2343,6.5,717642,660688,642086,671277,600869,682928,572816,656537,657041,54.03,,0.0,0.0,1,0,0,,59,4,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,223,-0.001,-0.205,,,,0.205,,7,7,0.998,0.998,30,30,31,31,1,3,4,2,,1,1.02,0.73,0.73,36.2
FF,2023-06-23,97.6,-2.48,5.71,"Kuhl, Chad",593428,641771,,ball,,,,,12,Xander Bogaerts strikes out swinging.,R,R,R,SD,WSH,B,,,0,2,2023,-0.96,1.29,0.41,4.71,,665742,,1,7,Bot,,,,,,,10.070752515609303,-141.77543606707658,-0.1168435494572203,-15.302156618419298,33.22994389707959,-14.936814175735426,3.74,1.76,,,,98.2,2273,6.8,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.71,,,,,,,,59,3,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,229,0.0,0.015,,,,-0.015,,7,7,0.998,0.998,30,30,31,31,1,3,4,2,,1,1.11,0.96,0.96,36.5
FF,2023-06-23,98.4,-2.11,5.97,"Kuhl, Chad",593428,641771,,foul,,,,,5,Xander Bogaerts strikes out swinging.,R,R,R,SD,WSH,S,,,0,1,2023,-1.03,1.41,-0.05,3.02,,665742,,1,7,Bot,,,,,,,8.0152542040527,-142.9093732373504,-5.788217719545596,-16.007236686904317,35.15239720520839,-11.74712868517538,3.65,1.65,229,80.9,49,98.5,2402,6.6,717642,660688,642086,671277,600869,682928,572816,656537,657041,53.88,,,,,,,,59,2,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,215,0.0,-0.069,,,,0.069,88.0,7,7,0.998,0.998,30,30,31,31,1,3,4,2,,1,0.97,1.03,1.03,45.3
