pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-09-16,85.1,-2.8,5.54,"Kuhnel, Joel",676369,669270,strikeout,swinging_strike,,,,,9,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,2,,2,2,2023,0.17,0.24,0.38,1.82,,,,2,8,Bot,,,,,,,7.25238788125644,-123.92700427448838,-3.0592266744801564,0.6535838098726845,19.66674458133156,-29.328863982187368,3.45,1.7,,,,87.6,2394,7.3,716560,673237,547989,514888,608324,665161,676801,643289,663656,53.16,,0.0,0.0,1,0,0,,77,8,Slider,10,6,10,6,6,10,10,6,Standard,Standard,150,-0.001,-0.233,76.6,8.0,,0.233,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,2.85,-0.17,-0.17,22.2
SI,2023-09-16,93.5,-2.29,5.61,"Kuhnel, Joel",676369,669270,,foul,,,,,4,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,,,2,2,2023,-1.32,0.3,-0.79,2.37,,,,2,8,Bot,,,,,,,6.968604670108763,-136.02396298631928,-3.3345760120059125,-17.956030449775316,29.235948892277865,-27.873069853597805,3.45,1.7,3,68.9,-42,95.9,2133,7.6,716560,673237,547989,514888,608324,665161,676801,643289,663656,52.87,,,,,,,,77,7,Sinker,10,6,10,6,6,10,10,6,Standard,Standard,227,0.0,0.0,70.7,6.9,,0.0,88.0,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,2.3,1.32,1.32,23.3
FF,2023-09-16,93.5,-2.58,5.59,"Kuhnel, Joel",676369,669270,,foul,,,,,12,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,,,2,2,2023,-0.52,0.87,0.87,3.19,,,,2,8,Bot,,,,,,,10.279423150471308,-135.89508973950512,-2.491897330851363,-8.449817620661072,25.129571158502618,-20.950478788019097,3.45,1.7,239,83.9,56,96.2,2366,7.6,716560,673237,547989,514888,608324,665161,676801,643289,663656,52.92,,,,,,,,77,6,4-Seam Fastball,10,6,10,6,6,10,10,6,Standard,Standard,226,0.0,0.0,70.5,6.6,,0.0,88.0,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,1.71,0.52,0.52,23.0
FF,2023-09-16,93.7,-2.44,5.51,"Kuhnel, Joel",676369,669270,,foul,,,,,5,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,,,2,2,2023,-0.54,0.73,0.08,2.73,,,,2,8,Bot,,,,,,,7.886920410737188,-136.35853963251927,-3.1197881125972535,-8.459068160152977,28.490116977742854,-22.614260924057515,3.45,1.7,254,92.0,51,95.7,2215,7.3,716560,673237,547989,514888,608324,665161,676801,643289,663656,53.16,,,,,,,,77,5,4-Seam Fastball,10,6,10,6,6,10,10,6,Standard,Standard,234,0.0,0.0,81.5,7.0,,0.0,92.0,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,1.86,0.54,0.54,21.4
SL,2023-09-16,85.6,-2.75,5.45,"Kuhnel, Joel",676369,669270,,ball,,,,,14,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,B,,,1,2,2023,0.44,-0.11,1.88,0.94,,,,2,8,Bot,,,,,,,10.232102541193203,-124.28374646258146,-4.241571739346134,2.761970599180506,22.759187994838506,-32.670045495130935,3.65,1.7,,,,87.7,2426,7.5,716560,673237,547989,514888,608324,665161,676801,643289,663656,52.96,,,,,,,,77,4,Slider,10,6,10,6,6,10,10,6,Standard,Standard,83,0.0,0.041,,,,-0.041,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,3.21,-0.44,-0.44,21.6
FF,2023-09-16,94.7,-1.97,5.73,"Kuhnel, Joel",676369,669270,,ball,,,,,12,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,B,,,0,2,2023,-0.45,1.1,0.93,3.64,,,,2,8,Bot,,,,,,,8.671162657170706,-137.77345981274175,-2.308360417170589,-7.545868281774515,28.512149836980388,-17.752527326689304,3.45,1.82,,,,95.9,2204,6.8,716560,673237,547989,514888,608324,665161,676801,643289,663656,53.68,,,,,,,,77,3,4-Seam Fastball,10,6,10,6,6,10,10,6,Standard,Standard,231,0.0,0.022,,,,-0.022,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,1.43,0.45,0.45,27.4
SL,2023-09-16,85.4,-2.86,5.56,"Kuhnel, Joel",676369,669270,,swinging_strike,,,,,9,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,,,0,1,2023,0.48,0.07,0.82,1.82,,,,2,8,Bot,,,,,,,7.905944315731003,-124.26309251570729,-2.7137733296004294,3.443916674734006,24.38410616571741,-31.09054917289386,3.45,1.7,,,,87.6,2393,7.6,716560,673237,547989,514888,608324,665161,676801,643289,663656,52.88,,,,,,,,77,2,Slider,10,6,10,6,6,10,10,6,Standard,Standard,98,0.0,-0.061,75.1,8.4,,0.061,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,3.05,-0.48,-0.48,23.6
SL,2023-09-16,84.9,-2.92,5.63,"Kuhnel, Joel",676369,669270,,swinging_strike,,,,,6,Nelson Velazquez strikes out swinging.,R,R,R,KC,HOU,S,,,0,0,2023,0.45,0.34,0.36,2.32,,,,2,8,Bot,,,,,,,6.895773860303236,-123.47406544777328,-2.1472816282083387,3.349127414443728,23.609362314253556,-28.46733364019489,3.45,1.7,,,,86.7,2391,7.4,716560,673237,547989,514888,608324,665161,676801,643289,663656,53.15,,,,,,,,77,1,Slider,10,6,10,6,6,10,10,6,Standard,Standard,81,0.0,-0.045,71.2,8.8,,0.045,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,2.81,-0.45,-0.45,23.3
FF,2023-09-16,93.2,-2.61,5.64,"Kuhnel, Joel",669004,669270,field_out,hit_into_play,,,,,4,MJ Melendez flies out to left fielder Chas McCormick.,R,L,R,KC,HOU,X,7,fly_ball,3,2,2023,-0.56,0.89,-0.36,2.57,,,,1,8,Bot,88.84,75.72,,,,,7.206253787035348,-135.61591775297322,-4.219653213974622,-8.452081105867295,27.50362841291288,-20.40360557865012,3.28,1.56,320,98.3,42,95.8,2174,7.6,716560,673237,547989,514888,608324,665161,676801,643289,663656,52.87,0.077,0.142,0.0,1,0,0,3,76,6,4-Seam Fastball,10,6,10,6,6,10,10,6,Infield shade,Standard,236,0.0,-0.328,75.1,7.6,0.271,0.328,98.3,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,1.72,0.56,-0.56,23.6
FF,2023-09-16,94.1,-2.64,5.57,"Kuhnel, Joel",669004,669270,,ball,,,,,11,MJ Melendez flies out to left fielder Chas McCormick.,R,L,R,KC,HOU,B,,,2,2,2023,-0.85,0.89,-1.71,2.55,,,,1,8,Bot,,,,,,,4.3605959798921266,-136.98753674239612,-4.204487904106495,-11.602269535954166,28.56900048280966,-20.214306150410465,3.44,1.64,,,,95.9,2085,7.2,716560,673237,547989,514888,608324,665161,676801,643289,663656,53.33,,,,,,,,76,5,4-Seam Fastball,10,6,10,6,6,10,10,6,Infield shade,Standard,236,0.0,0.094,,,,-0.094,,4,4,0.988,0.988,28,24,28,25,1,4,4,1,,1,1.67,0.85,-0.85,20.5
