pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-09-03,82.8,-1.08,6.33,"Lambert, Jimmy",681481,669424,,foul,,,,,8,Kerry Carpenter strikes out swinging.,R,L,R,CWS,DET,S,,,2,0,2023,0.18,-0.04,0.21,2.02,,,679529,2,5,Top,,,,,,,2.5535520371237563,-120.68990310236164,-3.3804732277000245,1.401397749638262,19.849226322976577,-32.22174671326646,3.31,1.58,179,79.9,17,82.7,2440,5.8,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.68,,,,,,,,41,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,62,0.0,-0.051,77.0,8.4,,0.051,88.0,0,0,0.534,0.466,28,25,29,26,1,2,4,1,,2,3.32,-0.18,0.18,52.3
FF,2023-09-03,89.8,-1.09,6.4,"Lambert, Jimmy",681481,669424,,ball,,,,,11,Kerry Carpenter strikes out swinging.,R,L,R,CWS,DET,B,,,1,0,2023,0.07,1.37,-1.43,3.61,,,679529,2,5,Top,,,,,,,-0.9751855503608436,-130.8460522811351,-3.8341061043371862,1.0105823436921944,27.077066337882556,-15.798231916958638,3.19,1.48,,,,89.1,2136,5.7,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.76,,,,,,,,41,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,207,0.0,0.037,,,,-0.037,,0,0,0.534,0.466,28,25,29,26,1,2,4,1,,2,1.44,-0.07,0.07,52.1
KC,2023-09-03,72.1,-0.99,6.45,"Lambert, Jimmy",681481,669424,,ball,,,,,11,Kerry Carpenter strikes out swinging.,R,L,R,CWS,DET,B,,,0,0,2023,0.86,-1.49,-1.32,2.46,,,679529,2,5,Top,,,,,,,-2.0837983992777462,-104.93599544905096,2.078935475683742,6.689215871428047,19.660329054954666,-43.71078541551614,3.08,1.52,,,,70.9,2597,5.6,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.9,,,,,,,,41,1,Knuckle Curve,2,2,2,2,2,2,2,2,Standard,Standard,21,0.0,0.03,,,,-0.03,,0,0,0.534,0.466,28,25,29,26,1,2,4,1,,2,5.91,-0.86,0.86,56.9
SL,2023-09-03,83.4,-1.16,6.29,"Lambert, Jimmy",679529,669424,walk,blocked_ball,,,,,14,Spencer Torkelson walks.,R,R,R,CWS,DET,B,,,3,2,2023,0.05,-0.22,0.85,0.71,,,,2,5,Top,,,,,,,4.498094609887143,-121.49847260359438,-6.04766797235394,-0.2807975786835046,20.562044242442543,-33.508107967952846,3.28,1.47,,,,83.4,2552,5.9,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.59,,0.695903,0.7,1,0,0,,40,6,Slider,2,2,2,2,2,2,2,2,Standard,Standard,18,-0.017,0.286,,,,-0.286,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,3.45,-0.05,-0.05,49.0
FF,2023-09-03,89.8,-1.27,6.34,"Lambert, Jimmy",679529,669424,,ball,,,,,11,Spencer Torkelson walks.,R,R,R,CWS,DET,B,,,2,2,2023,-0.45,1.45,-1.92,3.43,,,,2,5,Top,,,,,,,-0.6409083411218143,-130.90293757823613,-4.32155897065935,-5.1262212381619925,25.57383287110779,-14.7403119285624,3.19,1.42,,,,89.4,2200,5.8,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.71,,,,,,,,40,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,209,0.0,0.104,,,,-0.104,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,1.35,0.45,0.45,48.9
SL,2023-09-03,80.2,-1.13,6.35,"Lambert, Jimmy",679529,669424,,swinging_strike,,,,,9,Spencer Torkelson walks.,R,R,R,CWS,DET,S,,,2,1,2023,0.22,-0.33,0.31,2.0,,,,2,5,Top,,,,,,,2.750410324836186,-116.85885452723508,-2.306412391090567,1.4870616922757158,21.972774693957437,-34.948425929686614,3.4,1.57,,,,79.9,2565,6.0,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.47,,,,,,,,40,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,37,0.0,-0.081,71.5,8.9,,0.081,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,3.86,-0.22,-0.22,52.6
SL,2023-09-03,83.0,-1.23,6.24,"Lambert, Jimmy",679529,669424,,called_strike,,,,,2,Spencer Torkelson walks.,R,R,R,CWS,DET,S,,,2,0,2023,0.24,0.01,0.14,2.65,,,,2,5,Top,,,,,,,2.6448581897842782,-120.92677379099403,-1.7962222318170036,1.8133338309308693,22.85625510848347,-31.93060558162095,3.15,1.44,,,,82.6,2463,5.9,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.63,,,,,,,,40,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,91,0.0,-0.06,,,,0.06,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,3.28,-0.24,-0.24,47.0
SL,2023-09-03,82.6,-1.16,6.32,"Lambert, Jimmy",679529,669424,,ball,,,,,14,Spencer Torkelson walks.,R,R,R,CWS,DET,B,,,1,0,2023,0.22,-0.06,0.68,1.01,,,,2,5,Top,,,,,,,3.743143675520469,-120.29853346039056,-5.515298049488345,1.4439418373431832,21.389417059746375,-32.00113676248671,3.15,1.47,,,,82.5,2483,6.0,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.48,,,,,,,,40,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,45,0.0,0.056,,,,-0.056,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,3.38,-0.22,-0.22,51.0
SL,2023-09-03,84.7,-1.28,6.31,"Lambert, Jimmy",679529,669424,,ball,,,,,14,Spencer Torkelson walks.,R,R,R,CWS,DET,B,,,0,0,2023,0.29,0.29,0.62,1.24,,,,2,5,Top,,,,,,,3.859861556360616,-123.27343786431084,-6.074096430613779,2.2118528768613346,23.097967683145587,-28.28673482115873,3.1,1.38,,,,84.4,2400,5.9,716734,686676,683734,462101,660162,641313,643217,572204,693049,54.57,,,,,,,,40,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,223,0.0,0.043,,,,-0.043,,0,0,0.551,0.449,28,23,29,24,1,2,4,1,,2,2.87,-0.29,-0.29,50.3
SL,2023-08-30,82.2,-1.32,6.14,"Lambert, Jimmy",656775,669424,field_out,hit_into_play,,,,,8,Cedric Mullins grounds out to first baseman Andrew Vaughn.,R,L,R,BAL,CWS,X,3,ground_ball,1,1,2023,-0.05,-0.02,-0.09,1.97,,,,2,8,Bot,146.61,175.97,,,,,2.8760914800317003,-119.77478491079428,-2.875688053420876,-1.033603040118975,23.513929920148197,-32.03161605642072,3.37,1.57,3,66.9,-38,81.6,2293,5.8,716786,518735,683734,672820,462101,641313,643217,673357,693049,54.67,0.1,0.104,0.0,1,0,0,2,74,3,Slider,5,10,5,10,10,5,5,10,Standard,Standard,73,-0.002,-0.261,76.4,8.2,0.112,0.261,88.0,-5,-5,0.007,0.007,28,28,29,29,1,3,4,1,4,2,3.39,0.05,-0.05,48.5
