pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-18,,,,"Lee, Chase",681351,695445,strikeout,called_strike,,,,,,Logan O'Hoppe called out on strikes.,S,R,R,LAA,TEX,S,2,,0,2,2023,,,,,,,642136,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.0,,0,0,,14,3,,0,0,0,0,0,0,0,0,,,,-0.035,-0.156,,,,0.156,,0,0,0.588,0.588,24,23,25,23,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",681351,695445,,foul_tip,,,,,,Logan O'Hoppe called out on strikes.,S,R,R,LAA,TEX,S,,,0,1,2023,,,,,,,642136,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,14,2,,0,0,0,0,0,0,0,0,,,,0.0,-0.043,,,,0.043,,0,0,0.588,0.588,24,23,25,23,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",681351,695445,,called_strike,,,,,,Logan O'Hoppe called out on strikes.,S,R,R,LAA,TEX,S,,,0,0,2023,,,,,,,642136,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,14,1,,0,0,0,0,0,0,0,0,,,,0.0,-0.036,,,,0.036,,0,0,0.588,0.588,24,23,25,23,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",642136,695445,walk,ball,,,,,,Matt Thaiss walks.,S,L,R,LAA,TEX,B,,,3,0,2023,,,,,,,,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.7,,0,0,,13,4,,0,0,0,0,0,0,0,0,,,,0.038,0.173,,,,-0.173,,0,0,0.55,0.55,24,28,25,28,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",642136,695445,,ball,,,,,,Matt Thaiss walks.,S,L,R,LAA,TEX,B,,,2,0,2023,,,,,,,,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,13,3,,0,0,0,0,0,0,0,0,,,,0.0,0.151,,,,-0.151,,0,0,0.55,0.55,24,28,25,28,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",642136,695445,,ball,,,,,,Matt Thaiss walks.,S,L,R,LAA,TEX,B,,,1,0,2023,,,,,,,,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,13,2,,0,0,0,0,0,0,0,0,,,,0.0,0.071,,,,-0.071,,0,0,0.55,0.55,24,28,25,28,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",642136,695445,,ball,,,,,,Matt Thaiss walks.,S,L,R,LAA,TEX,B,,,0,0,2023,,,,,,,,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,13,1,,0,0,0,0,0,0,0,0,,,,0.0,0.04,,,,-0.04,,0,0,0.55,0.55,24,28,25,28,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",543685,695445,field_out,hit_into_play,,,,,,"Anthony Rendon grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",S,R,R,LAA,TEX,X,6,ground_ball,0,0,2023,,,,,,,665120,2,1,Bot,115.52,160.2,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.0,,0,0,,9,1,,0,0,0,0,0,0,0,0,,,,-0.022,-0.286,,,,0.286,,0,0,0.522,0.522,24,33,25,33,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",665120,695445,single,hit_into_play,,,,,,Jared Walsh singles on a fly ball to right fielder Adolis Garcia.,S,L,R,LAA,TEX,X,9,fly_ball,0,0,2023,,,,,,,,2,1,Bot,173.82,75.54,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.9,,1,0,,8,1,,0,0,0,0,0,0,0,0,,,,0.012,0.344,,,,-0.344,,0,0,0.51,0.51,24,29,25,30,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",570482,695445,field_out,hit_into_play,,,,,,"Gio Urshela grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",S,R,R,LAA,TEX,X,6,ground_ball,0,0,2023,,,,,,,,1,1,Bot,111.97,157.66,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.0,,0,0,,7,1,,0,0,0,0,0,0,0,0,,,,-0.016,-0.267,,,,0.267,,0,0,0.526,0.526,24,31,25,32,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",666160,695445,strikeout,called_strike,,,,,,Mickey Moniak called out on strikes.,S,L,R,LAA,TEX,S,2,,0,2,2023,,,,,,,,0,1,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,0.0,,0,0,,6,3,,0,0,0,0,0,0,0,0,,,,-0.021,-0.169,,,,0.169,,0,0,0.547,0.547,24,25,25,25,1,0,,,,,,,,
,2023-03-18,,,,"Lee, Chase",666160,695445,,swinging_strike,,,,,,Mickey Moniak called out on strikes.,S,L,R,LAA,TEX,S,,,0,1,2023,,,,,,,,0,1,Bot,,,,,,,,,,,,,,,,,,,,,719061,641680,663993,543760,669701,608369,543257,669352,666969,,,,,,,,,6,2,,0,0,0,0,0,0,0,0,,,,0.0,-0.054,,,,0.054,,0,0,0.547,0.547,24,25,25,25,1,0,,,,,,,,
