pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-06-23,59.5,-1.77,6.66,"Lester, Josh",645801,623507,field_out,hit_into_play,,,,,14,Mike Ford pops out to first baseman Ryan O'Hearn.,R,L,R,BAL,SEA,X,3,popup,0,0,2023,-0.72,1.47,1.01,2.17,,608596,677594,2,9,Top,159.3,165.82,,,,,5.305031430571366,-86.56331207113739,-0.4763811569394823,-4.32371992133527,11.360960657586896,-24.89258611666099,3.18,1.47,124,73.1,68,57.2,1662,3.9,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.6,0.003,0.004,0.0,1,0,0,3,74,1,Other,1,13,13,1,13,1,13,1,Standard,Standard,219,0.0,-0.295,,,0.004,0.295,88.0,-12,12,0.0,1.0,28,30,29,31,1,0,,1,,1,4.94,0.72,-0.72,25.4
FA,2023-06-23,59.6,-1.51,6.88,"Lester, Josh",677594,623507,walk,ball,,,,,11,Julio Rodriguez walks.,R,R,R,BAL,SEA,B,,,3,2,2023,-0.67,1.59,-1.43,3.86,,608596,,2,9,Top,,,,,,,1.0301173562162005,-86.76858499646521,1.6580871692406869,-3.554847783513249,11.714547924041304,-24.57039426475685,3.6,1.65,,,,57.5,1550,4.2,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.31,,0.695903,0.7,1,0,0,,73,6,Other,1,13,13,1,13,1,13,1,Standard,Standard,212,0.0,0.162,,,,-0.162,,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,4.81,0.67,0.67,33.6
FA,2023-06-23,58.1,-1.59,6.79,"Lester, Josh",677594,623507,,ball,,,,,11,Julio Rodriguez walks.,R,R,R,BAL,SEA,B,,,2,2,2023,-0.83,1.58,-1.58,3.58,,608596,,2,9,Top,,,,,,,1.0828951949256869,-84.53411589512295,1.7741710031142337,-4.12296774807523,11.361893166125364,-25.022442514147,3.62,1.65,,,,55.6,1587,3.7,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.75,,,,,,,,73,5,Other,1,13,13,1,13,1,13,1,Standard,Standard,222,0.0,0.051,,,,-0.051,,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,5.16,0.83,0.83,28.3
FA,2023-06-23,59.6,-1.54,6.86,"Lester, Josh",677594,623507,,called_strike,,,,,9,Julio Rodriguez walks.,R,R,R,BAL,SEA,S,,,2,1,2023,-0.63,1.56,0.72,1.99,,608596,,2,9,Top,,,,,,,4.403710544521981,-86.78930951482407,-1.2305054089621346,-3.788032367142878,11.617717862418754,-24.32417720483134,3.6,1.61,,,,57.5,1693,4.1,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.36,,,,,,,,73,4,Other,1,13,13,1,13,1,13,1,Standard,Standard,212,0.0,-0.069,,,,0.069,,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,4.83,0.63,0.63,32.2
FA,2023-06-23,57.7,-1.31,7.0,"Lester, Josh",677594,623507,,ball,,,,,13,Julio Rodriguez walks.,R,R,R,BAL,SEA,B,,,1,1,2023,-0.49,1.52,-0.12,1.19,,608596,,2,9,Top,,,,,,,2.445713566539881,-84.06995728941104,-2.0498479236551255,-2.646614123098183,10.752770245316436,-24.855942965349858,3.55,1.56,,,,55.7,1535,4.1,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.43,,,,,,,,73,3,Other,1,13,13,1,13,1,13,1,Standard,Standard,209,0.0,0.021,,,,-0.021,,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,5.27,0.49,0.49,36.6
FA,2023-06-23,58.4,-1.45,6.99,"Lester, Josh",677594,623507,,ball,,,,,11,Julio Rodriguez walks.,R,R,R,BAL,SEA,B,,,0,1,2023,-0.82,1.68,-1.54,3.41,,608596,,2,9,Top,,,,,,,0.9381981671783688,-84.98484436503556,0.9931847450971194,-4.116561782229419,11.64894487224514,-24.373835559023615,3.55,1.61,,,,56.0,1620,3.9,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.62,,,,,,,,73,2,Other,1,13,13,1,13,1,13,1,Standard,Standard,214,0.0,0.02,,,,-0.02,,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,5.0,0.82,0.82,33.5
FA,2023-06-23,58.8,-1.7,6.63,"Lester, Josh",677594,623507,,foul,,,,,6,Julio Rodriguez walks.,R,R,R,BAL,SEA,S,,,0,0,2023,-0.69,1.4,0.77,2.29,,608596,,2,9,Top,,,,,,,4.727550626441453,-85.52868042564243,0.0627310766540405,-4.049197971126133,11.370922916790676,-25.522062413986724,3.37,1.53,144,57.0,53,56.3,1523,3.7,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.76,,,,,,,,73,1,Other,1,13,13,1,13,1,13,1,Standard,Standard,226,0.0,-0.046,,,,0.046,88.0,-12,12,0.0,1.0,28,22,29,23,1,5,,1,,1,5.18,0.69,0.69,24.0
FA,2023-06-23,62.3,-1.9,6.39,"Lester, Josh",672284,623507,strikeout,called_strike,,,,,8,Jarred Kelenic called out on strikes.,R,L,R,BAL,SEA,S,2,,3,2,2023,-0.92,1.4,0.08,1.79,,608596,,1,9,Top,,,,,,,4.520946464656691,-90.59377442218018,-1.3570568256251354,-5.746505693062532,13.01893874296492,-24.445461573727133,3.71,1.72,,,,59.6,1685,3.7,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.75,,0.0,0.0,1,0,0,,72,6,Other,1,13,13,1,13,1,13,1,Standard,Standard,229,0.0,-0.336,,,,0.336,,-12,12,0.0,1.0,28,23,29,24,1,5,,1,,1,4.47,0.92,-0.92,20.6
FA,2023-06-23,59.6,-2.04,6.4,"Lester, Josh",672284,623507,,blocked_ball,,,,,14,Jarred Kelenic called out on strikes.,R,L,R,BAL,SEA,B,,,2,2,2023,-1.09,1.4,1.8,0.27,,608596,,1,9,Top,,,,,,,7.465282203142226,-86.57369748275673,-2.9725554728816364,-6.473673523164201,11.42380126452128,-24.911633107846125,3.64,1.77,,,,57.2,1728,3.9,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.55,,,,,,,,72,5,Other,1,13,13,1,13,1,13,1,Standard,Standard,225,0.0,0.09,,,,-0.09,,-12,12,0.0,1.0,28,23,29,24,1,5,,1,,1,5.01,1.09,-1.09,20.5
FA,2023-06-23,57.7,-1.66,6.68,"Lester, Josh",672284,623507,,foul,,,,,4,Jarred Kelenic called out on strikes.,R,L,R,BAL,SEA,S,,,2,1,2023,-0.88,1.52,-0.45,2.44,,608596,,1,9,Top,,,,,,,2.9595532931608854,-83.97973383001475,0.3395980081555716,-4.54101249000565,10.481087622889545,-25.183178029036835,3.49,1.65,202,76.9,56,55.5,1541,3.9,717651,621532,656811,687401,602104,622761,669720,663630,623993,56.63,,,,,,,,72,4,Other,1,13,13,1,13,1,13,1,Standard,Strategic,219,0.0,-0.09,,,,0.09,88.0,-12,12,0.0,1.0,28,23,29,24,1,5,,1,,1,5.28,0.88,-0.88,25.3
