pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-05-15,72.1,-1.74,6.39,"León, Sandy",607680,506702,field_out,hit_into_play,,,,,11,Kevin Pillar flies out to third baseman Brad Miller in foul territory.,R,R,R,TEX,ATL,X,5,fly_ball,0,1,2023,-0.84,1.56,-0.88,2.85,,,,2,9,Top,103.37,198.57,,,,,2.993266863868551,-104.9241937901499,-2.1785986341585817,-6.677664164602085,18.25100940015214,-20.48938126573855,3.32,1.62,59,73.9,76,69.2,1674,4.0,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.5,0.001,0.0,0.0,1,0,0,3,77,2,Other,0,12,12,0,12,0,12,0,Standard,Strategic,219,0.0,-0.23,,,0.001,0.23,88.0,-12,12,0.0,1.0,34,34,34,34,1,4,,1,,1,2.83,0.84,0.84,40.6
FA,2023-05-15,80.6,-1.74,6.2,"León, Sandy",607680,506702,,foul,,,,,12,Kevin Pillar flies out to third baseman Brad Miller in foul territory.,R,R,R,TEX,ATL,S,,,0,0,2023,-0.53,1.37,0.87,3.13,,,,2,9,Top,,,,,,,6.537767452936771,-117.15766800221095,-2.668441494558957,-6.16866646850528,22.484971079066163,-19.288780684179155,3.32,1.62,183,68.9,39,77.4,1912,4.1,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.39,,,,,,,,77,1,Other,0,12,12,0,12,0,12,0,Standard,Strategic,220,0.0,-0.045,,,,0.045,88.0,-12,12,0.0,1.0,34,34,34,34,1,4,,1,,1,2.15,0.53,0.53,36.3
FA,2023-05-15,82.9,-1.65,6.12,"León, Sandy",542303,506702,home_run,hit_into_play,,,,,1,Marcell Ozuna homers (8) on a fly ball to left center field.   Sean Murphy scores.,R,R,R,TEX,ATL,X,,fly_ball,3,1,2023,-0.71,1.48,-0.41,3.25,,,669221,2,9,Top,64.46,31.94,,,,,4.023609178059802,-120.6351211470874,-2.8646430174539734,-7.739132541641226,24.07037150724768,-17.407730998897044,3.49,1.73,439,106.7,27,79.7,1961,4.1,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.4,0.971,2.0,2.0,1,0,3,6,76,5,Other,0,10,10,0,12,0,12,0,Standard,Strategic,217,0.0,2.104,,,3.842,-2.104,106.7,-10,10,0.0,1.0,34,32,34,33,1,4,,1,,2,1.85,0.71,0.71,36.0
FA,2023-05-15,78.8,-1.47,6.13,"León, Sandy",542303,506702,,called_strike,,,,,2,Marcell Ozuna homers (8) on a fly ball to left center field.   Sean Murphy scores.,R,R,R,TEX,ATL,S,,,3,0,2023,-0.65,1.47,0.14,3.01,,,669221,2,9,Top,,,,,,,4.506119255227208,-114.74016855476664,-2.6216028341043085,-6.598747571348737,21.08632037346846,-18.860705478144176,3.52,1.73,,,,75.6,1884,3.9,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.61,,,,,,,,76,4,Other,0,10,10,0,10,0,10,0,Standard,Strategic,220,0.0,-0.058,,,,0.058,,-10,10,0.0,1.0,34,32,34,33,1,4,,1,,2,2.19,0.65,0.65,35.5
FA,2023-05-15,80.4,-1.51,6.19,"León, Sandy",542303,506702,,ball,,,,,14,Marcell Ozuna homers (8) on a fly ball to left center field.   Sean Murphy scores.,R,R,R,TEX,ATL,B,,,2,0,2023,-0.75,1.3,0.64,1.35,,,669221,2,9,Top,,,,,,,5.9276416654462585,-116.82965151223272,-6.257575312464248,-7.983244874137316,22.09263426871076,-19.286402000687232,3.46,1.73,,,,77.4,1880,4.2,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.3,,,,,,,,76,3,Other,0,10,10,0,10,0,10,0,Standard,Strategic,219,0.0,0.104,,,,-0.104,,-10,10,0.0,1.0,34,32,34,33,1,4,,1,,2,2.24,0.75,0.75,40.5
FA,2023-05-15,81.1,-1.82,5.84,"León, Sandy",542303,506702,,ball,,,,,14,Marcell Ozuna homers (8) on a fly ball to left center field.   Sean Murphy scores.,R,R,R,TEX,ATL,B,,,1,0,2023,-0.79,1.35,2.4,2.32,,,669221,2,9,Top,,,,,,,10.52403424120526,-117.57008866713856,-3.696116918330354,-9.273474160024811,22.02115075034391,-19.07589967482645,3.41,1.73,,,,78.3,1896,4.5,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.02,,,,,,,,76,2,Other,0,10,10,0,10,0,10,0,Standard,Strategic,227,0.0,0.037,,,,-0.037,,-10,10,0.0,1.0,34,32,34,33,1,4,,1,,2,2.13,0.79,0.79,30.8
FA,2023-05-15,83.1,-1.52,6.2,"León, Sandy",542303,506702,,ball,,,,,12,Marcell Ozuna homers (8) on a fly ball to left center field.   Sean Murphy scores.,R,R,R,TEX,ATL,B,,,0,0,2023,-0.65,1.3,1.88,3.39,,,669221,2,9,Top,,,,,,,8.700154865127153,-120.67796635881864,-2.4252085848142766,-8.012757725385176,23.4437137228018,-19.186350777686005,3.52,1.73,,,,80.0,1917,4.3,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.24,,,,,,,,76,1,Other,0,10,10,0,10,0,10,0,Standard,Strategic,216,0.0,0.03,,,,-0.03,,-10,10,0.0,1.0,34,32,34,33,1,4,,1,,2,2.01,0.65,0.65,37.8
FA,2023-05-15,83.3,-2.09,5.86,"León, Sandy",669221,506702,hit_by_pitch,hit_by_pitch,,,,,11,Sean Murphy hit by pitch.,R,R,R,TEX,ATL,B,,,0,0,2023,-0.95,1.12,-1.7,4.1,,,,2,9,Top,,,,,,,2.638518510653266,-121.22997780509913,0.1818345722720259,-9.905739554351412,24.444968208368273,-21.44775704453523,3.41,1.65,,,,80.1,1893,4.1,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.38,,0.726005,0.7,1,0,0,,75,1,Other,0,10,10,0,10,0,10,0,Standard,Strategic,226,0.0,0.348,,,,-0.348,,-10,10,0.0,1.0,34,28,34,29,1,4,,2,,1,2.18,0.95,0.95,28.1
FA,2023-05-15,82.4,-2.01,5.86,"León, Sandy",663586,506702,field_out,hit_into_play,,,,,2,Austin Riley flies out to first baseman Nathaniel Lowe in foul territory.,R,R,R,TEX,ATL,X,3,fly_ball,0,1,2023,-0.87,1.29,0.09,3.29,,,,1,9,Top,145.95,189.07,,,,,6.216021652927657,-119.92061824000533,-1.766172641568452,-9.631540783344091,23.95496148705564,-19.640361408912295,3.45,1.64,59,84.2,77,79.3,1884,4.2,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.28,0.003,0.003,0.0,1,0,0,3,74,2,Other,0,10,10,0,10,0,10,0,Standard,Strategic,231,0.0,-0.227,,,0.003,0.227,88.0,-10,10,0.0,1.0,34,26,34,26,1,4,,1,,1,2.08,0.87,0.87,29.0
FA,2023-05-15,81.6,-1.91,5.99,"León, Sandy",663586,506702,,foul,,,,,5,Austin Riley flies out to first baseman Nathaniel Lowe in foul territory.,R,R,R,TEX,ATL,S,,,0,0,2023,-0.82,1.24,-0.1,2.61,,,,1,9,Top,,,,,,,5.419972241011174,-118.76865881939908,-3.317372687619932,-8.789175942329559,22.71794989329732,-20.02396641847838,3.45,1.64,190,79.9,15,78.6,1976,4.2,718165,669087,663993,543760,543543,677649,543257,665750,669352,56.32,,,,,,,,74,1,Other,0,10,10,0,10,0,10,0,Standard,Strategic,225,0.0,-0.041,,,,0.041,88.0,-10,10,0.0,1.0,34,26,34,26,1,4,,1,,1,2.18,0.82,0.82,30.1
