pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-30,92.4,-1.18,5.09,"Lively, Ben",660766,594902,walk,ball,,,,,14,Juan Yepez walks.,R,R,R,STL,CIN,B,,,3,2,2023,-1.05,0.93,2.13,1.41,,,,2,5,Bot,,,,,,,10.900342961241105,-134.15008425015773,-5.657710545414632,-14.909659672431673,27.335791541632904,-19.913147341672136,3.47,1.72,,,,94.0,1969,7.2,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.28,,0.695903,0.7,1,0,0,,56,6,Sinker,11,5,11,5,5,11,11,5,Strategic,Standard,218,0.001,0.286,,,,-0.286,,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,1.74,1.05,1.05,36.5
SI,2023-09-30,91.1,-1.29,5.13,"Lively, Ben",660766,594902,,foul,,,,,1,Juan Yepez walks.,R,R,R,STL,CIN,S,,,3,1,2023,-1.09,0.87,-0.44,3.34,,,,2,5,Bot,,,,,,,4.563210626872411,-132.68045290861477,-0.4953845586371467,-13.811932126859936,27.07995718697684,-21.988113968619498,3.31,1.63,114,76.6,12,92.8,1797,7.2,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.32,,,,,,,,56,5,Sinker,11,5,11,5,5,11,11,5,Standard,Standard,215,0.0,-0.093,76.9,6.7,,0.093,88.0,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,1.86,1.09,1.09,37.2
FF,2023-09-30,91.4,-1.25,5.19,"Lively, Ben",660766,594902,,ball,,,,,12,Juan Yepez walks.,R,R,R,STL,CIN,B,,,2,1,2023,-0.42,1.23,0.94,3.08,,,,2,5,Bot,,,,,,,6.522813666986127,-133.0233753075604,-2.1336649436516004,-6.326640770073824,27.368803802646532,-17.288663664590047,3.42,1.72,,,,92.8,1901,7.0,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.47,,,,,,,,56,4,4-Seam Fastball,11,5,11,5,5,11,11,5,Standard,Standard,212,0.0,0.116,,,,-0.116,,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,1.49,0.42,0.42,36.7
ST,2023-09-30,78.8,-1.54,5.03,"Lively, Ben",660766,594902,,called_strike,,,,,7,Juan Yepez walks.,R,R,R,STL,CIN,S,,,2,0,2023,0.82,0.19,-0.45,2.16,,,,2,5,Bot,,,,,,,0.8444052803135792,-114.78848202249966,0.2242558828091996,7.135924680590363,20.970880556906184,-30.70129003620318,3.32,1.72,,,,79.8,1928,6.9,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.63,,,,,,,,56,3,Sweeper,11,5,11,5,5,11,11,5,Standard,Standard,85,0.0,-0.06,,,,0.06,,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,3.46,-0.82,-0.82,31.5
FF,2023-09-30,90.5,-1.18,5.23,"Lively, Ben",660766,594902,,ball,,,,,12,Juan Yepez walks.,R,R,R,STL,CIN,B,,,1,0,2023,-0.2,1.4,0.95,2.78,,,,2,5,Bot,,,,,,,5.819185274286481,-131.78263720530288,-3.23623631000992,-3.5321324808593064,27.065593020397777,-15.303987698565903,3.34,1.69,,,,91.9,1840,7.0,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.5,,,,,,,,56,2,4-Seam Fastball,11,5,11,5,5,11,11,5,Standard,Standard,209,0.0,0.056,,,,-0.056,,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,1.37,0.2,0.2,43.8
ST,2023-09-30,80.7,-1.34,5.01,"Lively, Ben",660766,594902,,ball,,,,,14,Juan Yepez walks.,R,R,R,STL,CIN,B,,,0,0,2023,0.99,0.43,1.87,0.98,,,,2,5,Bot,,,,,,,5.311787777006306,-117.40719919266778,-3.1097975694103592,8.027858777849987,23.683972563546895,-27.78917276912028,3.42,1.72,,,,81.4,1960,6.9,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.6,,,,,,,,56,1,Sweeper,11,5,11,5,5,11,11,5,Standard,Standard,84,0.0,0.043,,,,-0.043,,6,6,0.978,0.978,31,25,31,25,2,0,3,1,,,3.09,-0.99,-0.99,32.7
CH,2023-09-30,84.6,-1.18,5.17,"Lively, Ben",669242,594902,field_out,hit_into_play,,,,,8,Tommy Edman lines out to first baseman Spencer Steer.,R,L,R,STL,CIN,X,3,line_drive,0,1,2023,-1.29,0.59,0.01,1.48,,,,1,5,Bot,163.43,149.2,,,,,5.434664140645381,-123.116324780884,-3.4742466650473283,-14.199142214586956,24.66041093464818,-25.664418155943565,3.2,1.46,158,77.9,12,85.7,1719,7.0,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.46,0.469,0.432,0.0,1,0,0,4,55,2,Changeup,11,5,11,5,5,11,11,5,Standard,Standard,229,-0.001,-0.227,72.2,7.2,0.519,0.227,88.0,6,6,0.979,0.979,31,28,31,28,2,3,3,1,,1,2.59,1.29,-1.29,39.6
ST,2023-09-30,79.4,-1.66,5.05,"Lively, Ben",669242,594902,,called_strike,,,,,1,Tommy Edman lines out to first baseman Spencer Steer.,R,L,R,STL,CIN,S,,,0,0,2023,0.78,0.24,-0.56,2.9,,,,1,5,Bot,,,,,,,0.9529357280529466,-115.6732188108889,1.6612992280542351,6.818233213412459,22.646550146328373,-30.53694010854584,3.24,1.46,,,,80.1,1902,6.8,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.69,,,,,,,,55,1,Sweeper,11,5,11,5,5,11,11,5,Standard,Standard,82,0.0,-0.041,,,,0.041,,6,6,0.979,0.979,31,28,31,28,2,3,3,1,,1,3.38,-0.78,0.78,32.2
ST,2023-09-30,79.6,-1.46,5.08,"Lively, Ben",691026,594902,field_out,hit_into_play,,,,,2,Masyn Winn pops out to first baseman Spencer Steer in foul territory.,R,R,R,STL,CIN,X,3,popup,2,2,2023,0.74,0.02,0.15,3.05,,,,0,5,Bot,166.49,180.4,,,,,2.1744466819520576,-115.90529448482692,2.2591000819509697,6.312366778258158,20.79698161015208,-32.611500007715904,3.41,1.54,117,76.9,69,80.7,1943,6.9,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.59,0.003,0.003,0.0,1,0,0,3,54,8,Sweeper,11,5,11,5,5,11,11,5,Standard,Standard,82,-0.002,-0.239,73.7,7.0,0.004,0.239,88.0,6,6,0.981,0.981,31,21,31,21,1,2,3,1,,1,3.56,-0.74,-0.74,37.4
SI,2023-09-30,91.8,-1.2,5.18,"Lively, Ben",691026,594902,,foul,,,,,5,Masyn Winn pops out to first baseman Spencer Steer in foul territory.,R,R,R,STL,CIN,S,,,2,2,2023,-0.95,0.92,0.17,2.62,,,,0,5,Bot,,,,,,,5.595177358502804,-133.72158347024944,-2.6835719583611755,-12.554645267477076,27.008292690473706,-20.77100130778028,3.41,1.54,143,72.7,22,93.3,2033,7.0,716372,663886,668715,663697,682622,682829,669222,670770,656413,53.51,,,,,,,,54,7,Sinker,11,5,11,5,5,11,11,5,Standard,Standard,222,0.0,0.0,72.0,6.6,,0.0,88.0,6,6,0.981,0.981,31,21,31,21,1,2,3,1,,1,1.77,0.95,0.95,35.0
