pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-30,93.2,-1.74,5.4,"Llovera, Mauricio",543510,661440,force_out,hit_into_play,,,,,1,"James McCann grounds into a force out, shortstop Trevor Story to second baseman Pablo Reyes.   Anthony Santander out at 2nd.",R,R,R,BAL,BOS,X,6,ground_ball,0,1,2023,-1.58,0.45,-0.61,2.83,,,623993,2,8,Bot,108.72,152.15,,,,,6.3873259390137145,-135.5860875403963,-1.7920106317313045,-20.879694104609737,32.12679950561985,-26.474948835424893,3.37,1.48,43,82.3,0,92.9,1983,6.3,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.17,0.22,0.177,0.0,1,0,0,2,68,2,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,220,-0.001,-0.241,70.9,6.3,0.264,0.241,88.0,4,4,0.988,0.988,27,33,27,33,1,0,3,1,,1,2.19,1.58,1.58,35.6
SI,2023-09-30,93.3,-1.79,5.43,"Llovera, Mauricio",543510,661440,,called_strike,,,,,4,"James McCann grounds into a force out, shortstop Trevor Story to second baseman Pablo Reyes.   Anthony Santander out at 2nd.",R,R,R,BAL,BOS,S,,,0,0,2023,-1.12,0.65,-0.83,2.61,,,623993,2,8,Bot,,,,,,,4.947505450822187,-135.87433192687956,-2.9618649175277434,-15.01475871951204,29.57116782927667,-23.63390215189538,3.44,1.46,,,,93.1,1998,6.1,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.41,,,,,,,,68,1,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,217,0.0,-0.045,,,,0.045,,4,4,0.988,0.988,27,33,27,33,1,0,3,1,,1,1.96,1.12,1.12,38.5
SL,2023-09-30,84.6,-1.73,5.43,"Llovera, Mauricio",656811,661440,strikeout,swinging_strike,,,,,14,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,S,2,,2,2,2023,0.46,0.41,1.48,1.08,,,623993,1,8,Bot,,,,,,,6.563513073453905,-122.98925242886172,-4.61448611095824,3.4175952479435208,24.022140292450217,-27.261027059032887,3.45,1.65,,,,84.5,2353,6.2,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.25,,0.0,0.0,1,0,0,,67,6,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,87,-0.002,-0.23,60.8,8.6,,0.23,,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,2.77,-0.46,0.46,38.6
SI,2023-09-30,92.5,-1.86,5.36,"Llovera, Mauricio",656811,661440,,foul,,,,,4,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,S,,,2,2,2023,-1.53,0.27,-0.52,2.37,,,623993,1,8,Bot,,,,,,,6.7460531459732245,-134.45927130931514,-2.3488498625682936,-19.9875271597907,31.135177716046904,-28.555078043815055,3.45,1.65,183,73.8,20,92.0,2021,6.2,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.28,,,,,,,,67,5,Sinker,5,1,5,1,1,5,5,1,Infield shade,Standard,225,0.0,0.0,65.3,6.6,,0.0,88.0,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,2.41,1.53,-1.53,34.9
SI,2023-09-30,93.6,-1.54,5.43,"Llovera, Mauricio",656811,661440,,ball,,,,,12,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,B,,,1,2,2023,-1.3,0.56,0.94,3.07,,,623993,1,8,Bot,,,,,,,9.279249490173182,-136.03491973511893,-1.5360669445649058,-18.242161588051275,31.736840093274463,-25.101877488143316,3.66,1.77,,,,93.4,2146,6.4,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.09,,,,,,,,67,4,Sinker,5,1,5,1,1,5,5,1,Infield shade,Standard,222,0.0,0.047,,,,-0.047,,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,2.06,1.3,-1.3,33.2
SL,2023-09-30,83.1,-1.96,5.41,"Llovera, Mauricio",656811,661440,,called_strike,,,,,8,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,S,,,1,1,2023,1.13,0.24,-0.03,1.79,,,623993,1,8,Bot,,,,,,,2.1988282528276675,-120.92609673873402,-2.2619804136768815,10.537758500076182,25.287654464696672,-29.56846501758721,3.57,1.7,,,,82.2,2455,5.8,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.66,,,,,,,,67,3,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,70,0.0,-0.055,,,,0.055,,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,3.08,-1.13,1.13,30.5
SL,2023-09-30,84.4,-1.96,5.45,"Llovera, Mauricio",656811,661440,,ball,,,,,11,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,B,,,0,1,2023,0.44,0.09,-1.48,3.48,,,623993,1,8,Bot,,,,,,,0.2386220924731519,-123.00994656083157,1.549451851081695,4.470548214952403,23.83926906315208,-31.816505515032738,3.69,1.72,,,,84.0,2392,5.9,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.59,,,,,,,,67,2,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,105,0.0,0.025,,,,-0.025,,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,3.1,-0.44,0.44,37.1
SL,2023-09-30,82.2,-2.01,5.3,"Llovera, Mauricio",656811,661440,,swinging_strike,,,,,14,Ryan O'Hearn strikes out swinging.,R,L,R,BAL,BOS,S,,,0,0,2023,1.08,0.28,0.59,1.49,,,623993,1,8,Bot,,,,,,,3.7724467896063887,-119.72028551402154,-2.6287744019313877,9.58056084744536,24.44441845966083,-29.135340343827583,3.45,1.65,,,,81.6,2565,6.0,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.54,,,,,,,,67,1,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,63,0.0,-0.042,,,,0.042,,4,4,0.99,0.99,27,29,27,30,1,3,3,1,,1,3.1,-1.08,1.08,31.9
SI,2023-09-30,93.1,-1.63,5.37,"Llovera, Mauricio",623993,661440,single,hit_into_play,,,,,6,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,X,9,line_drive,2,2,2023,-1.19,0.3,0.53,2.67,683002,622761,,1,8,Bot,177.74,129.15,,,,,8.154238462025916,-135.37446712110014,-1.8090458471227833,-16.412313182038556,29.362800733142773,-28.23661078975368,3.37,1.62,210,90.6,14,93.1,2063,6.3,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.16,0.969,0.913,0.9,1,1,0,4,66,6,Sinker,3,1,3,1,1,5,5,1,Strategic,Standard,222,0.025,0.599,70.4,6.5,1.115,-0.599,90.6,2,2,0.965,0.965,27,28,27,29,1,3,3,2,,1,2.33,1.19,-1.19,35.0
SI,2023-09-30,93.4,-1.65,5.55,"Llovera, Mauricio",623993,661440,,ball,,,,,12,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,B,,,1,2,2023,-1.22,0.65,1.82,3.31,683002,,622761,1,8,Bot,,,,,,,11.511221903843362,-135.60186420295545,-1.4186363569996456,-17.5763863314333,29.179043379686412,-24.07045601880547,3.44,1.69,,,,92.6,2039,5.9,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.57,,,,,,,,66,5,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,222,0.005,0.04,,,,-0.04,,2,2,0.96,0.96,27,28,27,29,1,3,3,2,,1,1.97,1.22,-1.22,40.3
SL,2023-09-30,84.7,-1.76,5.45,"Llovera, Mauricio",623993,661440,,foul,,,,,8,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,S,,,1,2,2023,0.14,-0.25,0.06,1.61,683002,,622761,1,8,Bot,,,,,,,3.9667979276417937,-123.3930582165432,-2.1645365255003206,0.6122617251659751,24.30886340674713,-34.46546455661994,3.37,1.62,321,87.5,31,84.6,2336,6.1,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.38,,,,,,,,66,4,Slider,3,1,3,1,1,3,3,1,Standard,Standard,74,0.0,0.0,74.7,8.0,,0.0,88.0,2,2,0.96,0.96,27,28,27,29,1,3,3,2,,1,3.41,-0.14,0.14,34.6
SL,2023-09-30,82.7,-1.85,5.45,"Llovera, Mauricio",623993,661440,,blocked_ball,,,,,14,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,B,,,0,2,2023,0.86,-0.08,1.63,0.74,683002,,622761,1,8,Bot,,,,,,,6.2099338795983305,-120.22749288912964,-3.9923277599297617,6.952025066835933,25.96958198293527,-32.269560925627005,3.39,1.6,,,,82.0,2500,6.1,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.38,,,,,,,,66,3,Slider,3,1,3,1,1,3,3,1,Standard,Standard,62,0.0,0.002,,,,-0.002,,2,2,0.96,0.96,27,28,27,29,1,3,3,2,,1,3.45,-0.86,0.86,34.0
SI,2023-09-30,93.6,-1.83,5.51,"Llovera, Mauricio",623993,661440,,swinging_strike,,,,,2,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,S,,,0,1,2023,-1.16,0.43,0.08,3.28,683002,,622761,1,8,Bot,,,,,,,7.413905356669089,-136.0062659507037,-0.9237268493945388,-16.090411405584423,32.298382221267175,-26.841440372120505,3.37,1.62,,,,92.2,1957,5.7,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.76,,,,,,,,66,2,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,227,0.0,-0.065,73.7,7.5,,0.065,,2,2,0.96,0.96,27,28,27,29,1,3,3,2,,1,2.19,1.16,-1.16,36.4
SL,2023-09-30,84.9,-1.92,5.37,"Llovera, Mauricio",623993,661440,,swinging_strike,,,,,7,Anthony Santander singles on a line drive to right fielder Adam Duvall.   Gunnar Henderson scores.    Jorge Mateo scores.,R,L,R,BAL,BOS,S,,,0,0,2023,0.79,0.41,-0.48,1.59,683002,,622761,1,8,Bot,,,,,,,1.796726135602431,-123.56563824148654,-3.256660935234341,7.608188120368467,27.817573469662207,-27.513432471800975,3.37,1.62,,,,84.1,2401,6.1,716377,624512,457759,622569,646240,596115,677800,678882,594807,54.44,,,,,,,,66,1,Slider,3,1,3,1,1,3,3,1,Standard,Standard,79,0.0,-0.044,70.9,9.0,,0.044,,2,2,0.96,0.96,27,28,27,29,1,3,3,2,,1,2.78,-0.79,0.79,36.1
