pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-07-18,84.0,2.05,5.92,"Lynch IV, Daniel",668670,663738,field_out,hit_into_play,,,,,9,"Jake Rogers grounds out, shortstop Bobby Witt Jr. to first baseman Nick Pratto.",R,R,L,KC,DET,X,6,ground_ball,1,1,2023,0.55,1.16,0.49,1.94,,,,2,5,Top,105.88,165.72,,,,,-4.753149658091638,-122.25454445157943,-5.231835771102212,6.418695320060178,21.344125521650856,-19.74206184602738,3.36,1.53,33,87.8,-1,85.2,1787,6.8,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.7,0.263,0.23,0.0,1,0,0,2,43,3,Changeup,7,5,5,7,5,7,5,7,Infield shade,Standard,130,0.012,-0.261,72.5,7.8,0.31,0.261,88.0,2,-2,0.808,0.192,26,28,27,28,3,2,11,2,,1,2.04,0.55,-0.55,42.1
SL,2023-07-18,87.0,1.74,5.91,"Lynch IV, Daniel",668670,663738,,ball,,,,,13,"Jake Rogers grounds out, shortstop Bobby Witt Jr. to first baseman Nick Pratto.",R,R,L,KC,DET,B,,,0,1,2023,-0.4,0.47,-1.35,1.25,,,,2,5,Top,,,,,,,-6.705003502223192,-126.5509293526496,-6.083264168332225,-3.0145358684317056,24.49407411166232,-26.145994423519895,3.31,1.51,,,,88.5,2284,7.1,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.37,,,,,,,,43,2,Slider,7,5,5,7,5,7,5,7,Infield shade,Standard,176,0.0,0.031,,,,-0.031,,2,-2,0.808,0.192,26,28,27,28,3,2,11,2,,1,2.54,-0.4,0.4,45.9
CH,2023-07-18,85.3,1.9,5.87,"Lynch IV, Daniel",668670,663738,,foul,,,,,11,"Jake Rogers grounds out, shortstop Bobby Witt Jr. to first baseman Nick Pratto.",R,R,L,KC,DET,S,,,0,0,2023,0.47,1.08,-0.89,2.67,,,,2,5,Top,,,,,,,-7.590731710541557,-124.05608394008672,-3.4551564648473234,6.368619430792312,24.27377839192359,-20.510844943443143,3.36,1.53,230,74.1,30,86.4,1734,7.0,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.5,,,,,,,,43,1,Changeup,7,5,5,7,5,7,5,7,Infield shade,Standard,129,0.0,-0.045,72.0,8.1,,0.045,88.0,2,-2,0.808,0.192,26,28,27,28,3,2,11,2,,1,2.05,0.47,-0.47,39.8
KC,2023-07-18,82.8,1.94,6.06,"Lynch IV, Daniel",681481,663738,field_out,hit_into_play,,,,,5,Kerry Carpenter flies out sharply to right fielder Dairon Blanco.,R,L,L,KC,DET,X,9,fly_ball,0,1,2023,-0.56,0.03,0.15,2.27,,,,1,5,Top,186.42,54.92,,,,,-3.0181151959216557,-120.55760146132091,-2.1960254887313244,-4.842281769020587,24.78827447869641,-31.691402615573356,3.3,1.57,384,104.2,38,83.3,2304,6.8,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.75,0.426,0.841,0.0,1,0,0,6,42,2,Knuckle Curve,7,5,5,7,5,7,5,7,Standard,Standard,296,0.019,-0.227,76.8,7.7,1.657,0.227,104.2,2,-2,0.789,0.211,26,25,27,26,3,2,11,1,,1,3.31,-0.56,-0.56,44.0
SL,2023-07-18,88.2,1.9,5.91,"Lynch IV, Daniel",681481,663738,,swinging_strike,,,,,13,Kerry Carpenter flies out sharply to right fielder Dairon Blanco.,R,L,L,KC,DET,S,,,0,0,2023,0.07,0.38,-0.96,1.05,,,,1,5,Top,,,,,,,-7.1897813631524,-128.1329400696752,-6.601065414286059,2.169363078520147,25.685750136503817,-26.78612765043067,3.3,1.57,,,,89.4,2186,7.1,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.43,,,,,,,,42,1,Slider,7,5,5,7,5,7,5,7,Standard,Standard,167,0.0,-0.041,71.6,8.7,,0.041,,2,-2,0.789,0.211,26,25,27,26,3,2,11,1,,1,2.55,0.07,0.07,42.8
KC,2023-07-18,82.6,1.67,6.18,"Lynch IV, Daniel",679529,663738,home_run,hit_into_play,,,,,8,Spencer Torkelson homers (14) on a fly ball to left field. Andy Ibanez scores. Matt Vierling scores.,R,R,L,KC,DET,X,,fly_ball,1,2,2023,-0.37,0.1,-0.24,2.17,,628451,663837,1,5,Top,41.23,69.54,,,,,-3.66101089409784,-120.40917544314522,-2.940910343709737,-3.013006521280417,20.8405194010925,-30.83812274350257,3.49,1.6,382,102.6,39,83.7,2203,6.7,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.83,0.294,0.551,2.0,1,0,3,5,41,5,Knuckle Curve,7,2,2,7,5,7,5,7,Infield shade,Standard,308,-0.132,1.269,75.3,8.0,1.096,-1.269,102.6,5,-5,0.921,0.079,26,23,27,24,3,2,11,1,,1,3.2,-0.37,0.37,49.9
FF,2023-07-18,93.4,1.85,5.77,"Lynch IV, Daniel",679529,663738,,foul,,,,,12,Spencer Torkelson homers (14) on a fly ball to left field. Andy Ibanez scores. Matt Vierling scores.,R,R,L,KC,DET,S,,,1,2,2023,0.47,1.25,1.02,3.48,,628451,663837,1,5,Top,,,,,,,-3.237440772149278,-136.0556620273699,-2.993372449990625,6.574532586280777,27.2581200132498,-16.12814538098295,3.49,1.6,,,,95.4,2234,7.2,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.29,,,,,,,,41,4,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,152,0.0,0.0,67.7,6.2,,0.0,,5,-5,0.921,0.079,26,23,27,24,3,2,11,1,,1,1.34,0.47,-0.47,42.9
KC,2023-07-18,82.5,1.69,6.17,"Lynch IV, Daniel",679529,663738,,called_strike,,,,,6,Spencer Torkelson homers (14) on a fly ball to left field. Andy Ibanez scores. Matt Vierling scores.,R,R,L,KC,DET,S,,,1,1,2023,-0.25,-0.34,0.79,2.24,,628451,663837,1,5,Top,,,,,,,-1.581723912575208,-120.09794500460244,-1.7148001800679822,-2.078007321768016,24.95635420480377,-35.299878391165024,3.47,1.61,,,,82.8,2283,6.6,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.89,,,,,,,,41,3,Knuckle Curve,7,2,2,7,2,7,2,7,Infield shade,Standard,295,0.0,-0.059,,,,0.059,,5,-5,0.921,0.079,26,23,27,24,3,2,11,1,,1,3.7,-0.25,0.25,48.3
SL,2023-07-18,88.3,1.83,5.91,"Lynch IV, Daniel",679529,663738,,ball,,,,,13,Spencer Torkelson homers (14) on a fly ball to left field. Andy Ibanez scores. Matt Vierling scores.,R,R,L,KC,DET,B,,,0,1,2023,-0.37,0.58,-1.06,0.97,,628451,663837,1,5,Top,,,,,,,-6.350320396891727,-128.3698756897278,-7.231276728296207,-2.79939074617349,26.538023556196777,-24.47542658174487,3.44,1.64,,,,89.5,2101,7.1,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.39,,,,,,,,41,2,Slider,7,2,2,7,2,7,2,7,Infield shade,Standard,166,0.0,0.031,,,,-0.031,,5,-5,0.921,0.079,26,23,27,24,3,2,11,1,,1,2.35,-0.37,0.37,42.4
CH,2023-07-18,84.8,2.02,5.78,"Lynch IV, Daniel",679529,663738,,foul,,,,,5,Spencer Torkelson homers (14) on a fly ball to left field. Andy Ibanez scores. Matt Vierling scores.,R,R,L,KC,DET,S,,,0,0,2023,0.82,0.64,-0.02,2.6,,628451,663837,1,5,Top,,,,,,,-6.450203057154072,-123.4281873395221,-2.4695541497115157,9.562997088885956,22.567889929911026,-25.31411095634841,3.49,1.6,3,91.4,-36,85.8,1668,6.8,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.74,,,,,,,,41,1,Changeup,7,2,2,7,2,7,2,7,Infield shade,Standard,128,0.0,-0.04,74.5,7.5,,0.04,91.4,5,-5,0.921,0.079,26,23,27,24,3,2,11,1,,1,2.51,0.82,-0.82,38.7
CH,2023-07-18,85.7,2.08,5.76,"Lynch IV, Daniel",663837,663738,single,hit_into_play,,,,,6,Matt Vierling singles on a ground ball to center fielder Drew Waters. Andy Ibanez to 2nd.,R,R,L,KC,DET,X,8,ground_ball,2,1,2023,1.24,0.8,0.64,2.69,,,628451,1,5,Top,128.36,96.74,,,,,-5.989075053863309,-124.5997307820163,-2.5811513460402975,14.179426898439257,25.907676351179457,-23.51753708290736,3.51,1.71,57,100.0,1,86.4,1597,6.9,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.61,0.446,0.407,0.9,1,1,0,4,40,4,Changeup,7,2,2,7,2,7,2,7,Standard,Standard,125,-0.021,0.387,69.7,7.6,0.493,-0.387,100.0,5,-5,0.942,0.058,26,26,27,27,3,2,11,1,,1,2.32,1.24,-1.24,36.9
SL,2023-07-18,88.7,1.72,5.84,"Lynch IV, Daniel",663837,663738,,ball,,,,,13,Matt Vierling singles on a ground ball to center fielder Drew Waters. Andy Ibanez to 2nd.,R,R,L,KC,DET,B,,,1,1,2023,0.0,0.55,-0.82,1.19,,,628451,1,5,Top,,,,,,,-6.300991887600954,-128.92879066245592,-6.51089934852253,1.400237823666576,28.86502939028314,-24.769774755972225,3.52,1.83,,,,89.6,2128,7.1,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.44,,,,,,,,40,3,Slider,7,2,2,7,2,7,2,7,Standard,Standard,172,0.0,0.046,,,,-0.046,,5,-5,0.942,0.058,26,26,27,27,3,2,11,1,,1,2.37,0.0,0.0,45.8
FF,2023-07-18,91.7,1.56,6.04,"Lynch IV, Daniel",663837,663738,,called_strike,,,,,6,Matt Vierling singles on a ground ball to center fielder Drew Waters. Andy Ibanez to 2nd.,R,R,L,KC,DET,S,,,1,0,2023,0.44,1.44,0.33,2.8,,,628451,1,5,Top,,,,,,,-4.135248525401166,-133.30973054666524,-5.504998786188886,6.15932661064258,30.809552678803577,-14.047773687753304,3.55,1.8,,,,93.3,2212,7.4,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.06,,,,,,,,40,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,155,0.0,-0.053,,,,0.053,,5,-5,0.942,0.058,26,26,27,27,3,2,11,1,,1,1.29,0.44,-0.44,48.2
FF,2023-07-18,91.8,1.63,5.74,"Lynch IV, Daniel",663837,663738,,ball,,,,,7,Matt Vierling singles on a ground ball to center fielder Drew Waters. Andy Ibanez to 2nd.,R,R,L,KC,DET,B,,,0,0,2023,0.52,1.26,-0.66,1.64,,,628451,1,5,Top,,,,,,,-7.020648545078969,-133.41762733191948,-7.388323800875581,7.681582768671018,27.879806570502907,-15.671595612601648,3.5,1.72,,,,93.4,2208,7.2,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.27,,,,,,,,40,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,149,0.0,0.036,,,,-0.036,,5,-5,0.942,0.058,26,26,27,27,3,2,11,1,,1,1.44,0.52,-0.52,45.0
SL,2023-07-18,86.1,1.94,5.85,"Lynch IV, Daniel",628451,663738,single,hit_into_play,,,,,4,Andy Ibanez singles on a ground ball to third baseman Maikel Garcia.,R,R,L,KC,DET,X,5,ground_ball,1,0,2023,-0.13,0.53,-0.52,2.08,,,,1,5,Top,99.94,170.97,,,,,-5.642231942305099,-125.34641458844187,-3.9272361749362146,-0.4225805769982784,21.825257431693707,-25.989817495847635,3.1,1.46,23,94.1,-5,87.8,2211,7.0,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.5,0.251,0.24,0.9,1,1,0,2,39,2,Slider,7,2,2,7,2,7,2,7,Infield shade,Standard,164,-0.012,0.377,74.4,7.6,0.285,-0.377,94.1,5,-5,0.954,0.046,26,30,27,30,3,2,11,1,,1,2.5,-0.13,0.13,42.7
FF,2023-07-18,91.9,1.61,6.04,"Lynch IV, Daniel",628451,663738,,ball,,,,,12,Andy Ibanez singles on a ground ball to third baseman Maikel Garcia.,R,R,L,KC,DET,B,,,0,0,2023,0.43,1.26,0.53,3.59,,,,1,5,Top,,,,,,,-3.768476773155169,-133.91757035187126,-3.2463136232213783,5.960002791487257,25.3112653746161,-16.436097700976514,3.11,1.52,,,,94.5,2253,7.4,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.06,,,,,,,,39,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,153,0.0,0.039,,,,-0.039,,5,-5,0.954,0.046,26,30,27,30,3,2,11,1,,1,1.4,0.43,-0.43,48.7
SL,2023-07-18,87.3,2.05,6.0,"Lynch IV, Daniel",670097,663738,field_out,hit_into_play,,,,,5,"Zack Short grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,L,KC,DET,X,5,ground_ball,2,1,2023,-0.05,0.46,-0.17,2.05,,,,0,5,Top,96.9,164.87,,,,,-5.297505978881267,-126.98903396350242,-4.3520172988220525,0.5165906486062676,25.75241532348551,-26.46441943367716,3.21,1.5,6,92.7,-18,88.3,2213,6.9,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.58,0.163,0.155,0.0,1,0,0,2,38,4,Slider,7,2,2,7,2,7,2,7,Infield shade,Standard,169,0.011,-0.313,72.9,7.4,0.208,0.313,92.7,5,-5,0.943,0.057,26,28,27,28,2,1,11,2,,1,2.53,-0.05,0.05,46.2
FF,2023-07-18,90.7,1.86,5.84,"Lynch IV, Daniel",670097,663738,,called_strike,,,,,3,"Zack Short grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,L,KC,DET,S,,,2,0,2023,0.19,1.35,0.76,2.74,,,,0,5,Top,,,,,,,-3.240878534901233,-132.1213339910983,-4.836415655772932,2.8647084627102055,27.650116791500672,-15.56428598209194,3.16,1.51,,,,92.9,2075,7.5,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.03,,,,,,,,38,3,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,154,0.0,-0.065,,,,0.065,,5,-5,0.943,0.057,26,28,27,28,2,1,11,2,,1,1.41,0.19,-0.19,43.5
FF,2023-07-18,90.2,1.86,5.9,"Lynch IV, Daniel",670097,663738,,ball,,,,,14,"Zack Short grounds out, third baseman Maikel Garcia to first baseman Nick Pratto.",R,R,L,KC,DET,B,,,1,0,2023,0.28,1.46,1.07,1.97,,,,0,5,Top,,,,,,,-2.5990127577948496,-131.2680574633356,-7.074975998626766,3.807788213012369,27.51729415451259,-13.967177523747154,3.13,1.51,,,,91.8,2189,7.2,717356,666023,668472,622110,672580,677951,669004,671221,680118,53.26,,,,,,,,38,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,158,0.0,0.071,,,,-0.071,,5,-5,0.943,0.057,26,28,27,28,2,1,11,2,,1,1.34,0.28,-0.28,45.1
