pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-08-02,64.9,-1.86,6.39,"Maile, Luke",663538,571912,field_out,hit_into_play,,,,,2,Nico Hoerner lines out sharply to shortstop Matt McLain.,R,R,R,CHC,CIN,X,6,line_drive,1,0,2023,-0.21,1.7,-0.07,3.01,,600869,,2,8,Bot,102.13,141.48,,,,,3.474187023982222,-94.44775059737198,-0.3929202083030683,-1.800140422442272,13.88631657621948,-22.123885105026805,3.19,1.54,160,100.7,8,64.1,1864,5.5,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.01,0.669,0.609,0.0,1,0,0,4,78,2,Other,16,6,16,6,6,16,16,6,Standard,Standard,198,0.0,-0.315,73.2,7.0,0.729,0.315,100.7,10,10,1.0,1.0,32,26,32,26,1,5,1,1,,1,3.7,0.21,0.21,47.1
FA,2023-08-02,64.5,-1.75,6.4,"Maile, Luke",663538,571912,,ball,,,,,14,Nico Hoerner lines out sharply to shortstop Matt McLain.,R,R,R,CHC,CIN,B,,,0,0,2023,-0.43,1.63,1.14,1.81,,600869,,2,8,Bot,,,,,,,5.715427705422258,-93.7251814564246,-2.289974498990027,-3.4151301267061815,13.999088800638493,-22.40018258940394,3.27,1.54,,,,63.8,1829,5.7,717153,663886,458015,668715,669222,680574,666181,670770,641584,54.79,,,,,,,,78,1,Other,16,6,16,6,6,16,16,6,Standard,Standard,199,0.0,0.02,,,,-0.02,,10,10,1.0,1.0,32,26,32,26,1,5,1,1,,1,3.86,0.43,0.43,46.7
FA,2023-08-02,66.1,-1.91,6.32,"Maile, Luke",643565,571912,field_out,hit_into_play,,,,,3,Mike Tauchman pops out to third baseman Nick Senzel in foul territory.,R,L,R,CHC,CIN,X,5,popup,1,0,2023,-0.35,1.51,0.58,3.2,,600869,,1,8,Bot,99.9,187.77,,,,,4.999487235066761,-96.16048862531576,0.0622751062779214,-2.8917288794963425,14.307588074888264,-23.01822984288443,3.45,1.68,74,61.1,76,65.3,1821,5.5,717153,663886,458015,668715,669222,680574,666181,670770,641584,54.97,0.003,0.003,0.0,1,0,0,3,77,2,Other,16,6,16,6,6,16,16,6,Infield shade,Standard,205,0.0,-0.325,,,0.003,0.325,88.0,10,10,1.0,1.0,32,32,32,33,1,2,1,1,,1,3.7,0.35,-0.35,44.7
FA,2023-08-02,64.5,-1.93,6.39,"Maile, Luke",643565,571912,,ball,,,,,11,Mike Tauchman pops out to third baseman Nick Senzel in foul territory.,R,L,R,CHC,CIN,B,,,0,0,2023,-0.78,1.49,-1.23,3.77,,600869,,1,8,Bot,,,,,,,2.3654709587006084,-93.9275842103106,1.3053393231299832,-4.978227350321084,13.678658149052296,-23.69664902145094,3.45,1.74,,,,63.3,1835,5.1,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.4,,,,,,,,77,1,Other,16,6,16,6,6,16,16,6,Strategic,Standard,207,0.0,0.034,,,,-0.034,,10,10,1.0,1.0,32,32,32,33,1,2,1,1,,1,3.96,0.78,-0.78,41.6
KN,2023-08-02,59.9,-2.32,5.88,"Maile, Luke",600869,571912,double,hit_into_play,,,,,5,Jeimer Candelario doubles (33) on a sharp line drive to right fielder Jake Fraley.,R,L,R,CHC,CIN,X,9,line_drive,0,2,2023,0.33,1.46,-0.06,2.19,,,,1,8,Bot,192.4,62.45,,,,,3.233073977725479,-87.08735101738954,0.8980460132230781,1.1604572871906376,13.540149998954798,-25.18139941851834,3.32,1.65,374,106.0,21,58.9,398,5.6,717153,663886,458015,668715,669222,680574,666181,670770,641584,54.86,0.849,1.36,1.25,1,1,1,6,76,3,Knuckleball,16,6,16,6,6,16,16,6,Infield shade,Standard,223,0.0,0.76,,,2.465,-0.76,106.0,10,10,1.0,1.0,32,29,32,30,1,4,1,1,,1,4.96,-0.33,0.33,31.5
FA,2023-08-02,58.1,-2.55,5.91,"Maile, Luke",600869,571912,,foul,,,,,3,Jeimer Candelario doubles (33) on a sharp line drive to right fielder Jake Fraley.,R,L,R,CHC,CIN,S,,,0,1,2023,-0.29,1.39,0.36,3.02,,,,1,8,Bot,,,,,,,4.962057333188151,-84.46078374884198,2.6120153177496332,-2.039180235042982,10.698081242773494,-26.035355458740835,3.32,1.65,117,49.9,40,57.2,1635,5.3,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.19,,,,,,,,76,2,Other,16,6,16,6,6,16,16,6,Infield shade,Standard,217,0.0,-0.057,,,,0.057,88.0,10,10,1.0,1.0,32,29,32,30,1,4,1,1,,1,5.34,0.29,-0.29,31.0
FA,2023-08-02,64.5,-1.82,6.42,"Maile, Luke",600869,571912,,swinging_strike,,,,,12,Jeimer Candelario doubles (33) on a sharp line drive to right fielder Jake Fraley.,R,L,R,CHC,CIN,S,,,0,0,2023,-0.46,1.49,0.12,3.64,,,,1,8,Bot,,,,,,,4.066398757729916,-93.841827029171,1.012673955790508,-3.329542098035187,13.17324954288847,-23.639684951779117,3.32,1.65,,,,63.6,1809,5.4,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.14,,,,,,,,76,1,Other,16,6,16,6,6,16,16,6,Infield shade,Standard,201,0.0,-0.041,57.9,5.5,,0.041,,10,10,1.0,1.0,32,29,32,30,1,4,1,1,,1,3.95,0.46,-0.46,45.3
FA,2023-08-02,64.3,-1.79,6.48,"Maile, Luke",673548,571912,home_run,hit_into_play,,,,,2,Seiya Suzuki homers (9) on a fly ball to center field.,R,R,R,CHC,CIN,X,,fly_ball,2,1,2023,-0.32,1.69,-0.19,2.62,,,,1,8,Bot,94.63,33.55,,,,,3.262707922871982,-93.68023968762763,-1.1072624455265867,-2.3398313942512203,13.5583890108329,-22.23140308839764,3.14,1.41,416,104.2,35,63.5,1748,5.4,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.07,0.603,1.187,2.0,1,0,3,6,75,4,Other,15,6,15,6,6,16,16,6,Standard,Standard,196,0.0,1.54,86.7,7.5,2.351,-1.54,104.2,9,9,1.0,1.0,32,28,32,29,1,4,1,2,,2,3.79,0.32,0.32,49.1
KN,2023-08-02,64.1,-2.06,6.41,"Maile, Luke",673548,571912,,ball,,,,,11,Seiya Suzuki homers (9) on a fly ball to center field.,R,R,R,CHC,CIN,B,,,1,1,2023,-0.26,1.22,-0.59,4.08,,,,1,8,Bot,,,,,,,2.9529941684677183,-93.29009500600438,2.301513384606472,-1.965979327518332,13.12237775425132,-25.525298448788668,3.29,1.48,,,,63.1,1635,5.3,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.23,,,,,,,,75,3,Knuckleball,15,6,15,6,6,15,15,6,Standard,Standard,198,0.0,0.054,,,,-0.054,,9,9,1.0,1.0,32,28,32,29,1,4,1,2,,2,4.29,0.26,0.26,46.9
FA,2023-08-02,61.1,-2.53,5.8,"Maile, Luke",673548,571912,,ball,,,,,9,Seiya Suzuki homers (9) on a fly ball to center field.,R,R,R,CHC,CIN,B,,,0,1,2023,0.59,1.76,0.34,1.42,,,,1,8,Bot,,,,,,,3.911529463560558,-89.01920184076984,-1.1844636470034964,2.605861205974706,12.09805092178849,-22.80747264345307,3.23,1.5,,,,60.0,1600,5.1,717153,663886,458015,668715,669222,680574,666181,670770,641584,55.43,,,,,,,,75,2,Other,15,6,15,6,6,15,15,6,Standard,Standard,218,0.0,0.03,,,,-0.03,,9,9,1.0,1.0,32,28,32,29,1,4,1,2,,2,4.3,-0.59,-0.59,27.1
