pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-25,82.8,2.43,5.28,"Mautz, Brycen",622700,802408,strikeout,called_strike,,,,,14,Santiago Chavez called out on strikes.,S,R,L,STL,MIA,S,2,,0,2,2023,-0.02,-0.24,0.87,2.07,,,,2,9,Top,,,,,,,-3.5047283737956594,-120.64245174639642,-0.4160972011455566,0.3903096799241369,21.496336840655513,-34.69424713772848,3.13,1.4,,,,83.0,2200,6.1,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.37,,,0.0,,0,0,,69,3,Slider,3,2,2,3,2,3,2,3,Standard,Standard,334,0.035,-0.169,,,,0.169,,1,-1,0.965,0.035,21,27,22,28,1,0,,,,,3.54,-0.02,0.02,
SI,2023-03-25,93.7,2.48,5.21,"Mautz, Brycen",622700,802408,,called_strike,,,,,5,Santiago Chavez called out on strikes.,S,R,L,STL,MIA,S,,,0,1,2023,1.35,0.49,0.14,1.97,,,,2,9,Top,,,,,,,-9.005268210869493,-136.12725378581322,-3.7254490080102873,18.79852726125353,28.75819837000141,-25.442043983689153,3.1,1.45,,,,93.7,2268,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.19,,,,,,,,69,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,122,0.0,-0.061,,,,0.061,,1,-1,0.965,0.035,21,27,22,28,1,0,,,,,2.11,1.35,-1.35,
SL,2023-03-25,81.4,2.5,5.24,"Mautz, Brycen",622700,802408,,called_strike,,,,,8,Santiago Chavez called out on strikes.,S,R,L,STL,MIA,S,,,0,0,2023,-0.15,-0.14,-0.1,1.67,,,,2,9,Top,,,,,,,-5.558057224461872,-118.70728176423282,-1.3061046948650628,-0.6666766620356318,17.28587899891869,-33.533224046226145,2.93,1.4,,,,82.4,2038,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.16,,,,,,,,69,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,345,0.0,-0.045,,,,0.045,,1,-1,0.965,0.035,21,27,22,28,1,0,,,,,3.5,-0.15,0.15,
SL,2023-03-25,82.0,2.45,5.35,"Mautz, Brycen",702476,802408,strikeout,swinging_strike,,,,,14,Noah Williamson strikes out swinging.,S,R,L,STL,MIA,S,2,,0,2,2023,-0.16,-0.31,0.63,1.35,,,,1,9,Top,,,,,,,-3.807770401140463,-119.5859092793656,-2.0289803105078783,-0.9823582418437926,19.15522566134321,-35.015760523460045,3.55,1.63,,,,82.8,1971,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.18,,,0.0,,0,0,,68,3,Slider,3,2,2,3,2,3,2,3,Standard,Standard,7,0.052,-0.17,,,,0.17,,1,-1,0.913,0.087,21,22,22,23,1,0,,,,,3.64,-0.16,0.16,
SL,2023-03-25,80.7,2.37,5.37,"Mautz, Brycen",702476,802408,,called_strike,,,,,12,Noah Williamson strikes out swinging.,S,R,L,STL,MIA,S,,,0,1,2023,-0.06,-0.03,0.89,3.14,,,,1,9,Top,,,,,,,-3.1827875370832603,-117.52091632694363,1.710735939829128,-0.0173070801825397,21.105572213075636,-33.00981097309531,3.63,1.65,,,,80.8,2112,6.2,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.29,,,,,,,,68,2,Slider,3,2,2,3,2,3,2,3,Strategic,Standard,306,0.0,-0.057,,,,0.057,,1,-1,0.913,0.087,21,22,22,23,1,0,,,,,3.51,-0.06,0.06,
SI,2023-03-25,93.3,2.48,5.25,"Mautz, Brycen",702476,802408,,foul,,,,,8,Noah Williamson strikes out swinging.,S,R,L,STL,MIA,S,,,0,0,2023,1.47,0.41,0.22,2.2,,,,1,9,Top,,,,,,,-9.046332077933656,-135.51140040249192,-2.9487317843049596,20.098617744806724,29.691502870177978,-26.70076806450147,3.55,1.63,249,74.3,41,93.1,2117,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.22,,,,,,,,68,1,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,122,0.0,-0.041,,,,0.041,88.0,1,-1,0.913,0.087,21,22,22,23,1,0,,,,,2.22,1.47,-1.47,
CH,2023-03-25,87.1,2.52,5.11,"Mautz, Brycen",578428,802408,strikeout,swinging_strike,,,,,12,Jose Iglesias strikes out swinging.,S,R,L,STL,MIA,S,2,,2,2,2023,0.93,0.92,0.77,3.53,,,,0,9,Top,,,,,,,-6.097122442961021,-126.74612876914132,0.4837577212740114,11.2221919344321,25.786897798961967,-22.564878449181247,3.08,1.4,,,,87.1,1779,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.21,,,0.0,,0,0,,67,7,Changeup,3,2,2,3,2,3,2,3,,,112,0.071,-0.239,,,,0.239,,1,-1,0.842,0.158,21,33,22,33,1,0,,,,,2.08,0.93,-0.93,
SL,2023-03-25,82.9,2.3,5.31,"Mautz, Brycen",578428,802408,,foul,,,,,13,Jose Iglesias strikes out swinging.,S,R,L,STL,MIA,S,,,2,2,2023,-0.08,-0.2,-1.7,0.6,,,,0,9,Top,,,,,,,-8.985554710645852,-120.54032936206076,-3.938342543419578,0.7934627137770928,20.640241332565953,-33.66077917506278,3.08,1.4,9,12.8,62,83.3,2296,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.19,,,,,,,,67,6,Slider,3,2,2,3,2,3,2,3,,,351,0.0,0.0,,,,0.0,88.0,1,-1,0.842,0.158,21,33,22,33,1,0,,,,,3.49,-0.08,0.08,
SI,2023-03-25,93.1,2.62,5.23,"Mautz, Brycen",578428,802408,,foul,,,,,14,Jose Iglesias strikes out swinging.,S,R,L,STL,MIA,S,,,2,2,2023,1.22,0.4,1.21,1.99,,,,0,9,Top,,,,,,,-6.314293626262472,-135.53667881821764,-3.4993688910021112,16.458483725467925,27.14910176415427,-26.646061740212676,3.08,1.4,211,73.4,29,93.4,2241,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.24,,,,,,,,67,5,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,125,0.0,0.0,,,,0.0,88.0,1,-1,0.842,0.158,21,33,22,33,1,0,,,,,2.21,1.22,-1.22,
SL,2023-03-25,80.4,2.57,5.25,"Mautz, Brycen",578428,802408,,swinging_strike,,,,,13,Jose Iglesias strikes out swinging.,S,R,L,STL,MIA,S,,,2,1,2023,-0.14,-0.13,-1.14,0.98,,,,0,9,Top,,,,,,,-7.95272730408256,-116.98335551461324,-2.5787409965086945,0.0816482017352513,20.34521386812467,-33.13165512133492,3.08,1.4,,,,80.6,2229,6.2,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.26,,,,,,,,67,4,Slider,3,2,2,3,2,3,2,3,Standard,Standard,344,0.0,-0.074,,,,0.074,,1,-1,0.842,0.158,21,33,22,33,1,0,,,,,3.64,-0.14,0.14,
