pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-08-02,91.1,1.21,6.06,"McClanahan, Shane",683011,663556,field_out,hit_into_play,,,,,13,"Anthony Volpe grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,X,6,ground_ball,2,2,2023,-0.18,0.77,-0.5,1.46,,,,2,4,Bot,111.67,154.46,,,,,-3.96476783722541,-132.61425633499402,-7.445972058435327,-1.3812642237123312,25.509152408294277,-21.8015070987752,3.24,1.59,17,68.7,-1,92.6,2126,6.9,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.57,0.08,0.086,0.0,1,0,0,2,32,5,Slider,5,2,5,2,2,5,5,2,Infield shade,Standard,155,-0.005,-0.233,60.1,6.9,0.09,0.233,88.0,3,3,0.851,0.851,26,22,26,22,2,1,5,1,,1,1.96,-0.18,0.18,40.4
CH,2023-08-02,86.0,1.01,6.14,"McClanahan, Shane",683011,663556,,swinging_strike,,,,,14,"Anthony Volpe grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,S,,,2,1,2023,1.54,0.51,0.47,1.03,,,,2,4,Bot,,,,,,,-4.444460349364941,-125.0727672466078,-6.995861664558157,17.08005664466411,24.34985602438891,-25.62052300686242,3.24,1.59,,,,87.0,1637,6.9,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.63,,,,,,,,32,4,Changeup,5,2,5,2,2,5,5,2,Infield shade,Standard,117,0.0,-0.081,66.1,9.1,,0.081,,3,3,0.851,0.851,26,22,26,22,2,1,5,1,,1,2.57,1.54,-1.54,42.4
CH,2023-08-02,87.1,1.07,6.17,"McClanahan, Shane",683011,663556,,ball,,,,,14,"Anthony Volpe grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,B,,,1,1,2023,1.36,0.3,1.41,2.22,,,,2,4,Bot,,,,,,,-2.0120787868909926,-126.86523656316946,-3.9975934808709126,15.119799726690625,25.411248525634488,-28.354574989136363,3.26,1.59,,,,88.0,1638,6.7,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.78,,,,,,,,32,3,Changeup,5,2,5,2,2,5,5,2,Infield shade,Standard,117,0.0,0.053,,,,-0.053,,3,3,0.851,0.851,26,22,26,22,2,1,5,1,,1,2.7,1.36,-1.36,41.6
SL,2023-08-02,91.2,1.09,6.13,"McClanahan, Shane",683011,663556,,called_strike,,,,,6,"Anthony Volpe grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,S,,,1,0,2023,0.28,0.54,0.78,2.51,,,,2,4,Bot,,,,,,,-1.391144411028734,-132.93264312782784,-4.483894028139433,3.5571505919500437,25.27118207870918,-25.023888975280013,3.29,1.59,,,,92.7,2180,6.8,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.68,,,,,,,,32,2,Slider,5,2,5,2,2,5,5,2,Infield shade,Standard,159,0.0,-0.056,,,,0.056,,3,3,0.851,0.851,26,22,26,22,2,1,5,1,,1,2.16,0.28,-0.28,39.6
FF,2023-08-02,95.3,0.76,6.34,"McClanahan, Shane",683011,663556,,ball,,,,,13,"Anthony Volpe grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,B,,,0,0,2023,0.92,1.09,-1.16,1.29,,,,2,4,Bot,,,,,,,-7.160395406846741,-138.2271987679364,-10.120013918490422,13.413963093205624,31.90910704872335,-16.039970724841442,3.26,1.59,,,,96.0,2214,7.0,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.53,,,,,,,,32,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shade,Standard,142,0.0,0.043,,,,-0.043,,3,3,0.851,0.851,26,22,26,22,2,1,5,1,,1,1.44,0.92,-0.92,44.9
FF,2023-08-02,96.7,0.54,6.38,"McClanahan, Shane",664056,663556,field_out,hit_into_play,,,,,5,"Harrison Bader grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,X,6,ground_ball,1,2,2023,0.9,1.35,0.02,2.31,,,,1,4,Bot,108.11,146.32,,,,,-3.4743345939349095,-140.5507005995861,-8.399280554043798,12.751361685269911,34.21846546737735,-12.5072343632781,3.09,1.47,23,96.0,-4,97.4,2174,6.9,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.61,0.269,0.28,0.0,1,0,0,2,31,6,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,144,-0.007,-0.189,70.1,6.6,0.301,0.189,96.0,3,3,0.858,0.858,26,29,26,29,2,1,5,1,,1,1.1,0.9,-0.9,47.6
CH,2023-08-02,86.0,1.16,6.18,"McClanahan, Shane",664056,663556,,foul,,,,,12,"Harrison Bader grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,S,,,1,2,2023,1.38,0.54,1.51,3.26,,,,1,4,Bot,,,,,,,-1.9825933716786663,-125.2222353032301,-1.7805800539126238,14.883869020062775,25.71131889757679,-26.304141005123753,3.09,1.47,,,,86.8,1359,6.8,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.71,,,,,,,,31,5,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,113,0.0,0.0,65.0,7.3,,0.0,,3,3,0.858,0.858,26,29,26,29,2,1,5,1,,1,2.54,1.38,-1.38,42.2
SL,2023-08-02,91.2,1.13,6.14,"McClanahan, Shane",664056,663556,,foul,,,,,13,"Harrison Bader grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,S,,,1,2,2023,-0.17,0.48,-0.91,1.77,,,,1,4,Bot,,,,,,,-4.8417705978986945,-132.69845921611522,-6.265743149535068,-1.1187475876657222,25.90276525943795,-25.416622209891628,3.09,1.47,,,,92.8,2142,7.0,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.47,,,,,,,,31,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,162,0.0,0.0,69.0,7.3,,0.0,,3,3,0.858,0.858,26,29,26,29,2,1,5,1,,1,2.24,-0.17,0.17,41.8
CH,2023-08-02,85.8,1.03,6.17,"McClanahan, Shane",664056,663556,,called_strike,,,,,14,"Harrison Bader grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,S,,,1,1,2023,1.33,0.57,0.85,1.59,,,,1,4,Bot,,,,,,,-3.1314222612687197,-124.89478079032192,-5.767601465627198,14.55086084845469,25.17743824151627,-25.26917585347968,2.97,1.29,,,,86.6,1454,6.8,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.73,,,,,,,,31,3,Changeup,5,2,5,2,2,5,5,2,Infield shade,Standard,115,0.0,-0.068,,,,0.068,,3,3,0.858,0.858,26,29,26,29,2,1,5,1,,1,2.53,1.33,-1.33,41.2
SL,2023-08-02,91.0,1.17,6.13,"McClanahan, Shane",664056,663556,,ball,,,,,13,"Harrison Bader grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,NYY,TB,B,,,0,1,2023,-0.29,0.55,-0.64,1.23,,,,1,4,Bot,,,,,,,-3.96859806422599,-132.35829530774933,-7.673926042435288,-2.668170538919772,26.451185144896694,-24.3785186435725,3.08,1.47,,,,92.2,2104,6.9,717160,650907,650490,664040,670623,677551,666139,642350,622534,53.63,,,,,,,,31,2,Slider,5,2,5,2,2,5,5,2,Infield shade,Standard,153,0.0,0.03,,,,-0.03,,3,3,0.858,0.858,26,29,26,29,2,1,5,1,,1,2.19,-0.29,0.29,40.4
