pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-03-24,94.3,0.08,5.85,"McLoughlin, Trey",666018,694381,field_out,hit_into_play,,,,,11,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,X,7,fly_ball,1,2,2023,-0.66,1.5,-0.67,3.36,,641468,666712,2,9,Bot,81.87,66.0,,,,,-0.4723828517741737,-137.27407356890726,-4.110561265510789,-8.172939239311397,33.08164569322744,-12.524786263766291,3.14,1.51,347,93.8,33,95.3,1925,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.43,0.109,,0.0,,0,0,3,82,6,Sinker,2,11,2,11,11,2,2,11,Strategic,Standard,208,0.0,-0.212,,,0.325,0.212,93.8,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,1.08,0.66,-0.66,
CH,2023-03-24,86.4,-0.34,5.73,"McLoughlin, Trey",666018,694381,,foul,,,,,13,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,S,,,1,2,2023,-0.5,0.53,-0.32,0.93,,641468,666712,2,9,Bot,,,,,,,1.0873559901897143,-125.76031472518484,-6.416048653515291,-5.536918653499371,25.6293617646966,-25.449179581936264,3.14,1.51,43,29.0,62,87.9,865,7.2,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.25,,,,,,,,82,5,Changeup,2,11,2,11,11,2,2,11,Standard,Standard,218,0.0,0.0,,,,0.0,88.0,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,2.52,0.5,-0.5,
SI,2023-03-24,93.6,-0.06,5.83,"McLoughlin, Trey",666018,694381,,foul,,,,,1,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,S,,,1,2,2023,-0.67,1.58,-0.6,3.24,,641468,666712,2,9,Bot,,,,,,,0.1000829131618102,-136.13756514516464,-4.407452286201504,-8.232056910706596,33.42328757914332,-11.89629340541963,3.14,1.51,113,83.3,75,94.5,1929,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.36,,,,,,,,82,4,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,207,0.0,0.0,,,,0.0,88.0,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,1.05,0.67,-0.67,
SI,2023-03-24,93.8,-0.07,5.79,"McLoughlin, Trey",666018,694381,,swinging_strike,,,,,12,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,S,,,1,1,2023,-0.65,1.73,0.58,3.72,,641468,666712,2,9,Bot,,,,,,,3.188366468927119,-136.42525152572077,-3.4455924798640645,-8.773015810716046,33.20315006146561,-10.140723728235344,3.14,1.51,,,,95.0,2017,7.2,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.26,,,,,,,,82,3,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,201,0.0,-0.069,,,,0.069,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,0.89,0.65,-0.65,
SI,2023-03-24,93.8,-0.21,5.79,"McLoughlin, Trey",666018,694381,,foul,,,,,4,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,S,,,1,0,2023,-0.6,1.66,-0.57,2.43,,641468,666712,2,9,Bot,,,,,,,0.4012361290038881,-136.4928744870576,-6.6148450429071275,-7.52854096120612,33.3560670370654,-10.181493890053098,3.14,1.51,204,75.2,40,93.9,1995,6.6,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.91,,,,,,,,82,2,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,206,0.0,-0.045,,,,0.045,88.0,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,0.95,0.6,-0.6,
SI,2023-03-24,94.1,-0.11,5.75,"McLoughlin, Trey",666018,694381,,ball,,,,,14,Jonathan Aranda flies out to left fielder Danny Mendick.,S,L,R,TB,NYM,B,,,0,0,2023,-0.58,1.73,0.46,1.32,,641468,666712,2,9,Bot,,,,,,,2.8211549779019105,-136.58833896494158,-9.681917905742337,-7.933544728575306,33.54156669150441,-8.496203242758478,3.42,1.6,,,,95.0,2062,7.2,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.28,,,,,,,,82,1,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,205,0.0,0.03,,,,-0.03,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,0.88,0.58,-0.58,
CH,2023-03-24,87.6,-0.18,5.74,"McLoughlin, Trey",666712,694381,hit_by_pitch,hit_by_pitch,,,,,11,Roberto Alvarez hit by pitch.,S,R,R,TB,NYM,B,,,1,2,2023,-0.7,1.11,-1.38,3.49,,641468,,2,9,Bot,,,,,,,-1.490179482596172,-127.59001984221337,-1.579338577814485,-7.243553017896389,27.898810221440375,-19.95971986737529,3.32,1.51,,,,89.3,979,7.4,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.06,,,0.7,,0,0,,81,4,Changeup,2,11,2,11,11,2,2,11,Standard,Standard,219,0.0,0.222,,,,-0.222,,-9,-9,0.0,0.0,24,23,24,24,1,1,,,,,1.87,0.7,0.7,
SI,2023-03-24,93.9,0.01,5.87,"McLoughlin, Trey",666712,694381,,swinging_strike,,,,,12,Roberto Alvarez hit by pitch.,S,R,R,TB,NYM,S,,,1,1,2023,-0.44,1.55,0.4,3.72,,641468,,2,9,Bot,,,,,,,2.007954406158006,-136.5675720939083,-3.233741219454914,-5.931991012729995,34.607095377443585,-12.373669881899582,3.32,1.51,,,,94.6,2014,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.42,,,,,,,,81,3,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,202,0.0,-0.064,,,,0.064,,-9,-9,0.0,0.0,24,23,24,24,1,1,,,,,1.07,0.44,0.44,
CH,2023-03-24,87.4,-0.08,5.71,"McLoughlin, Trey",666712,694381,,blocked_ball,,,,,13,Roberto Alvarez hit by pitch.,S,R,R,TB,NYM,B,,,0,1,2023,-0.67,0.31,-0.44,0.47,,641468,,2,9,Bot,,,,,,,0.5046762085187152,-127.24499628344311,-7.280461291485167,-7.373536800436515,24.12108875225795,-27.576602472234285,3.35,1.56,,,,89.2,1002,7.2,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.32,,,,,,,,81,2,Changeup,2,11,2,11,11,2,2,11,Standard,Standard,208,0.0,0.02,,,,-0.02,,-9,-9,0.0,0.0,24,23,24,24,1,1,,,,,2.65,0.67,0.67,
SI,2023-03-24,93.4,0.0,5.88,"McLoughlin, Trey",666712,694381,,called_strike,,,,,6,Roberto Alvarez hit by pitch.,S,R,R,TB,NYM,S,,,0,0,2023,-0.41,1.53,0.61,2.38,,641468,,2,9,Bot,,,,,,,2.4847068404716124,-135.86644150138258,-6.623096796202472,-5.673326592754968,32.0007795933383,-11.997704463107471,3.32,1.56,,,,93.6,1997,6.6,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.89,,,,,,,,81,1,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,199,0.0,-0.046,,,,0.046,,-9,-9,0.0,0.0,24,23,24,24,1,1,,,,,1.1,0.41,0.41,
CH,2023-03-24,86.9,-0.28,5.78,"McLoughlin, Trey",660644,694381,strikeout,foul_tip,,,,,5,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,S,2,,3,2,2023,-0.48,0.68,-0.07,2.55,,641468,,1,9,Bot,,,,,,,1.5031196024704512,-126.51543906259364,-2.9940145024191227,-5.439776880955299,26.31386208374664,-24.464326938676116,3.21,1.5,,,,88.2,922,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.37,,,0.0,,0,0,,80,6,Changeup,2,11,2,11,11,2,2,11,Standard,Standard,224,0.0,-0.336,,,,0.336,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,2.34,0.48,-0.48,
SI,2023-03-24,93.6,0.0,5.94,"McLoughlin, Trey",660644,694381,,ball,,,,,11,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,B,,,2,2,2023,-0.57,1.64,-0.17,3.92,,641468,,1,9,Bot,,,,,,,0.8232234007693107,-136.22464829007504,-3.114022686622319,-7.265078092416384,31.85230838144113,-11.3439167197683,3.11,1.4,,,,94.8,2076,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.37,,,,,,,,80,5,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,203,0.0,0.09,,,,-0.09,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,0.97,0.57,-0.57,
SI,2023-03-24,93.3,-0.12,5.8,"McLoughlin, Trey",660644,694381,,foul,,,,,3,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,S,,,2,1,2023,-0.48,1.53,0.35,3.13,,641468,,1,9,Bot,,,,,,,2.26451370654678,-135.72692216127288,-4.424751641698349,-6.4777167145639325,33.35357043586122,-12.633351096803407,3.21,1.5,254,75.3,45,93.1,1819,6.5,718977,605421,668901,606299,683146,660620,664901,641796,621466,54.03,,,,,,,,80,4,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,209,0.0,-0.09,,,,0.09,88.0,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,1.12,0.48,-0.48,
SI,2023-03-24,93.4,-0.08,5.87,"McLoughlin, Trey",660644,694381,,ball,,,,,12,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,B,,,1,1,2023,-0.52,1.67,0.07,5.31,,641468,,1,9,Bot,,,,,,,1.5680947151620326,-135.9155082225573,0.7267694154027626,-6.722806545068005,34.586719437891865,-12.141277351002314,3.15,1.46,,,,94.2,2007,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.39,,,,,,,,80,3,Sinker,2,11,2,11,11,2,2,11,Standard,Standard,206,0.0,0.052,,,,-0.052,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,0.98,0.52,-0.52,
CH,2023-03-24,88.0,-0.42,5.7,"McLoughlin, Trey",660644,694381,,ball,,,,,13,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,B,,,0,1,2023,-0.77,0.14,-0.8,-0.08,,,641468,1,9,Bot,,,,,,,0.7017070253844029,-127.9584259717564,-8.334527322564497,-8.66159318687363,26.099921501021203,-29.12204605667939,3.13,1.44,,,,89.4,982,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.36,,,,,,,,80,2,Changeup,2,11,2,11,11,2,2,11,Infield shade,Standard,217,0.0,0.025,,,,-0.025,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,2.8,0.77,-0.77,
CH,2023-03-24,87.9,-0.27,5.69,"McLoughlin, Trey",660644,694381,,swinging_strike,,,,,14,Vidal Brujan strikes out on a foul tip.,S,L,R,TB,NYM,S,,,0,0,2023,-0.4,0.53,0.17,0.96,,,641468,1,9,Bot,,,,,,,1.9358635345630564,-127.94583967184774,-6.550621321095086,-4.793516705869736,27.53758999919719,-25.16792710452622,3.21,1.5,,,,89.4,1167,7.3,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.19,,,,,,,,80,1,Changeup,2,11,2,11,11,2,2,11,Infield shade,Standard,212,0.0,-0.042,,,,0.042,,-9,-9,0.0,0.0,24,25,24,25,1,1,,,,,2.43,0.4,-0.4,
SI,2023-03-24,93.7,-0.17,5.81,"McLoughlin, Trey",666139,694381,strikeout,called_strike,,,,,6,Josh Lowe called out on strikes.,S,L,R,TB,NYM,S,2,,3,2,2023,-0.59,1.64,0.75,2.6,,,641468,0,9,Bot,,,,,,,3.739752285743587,-136.234353414713,-6.213173436849475,-8.139214601275885,33.01495361243793,-10.647347120587058,3.79,1.93,,,,94.6,1952,7.1,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.4,,,0.0,,0,0,,79,7,Sinker,2,11,2,11,11,2,2,11,Infield shade,Standard,208,-0.001,-0.298,,,,0.298,,-9,-9,0.001,0.001,24,25,24,25,1,3,,,,,0.98,0.59,-0.59,
SI,2023-03-24,93.7,-0.07,5.83,"McLoughlin, Trey",666139,694381,,foul,,,,,4,Josh Lowe called out on strikes.,S,L,R,TB,NYM,S,,,3,2,2023,-0.55,1.54,-0.31,2.4,,,641468,0,9,Bot,,,,,,,0.6067381687133395,-136.32514284923883,-6.620195602794739,-6.951295256984394,32.04777254678638,-11.791298307704624,3.65,1.74,267,87.8,46,95.4,1964,7.5,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.04,,,,,,,,79,6,Sinker,2,11,2,11,11,2,2,11,Infield shade,Standard,210,0.0,0.0,,,,0.0,88.0,-9,-9,0.001,0.001,24,25,24,25,1,3,,,,,1.08,0.55,-0.55,
CH,2023-03-24,85.1,-0.23,5.73,"McLoughlin, Trey",666139,694381,,ball,,,,,11,Josh Lowe called out on strikes.,S,L,R,TB,NYM,B,,,2,2,2023,-0.35,-0.09,-1.91,3.08,,,641468,0,9,Bot,,,,,,,-3.280573295852907,-123.83564841996412,0.3471349180856389,-2.8292366298914087,27.42977280059262,-33.373272647793755,3.74,1.77,,,,85.8,794,7.0,718977,605421,668901,606299,683146,660620,664901,641796,621466,53.49,,,,,,,,79,5,Changeup,2,11,2,11,11,2,2,11,Infield shade,Standard,230,0.0,0.088,,,,-0.088,,-9,-9,0.001,0.001,24,25,24,25,1,3,,,,,3.26,0.35,-0.35,
