pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-24,,,,"Mejia, Ian",594953,681256,field_out,hit_into_play,,,,,,Daniel Palka flies out to right fielder Stephen Paolini.,S,L,R,BOS,ATL,X,9,fly_ball,0,0,2023,,,,,608701,,,2,8,Bot,198.72,97.53,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.0,,0,0,,82,1,,7,5,7,5,5,7,7,5,,,,-0.012,-0.293,,,,0.293,,2,2,0.941,0.941,23,31,23,32,2,0,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",646240,681256,field_out,hit_into_play,,,,,,"Rafael Devers grounds out, shortstop Hoy Park to first baseman Joe Dunand.   Rob Refsnyder to 3rd.",S,L,R,BOS,ATL,X,6,ground_ball,0,0,2023,,,,,,608701,,1,8,Bot,113.88,156.92,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.0,,0,0,,81,1,,7,5,7,5,5,7,7,5,,,,-0.007,-0.276,,,,0.276,,2,2,0.948,0.948,23,26,23,27,2,4,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",608701,681256,double,hit_into_play,,,,,,Rob Refsnyder doubles (3) on a fly ball to center fielder Kevin Kilpatrick Jr.  Reese McGuire scores.,S,R,R,BOS,ATL,X,8,fly_ball,0,0,2023,,,,,,,624512,1,8,Bot,144.78,43.6,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,1.25,,1,1,,80,1,,6,5,6,5,5,7,7,5,,,,0.076,0.801,,,,-0.801,,1,1,0.872,0.872,23,32,23,32,2,1,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",571771,681256,sac_fly,hit_into_play,,,,,,Enrique Hernandez out on a sacrifice fly to center fielder Kevin Kilpatrick Jr.  Christian Arroyo scores.,S,R,R,BOS,ATL,X,8,fly_ball,0,0,2023,,,,,624414,,624512,0,8,Bot,124.18,67.84,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.0,,0,0,,79,1,,5,5,5,5,5,6,6,5,,,,0.028,-0.237,,,,0.237,,0,0,0.844,0.844,23,31,23,32,2,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",624512,681256,single,hit_into_play,,,,,,Reese McGuire singles on a line drive to right fielder Stephen Paolini.   Christian Arroyo to 3rd.,S,L,R,BOS,ATL,X,9,line_drive,0,0,2023,,,,,,,624414,0,8,Bot,193.87,109.05,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.9,,1,0,,78,1,,5,5,5,5,5,5,5,5,,,,0.175,0.453,,,,-0.453,,0,0,0.669,0.669,23,28,23,28,2,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",624414,681256,single,hit_into_play,,,,,,Christian Arroyo singles on a fly ball to left fielder Andrew Moritz.,S,R,R,BOS,ATL,X,7,fly_ball,0,0,2023,,,,,,,,0,8,Bot,66.61,104.2,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.9,,1,0,,77,1,,5,5,5,5,5,5,5,5,,,,0.064,0.432,,,,-0.432,,0,0,0.605,0.605,23,28,23,28,2,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",671213,681256,field_out,hit_into_play,,,,,,"Triston Casas grounds out, second baseman Keshawn Ogans to first baseman Joe Dunand.",S,L,R,BOS,ATL,X,4,ground_ball,0,1,2023,,,,,,457759,,2,7,Bot,143.57,152.68,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.0,,0,0,,68,2,,5,3,5,3,3,5,5,3,,,,-0.017,-0.248,,,,0.248,,2,2,0.887,0.887,23,23,23,23,2,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",671213,681256,,called_strike,,,,,,"Triston Casas grounds out, second baseman Keshawn Ogans to first baseman Joe Dunand.",S,L,R,BOS,ATL,S,,,0,0,2023,,,,,,,457759,2,7,Bot,,,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,,,,,,68,1,,5,3,5,3,3,5,5,3,,,,0.006,-0.045,,,,0.045,,2,2,0.881,0.881,23,23,23,23,2,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",594807,681256,strikeout,swinging_strike,,,,,,Adam Duvall strikes out swinging.,S,R,R,BOS,ATL,S,2,,0,2,2023,,,,,,,457759,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,0.0,,0,0,,67,3,,5,3,5,3,3,5,5,3,,,,-0.013,-0.16,,,,0.16,,2,2,0.894,0.894,23,34,23,35,1,3,,,,,,,,
,2023-03-24,,,,"Mejia, Ian",594807,681256,,swinging_strike,,,,,,Adam Duvall strikes out swinging.,S,R,R,BOS,ATL,S,,,0,1,2023,,,,,,,457759,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718984,700845,656388,687248,685298,660829,680938,687201,688500,,,,,,,,,67,2,,5,3,5,3,3,5,5,3,,,,0.0,-0.053,,,,0.053,,2,2,0.894,0.894,23,34,23,35,1,3,,,,,,,,
