pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-07-22,77.5,-2.99,5.46,"Miller, Brad",571970,543543,field_out,hit_into_play,,,,,1,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,X,6,ground_ball,3,2,2023,-0.36,1.01,-0.42,2.99,,,,2,9,Top,125.18,141.44,,,,,6.103152493426349,-112.70541437418493,-0.2010580183557141,-4.197949563311588,19.958420769932076,-23.714347942920917,3.06,1.56,149,102.1,8,76.9,1885,5.8,717305,641598,669087,669701,673962,677649,608671,665750,543257,54.65,0.697,0.646,0.0,1,0,0,4,81,6,Other,3,16,16,3,16,3,16,3,Infield shade,Standard,224,0.0,-0.336,68.3,6.2,0.784,0.336,102.1,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,2.78,0.36,-0.36,22.7
FA,2023-07-22,79.7,-2.56,5.78,"Miller, Brad",571970,543543,,ball,,,,,11,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,B,,,2,2,2023,-0.19,1.15,-0.83,4.42,,,,2,9,Top,,,,,,,4.120877270857743,-116.00621383691252,1.5512526095959729,-2.494177064058881,20.729218899917957,-22.279371549930627,3.16,1.56,,,,79.2,1889,5.8,717305,641598,669087,669701,673962,677649,608671,665750,543257,54.7,,,,,,,,81,5,Other,3,16,16,3,16,3,16,3,Infield shade,Standard,214,0.0,0.104,,,,-0.104,,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,2.43,0.19,-0.19,34.9
EP,2023-07-22,65.2,-2.57,5.75,"Miller, Brad",571970,543543,,ball,,,,,13,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,B,,,1,2,2023,-0.14,0.84,-0.2,-0.13,,,,2,9,Top,,,,,,,4.3997963325909355,-94.88232918612854,-3.618194616734704,-1.4837776390635198,13.90224061776292,-26.769255381155556,3.15,1.56,,,,64.4,1508,5.5,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.02,,,,,,,,81,4,Eephus,3,16,16,3,16,3,16,3,Infield shade,Standard,223,0.0,0.041,,,,-0.041,,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,4.51,0.14,-0.14,28.3
FA,2023-07-22,82.4,-3.08,5.22,"Miller, Brad",571970,543543,,ball,,,,,11,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,B,,,0,2,2023,-0.39,1.18,-2.34,3.41,,,,2,9,Top,,,,,,,2.430072906671909,-120.00499842596264,0.0674260852881989,-4.197803843710382,22.36818264220321,-20.938432560435405,3.22,1.56,,,,82.1,2011,6.0,717305,641598,669087,669701,673962,677649,608671,665750,543257,54.55,,,,,,,,81,3,Other,3,16,16,3,16,3,16,3,Infield shade,Standard,220,0.0,0.022,,,,-0.022,,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,2.16,0.39,-0.39,21.5
FA,2023-07-22,75.9,-2.99,5.28,"Miller, Brad",571970,543543,,called_strike,,,,,7,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,S,,,0,1,2023,-0.75,1.13,-0.33,1.91,,,,2,9,Top,,,,,,,6.7814114380945405,-110.3210905178668,-1.9736658548246655,-7.313347497078223,18.87096296974382,-22.793324662210967,3.56,1.56,,,,74.7,1822,5.4,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.12,,,,,,,,81,2,Other,3,16,16,3,16,3,16,3,Infield shade,Strategic,235,0.0,-0.061,,,,0.061,,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,2.83,0.75,-0.75,15.3
FA,2023-07-22,69.5,-2.45,5.87,"Miller, Brad",571970,543543,,swinging_strike,,,,,7,"Max Muncy grounds out sharply, shortstop Ezequiel Duran to first baseman Sam Huff.",R,L,R,TEX,LAD,S,,,0,0,2023,-0.52,1.27,-0.48,1.5,,,,2,9,Top,,,,,,,4.547714894711303,-101.17127036998215,-2.7136560898114306,-4.307911995162526,15.968164058865776,-23.233055178620365,3.06,1.56,,,,68.4,1676,5.3,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.21,,,,,,,,81,1,Other,3,16,16,3,16,3,16,3,Infield shade,Strategic,228,0.0,-0.045,,,,0.045,,-13,13,0.0,1.0,33,32,34,33,1,5,,1,,1,3.44,0.52,-0.52,33.0
FA,2023-07-22,74.6,-2.43,5.91,"Miller, Brad",669257,543543,field_out,hit_into_play,,,,,1,Will Smith pops out to second baseman Josh H.   Smith.,R,R,R,TEX,LAD,X,4,popup,2,1,2023,-0.37,1.23,-0.72,3.45,,,,1,9,Top,147.2,155.98,,,,,4.105639588225503,-108.65258946644926,-0.0706253976197959,-3.6682390770640088,18.449496177831723,-22.613728052899965,3.38,1.62,139,80.1,66,73.7,1809,5.5,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.02,0.006,0.007,0.0,1,0,0,3,80,4,Other,3,16,16,3,16,3,16,3,Standard,Standard,217,0.0,-0.31,64.1,6.8,0.012,0.31,88.0,-13,13,0.0,1.0,33,28,34,28,1,5,,1,,1,2.85,0.37,0.37,35.4
FA,2023-07-22,71.8,-2.41,6.01,"Miller, Brad",669257,543543,,called_strike,,,,,7,Will Smith pops out to second baseman Josh H.   Smith.,R,R,R,TEX,LAD,S,,,2,0,2023,-0.53,1.28,-0.52,2.05,,,,1,9,Top,,,,,,,4.536430808566671,-104.59485245079134,-2.54260430524145,-4.605965187072921,16.70523607953926,-22.548348513143225,3.46,1.62,,,,70.7,1687,5.2,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.27,,,,,,,,80,3,Other,3,16,16,3,16,3,16,3,Standard,Standard,222,0.0,-0.062,,,,0.062,,-13,13,0.0,1.0,33,28,34,28,1,5,,1,,1,3.12,0.53,0.53,33.8
FA,2023-07-22,72.4,-2.67,5.97,"Miller, Brad",669257,543543,,ball,,,,,11,Will Smith pops out to second baseman Josh H.   Smith.,R,R,R,TEX,LAD,B,,,1,0,2023,-0.35,1.16,-0.88,3.6,,,,1,9,Top,,,,,,,4.097571682494062,-105.3507710282768,0.6642731213377174,-3.265780435673431,17.33251470850652,-23.81107318339517,3.4,1.62,,,,71.4,1718,5.5,717305,641598,669087,669701,673962,677649,608671,665750,543257,55.02,,,,,,,,80,2,Other,3,16,16,3,16,3,16,3,Standard,Standard,221,0.0,0.066,,,,-0.066,,-13,13,0.0,1.0,33,28,34,28,1,5,,1,,1,3.17,0.35,0.35,33.5
FA,2023-07-22,74.0,-2.35,5.8,"Miller, Brad",669257,543543,,ball,,,,,14,Will Smith pops out to second baseman Josh H.   Smith.,R,R,R,TEX,LAD,B,,,0,0,2023,-0.47,1.33,1.21,1.36,,,,1,9,Top,,,,,,,7.952579569434356,-107.55651556759167,-4.114218357354677,-4.936006785175959,17.20857057611271,-21.259948341353606,3.39,1.62,,,,73.1,1789,5.5,717305,641598,669087,669701,673962,677649,608671,665750,543257,54.97,,,,,,,,80,1,Other,3,16,16,3,16,3,16,3,Standard,Standard,217,0.0,0.039,,,,-0.039,,-13,13,0.0,1.0,33,28,34,28,1,5,,1,,1,2.81,0.47,0.47,32.2
