pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-27,,,,"Mosqueda, Oddanier",607680,665996,field_out,hit_into_play,,,,,,Kevin Pillar flies out to center fielder Greg Allen.,S,R,L,ATL,BOS,X,8,fly_ball,0,0,2023,,,,,,,,2,8,Bot,129.2,55.26,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,0.0,,0,0,,65,1,,6,1,6,1,1,6,6,1,,,,0.0,-0.275,,,,0.275,,5,5,0.995,0.995,24,34,24,34,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",501303,665996,strikeout,swinging_strike,,,,,,Ehire Adrianza strikes out swinging.,S,R,L,ATL,BOS,S,2,,0,2,2023,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,0.0,,0,0,,64,3,,6,1,6,1,1,6,6,1,,,,0.0,-0.17,,,,0.17,,5,5,0.995,0.995,24,33,24,34,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",501303,665996,,swinging_strike,,,,,,Ehire Adrianza strikes out swinging.,S,R,L,ATL,BOS,S,,,0,1,2023,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,,,,,,64,2,,6,1,6,1,1,6,6,1,,,,0.0,-0.057,,,,0.057,,5,5,0.995,0.995,24,33,24,34,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",501303,665996,,swinging_strike,,,,,,Ehire Adrianza strikes out swinging.,S,R,L,ATL,BOS,S,,,0,0,2023,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,,,,,,64,1,,6,1,6,1,1,6,6,1,,,,0.0,-0.041,,,,0.041,,5,5,0.995,0.995,24,33,24,34,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",800180,665996,strikeout,swinging_strike,,,,,,Douglas Glod strikes out swinging.,S,R,L,ATL,BOS,S,2,,0,2,2023,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,0.0,,0,0,,63,3,,6,1,6,1,1,6,6,1,,,,-0.001,-0.169,,,,0.169,,5,5,0.996,0.996,24,18,24,18,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",800180,665996,,swinging_strike,,,,,,Douglas Glod strikes out swinging.,S,R,L,ATL,BOS,S,,,0,1,2023,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,,,,,,63,2,,6,1,6,1,1,6,6,1,,,,0.0,-0.054,,,,0.054,,5,5,0.996,0.996,24,18,24,18,1,0,,,,,,,,
,2023-03-27,,,,"Mosqueda, Oddanier",800180,665996,,swinging_strike,,,,,,Douglas Glod strikes out swinging.,S,R,L,ATL,BOS,S,,,0,0,2023,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,718936,663503,694359,694812,805367,592348,680776,656185,677985,,,,,,,,,63,1,,6,1,6,1,1,6,6,1,,,,0.0,-0.042,,,,0.042,,5,5,0.996,0.996,24,18,24,18,1,0,,,,,,,,
,2023-03-24,,,,"Mosqueda, Oddanier",669221,665996,walk,ball,,,,,,Sean Murphy walks.   Joe Dunand scores.    Sam Hilliard to 3rd.    Ozzie Albies to 2nd.,S,R,L,BOS,ATL,B,,,3,0,2023,,,,,656388,656541,645277,2,7,Top,,,,,,,,,,,,,,,,,,,,,718984,624512,457759,624414,646240,571771,680776,594807,608701,,,,0.7,,0,0,,63,4,,5,2,2,5,3,5,3,5,,,,-0.089,0.141,,,,-0.141,,3,-3,0.865,0.135,24,28,24,29,1,3,,,,,,,,
,2023-03-24,,,,"Mosqueda, Oddanier",669221,665996,,ball,,,,,,Sean Murphy walks.   Joe Dunand scores.    Sam Hilliard to 3rd.    Ozzie Albies to 2nd.,S,R,L,BOS,ATL,B,,,2,0,2023,,,,,656388,656541,645277,2,7,Top,,,,,,,,,,,,,,,,,,,,,718984,624512,457759,624414,646240,571771,680776,594807,608701,,,,,,,,,63,3,,5,2,2,5,2,5,2,5,,,,0.0,0.108,,,,-0.108,,3,-3,0.865,0.135,24,28,24,29,1,3,,,,,,,,
,2023-03-24,,,,"Mosqueda, Oddanier",669221,665996,,ball,,,,,,Sean Murphy walks.   Joe Dunand scores.    Sam Hilliard to 3rd.    Ozzie Albies to 2nd.,S,R,L,BOS,ATL,B,,,1,0,2023,,,,,656388,656541,645277,2,7,Top,,,,,,,,,,,,,,,,,,,,,718984,624512,457759,624414,646240,571771,680776,594807,608701,,,,,,,,,63,2,,5,2,2,5,2,5,2,5,,,,0.0,0.058,,,,-0.058,,3,-3,0.865,0.135,24,28,24,29,1,3,,,,,,,,
