pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2023-09-12,89.8,0.93,5.63,"Mushinski, Parker",669127,656786,field_out,hit_into_play,,,,,4,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,X,6,ground_ball,3,2,2023,-0.52,0.78,-0.31,2.44,,664913,,0,8,Top,112.16,154.96,,,,,-2.00286378020717,-130.72034903637973,-3.5994916759172826,-5.551300772949478,27.90263680828325,-22.68454414610451,3.23,1.5,10,77.5,-14,90.7,2563,6.9,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.64,0.051,0.054,0.0,1,0,0,2,60,6,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,197,0.0,-0.243,74.0,6.4,0.056,0.243,88.0,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,2.05,-0.52,0.52,44.1
CU,2023-09-12,83.7,0.93,5.57,"Mushinski, Parker",669127,656786,,blocked_ball,,,,,13,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,B,,,2,2,2023,-0.68,-1.19,-1.46,0.2,,664913,,0,8,Top,,,,,,,-4.209085290144249,-121.6223937281217,-3.4866079909921144,-5.609803394691574,29.54424334722155,-43.14810806642744,3.17,1.5,,,,83.7,2701,6.9,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.61,,,,,,,,60,5,Curveball,2,6,6,2,6,2,6,2,Standard,Standard,318,0.0,0.085,,,,-0.085,,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,4.51,-0.68,0.68,46.8
CU,2023-09-12,81.7,1.07,5.63,"Mushinski, Parker",669127,656786,,blocked_ball,,,,,14,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,B,,,1,2,2023,-0.76,-1.31,0.03,0.28,,664913,,0,8,Top,,,,,,,-0.8725702988422945,-118.95461825175344,-2.8883723051649866,-6.955313429675345,25.870544900332895,-44.09508758149442,3.14,1.47,,,,82.0,2625,6.8,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.71,,,,,,,,60,4,Curveball,2,6,6,2,6,2,6,2,Standard,Standard,323,0.0,0.034,,,,-0.034,,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,4.76,-0.76,0.76,46.6
CU,2023-09-12,82.2,1.06,5.64,"Mushinski, Parker",669127,656786,,swinging_strike,,,,,13,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,S,,,1,1,2023,-0.95,-1.19,-0.31,1.29,,664913,,0,8,Top,,,,,,,-1.2693568108493678,-119.58469368219473,-0.924603013236584,-8.693783044928175,26.32600972651538,-43.502026896038466,3.23,1.5,,,,82.5,2705,6.8,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.68,,,,,,,,60,3,Curveball,2,6,6,2,6,2,6,2,Standard,Standard,327,0.0,-0.066,78.8,7.5,,0.066,,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,4.6,-0.95,0.95,47.7
FC,2023-09-12,91.8,0.8,5.59,"Mushinski, Parker",669127,656786,,ball,,,,,13,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,B,,,0,1,2023,-0.43,1.1,-1.36,1.1,,664913,,0,8,Top,,,,,,,-4.616902528361582,-133.49120388289262,-8.039969269563393,-4.212557838926647,27.15098809886225,-17.541111224179687,3.14,1.47,,,,93.5,2601,7.2,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.31,,,,,,,,60,2,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,176,0.0,0.02,,,,-0.02,,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,1.6,-0.43,0.43,45.0
CU,2023-09-12,81.4,1.04,5.72,"Mushinski, Parker",669127,656786,,called_strike,,,,,8,"Shea Langeliers grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.   Seth Brown to 3rd.",R,R,L,HOU,OAK,S,,,0,0,2023,-0.8,-1.25,0.24,1.93,,664913,,0,8,Top,,,,,,,-0.2630558683940915,-118.52406945396628,0.5679356857870526,-7.387511308426529,25.58172697740165,-44.19224142873991,3.11,1.41,,,,81.4,2683,6.6,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.93,,,,,,,,60,1,Curveball,2,6,6,2,6,2,6,2,Standard,Standard,322,0.0,-0.046,,,,0.046,,-4,4,0.023,0.977,27,25,28,26,1,3,2,1,,1,4.72,-0.8,0.8,52.1
ST,2023-09-12,81.5,1.1,5.55,"Mushinski, Parker",664913,656786,double,hit_into_play,,,,,7,Seth Brown doubles (18) on a ground ball to left fielder Chas McCormick.   Ryan Noda scores.,R,L,L,HOU,OAK,X,7,ground_ball,0,1,2023,-1.41,0.05,-0.6,2.05,,,676116,0,8,Top,44.24,118.58,,,,,-1.09929923911428,-118.64066872361605,-1.291582382922294,-12.968153744512882,25.612345933983782,-31.638492066133903,3.44,1.63,59,67.3,4,81.8,2676,6.8,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.73,0.149,0.145,1.25,1,1,1,2,59,2,Sweeper,2,5,5,2,6,2,6,2,Infield shade,Standard,299,-0.033,0.756,69.6,7.4,0.169,-0.756,88.0,-3,3,0.056,0.944,27,30,28,31,1,3,2,1,,1,3.41,-1.41,-1.41,41.6
ST,2023-09-12,81.3,1.0,5.58,"Mushinski, Parker",664913,656786,,swinging_strike,,,,,13,Seth Brown doubles (18) on a ground ball to left fielder Chas McCormick.   Ryan Noda scores.,R,L,L,HOU,OAK,S,,,0,0,2023,-1.43,-0.26,-1.08,1.13,,,676116,0,8,Top,,,,,,,-1.9281406650789812,-118.23782329125856,-2.7277887569343786,-12.708922243861124,27.618562679148976,-34.1856599673724,3.44,1.63,,,,81.6,2685,7.0,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.45,,,,,,,,59,1,Sweeper,2,5,5,2,5,2,5,2,Infield shade,Standard,304,0.0,-0.036,51.7,7.9,,0.036,,-3,3,0.056,0.944,27,30,28,31,1,3,2,1,,1,3.78,-1.43,-1.43,44.4
SI,2023-09-12,93.6,0.95,5.66,"Mushinski, Parker",676116,656786,hit_by_pitch,hit_by_pitch,,,,,12,Ryan Noda hit by pitch.,R,L,L,HOU,OAK,B,,,1,1,2023,1.29,1.15,1.4,3.9,,,,0,8,Top,,,,,,,-1.6906895032423068,-136.2173979829133,-1.2956546477670394,16.36942580226165,32.86055455144749,-17.88512396054282,3.4,1.6,,,,93.9,2459,6.7,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.81,,0.726005,0.7,1,0,0,,58,3,Sinker,2,5,5,2,5,2,5,2,Infield shade,Standard,154,-0.009,0.446,,,,-0.446,,-3,3,0.065,0.935,27,27,28,27,1,3,2,1,,1,1.47,1.29,1.29,46.7
FF,2023-09-12,93.6,0.91,5.58,"Mushinski, Parker",676116,656786,,called_strike,,,,,7,Ryan Noda hit by pitch.,R,L,L,HOU,OAK,S,,,1,0,2023,0.2,1.53,-0.28,1.73,,,,0,8,Top,,,,,,,-3.5744863089607275,-136.11115293934364,-7.638964997748424,3.3259278369796585,31.24047447305922,-11.633914774781104,3.54,1.7,,,,94.5,2473,7.0,716614,455117,547989,514888,608324,665161,676801,643289,663656,53.53,,,,,,,,58,2,4-Seam Fastball,2,5,5,2,5,2,5,2,Infield shade,Standard,156,0.0,-0.052,,,,0.052,,-3,3,0.065,0.935,27,27,28,27,1,3,2,1,,1,1.08,0.2,0.2,45.1
