pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-04-26,93.4,-1.88,6.05,"Márquez, Germán",595956,608566,,ball,,,,,11,Cam Gallagher flies out to right fielder Kris Bryant.,R,R,R,CLE,COL,B,,,0,0,2023,-1.26,1.29,-1.01,3.74,,660757,,2,4,Bot,,,,,,,4.939265965220732,-136.0159248669186,-3.0192061259222154,-16.771326174090003,29.690239214698035,-15.673481004877589,3.49,1.66,,,,92.3,2182,5.6,718421,661531,543068,676701,641857,678662,595777,686668,592178,54.94,,,,,,,,33,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,209,0.0,0.02,,,,-0.02,,3,3,0.862,0.862,28,30,28,31,1,1,16,4,,4,1.32,1.26,1.26,39.1
SL,2023-04-26,87.9,-1.88,5.93,"Márquez, Germán",686823,608566,field_out,hit_into_play,,,,,8,Will Brennan lines out to left fielder Jurickson Profar.,R,L,R,CLE,COL,X,7,line_drive,2,1,2023,-0.32,0.71,-0.25,1.71,,660757,,1,4,Bot,55.44,103.56,,,,,4.520562148443571,-127.96950071690809,-5.52712878648202,-4.415742327080503,26.335579903886476,-23.438277166950343,3.39,1.58,294,96.6,17,86.4,2239,5.3,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.21,0.526,0.552,0.0,1,0,0,4,32,4,Slider,3,0,3,0,0,3,3,0,Standard,Strategic,191,-0.016,-0.328,,,0.79,0.328,96.6,3,3,0.878,0.878,28,25,28,25,2,1,16,1,,2,2.24,0.32,-0.32,42.9
SI,2023-04-26,94.2,-1.84,5.95,"Márquez, Germán",686823,608566,,called_strike,,,,,7,Will Brennan lines out to left fielder Jurickson Profar.,R,L,R,CLE,COL,S,,,2,0,2023,-1.24,1.21,-0.59,1.98,,660757,,1,4,Bot,,,,,,,5.871030964959037,-137.0010270768245,-7.19615769322488,-16.8536579584358,29.712013934692003,-15.543381085038256,3.32,1.58,,,,92.8,2222,5.4,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.07,,,,,,,,32,3,Sinker,3,0,3,0,0,3,3,0,Standard,Strategic,228,0.0,-0.032,,,,0.032,,3,3,0.878,0.878,28,25,28,25,2,1,16,1,,2,1.36,1.24,-1.24,36.5
SL,2023-04-26,89.8,-1.77,5.87,"Márquez, Germán",686823,608566,,ball,,,,,13,Will Brennan lines out to left fielder Jurickson Profar.,R,L,R,CLE,COL,B,,,1,0,2023,-0.46,0.76,-1.36,2.24,,660757,,1,4,Bot,,,,,,,1.9630288835989516,-130.8235798771301,-4.575016771843129,-5.732623451495809,26.03390854819432,-22.69159539605948,3.29,1.58,,,,88.5,2363,5.3,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.23,,,,,,,,32,2,Slider,3,0,3,0,0,3,3,0,Standard,Strategic,216,0.0,0.036,,,,-0.036,,3,3,0.878,0.878,28,25,28,25,2,1,16,1,,2,2.05,0.46,-0.46,41.0
FF,2023-04-26,94.3,-1.75,5.97,"Márquez, Germán",686823,608566,,ball,,,,,13,Will Brennan lines out to left fielder Jurickson Profar.,R,L,R,CLE,COL,B,,,0,0,2023,-1.06,1.06,-1.11,1.98,,660757,,1,4,Bot,,,,,,,3.9518571494673256,-137.10683282715073,-6.885368214604226,-14.234276080819646,31.684207338875,-17.50293730721403,3.29,1.58,,,,92.7,2136,5.5,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.05,,,,,,,,32,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,221,0.0,0.034,,,,-0.034,,3,3,0.878,0.878,28,25,28,25,2,1,16,1,,2,1.52,1.06,-1.06,44.3
SL,2023-04-26,88.0,-1.85,5.96,"Márquez, Germán",660757,608566,double,hit_into_play,,,,,5,Oscar Gonzalez doubles (2) on a sharp line drive to left fielder Jurickson Profar.   Andres Gimenez scores.,R,R,R,CLE,COL,X,7,line_drive,0,1,2023,-0.15,0.56,-0.19,2.47,,665926,,1,4,Bot,59.37,69.2,,,,,4.275287851596533,-128.21214097178566,-3.5393823459446745,-2.5291559009850637,24.416303562456083,-25.449724665747972,3.55,1.71,359,104.9,18,86.7,2342,5.2,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.3,0.569,0.709,1.25,1,1,1,5,31,2,Slider,2,0,2,0,0,3,3,0,Strategic,Strategic,193,0.071,0.85,,,1.132,-0.85,104.9,2,2,0.807,0.807,28,25,28,25,2,1,16,2,,3,2.35,0.15,0.15,37.1
FF,2023-04-26,94.9,-1.71,5.99,"Márquez, Germán",660757,608566,,foul,,,,,7,Oscar Gonzalez doubles (2) on a sharp line drive to left fielder Jurickson Profar.   Andres Gimenez scores.,R,R,R,CLE,COL,S,,,0,0,2023,-0.79,1.21,-0.5,1.66,,665926,,1,4,Bot,,,,,,,4.848641557736098,-137.93039675960787,-8.232928683991735,-11.137981245801017,31.2486629391812,-15.11713227894357,3.55,1.71,191,69.3,37,93.4,1993,5.5,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.01,,,,,,,,31,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Strategic,223,0.0,-0.038,,,,0.038,88.0,2,2,0.807,0.807,28,25,28,25,2,1,16,2,,3,1.33,0.79,0.79,46.2
SI,2023-04-26,93.9,-2.04,5.88,"Márquez, Germán",665926,608566,double,hit_into_play,,,,,4,Andres Gimenez doubles (6) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,CLE,COL,X,7,line_drive,1,0,2023,-1.64,0.78,-0.39,2.13,,,,1,4,Bot,54.98,84.18,,,,,7.740550089906582,-136.4837285605784,-5.634850286961575,-22.209697024580027,28.053424214326828,-21.40558342233905,3.18,1.47,333,100.6,20,92.5,2027,5.4,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.13,0.446,0.564,1.25,1,1,1,5,30,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,317,0.028,0.623,,,0.922,-0.623,100.6,2,2,0.779,0.779,28,24,28,25,2,1,16,1,,2,1.8,1.64,-1.64,35.1
FF,2023-04-26,94.5,-2.0,5.78,"Márquez, Germán",665926,608566,,ball,,,,,7,Andres Gimenez doubles (6) on a sharp line drive to left fielder Jurickson Profar.,R,L,R,CLE,COL,B,,,0,0,2023,-1.3,1.22,-0.43,1.95,,,,1,4,Bot,,,,,,,6.892921000015929,-137.3527438939337,-6.925343691555836,-18.02446347540136,30.27316919830648,-15.396913452691445,3.28,1.73,,,,93.3,2113,5.6,718421,661531,543068,676701,641857,678662,595777,686668,592178,54.89,,,,,,,,30,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,225,0.0,0.039,,,,-0.039,,2,2,0.779,0.779,28,24,28,25,2,1,16,1,,2,1.34,1.3,-1.3,32.5
KC,2023-04-26,84.2,-1.75,6.17,"Márquez, Germán",605137,608566,strikeout,swinging_strike,,,,,13,Josh Bell strikes out swinging.,R,L,R,CLE,COL,S,2,,1,2,2023,-0.01,0.14,-1.16,2.5,,,,0,4,Bot,,,,,,,1.3747300987076512,-122.73735845985424,-2.5154770609791326,-0.3811087775477699,21.156466267092927,-30.489137320862365,3.69,1.76,,,,83.3,,5.3,718421,661531,543068,676701,641857,678662,595777,686668,592178,55.2,,0.0,0.0,1,0,0,,29,4,Knuckle Curve,2,0,2,0,0,2,2,0,Strategic,Standard,,-0.014,-0.193,,,,0.193,,2,2,0.793,0.793,28,30,28,31,2,1,16,1,,2,3.03,0.01,-0.01,40.5
