pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-28,92.5,-1.16,6.16,"Nelson, Jimmy",668577,519076,strikeout,swinging_strike,,,,,11,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,S,2,,3,2,2023,-0.4,1.46,-0.13,3.64,,,,2,6,Bot,,,,,,,3.5411440794609383,-134.63312718129296,-3.8296807350824897,-5.6512108695782235,30.91191477182307,-13.772029672667376,3.47,1.59,,,,93.0,2502,6.7,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.77,,,0.0,,0,0,,65,6,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,205,-0.003,-0.336,,,,0.336,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,1.21,0.4,0.4,
FF,2023-03-28,91.4,-1.3,6.0,"Nelson, Jimmy",668577,519076,,swinging_strike,,,,,2,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,S,,,3,1,2023,-0.39,1.49,-0.22,3.37,,,,2,6,Bot,,,,,,,3.588447095586573,-133.0164366769718,-4.011098442399711,-5.428295200934583,28.2247836166546,-13.828999665269691,3.47,1.59,,,,92.0,2395,6.6,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.87,,,,,,,,65,5,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,200,0.0,-0.093,,,,0.093,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,1.24,0.39,0.39,
KC,2023-03-28,83.2,-1.21,6.12,"Nelson, Jimmy",668577,519076,,ball,,,,,14,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,B,,,2,1,2023,1.08,-0.98,2.07,1.82,,,,2,6,Bot,,,,,,,5.411543233384297,-120.96104330434422,-1.3683302153594954,9.259616861548905,26.854580731928017,-41.623188106788966,3.44,1.56,,,,82.6,2752,6.3,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.23,,,,,,,,65,4,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,30,0.0,0.116,,,,-0.116,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,4.32,-1.08,-1.08,
FF,2023-03-28,91.4,-1.18,6.06,"Nelson, Jimmy",668577,519076,,foul,,,,,9,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,S,,,2,0,2023,-0.44,1.4,0.53,1.84,,,,2,6,Bot,,,,,,,5.289321897694844,-132.81251542809474,-7.866565286695084,-6.284614992616906,27.430809804312243,-14.09463710898532,3.47,1.59,,,,92.4,2467,6.9,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.63,,,,,,,,65,3,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,213,0.0,-0.06,,,,0.06,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,1.33,0.44,0.44,
KC,2023-03-28,82.5,-1.22,6.13,"Nelson, Jimmy",668577,519076,,ball,,,,,12,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,B,,,1,0,2023,1.38,-0.66,1.35,3.19,,,,2,6,Bot,,,,,,,3.1751496123598892,-120.080290237932,1.1491018271094289,12.579347696608862,25.21584336350151,-39.006375548669496,3.44,1.55,,,,82.3,2940,6.3,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.18,,,,,,,,65,2,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,41,0.0,0.056,,,,-0.056,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,4.03,-1.38,-1.38,
KC,2023-03-28,83.3,-1.19,6.05,"Nelson, Jimmy",668577,519076,,ball,,,,,14,Osmy Gregorio strikes out swinging.,S,R,R,LAA,LAD,B,,,0,0,2023,0.67,-1.15,1.19,1.91,,,,2,6,Bot,,,,,,,4.171202394481048,-121.16441824852195,-0.7131154523599593,5.656636775266889,26.01700072366445,-43.471372505250706,3.42,1.56,,,,83.2,2672,6.5,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.03,,,,,,,,65,1,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,33,0.0,0.043,,,,-0.043,,3,3,0.905,0.905,34,25,34,25,1,1,,,,,4.46,-0.67,-0.67,
FF,2023-03-28,91.6,-1.16,6.08,"Nelson, Jimmy",669236,519076,field_out,hit_into_play,,,,,2,Jeremiah Jackson pops out to third baseman Chris Taylor.,S,R,R,LAA,LAD,X,5,popup,1,0,2023,-0.43,1.27,-0.24,3.45,,,,1,6,Bot,114.52,170.2,,,,,3.284497742433331,-133.41172382981392,-3.5553797844272923,-5.804446664332759,28.09229486098257,-16.49336564202873,3.37,1.53,83,94.4,74,92.4,2569,6.7,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.85,0.001,,0.0,,0,0,3,64,2,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,206,-0.006,-0.306,,,0.001,0.306,94.4,3,3,0.911,0.911,34,23,34,23,1,1,,,,,1.44,0.43,0.43,
KC,2023-03-28,83.5,-1.21,6.09,"Nelson, Jimmy",669236,519076,,ball,,,,,12,Jeremiah Jackson pops out to third baseman Chris Taylor.,S,R,R,LAA,LAD,B,,,0,0,2023,1.2,-0.75,0.92,3.47,,,,1,6,Bot,,,,,,,2.5346687877848706,-121.57998026992546,1.913923605288785,11.333620189116884,24.74413405938177,-40.240514205335046,3.4,1.51,,,,83.3,2972,6.2,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.28,,,,,,,,64,1,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,33,0.0,0.039,,,,-0.039,,3,3,0.911,0.911,34,23,34,23,1,1,,,,,4.03,-1.2,-1.2,
KC,2023-03-28,83.8,-1.21,6.17,"Nelson, Jimmy",664058,519076,field_out,hit_into_play,,,,,3,David Fletcher lines out to center fielder James Outman.,S,R,R,LAA,LAD,X,8,line_drive,1,2,2023,1.16,-1.04,0.44,2.95,,,,0,6,Bot,130.47,79.36,,,,,1.5188266646062532,-121.97182760714212,1.0995091046014778,11.22806497808896,25.98308249687041,-42.986577602579715,3.27,1.52,298,90.3,17,83.8,2814,6.4,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.06,0.814,,0.0,,0,0,4,63,4,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,34,-0.007,-0.193,,,0.967,0.193,90.3,3,3,0.918,0.918,34,29,34,29,1,1,,,,,4.31,-1.16,-1.16,
FF,2023-03-28,92.0,-1.27,6.14,"Nelson, Jimmy",664058,519076,,called_strike,,,,,8,David Fletcher lines out to center fielder James Outman.,S,R,R,LAA,LAD,S,,,1,1,2023,-0.58,1.33,-0.1,1.91,,,,0,6,Bot,,,,,,,4.266333309327825,-133.75155258333265,-7.82953203261393,-7.904356419672213,28.07252045411985,-14.661580835108836,3.18,1.38,,,,92.6,2430,6.6,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.88,,,,,,,,63,3,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,209,0.0,-0.061,,,,0.061,,3,3,0.918,0.918,34,29,34,29,1,1,,,,,1.36,0.58,0.58,
KC,2023-03-28,83.6,-1.19,6.05,"Nelson, Jimmy",664058,519076,,ball,,,,,14,David Fletcher lines out to center fielder James Outman.,S,R,R,LAA,LAD,B,,,0,1,2023,0.86,-1.22,1.72,0.84,,,,0,6,Bot,,,,,,,5.021768902667413,-121.48880516847366,-3.046660011484683,7.179767486776662,28.513302532709975,-43.568064577861605,3.25,1.38,,,,83.1,2969,6.5,719408,605131,693819,678391,621035,663897,444482,681546,518792,54.04,,,,,,,,63,2,Knuckle Curve,8,5,8,5,5,8,8,5,Standard,Standard,36,0.0,0.031,,,,-0.031,,3,3,0.918,0.918,34,29,34,29,1,1,,,,,4.54,-0.86,-0.86,
FF,2023-03-28,92.3,-1.29,5.97,"Nelson, Jimmy",664058,519076,,called_strike,,,,,2,David Fletcher lines out to center fielder James Outman.,S,R,R,LAA,LAD,S,,,0,0,2023,-0.47,1.55,0.11,3.15,,,,0,6,Bot,,,,,,,4.6204261697682085,-134.32603499818322,-4.733988666905091,-6.693358281463043,30.675267754450083,-12.650209021712708,3.3,1.49,,,,92.9,2505,6.8,719408,605131,693819,678391,621035,663897,444482,681546,518792,53.74,,,,,,,,63,1,4-Seam Fastball,8,5,8,5,5,8,8,5,Standard,Standard,208,0.0,-0.042,,,,0.042,,3,3,0.918,0.918,34,29,34,29,1,1,,,,,1.14,0.47,0.47,
,2023-03-19,,,,"Nelson, Jimmy",668843,519076,walk,ball,,,,,,Conner Capel walks.,S,L,R,LAD,OAK,B,,,3,0,2023,,,,,676116,669127,,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,0.7,,0,0,,37,4,,1,3,3,1,3,1,3,1,,,,-0.01,0.066,,,,-0.066,,-2,2,0.136,0.864,34,26,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",668843,519076,,ball,,,,,,Conner Capel walks.,S,L,R,LAD,OAK,B,,,2,0,2023,,,,,676116,669127,,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,37,3,,1,3,3,1,3,1,3,1,,,,0.0,0.028,,,,-0.028,,-2,2,0.136,0.864,34,26,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",668843,519076,,ball,,,,,,Conner Capel walks.,S,L,R,LAD,OAK,B,,,1,0,2023,,,,,676116,669127,,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,37,2,,1,3,3,1,3,1,3,1,,,,0.0,0.06,,,,-0.06,,-2,2,0.136,0.864,34,26,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",668843,519076,,ball,,,,,,Conner Capel walks.,S,L,R,LAD,OAK,B,,,0,0,2023,,,,,665923,676116,669127,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,37,1,,1,2,2,1,3,1,3,1,,,,-0.059,0.037,,,,-0.037,,-1,1,0.195,0.805,34,26,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",669127,519076,walk,ball,,,,,,Shea Langeliers walks.   Ryan Noda to 2nd.,S,R,R,LAD,OAK,B,,,3,0,2023,,,,,665923,,676116,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,0.7,,0,0,,36,4,,1,2,2,1,2,1,2,1,,,,-0.033,0.102,,,,-0.102,,-1,1,0.228,0.772,34,25,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",669127,519076,,ball,,,,,,Shea Langeliers walks.   Ryan Noda to 2nd.,S,R,R,LAD,OAK,B,,,2,0,2023,,,,,665923,,676116,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,36,3,,1,2,2,1,2,1,2,1,,,,0.0,0.137,,,,-0.137,,-1,1,0.228,0.772,34,25,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",669127,519076,,ball,,,,,,Shea Langeliers walks.   Ryan Noda to 2nd.,S,R,R,LAD,OAK,B,,,1,0,2023,,,,,665923,,676116,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,36,2,,1,2,2,1,2,1,2,1,,,,0.0,0.016,,,,-0.016,,-1,1,0.228,0.772,34,25,34,26,1,2,,,,,,,,
,2023-03-19,,,,"Nelson, Jimmy",669127,519076,,ball,,,,,,Shea Langeliers walks.   Ryan Noda to 2nd.,S,R,R,LAD,OAK,B,,,0,0,2023,,,,,,665923,676116,0,5,Top,,,,,,,,,,,,,,,,,,,,,719046,664850,518692,678246,571970,500743,502110,572204,621453,,,,,,,,,36,1,,1,2,2,1,2,1,2,1,,,,-0.039,0.042,,,,-0.042,,-1,1,0.267,0.733,34,25,34,26,1,2,,,,,,,,
