pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-15,90.1,2.18,6.07,"Newcomb, Sean",676946,656794,field_out,hit_into_play,,,,,4,Matthew Batten flies out to right fielder Seth Brown.,R,R,L,OAK,SD,X,9,fly_ball,2,1,2023,1.2,0.57,-0.35,2.18,,,643265,2,3,Top,177.7,121.4,,,,,-8.733608109371627,-130.90782655329735,-4.835356695419055,15.666788854278472,28.976346906364803,-24.701800965954313,3.21,1.51,196,86.7,61,88.9,2040,5.7,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.77,0.017,0.023,0.0,1,0,0,3,24,4,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,136,0.014,-0.302,75.5,7.2,0.035,0.302,88.0,-3,3,0.21,0.79,30,28,30,28,2,1,6,2,,1,2.25,1.2,-1.2,33.6
FF,2023-09-15,91.0,2.13,6.19,"Newcomb, Sean",676946,656794,,ball,,,,,11,Matthew Batten flies out to right fielder Seth Brown.,R,R,L,OAK,SD,B,,,1,1,2023,0.47,1.27,-0.84,2.66,,,643265,2,3,Top,,,,,,,-8.380784103673518,-132.1744250695574,-5.5632835475995845,7.403675770363823,29.45553690745004,-16.289677712735003,3.4,1.69,,,,89.8,2220,5.7,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.77,,,,,,,,24,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,142,0.0,0.036,,,,-0.036,,-3,3,0.21,0.79,30,28,30,28,2,1,6,2,,1,1.5,0.47,-0.47,37.0
FF,2023-09-15,91.9,2.16,6.31,"Newcomb, Sean",676946,656794,,ball,,,,,12,Matthew Batten flies out to right fielder Seth Brown.,R,R,L,OAK,SD,B,,,0,1,2023,0.55,1.25,1.64,4.42,,,643265,2,3,Top,,,,,,,-2.4845391382174697,-133.74592384181796,-1.5941932168422377,7.120460062385098,31.693680836011364,-17.088120315395113,3.34,1.6,,,,90.3,2217,5.5,716569,669127,676116,680869,672478,669397,665923,671732,664913,55.0,,,,,,,,24,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,143,0.0,0.025,,,,-0.025,,-3,3,0.21,0.79,30,28,30,28,2,1,6,2,,1,1.47,0.55,-0.55,41.9
SI,2023-09-15,90.8,2.21,6.14,"Newcomb, Sean",676946,656794,,called_strike,,,,,3,Matthew Batten flies out to right fielder Seth Brown.,R,R,L,OAK,SD,S,,,0,0,2023,1.36,0.33,0.47,3.1,,,643265,2,3,Top,,,,,,,-7.175327680578548,-132.00371380383388,-2.327176009175773,17.456333091791954,30.34034371694277,-28.067818603128583,3.4,1.69,,,,89.4,2116,5.7,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.82,,,,,,,,24,1,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,138,0.0,-0.045,,,,0.045,,-3,3,0.21,0.79,30,28,30,28,2,1,6,2,,1,2.46,1.36,-1.36,34.9
CU,2023-09-15,76.5,2.24,6.18,"Newcomb, Sean",643265,656794,walk,blocked_ball,,,,,13,Garrett Cooper walks.,R,R,L,OAK,SD,B,,,3,2,2023,-0.96,-1.24,-1.47,-0.18,,,,2,3,Top,,,,,,,-6.024746007072402,-111.24214632208243,-4.014106108707176,-6.695597720120126,22.163232206218375,-41.832247117048034,3.52,1.75,,,,75.2,2796,5.6,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.9,,0.695903,0.7,1,0,0,,23,6,Curveball,1,4,4,1,4,1,4,1,Standard,Standard,328,-0.007,0.286,,,,-0.286,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,5.18,-0.96,0.96,37.4
FF,2023-09-15,91.7,2.07,6.31,"Newcomb, Sean",643265,656794,,foul_tip,,,,,3,Garrett Cooper walks.,R,R,L,OAK,SD,S,,,3,1,2023,0.53,1.21,0.54,3.27,,,,2,3,Top,,,,,,,-4.966766604774002,-133.4000809750622,-4.389815244779716,7.4248868519923565,28.157522536881427,-17.006009040217524,3.52,1.75,,,,90.6,2192,5.6,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.94,,,,,,,,23,5,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,141,0.0,-0.093,76.4,7.2,,0.093,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,1.5,0.53,-0.53,36.2
FF,2023-09-15,92.1,2.2,6.17,"Newcomb, Sean",643265,656794,,called_strike,,,,,1,Garrett Cooper walks.,R,R,L,OAK,SD,S,,,3,0,2023,0.27,1.25,-0.69,3.03,,,,2,3,Top,,,,,,,-7.838695762400474,-133.8924459867645,-4.777434174983362,4.895437238030874,28.77756529295628,-16.305921708569787,3.52,1.72,,,,91.1,2275,5.7,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.76,,,,,,,,23,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,144,0.0,-0.057,,,,0.057,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,1.44,0.27,-0.27,34.4
FF,2023-09-15,91.3,2.2,6.3,"Newcomb, Sean",643265,656794,,ball,,,,,2,Garrett Cooper walks.,R,R,L,OAK,SD,B,,,2,0,2023,0.53,1.28,0.17,3.78,,,,2,3,Top,,,,,,,-6.17173534585699,-132.9157003480862,-3.1901511842178856,7.617616431156446,28.51776216233847,-16.50434575040758,3.69,1.75,,,,90.2,2226,5.6,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.93,,,,,,,,23,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,141,0.0,0.113,,,,-0.113,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,1.45,0.53,-0.53,37.1
FC,2023-09-15,90.8,2.37,6.37,"Newcomb, Sean",643265,656794,,ball,,,,,12,Garrett Cooper walks.,R,R,L,OAK,SD,B,,,1,0,2023,0.08,0.68,1.25,2.92,,,,2,3,Top,,,,,,,-2.9492153358790216,-132.2924148736566,-4.16932280263217,1.593251527051731,26.95281551466496,-23.541175320492723,3.59,1.72,,,,89.8,2427,5.5,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.97,,,,,,,,23,2,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,142,0.0,0.056,,,,-0.056,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,2.07,0.08,-0.08,38.1
CU,2023-09-15,78.6,2.34,6.31,"Newcomb, Sean",643265,656794,,ball,,,,,13,Garrett Cooper walks.,R,R,L,OAK,SD,B,,,0,0,2023,-0.96,-1.48,-0.59,1.21,,,,2,3,Top,,,,,,,-4.494281358881052,-114.3417851847818,-1.3636032469538455,-7.35621056204309,24.571085875805935,-44.930927344206616,3.52,1.75,,,,77.0,2905,5.5,716569,669127,676116,680869,672478,669397,665923,671732,664913,54.97,,,,,,,,23,1,Curveball,1,4,4,1,4,1,4,1,Standard,Standard,329,0.0,0.043,,,,-0.043,,-3,3,0.217,0.783,30,32,30,33,2,1,6,2,,1,5.22,-0.96,0.96,37.9
