pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-07-29,76.1,-1.13,6.95,"Pinto, René",666197,650907,field_out,hit_into_play,,,,,13,Grae Kessinger flies out to left fielder Randy Arozarena.,R,R,R,HOU,TB,X,7,fly_ball,1,1,2023,-0.66,1.76,-1.0,2.06,,,,2,7,Bot,69.88,85.6,,,,,1.3950201247034903,-110.67534446165868,-6.155203672293551,-5.664710177697415,21.24196457235794,-16.869409435790555,3.3,1.57,312,83.9,34,73.9,1891,4.8,717214,542194,670623,664040,660644,677551,668227,642350,622534,55.69,0.023,0.028,0.0,1,0,0,3,69,3,Other,16,2,16,2,2,16,16,2,Standard,Standard,201,0.0,-0.261,72.0,7.1,0.043,0.261,88.0,14,14,1.0,1.0,26,25,27,26,1,0,,3,,1,2.21,0.66,0.66,65.3
FA,2023-07-29,74.0,-1.31,6.89,"Pinto, René",666197,650907,,called_strike,,,,,9,Grae Kessinger flies out to left fielder Randy Arozarena.,R,R,R,HOU,TB,S,,,1,0,2023,-0.67,1.83,0.82,1.63,,,,2,7,Bot,,,,,,,5.355416826604549,-107.49032438139012,-6.44576939874435,-6.167515875438254,19.756597343367176,-17.068104782384445,3.16,1.57,,,,72.0,1861,5.0,717214,542194,670623,664040,660644,677551,668227,642350,622534,55.49,,,,,,,,69,2,Other,16,2,16,2,2,16,16,2,Standard,Standard,200,0.0,-0.056,,,,0.056,,14,14,1.0,1.0,26,25,27,26,1,0,,3,,1,2.37,0.67,0.67,61.0
FA,2023-07-29,68.9,-1.02,7.04,"Pinto, René",666197,650907,,ball,,,,,14,Grae Kessinger flies out to left fielder Randy Arozarena.,R,R,R,HOU,TB,B,,,0,0,2023,-0.61,1.96,0.6,1.31,,,,2,7,Bot,,,,,,,3.950478968704293,-100.05320834360803,-6.032965740719257,-4.741720647176849,17.148853956296065,-18.273940261782553,3.22,1.57,,,,66.9,1773,4.9,717214,542194,670623,664040,660644,677551,668227,642350,622534,55.6,,,,,,,,69,1,Other,16,2,16,2,2,16,16,2,Standard,Standard,199,0.0,0.043,,,,-0.043,,14,14,1.0,1.0,26,25,27,26,1,0,,3,,1,2.89,0.61,0.61,64.2
EP,2023-07-29,50.3,-1.7,7.12,"Pinto, René",670541,650907,home_run,hit_into_play,,,,,11,Yordan Alvarez homers (18) on a fly ball to right center field.,R,L,R,HOU,TB,X,,fly_ball,0,2,2023,-0.9,2.03,-1.05,3.76,,,,2,7,Bot,179.81,52.69,,,,,1.8860806255194065,-73.0720960769871,3.589896124822114,-3.429145392823071,9.924902171642396,-25.73460306698981,3.45,1.73,386,99.3,30,48.1,1373,4.2,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.3,0.449,0.826,2.0,1,0,3,6,68,3,Eephus,15,2,15,2,2,16,16,2,Standard,Strategic,209,0.0,2.701,78.8,7.8,1.596,-2.701,99.3,13,13,1.0,1.0,26,26,27,26,1,4,,1,,1,7.13,0.9,-0.9,54.3
EP,2023-07-29,52.6,-1.65,7.13,"Pinto, René",670541,650907,,swinging_strike,,,,,1,Yordan Alvarez homers (18) on a fly ball to right center field.,R,L,R,HOU,TB,S,,,0,1,2023,-0.71,2.03,-0.79,3.44,,,,2,7,Bot,,,,,,,2.02918151397004,-76.49082993832852,2.33001455961509,-3.059123566770758,10.82902594946978,-24.854223879516987,3.45,1.73,,,,50.2,1429,4.1,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.44,,,,,,,,68,2,Eephus,15,2,15,2,2,15,15,2,Standard,Strategic,208,0.0,-0.061,73.8,8.3,,0.061,,13,13,1.0,1.0,26,26,27,26,1,4,,1,,1,6.32,0.71,-0.71,54.5
FA,2023-07-29,58.1,-1.22,7.27,"Pinto, René",670541,650907,,called_strike,,,,,12,Yordan Alvarez homers (18) on a fly ball to right center field.,R,L,R,HOU,TB,S,,,0,0,2023,-0.66,2.01,0.11,3.91,,,,2,7,Bot,,,,,,,2.901993945955782,-84.4757825830623,1.1469813106869782,-3.5750192350561245,13.117539722680034,-23.07753553021993,3.59,1.76,,,,55.5,1548,4.1,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.39,,,,,,,,68,1,Other,15,2,15,2,2,15,15,2,Standard,Standard,205,0.0,-0.045,,,,0.045,,13,13,1.0,1.0,26,26,27,26,1,4,,1,,1,4.83,0.66,-0.66,62.2
EP,2023-07-29,52.5,-1.58,7.1,"Pinto, René",608324,650907,home_run,hit_into_play,,,,,1,Alex Bregman homers (18) on a fly ball to left field.   Jeremy Pena scores.,R,R,R,HOU,TB,X,,fly_ball,3,1,2023,-0.56,1.89,-0.33,2.93,,,665161,2,7,Bot,50.27,74.81,,,,,2.4056914065714174,-76.29148986274221,1.8547707557116693,-2.489923209853273,10.273030802813173,-25.338130786816897,3.12,1.5,360,93.1,35,50.5,1362,4.4,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.14,0.057,0.101,2.0,1,0,3,3,67,5,Eephus,13,2,13,2,2,15,15,2,Standard,Strategic,211,0.0,2.104,71.9,6.7,0.192,-2.104,93.1,11,11,1.0,1.0,26,29,27,29,1,4,,1,,1,6.47,0.56,0.56,55.7
EP,2023-07-29,53.8,-1.43,7.21,"Pinto, René",608324,650907,,called_strike,,,,,2,Alex Bregman homers (18) on a fly ball to left field.   Jeremy Pena scores.,R,R,R,HOU,TB,S,,,3,0,2023,-0.5,1.96,0.05,2.99,,,665161,2,7,Bot,,,,,,,2.723130263293428,-78.24361043020635,1.2431660535854927,-2.428666146886376,10.88378991971379,-24.604365755937597,3.23,1.5,,,,51.7,1406,4.3,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.19,,,,,,,,67,4,Eephus,13,2,13,2,2,13,13,2,Standard,Strategic,205,0.0,-0.058,,,,0.058,,11,11,1.0,1.0,26,29,27,29,1,4,,1,,1,5.99,0.5,0.5,58.7
EP,2023-07-29,51.7,-1.84,7.04,"Pinto, René",608324,650907,,ball,,,,,12,Alex Bregman homers (18) on a fly ball to left field.   Jeremy Pena scores.,R,R,R,HOU,TB,B,,,2,0,2023,-0.59,1.96,0.04,4.24,,,665161,2,7,Bot,,,,,,,3.24327005856053,-74.96760246255806,3.9438028725675895,-2.650940058702127,9.8844020906877,-25.602727278379064,3.04,1.5,,,,49.5,1367,4.2,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.3,,,,,,,,67,3,Eephus,13,2,13,2,2,13,13,2,Standard,Strategic,214,0.0,0.104,,,,-0.104,,11,11,1.0,1.0,26,29,27,29,1,4,,1,,1,6.69,0.59,0.59,52.6
EP,2023-07-29,52.4,-1.87,6.99,"Pinto, René",608324,650907,,ball,,,,,11,Alex Bregman homers (18) on a fly ball to left field.   Jeremy Pena scores.,R,R,R,HOU,TB,B,,,1,0,2023,-0.59,1.93,-0.15,5.19,,,665161,2,7,Bot,,,,,,,3.0714360158525422,-75.9956257766756,5.16593242446994,-2.6844185986736084,10.39792826167912,-25.70391140589353,3.12,1.5,,,,50.1,1388,4.2,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.26,,,,,,,,67,2,Eephus,13,2,13,2,2,13,13,2,Standard,Standard,217,0.0,0.037,,,,-0.037,,11,11,1.0,1.0,26,29,27,29,1,4,,1,,1,6.5,0.59,0.59,49.3
EP,2023-07-29,50.3,-1.79,6.99,"Pinto, René",608324,650907,,ball,,,,,11,Alex Bregman homers (18) on a fly ball to left field.   Jeremy Pena scores.,R,R,R,HOU,TB,B,,,0,0,2023,-0.78,1.93,-0.36,4.38,,,665161,2,7,Bot,,,,,,,2.780027371882813,-72.92678484244439,4.673349341068993,-3.1231650334411247,9.450847697609674,-26.192240179920812,3.06,1.5,,,,48.1,1365,4.2,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.32,,,,,,,,67,1,Eephus,13,2,13,2,2,13,13,2,Standard,Standard,216,0.0,0.03,,,,-0.03,,11,11,1.0,1.0,26,29,27,29,1,4,,1,,1,7.22,0.78,0.78,47.7
EP,2023-07-29,50.9,-1.76,6.98,"Pinto, René",663656,650907,field_out,hit_into_play,,,,,11,Kyle Tucker pops out softly to catcher Christian Bethancourt in foul territory.,R,L,R,HOU,TB,X,2,popup,2,1,2023,-0.88,1.82,-0.49,4.09,,,665161,1,7,Bot,120.81,207.29,,,,,2.7133504156535886,-73.88955540401182,4.258343043083235,-3.5595850831365765,9.995109302304686,-26.417885785031853,3.49,1.62,14,57.2,87,48.6,1372,4.2,717214,542194,670623,664040,660644,677551,668227,642350,622534,56.34,0.006,0.007,0.0,1,0,0,1,66,4,Eephus,13,2,13,2,2,13,13,2,Standard,Strategic,214,0.0,-0.286,66.4,7.3,0.008,0.286,88.0,11,11,1.0,1.0,26,26,27,26,1,4,,1,,1,7.12,0.88,-0.88,50.8
