pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-08-16,86.6,-0.37,5.77,"Pruitt, Austin",641933,643493,force_out,hit_into_play,,,,,14,"Tyler O'Neill grounds into a force out, fielded by third baseman Jordan Diaz.   Andrew Knizner out at 3rd.",R,R,R,STL,OAK,X,5,ground_ball,0,1,2023,0.64,-0.1,0.63,1.32,676475,668800,600301,2,9,Bot,94.4,161.53,,,,,1.0834045215003607,-126.21096155293164,-4.2819685402810626,6.6445684498871715,23.02339126422071,-32.71248723701088,3.27,1.52,1,65.0,-39,86.5,2743,5.9,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.58,0.103,0.11,0.0,1,0,0,2,78,2,Slider,0,8,0,8,8,0,0,8,Standard,Standard,94,-0.001,-0.221,72.3,6.8,0.103,0.221,88.0,-8,-8,0.001,0.001,33,28,34,28,2,1,1,1,,1,3.11,-0.64,-0.64,54.9
SL,2023-08-16,87.2,-0.46,5.78,"Pruitt, Austin",641933,643493,,called_strike,,,,,6,"Tyler O'Neill grounds into a force out, fielded by third baseman Jordan Diaz.   Andrew Knizner out at 3rd.",R,R,R,STL,OAK,S,,,0,0,2023,0.68,0.11,0.77,2.79,676475,668800,600301,2,9,Bot,,,,,,,1.558418325061401,-127.12484528833528,-1.3212944918117313,7.142115141919784,23.22787704487636,-30.947137401117683,3.35,1.58,,,,86.9,2674,5.8,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.75,,,,,,,,78,1,Slider,0,8,0,8,8,0,0,8,Standard,Standard,117,0.0,-0.047,,,,0.047,,-8,-8,0.001,0.001,33,28,34,28,2,1,1,1,,1,2.85,-0.68,-0.68,53.4
SI,2023-08-16,91.5,-0.4,5.78,"Pruitt, Austin",600301,643493,single,hit_into_play,,,,,4,Taylor Motter singles on a line drive to center fielder Lawrence Butler.   Alec Burleson to 3rd.    Andrew Knizner to 2nd.,R,R,R,STL,OAK,X,8,line_drive,0,1,2023,-0.31,0.69,-0.4,2.59,,676475,668800,2,9,Bot,134.29,85.93,,,,,0.6701432146141114,-133.26832787106918,-3.6987406300720815,-3.839992290016783,26.82425063824842,-23.33995359900541,3.22,1.55,208,99.4,10,91.1,2412,5.9,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.65,0.751,0.705,0.9,1,1,0,4,77,2,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,193,0.001,0.589,69.6,6.8,0.879,-0.589,99.4,-8,-8,0.0,0.0,33,33,34,34,1,3,1,1,,1,2.01,0.31,0.31,55.4
FF,2023-08-16,91.8,-0.47,5.77,"Pruitt, Austin",600301,643493,,foul,,,,,2,Taylor Motter singles on a line drive to center fielder Lawrence Butler.   Alec Burleson to 3rd.    Andrew Knizner to 2nd.,R,R,R,STL,OAK,S,,,0,0,2023,0.05,1.17,-0.04,2.76,,676475,668800,2,9,Bot,,,,,,,0.9891968430128032,-133.80431494268808,-4.34784346844493,0.4277246114112235,26.122689682874224,-17.35930609370164,3.22,1.55,248,75.8,43,91.6,2459,5.8,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.65,,,,,,,,77,1,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,197,0.0,-0.04,73.6,7.4,,0.04,88.0,-8,-8,0.0,0.0,33,33,34,34,1,3,1,1,,1,1.5,-0.05,-0.05,53.7
SL,2023-08-16,88.2,-0.51,5.77,"Pruitt, Austin",668800,643493,walk,ball,,,,,14,Andrew Knizner walks.   Alec Burleson to 2nd.,R,R,R,STL,OAK,B,,,3,1,2023,0.59,0.18,0.82,1.23,,,676475,2,9,Bot,,,,,,,1.9955252112997277,-128.52184484865668,-5.374680595732573,6.240655434783232,24.03988587495351,-29.368147226794516,3.32,1.54,,,,88.0,2748,5.8,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.66,,0.695903,0.7,1,0,0,,76,5,Slider,0,8,0,8,8,0,0,8,Strategic,Standard,118,0.0,0.164,,,,-0.164,,-8,-8,0.0,0.0,33,28,34,28,1,3,1,1,,1,2.72,-0.59,-0.59,52.8
FF,2023-08-16,91.7,-0.27,5.77,"Pruitt, Austin",668800,643493,,ball,,,,,12,Andrew Knizner walks.   Alec Burleson to 2nd.,R,R,R,STL,OAK,B,,,2,1,2023,0.15,1.02,1.98,2.56,,,676475,2,9,Bot,,,,,,,5.326420572832951,-133.4959010984029,-4.475929392507216,0.7742853066661538,25.974053698934885,-19.235539523550948,3.29,1.57,,,,91.6,2526,6.0,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.54,,,,,,,,76,4,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,189,0.0,0.097,,,,-0.097,,-8,-8,0.0,0.0,33,28,34,28,1,3,1,1,,1,1.67,-0.15,-0.15,57.6
SL,2023-08-16,87.4,-0.45,5.72,"Pruitt, Austin",668800,643493,,ball,,,,,14,Andrew Knizner walks.   Alec Burleson to 2nd.,R,R,R,STL,OAK,B,,,1,1,2023,0.62,0.02,0.98,1.53,,,676475,2,9,Bot,,,,,,,2.1684468594299338,-127.31651495192544,-4.0443205181723085,6.32293373828854,24.275551962453125,-31.37955829841627,3.38,1.57,,,,87.2,2779,5.9,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.57,,,,,,,,76,3,Slider,0,8,0,8,8,0,0,8,Strategic,Standard,109,0.0,0.036,,,,-0.036,,-8,-8,0.0,0.0,33,28,34,28,1,3,1,1,,1,2.94,-0.62,-0.62,52.4
SL,2023-08-16,87.0,-0.42,5.75,"Pruitt, Austin",668800,643493,,ball,,,,,14,Andrew Knizner walks.   Alec Burleson to 2nd.,R,R,R,STL,OAK,B,,,0,1,2023,0.64,-0.02,1.0,1.29,,,676475,2,9,Bot,,,,,,,2.084998438628995,-126.83022253698016,-4.529627803512312,6.559690025397757,23.776697420901144,-31.767857617674057,3.4,1.57,,,,86.4,2771,5.6,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.89,,,,,,,,76,2,Slider,0,8,0,8,8,0,0,8,Standard,Standard,102,0.0,0.025,,,,-0.025,,-8,-8,0.0,0.0,33,28,34,28,1,3,1,1,,1,3.0,-0.64,-0.64,54.1
CU,2023-08-16,83.0,-0.34,5.86,"Pruitt, Austin",668800,643493,,called_strike,,,,,14,Andrew Knizner walks.   Alec Burleson to 2nd.,R,R,R,STL,OAK,S,,,0,0,2023,0.64,-0.65,0.84,2.04,,,676475,2,9,Bot,,,,,,,1.4401001604634875,-120.95028120422052,-1.0877064097542148,6.030165607520243,21.86314810548342,-38.57839827608913,3.37,1.6,,,,82.5,2726,5.7,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.77,,,,,,,,76,1,Curveball,0,8,0,8,8,0,0,8,Standard,Standard,42,0.0,-0.045,,,,0.045,,-8,-8,0.0,0.0,33,28,34,28,1,3,1,1,,1,3.93,-0.64,-0.64,56.9
SI,2023-08-16,92.1,-0.41,5.74,"Pruitt, Austin",663609,643493,strikeout,called_strike,,,,,7,Luken Baker called out on strikes.,R,R,R,STL,OAK,S,2,,2,2,2023,-0.78,0.72,-0.41,2.11,,,676475,1,9,Bot,,,,,,,1.6676114961926158,-134.14788078159447,-4.946794242575116,-9.763376354788171,27.50984130949366,-22.603008185851508,3.79,1.75,,,,91.5,2350,5.8,716969,669127,649557,680869,672478,669397,665923,671732,664913,54.74,,0.0,0.0,1,0,0,,75,8,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,196,0.0,-0.23,,,,0.23,,-8,-8,0.0,0.0,33,26,34,26,1,3,1,2,,2,1.95,0.78,0.78,54.9
