pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-04-14,52.1,-1.99,6.71,"Pérez, Carlos",641796,542208,field_out,hit_into_play,,,,,12,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,X,7,fly_ball,2,2,2023,0.12,1.08,0.43,3.77,500871,641645,607043,2,9,Top,87.98,109.9,,,,,3.207484093475605,-75.56781634150225,4.6324734765646305,0.0416825570320355,9.422881788523236,-28.872462024737555,3.41,1.66,242,80.7,47,50.3,1409,4.5,718578,669127,676116,643393,607054,675656,668843,665923,642180,55.97,0.023,0.021,0.0,1,0,0,3,97,6,Other,6,17,17,6,17,6,17,6,Standard,Standard,181,0.0,-0.225,,,0.027,0.225,88.0,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,7.39,-0.12,-0.12,49.6
FA,2023-04-14,69.6,-2.3,6.58,"Pérez, Carlos",641796,542208,,foul,,,,,3,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,2,2,2023,-0.13,1.54,0.35,3.22,500871,641645,607043,2,9,Top,,,,,,,5.097983801370382,-101.3499550215928,-1.305312194808381,-1.6590152410296095,15.33171464680722,-21.5062900702996,3.41,1.66,141,61.4,63,67.3,1996,4.2,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.29,,,,,,,,97,5,Other,6,17,17,6,17,6,17,6,Standard,Standard,209,0.0,0.0,,,,0.0,88.0,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,3.13,0.13,0.13,36.5
FA,2023-04-14,65.1,-2.25,6.52,"Pérez, Carlos",641796,542208,,blocked_ball,,,,,13,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,B,,,1,2,2023,-0.08,0.63,-0.14,-0.79,500871,641645,607043,2,9,Top,,,,,,,3.792762058700384,-94.7181700998311,-5.686950781920546,-1.0871401521828692,14.372362570506423,-27.730807693471323,3.46,1.67,,,,63.0,1725,4.4,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.06,,,,,,,,97,4,Other,6,17,17,6,17,6,17,6,Standard,Standard,203,0.0,0.051,,,,-0.051,,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,4.75,0.08,0.08,38.5
FA,2023-04-14,64.2,-2.37,6.5,"Pérez, Carlos",641796,542208,,foul,,,,,12,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,1,1,2023,0.2,1.34,1.89,2.7,500871,641645,607043,2,9,Top,,,,,,,6.962833991952044,-93.28268853088076,-0.385016296292315,0.1436772526907316,13.94745576413212,-24.517877241059075,3.41,1.66,90,63.6,72,61.9,1768,4.3,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.2,,,,,,,,97,3,Other,6,17,17,6,17,6,17,6,Standard,Standard,206,0.0,-0.079,,,,0.079,88.0,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,4.21,-0.2,-0.2,37.9
FA,2023-04-14,72.0,-2.45,6.49,"Pérez, Carlos",641796,542208,,blocked_ball,,,,,14,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,B,,,0,1,2023,-0.75,1.56,0.09,1.07,500871,641645,607043,2,9,Top,,,,,,,6.066456553656489,-104.67907557590866,-5.760148484100506,-6.510884639918261,17.42803121363226,-19.894388731382097,3.43,1.67,,,,69.6,1947,4.4,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.14,,,,,,,,97,2,Other,6,17,17,6,17,6,17,6,Standard,Standard,222,0.0,0.034,,,,-0.034,,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,2.84,0.75,0.75,35.7
FA,2023-04-14,67.8,-2.3,6.57,"Pérez, Carlos",641796,542208,,foul,,,,,8,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,0,0,2023,-0.42,1.71,-0.12,2.17,500871,641645,607043,2,9,Top,,,,,,,4.543109255903111,-98.71561054292518,-3.0711524935601435,-3.390596532482294,13.580998763074318,-20.64491433209519,3.43,1.6,,,,65.6,1826,4.1,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.38,,,,,,,,97,1,Other,6,17,17,6,17,6,17,6,Standard,Standard,214,0.0,-0.047,,,,0.047,,-11,11,0.0,1.0,32,30,33,31,1,0,6,5,,1,3.19,0.42,0.42,36.4
FA,2023-04-14,69.7,-2.58,6.48,"Pérez, Carlos",607043,542208,walk,ball,,,,,13,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,B,,,3,2,2023,-0.67,1.55,-0.03,0.52,500871,,641645,2,9,Top,,,,,,,5.7527063241148495,-101.28149185120056,-6.082759944036508,-5.552309524532129,16.11551353546372,-20.666874748168436,3.4,1.72,,,,67.0,1846,4.1,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.39,,0.695903,0.7,1,0,0,,96,8,Other,6,17,17,6,17,6,17,6,Infield shade,Standard,219,0.0,0.153,,,,-0.153,,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,3.14,0.67,-0.67,34.3
FA,2023-04-14,68.9,-2.54,6.53,"Pérez, Carlos",607043,542208,,foul,,,,,5,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,S,,,3,2,2023,-0.2,1.63,0.11,2.16,500871,,641645,2,9,Top,,,,,,,5.156628285547251,-100.22165751050149,-3.1067188755273416,-2.169598548212991,15.344776168707654,-20.85661558963492,3.3,1.6,130,55.5,30,66.6,1878,4.3,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.25,,,,,,,,96,7,Other,6,17,17,6,17,6,17,6,Infield shade,Standard,219,0.0,0.0,,,,0.0,88.0,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,3.15,0.2,-0.2,37.0
FA,2023-04-14,65.9,-2.49,6.53,"Pérez, Carlos",607043,542208,,foul,,,,,7,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,S,,,3,2,2023,-0.33,1.6,-0.48,1.76,500871,,641645,2,9,Top,,,,,,,3.990329663550815,-95.94651066516924,-2.94779581090117,-2.6412831475576883,14.774729212070389,-22.02706062470252,3.3,1.6,103,64.6,73,63.3,1762,4.0,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.48,,,,,,,,96,6,Other,6,17,17,6,17,6,17,6,Infield shade,Standard,215,0.0,0.0,,,,0.0,88.0,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,3.64,0.33,-0.33,37.2
EP,2023-04-14,45.1,-2.31,6.66,"Pérez, Carlos",607043,542208,,ball,,,,,11,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,B,,,2,2,2023,0.81,1.06,-3.2,7.09,500871,,641645,2,9,Top,,,,,,,-1.8547261409402611,-64.27875431870683,11.140776663323267,2.446959801022726,7.059543006497654,-30.708796966685632,3.43,1.61,,,,42.5,1223,4.3,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.22,,,,,,,,96,5,Eephus,6,17,17,6,17,6,17,6,Infield shade,Standard,164,0.0,0.08,,,,-0.08,,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,10.68,-0.81,0.81,50.7
FA,2023-04-14,59.3,-2.42,6.47,"Pérez, Carlos",607043,542208,,foul,,,,,2,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,S,,,2,1,2023,0.18,1.31,-0.15,3.36,500871,,641645,2,9,Top,,,,,,,3.324685230536238,-86.38336877714288,1.8948937674268005,0.5139450172932785,10.73195009774884,-25.989391946036413,3.3,1.6,75,68.7,74,57.4,1626,4.2,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.32,,,,,,,,96,4,Other,6,17,17,6,17,6,17,6,Infield shade,Standard,198,0.0,-0.081,,,,0.081,88.0,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,5.1,-0.18,0.18,38.6
FA,2023-04-14,60.0,-2.61,6.46,"Pérez, Carlos",607043,542208,,called_strike,,,,,4,Brandon Nimmo walks.   Luis Guillorme to 2nd.,R,L,R,OAK,NYM,S,,,2,0,2023,0.13,1.27,-0.43,2.16,500871,,641645,2,9,Top,,,,,,,3.281572253236006,-87.40148220883138,-0.0774270598315016,0.2166753208196899,11.899071238480357,-25.824274658142855,3.37,1.61,,,,57.8,1616,4.1,718578,669127,676116,643393,607054,675656,668843,665923,642180,56.42,,,,,,,,96,3,Other,6,17,17,6,17,6,17,6,Infield shade,Standard,205,0.0,-0.066,,,,0.066,,-11,11,0.0,1.0,32,30,33,30,1,6,6,2,,1,5.03,-0.13,0.13,38.5
