pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-09-30,86.2,2.31,5.59,"Quintana, Jose",664761,500779,strikeout,swinging_strike,,,,,14,Alec Bohm strikes out swinging.,R,R,L,NYM,PHI,S,2,,1,2,2023,1.12,0.16,0.55,0.96,,,,2,4,Top,,,,,,,-6.497780759626991,-125.23505844759715,-5.064481841517908,13.12399556982652,28.01510845443109,-29.53483863992707,3.56,1.61,,,,86.2,1296,6.7,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.85,,0.0,0.0,1,0,0,,39,5,Changeup,8,4,4,8,4,8,4,8,Standard,Standard,133,0.006,-0.191,74.9,8.5,,0.191,,4,-4,0.913,0.087,34,26,34,27,3,2,7,2,,1,2.94,1.12,-1.12,43.2
SI,2023-09-30,90.5,2.1,5.72,"Quintana, Jose",664761,500779,,foul,,,,,4,Alec Bohm strikes out swinging.,R,R,L,NYM,PHI,S,,,1,2,2023,1.18,1.37,-0.67,2.91,,,,2,4,Top,,,,,,,-9.462116524376995,-131.3728783310111,-3.93458786876138,15.752690267181826,30.268888230957852,-15.744155667473454,3.56,1.61,180,70.5,57,90.4,2189,6.6,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.94,,,,,,,,39,4,Sinker,8,4,4,8,4,8,4,8,Standard,Standard,160,0.0,0.0,71.1,7.2,,0.0,88.0,4,-4,0.913,0.087,34,26,34,27,3,2,7,2,,1,1.45,1.18,-1.18,52.5
CH,2023-09-30,86.1,2.24,5.68,"Quintana, Jose",664761,500779,,ball,,,,,14,Alec Bohm strikes out swinging.,R,R,L,NYM,PHI,B,,,0,2,2023,1.38,0.63,0.52,1.18,,,,2,4,Top,,,,,,,-6.908190752566291,-125.12519773968368,-5.669300642824011,15.879595330058423,27.235893915012188,-24.566433866010005,3.52,1.61,,,,86.3,1393,6.7,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.84,,,,,,,,39,3,Changeup,8,4,4,8,4,8,4,8,Standard,Standard,138,0.0,0.022,,,,-0.022,,4,-4,0.913,0.087,34,26,34,27,3,2,7,2,,1,2.47,1.38,-1.38,43.8
CH,2023-09-30,85.6,2.29,5.75,"Quintana, Jose",664761,500779,,swinging_strike,,,,,14,Alec Bohm strikes out swinging.,R,R,L,NYM,PHI,S,,,0,1,2023,1.26,0.33,0.86,1.45,,,,2,4,Top,,,,,,,-5.888826356874806,-124.39239179326832,-4.466271379818616,14.252667907282952,27.17958368827651,-27.970090571548212,3.56,1.61,,,,85.1,1204,6.3,716393,682626,668901,677595,683146,596019,641796,542364,621466,54.24,,,,,,,,39,2,Changeup,8,4,4,8,4,8,4,8,Standard,Standard,128,0.0,-0.061,73.7,8.4,,0.061,,4,-4,0.913,0.087,34,26,34,27,3,2,7,2,,1,2.81,1.26,-1.26,43.6
SI,2023-09-30,89.1,2.25,5.68,"Quintana, Jose",664761,500779,,swinging_strike,,,,,14,Alec Bohm strikes out swinging.,R,R,L,NYM,PHI,S,,,0,0,2023,1.39,0.81,1.56,2.43,,,,2,4,Top,,,,,,,-4.654603420589444,-129.59405257960168,-3.59466082993972,16.65966780810257,30.47603288883622,-22.532711198325483,3.56,1.61,,,,89.2,2127,6.7,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.82,,,,,,,,39,1,Sinker,8,4,4,8,4,8,4,8,Standard,Standard,161,0.0,-0.045,75.6,8.1,,0.045,,4,-4,0.913,0.087,34,26,34,27,3,2,7,2,,1,2.09,1.39,-1.39,47.2
CU,2023-09-30,77.2,2.1,5.78,"Quintana, Jose",607208,500779,field_out,hit_into_play,,,,,14,"Trea Turner grounds out softly, pitcher Jose Quintana to first baseman Mark Vientos.",R,R,L,NYM,PHI,X,1,ground_ball,0,0,2023,-0.84,-0.68,0.01,1.51,,,,1,4,Top,131.7,181.04,,,,,-2.9262737541843182,-112.39460625967416,-0.8071018991328496,-6.440599749934752,22.744363056872004,-37.93844016855885,3.45,1.69,1,52.2,-57,77.1,2249,6.5,716393,682626,668901,677595,683146,596019,641796,542364,621466,54.03,0.271,0.304,0.0,1,0,0,1,38,1,Curveball,8,4,4,8,4,8,4,8,Standard,Standard,304,0.011,-0.267,70.6,8.5,0.276,0.267,88.0,4,-4,0.902,0.098,34,30,34,30,3,2,7,2,,3,4.53,-0.84,0.84,48.2
SI,2023-09-30,89.8,2.26,5.69,"Quintana, Jose",656941,500779,home_run,hit_into_play,,,,,5,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,X,,fly_ball,2,2,2023,1.19,1.1,-0.15,2.5,679032,,665506,1,4,Top,233.63,82.68,,,,,-8.53877192487396,-130.33617415079,-4.170589405270577,15.48173596259172,30.403738316179787,-18.963071567619384,3.29,1.55,389,104.0,28,89.7,2076,6.6,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.86,0.877,1.717,2.0,1,0,3,6,37,6,Sinker,8,1,1,8,4,8,4,8,Standard,Standard,156,-0.059,1.242,77.1,8.2,3.401,-1.242,104.0,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,1.77,1.19,1.19,46.2
SV,2023-09-30,76.2,2.24,5.59,"Quintana, Jose",656941,500779,,foul,,,,,13,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,S,,,2,2,2023,-1.59,0.12,-0.96,1.66,679032,,665506,1,4,Top,,,,,,,-3.88873323660805,-110.8696474270498,-1.3106897302782312,-12.063567455206986,23.62824692620065,-31.136769548013817,3.29,1.55,113,52.1,19,75.8,2390,6.4,716393,682626,668901,677595,683146,596019,641796,542364,621466,54.06,,,,,,,,37,5,Slurve,8,1,1,8,1,8,1,8,Standard,Standard,310,0.0,0.0,30.3,6.2,,0.0,88.0,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,3.86,-1.59,-1.59,46.0
SI,2023-09-30,91.9,2.18,5.63,"Quintana, Jose",656941,500779,,foul,,,,,8,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,S,,,2,1,2023,1.32,1.22,-0.16,1.48,679032,,665506,1,4,Top,,,,,,,-8.855004156963439,-133.21706331781502,-7.157537759813418,17.852227712907347,37.189824069714106,-16.169187120873886,3.29,1.55,3,62.7,-27,91.3,2303,6.9,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.64,,,,,,,,37,4,Sinker,8,1,1,8,1,8,1,8,Standard,Standard,173,0.0,-0.108,77.3,8.5,,0.108,88.0,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,1.57,1.32,1.32,50.3
SI,2023-09-30,92.0,2.12,5.67,"Quintana, Jose",656941,500779,,ball,,,,,13,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,B,,,1,1,2023,1.3,1.43,-0.6,1.27,679032,,665506,1,4,Top,,,,,,,-9.799784337208788,-133.20266846115817,-8.284865395671039,17.836821948937438,36.48611414146834,-13.414755575347025,3.38,1.6,,,,91.4,2262,6.8,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.65,,,,,,,,37,3,Sinker,8,1,1,8,1,8,1,8,Standard,Standard,161,0.0,0.05,,,,-0.05,,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,1.35,1.3,1.3,45.9
SI,2023-09-30,91.4,2.17,5.73,"Quintana, Jose",656941,500779,,called_strike,,,,,8,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,S,,,1,0,2023,1.2,1.5,-0.26,1.91,679032,,665506,1,4,Top,,,,,,,-8.763566349370091,-132.4393798946936,-6.788428193637437,16.207849242992125,37.03174259996939,-13.248165098307933,3.41,1.63,,,,90.6,2215,6.8,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.75,,,,,,,,37,2,Sinker,8,1,1,8,1,8,1,8,Standard,Standard,164,0.0,-0.05,,,,0.05,,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,1.32,1.2,1.2,48.3
SI,2023-09-30,91.4,2.13,5.7,"Quintana, Jose",656941,500779,,ball,,,,,13,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,B,,,0,0,2023,0.95,1.52,-0.3,1.21,679032,,665506,1,4,Top,,,,,,,-8.206798898390323,-132.39970394638,-8.594973135231186,13.15744776378145,34.459596034721876,-12.53113004605244,3.44,1.6,,,,90.9,2216,6.7,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.75,,,,,,,,37,1,Sinker,8,1,1,8,1,8,1,8,Standard,Standard,165,0.0,0.041,,,,-0.041,,7,-7,0.961,0.039,34,30,34,30,3,2,7,0,,1,1.28,0.95,0.95,45.1
