pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2023-05-23,50.7,-1.12,7.05,"Raley, Luke",656305,670042,home_run,hit_into_play,,,,,1,Matt Chapman homers (7) on a line drive to left center field.   Cavan Biggio scores.,R,R,R,TB,TOR,X,,line_drive,0,0,2023,0.08,0.9,-0.32,2.86,,,624415,2,9,Top,66.83,76.0,,,,,0.990830953789298,-73.64987790448504,3.651528076477691,0.168074714385092,9.543761540086924,-29.63453185778275,3.42,1.6,384,114.3,19,49.3,1160,5.0,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.5,0.903,1.489,2.0,1,0,3,6,81,1,Eephus,1,15,15,1,17,1,17,1,Standard,Strategic,190,0.0,2.216,,,2.733,-2.216,114.3,-14,14,0.0,1.0,28,30,29,30,2,5,26,1,,1,8.07,-0.08,-0.08,55.1
EP,2023-05-23,53.3,-1.14,6.92,"Raley, Luke",624415,670042,single,hit_into_play,,,,,2,Cavan Biggio singles on a line drive to left fielder Randy Arozarena.,R,L,R,TB,TOR,X,7,line_drive,0,0,2023,0.19,1.0,-0.12,3.15,,,,2,9,Top,75.55,90.36,,,,,1.2539583134504189,-77.45188668418218,3.329039990759555,0.5793549948615853,10.596604637266992,-28.874445084610656,3.35,1.59,212,82.1,17,52.3,1182,5.5,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.01,0.969,0.907,0.9,1,1,0,4,80,1,Eephus,1,15,15,1,15,1,15,1,Strategic,Strategic,190,0.0,0.344,,,1.092,-0.344,88.0,-14,14,0.0,1.0,28,28,29,28,2,0,26,2,,1,7.11,-0.19,0.19,55.1
EP,2023-05-23,52.3,-1.11,6.96,"Raley, Luke",665489,670042,home_run,hit_into_play,,,,,1,Vladimir Guerrero Jr.  hits a grand slam (8) to left field.   Kevin Kiermaier scores.    Nathan Lukes scores.    Ernie Clement scores.,R,R,R,TB,TOR,X,,fly_ball,1,0,2023,0.09,0.95,-0.74,3.46,595281,664770,676391,2,9,Top,12.36,68.86,,,,,0.4149703718894478,-75.91929093957955,4.0800292300128325,0.2691621117529988,10.507160787358954,-29.326284589330793,3.63,1.63,424,111.5,23,50.8,1243,5.0,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.46,0.983,1.909,2.0,1,0,3,6,79,2,Eephus,1,11,11,1,15,1,15,1,Standard,Strategic,191,0.0,1.105,,,3.762,-1.105,111.5,-10,10,0.0,1.0,28,24,29,24,2,5,26,1,,1,7.51,-0.09,-0.09,52.3
EP,2023-05-23,52.0,-1.15,6.87,"Raley, Luke",665489,670042,,ball,,,,,14,Vladimir Guerrero Jr.  hits a grand slam (8) to left field.   Kevin Kiermaier scores.    Nathan Lukes scores.    Ernie Clement scores.,R,R,R,TB,TOR,B,,,0,0,2023,0.02,0.81,0.25,1.31,595281,664770,676391,2,9,Top,,,,,,,1.956575267426976,-75.61931566975213,1.49527078371887,-0.2116415431884737,10.83229932821446,-29.564783622431474,3.9,1.74,,,,50.7,1205,5.3,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.17,,,,,,,,79,1,Eephus,1,11,11,1,11,1,11,1,Standard,Standard,188,0.0,0.035,,,,-0.035,,-10,10,0.0,1.0,28,24,29,24,2,5,26,1,,1,7.75,-0.02,-0.02,52.1
EP,2023-05-23,50.9,-1.19,6.9,"Raley, Luke",676391,670042,single,hit_into_play,,,,,4,Ernie Clement singles on a line drive to left fielder Randy Arozarena.   Kevin Kiermaier to 3rd.    Nathan Lukes to 2nd.,R,R,R,TB,TOR,X,7,line_drive,0,0,2023,0.07,1.04,-0.46,2.18,,595281,664770,2,9,Top,75.96,87.86,,,,,0.9209048685305868,-73.96030025292416,2.696913154618483,0.1556359046358474,9.444083496824552,-28.9475129309882,3.36,1.57,199,97.5,12,49.8,1207,5.3,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.24,0.949,0.922,0.9,1,1,0,4,78,1,Eephus,1,11,11,1,11,1,11,1,Standard,Standard,194,0.0,0.549,,,1.158,-0.549,97.5,-10,10,0.0,1.0,28,27,29,27,2,0,26,,,1,7.83,-0.07,-0.07,56.5
EP,2023-05-23,51.7,-1.11,6.92,"Raley, Luke",664770,670042,single,hit_into_play,,,,,9,Nathan Lukes singles on a ground ball to center fielder Jose Siri.   Kevin Kiermaier to 2nd.,R,L,R,TB,TOR,X,8,ground_ball,1,0,2023,0.11,0.81,0.41,2.06,,,595281,2,9,Top,151.36,86.39,,,,,1.9972828076470197,-75.13253017863363,2.5329374942129883,0.1545769739639419,10.022568618383374,-29.69793846986487,3.32,1.51,29,96.2,-2,50.6,1173,5.4,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.09,0.349,0.311,0.9,1,1,0,2,77,2,Eephus,1,11,11,1,11,1,11,1,Infield shade,Strategic,185,0.0,0.338,,,0.388,-0.338,96.2,-10,10,0.0,1.0,28,28,29,29,1,0,26,2,,1,7.81,-0.11,0.11,54.9
EP,2023-05-23,52.7,-1.11,6.93,"Raley, Luke",664770,670042,,ball,,,,,11,Nathan Lukes singles on a ground ball to center fielder Jose Siri.   Kevin Kiermaier to 2nd.,R,L,R,TB,TOR,B,,,0,0,2023,0.19,0.84,-1.07,3.09,,,595281,2,9,Top,,,,,,,-0.181117938909517,-76.52673424654206,3.652840732912086,0.7595919340559695,10.69051825517674,-29.65912078608665,3.69,1.76,,,,51.5,1248,5.4,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.07,,,,,,,,77,1,Eephus,1,11,11,1,11,1,11,1,Strategic,Strategic,190,0.0,0.03,,,,-0.03,,-10,10,0.0,1.0,28,28,29,29,1,0,26,2,,1,7.49,-0.19,0.19,55.3
EP,2023-05-23,50.8,-1.22,7.03,"Raley, Luke",595281,670042,single,hit_into_play,,,,,1,Kevin Kiermaier singles on a sharp line drive to left fielder Randy Arozarena.,R,L,R,TB,TOR,X,7,line_drive,1,1,2023,0.01,1.36,-0.74,3.35,,,,2,9,Top,76.63,85.76,,,,,0.6451993887587657,-73.76052919460189,3.897807654466942,-0.0410057207785368,10.272044739122553,-28.06347383834064,3.46,1.6,247,102.4,10,49.5,1109,5.4,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.14,0.851,0.81,0.9,1,1,0,4,76,3,Eephus,1,11,11,1,11,1,11,1,Infield shade,Strategic,191,0.0,0.357,,,1.02,-0.357,102.4,-10,10,0.0,1.0,28,33,29,33,1,4,26,1,,2,7.64,-0.01,0.01,56.2
EP,2023-05-23,49.6,-0.99,7.01,"Raley, Luke",595281,670042,,called_strike,,,,,12,Kevin Kiermaier singles on a sharp line drive to left fielder Randy Arozarena.,R,L,R,TB,TOR,S,,,1,0,2023,0.12,1.1,0.2,3.94,,,,2,9,Top,,,,,,,1.4490015085309185,-71.83336356791919,5.401270026187927,0.2112411591084297,9.289780563015825,-29.335264766966286,3.52,1.64,,,,48.2,1114,5.2,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.31,,,,,,,,76,2,Eephus,1,11,11,1,11,1,11,1,Strategic,Strategic,189,0.0,-0.056,,,,0.056,,-10,10,0.0,1.0,28,33,29,33,1,4,26,1,,2,8.34,-0.12,0.12,57.6
EP,2023-05-23,50.9,-1.2,6.98,"Raley, Luke",595281,670042,,ball,,,,,11,Kevin Kiermaier singles on a sharp line drive to left fielder Randy Arozarena.,R,L,R,TB,TOR,B,,,0,0,2023,0.35,0.87,-0.87,4.05,,,,2,9,Top,,,,,,,0.0369199525101812,-73.71455855051559,5.4271935113901355,1.2501438323836436,9.467540665125142,-29.96334286856959,3.49,1.66,,,,49.6,1157,5.3,718061,642336,623912,670764,670623,677551,668227,642350,666139,55.16,,,,,,,,76,1,Eephus,1,11,11,1,11,1,11,1,Strategic,Strategic,180,0.0,0.043,,,,-0.043,,-10,10,0.0,1.0,28,33,29,33,1,4,26,1,,2,8.07,-0.35,0.35,56.4
