pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-25,93.3,-1.61,5.99,"Robberse, Sem",668952,691828,walk,ball,,,,,14,Ryan Kreidler walks.,S,R,R,TOR,DET,B,,,3,2,2023,-0.78,1.12,1.47,1.49,,,,2,4,Top,,,,,,,9.741274848638655,-135.51729283894116,-8.424710593379693,-11.52649337840396,25.85415620429107,-16.769023244178552,3.44,1.62,,,,94.8,2272,7.0,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.55,,,0.7,,0,0,,25,7,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,225,-0.004,0.286,,,,-0.286,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,1.49,0.78,0.78,
FF,2023-03-25,92.3,-1.77,5.94,"Robberse, Sem",668952,691828,,foul,,,,,5,Ryan Kreidler walks.,S,R,R,TOR,DET,S,,,3,2,2023,-0.58,1.36,0.13,2.58,,,,2,4,Top,,,,,,,6.1728896427618265,-134.30858240072726,-5.7958251010641035,-8.276421072093914,27.543885900470936,-14.584990374031232,3.44,1.62,3,74.6,-46,93.5,2338,6.9,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.63,,,,,,,,25,6,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,211,0.0,0.0,,,,0.0,88.0,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,1.3,0.58,0.58,
FC,2023-03-25,88.8,-1.75,6.01,"Robberse, Sem",668952,691828,,ball,,,,,14,Ryan Kreidler walks.,S,R,R,TOR,DET,B,,,2,2,2023,-0.17,0.25,0.78,-0.04,,,,2,4,Top,,,,,,,6.596491909625434,-128.9989799706051,-9.374298879800582,-3.1398314670372196,24.7870236128621,-27.7424262389387,3.44,1.62,,,,89.9,2407,6.9,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.62,,,,,,,,25,5,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,279,0.0,0.104,,,,-0.104,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,2.64,0.17,0.17,
FC,2023-03-25,87.8,-1.91,6.02,"Robberse, Sem",668952,691828,,swinging_strike,,,,,7,Ryan Kreidler walks.,S,R,R,TOR,DET,S,,,2,1,2023,0.03,0.37,-0.71,1.89,,,,2,4,Top,,,,,,,2.8643374817551717,-127.94889542847416,-4.781407447061973,-0.1862729668238243,22.387651325077208,-27.37213180180311,3.44,1.62,,,,89.1,2323,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.82,,,,,,,,25,4,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,222,0.0,-0.081,,,,0.081,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,2.54,-0.03,-0.03,
CH,2023-03-25,88.5,-1.83,6.05,"Robberse, Sem",668952,691828,,ball,,,,,13,Ryan Kreidler walks.,S,R,R,TOR,DET,B,,,1,1,2023,-1.2,0.43,-0.66,0.29,,,,2,4,Top,,,,,,,5.377229645850258,-128.58570812836572,-8.966269693340601,-14.383964643972464,24.737726978412866,-25.798614015908807,3.44,1.62,,,,89.2,2081,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.84,,,,,,,,25,3,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,232,0.0,0.053,,,,-0.053,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,2.47,1.2,1.2,
FC,2023-03-25,87.7,-1.82,5.97,"Robberse, Sem",668952,691828,,called_strike,,,,,7,Ryan Kreidler walks.,S,R,R,TOR,DET,S,,,1,0,2023,0.04,0.35,-0.54,1.95,,,,2,4,Top,,,,,,,3.0312431751789903,-127.75738136800624,-4.4218755088939385,-0.1636434195579511,23.316224895819257,-27.631093413921292,3.44,1.62,,,,88.8,2146,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.83,,,,,,,,25,2,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,243,0.0,-0.056,,,,0.056,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,2.57,-0.04,-0.04,
FC,2023-03-25,87.9,-1.92,6.01,"Robberse, Sem",668952,691828,,ball,,,,,11,Ryan Kreidler walks.,S,R,R,TOR,DET,B,,,0,0,2023,-0.26,0.37,-1.57,2.55,,,,2,4,Top,,,,,,,1.4036289437863638,-128.0948237067228,-3.1292056477532126,-3.1587472611074476,23.861753647461924,-27.72439611537281,3.44,1.62,,,,89.0,2209,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.81,,,,,,,,25,1,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,265,0.0,0.043,,,,-0.043,,-4,4,0.128,0.872,21,25,22,26,2,1,,,,,2.55,0.26,0.26,
CH,2023-03-25,87.7,-1.81,6.0,"Robberse, Sem",514917,691828,field_out,hit_into_play,,,,,7,Cesar Hernandez grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,X,3,ground_ball,1,0,2023,-1.29,0.53,-0.65,1.82,,,,1,4,Top,151.02,163.72,,,,,5.4886001462055045,-127.64522497463386,-5.134089329919119,-15.208173084592534,25.4980485051984,-25.51827856600327,3.38,1.58,5,76.9,-20,88.5,1912,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.81,0.063,,0.0,,0,0,2,24,2,Changeup,0,4,4,0,4,0,4,0,Standard,Strategic,223,0.006,-0.306,,,0.074,0.306,88.0,-4,4,0.122,0.878,21,33,22,33,2,1,,,,,2.42,1.29,-1.29,
CH,2023-03-25,87.9,-2.07,6.02,"Robberse, Sem",514917,691828,,ball,,,,,11,Cesar Hernandez grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,B,,,0,0,2023,-1.21,0.51,-0.91,2.91,,,,1,4,Top,,,,,,,5.363427278072917,-128.01150573898138,-2.5696407893114586,-14.443776471845393,23.249861325535623,-26.211247028491513,3.38,1.58,,,,88.8,1848,6.5,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.97,,,,,,,,24,1,Changeup,0,4,4,0,4,0,4,0,Standard,Strategic,225,0.0,0.039,,,,-0.039,,-4,4,0.122,0.878,21,33,22,33,2,1,,,,,2.41,1.21,-1.21,
FF,2023-03-25,92.0,-1.83,5.96,"Robberse, Sem",690993,691828,field_out,hit_into_play,,,,,5,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,X,3,ground_ball,2,0,2023,-0.76,1.32,-0.07,2.25,,,,0,4,Top,156.1,158.14,,,,,6.155535544470103,-133.88860701696711,-6.534559117548261,-10.464378899514172,26.554061963281693,-15.053952286032796,3.49,1.6,52,102.3,0,93.0,2353,6.7,718961,643376,624415,669289,656305,666182,593160,662139,543807,53.8,0.471,,0.0,,0,0,4,23,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,215,0.008,-0.377,,,0.52,0.377,102.3,-4,4,0.114,0.886,21,21,22,22,2,1,,,,,1.35,0.76,-0.76,
