pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-04-19,84.4,2.32,5.62,"Rogers, Trevor",573131,669432,double,hit_into_play,,,,,6,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,X,7,fly_ball,3,2,2023,1.12,0.29,0.29,2.26,,,527038,0,4,Top,82.11,46.02,,,,,-7.034784178504934,-122.65867842542376,-1.9955110779557363,12.712688376810169,25.8911452873748,-29.0832365914171,3.48,1.67,392,100.6,27,85.2,1262,7.0,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.48,0.606,1.064,1.25,1,1,1,6,23,6,Changeup,0,0,0,0,1,0,1,0,Standard,Standard,110,-0.148,0.658,,,2.079,-0.658,100.6,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,2.94,1.12,-1.12,21.2
FF,2023-04-19,91.1,2.49,5.81,"Rogers, Trevor",573131,669432,,foul,,,,,3,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,S,,,3,1,2023,0.95,1.12,0.54,3.08,,,527038,0,4,Top,,,,,,,-6.96770860497839,-132.4538746440146,-3.35416289671337,12.66102380245101,29.53017431880398,-18.484477577132104,3.48,1.67,159,74.1,25,91.4,2117,6.6,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.87,,,,,,,,23,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,125,0.0,-0.068,,,,0.068,88.0,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,1.64,0.95,-0.95,21.8
SI,2023-04-19,91.4,2.39,5.74,"Rogers, Trevor",573131,669432,,called_strike,,,,,8,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,S,,,3,0,2023,1.66,0.29,0.15,1.97,,,527038,0,4,Top,,,,,,,-9.294388044052404,-132.7116410259792,-4.207876221401003,21.625958169984496,30.996621401534064,-28.01554075603886,3.4,1.62,,,,91.8,2267,6.9,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.65,,,,,,,,23,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,122,0.0,-0.07,,,,0.07,,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,2.47,1.66,-1.66,21.2
SI,2023-04-19,90.3,2.33,5.72,"Rogers, Trevor",573131,669432,,ball,,,,,13,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,B,,,2,0,2023,1.54,0.67,-0.34,1.16,,,527038,0,4,Top,,,,,,,-10.021582425977934,-131.00212552803205,-6.8211661445551774,19.944815161603795,29.492225932047933,-23.106787977155392,3.5,1.62,,,,90.7,2315,6.9,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.62,,,,,,,,23,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,124,0.0,0.116,,,,-0.116,,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,2.16,1.54,-1.54,21.2
FF,2023-04-19,91.6,2.43,5.78,"Rogers, Trevor",573131,669432,,ball,,,,,13,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,B,,,1,0,2023,0.98,1.41,-1.19,2.25,,,527038,0,4,Top,,,,,,,-11.3305351264181,-132.741071959772,-6.071768979742866,14.060846274246057,29.381644101486224,-14.359262539111366,3.55,1.68,,,,92.0,2239,6.9,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.65,,,,,,,,23,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,125,0.0,0.055,,,,-0.055,,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,1.34,0.98,-0.98,23.2
FF,2023-04-19,89.9,2.4,5.85,"Rogers, Trevor",573131,669432,,ball,,,,,11,Darin Ruf doubles (2) on a sharp fly ball to left fielder Bryan De La Cruz.   Wilmer Flores scores.,R,R,L,MIA,SF,B,,,0,0,2023,0.59,1.32,-0.9,3.77,,,527038,0,4,Top,,,,,,,-9.496378426747658,-130.65330312038935,-1.9440832580201792,8.840360924343509,28.40412532013534,-16.913870535715432,3.53,1.63,,,,90.3,2198,6.7,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.84,,,,,,,,23,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132,0.0,0.03,,,,-0.03,,0,0,0.456,0.544,25,36,26,37,2,1,5,1,,2,1.52,0.59,-0.59,23.8
SL,2023-04-19,78.9,2.4,5.78,"Rogers, Trevor",527038,669432,single,hit_into_play,,,,,12,Wilmer Flores singles on a fly ball to center fielder Jazz Chisholm Jr.,R,R,L,MIA,SF,X,8,fly_ball,1,2,2023,-0.46,-0.17,0.99,2.37,,,,0,4,Top,127.43,106.23,,,,,-2.198512064949395,-114.8979860253671,-0.3278240320992301,-3.697774806853285,21.11289776877207,-33.79218372633322,3.11,1.54,220,65.1,36,79.2,1977,6.5,718511,607732,643265,650333,542932,641658,650559,665862,541645,54.03,0.689,0.644,0.9,1,1,0,4,22,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,277,-0.044,0.504,,,0.77,-0.504,88.0,0,0,0.5,0.5,25,31,26,32,2,1,5,1,,1,3.82,-0.46,0.46,25.8
FF,2023-04-19,92.0,2.51,5.8,"Rogers, Trevor",527038,669432,,foul,,,,,11,Wilmer Flores singles on a fly ball to center fielder Jazz Chisholm Jr.,R,R,L,MIA,SF,S,,,1,2,2023,0.86,1.32,-1.02,3.12,,,,0,4,Top,,,,,,,-10.866524542639477,-133.4157522704634,-3.7812644739374206,12.756389362081752,30.709826589836915,-15.735364693209933,3.11,1.54,138,65.3,64,92.0,2327,6.7,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.85,,,,,,,,22,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,127,0.0,0.0,,,,0.0,88.0,0,0,0.5,0.5,25,31,26,32,2,1,5,1,,1,1.4,0.86,-0.86,22.8
FF,2023-04-19,91.1,2.6,5.85,"Rogers, Trevor",527038,669432,,swinging_strike,,,,,2,Wilmer Flores singles on a fly ball to center fielder Jazz Chisholm Jr.,R,R,L,MIA,SF,S,,,1,1,2023,1.02,1.32,-0.09,2.77,,,,0,4,Top,,,,,,,-8.995275623471592,-132.29619455738728,-4.641911103385583,13.99955683099114,31.050350571212142,-15.827343160920616,3.11,1.54,,,,91.1,2355,6.7,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.85,,,,,,,,22,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,129,0.0,-0.061,,,,0.061,,0,0,0.5,0.5,25,31,26,32,2,1,5,1,,1,1.46,1.02,-1.02,24.4
FF,2023-04-19,90.5,2.58,5.81,"Rogers, Trevor",527038,669432,,called_strike,,,,,8,Wilmer Flores singles on a fly ball to center fielder Jazz Chisholm Jr.,R,R,L,MIA,SF,S,,,1,0,2023,1.16,1.02,-0.2,1.66,,,,0,4,Top,,,,,,,-9.497472753096975,-131.3189661622376,-6.566394097004187,15.503101698238078,29.988952628748574,-19.122955844467953,3.12,1.44,,,,90.8,2257,6.8,718511,607732,643265,650333,542932,641658,650559,665862,541645,53.69,,,,,,,,22,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,119,0.0,-0.052,,,,0.052,,0,0,0.5,0.5,25,31,26,32,2,1,5,1,,1,1.8,1.16,-1.16,24.0
