pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-24,,,,"Sampson, Adrian",647304,592716,strikeout,called_strike,,,,,,Josh Naylor called out on strikes.,S,L,R,CLE,CHC,S,2,,0,2,2023,,,,,608070,,605137,2,5,Bot,,,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,0.0,,0,0,,44,3,,3,3,3,3,3,3,3,3,,,,-0.066,-0.198,,,,0.198,,0,0,0.566,0.566,31,26,32,26,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",647304,592716,,swinging_strike,,,,,,Josh Naylor called out on strikes.,S,L,R,CLE,CHC,S,,,0,1,2023,,,,,608070,,605137,2,5,Bot,,,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,,,,,,44,2,,3,3,3,3,3,3,3,3,,,,0.0,-0.054,,,,0.054,,0,0,0.566,0.566,31,26,32,26,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",647304,592716,,called_strike,,,,,,Josh Naylor called out on strikes.,S,L,R,CLE,CHC,S,,,0,0,2023,,,,,608070,,605137,2,5,Bot,,,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,,,,,,44,1,,3,3,3,3,3,3,3,3,,,,0.0,-0.052,,,,0.052,,0,0,0.566,0.566,31,26,32,26,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",605137,592716,single,hit_into_play,,,,,,Josh Bell singles on a ground ball to left fielder Nelson Velazquez.   Jose Ramirez to 3rd.,S,L,R,CLE,CHC,X,7,ground_ball,0,0,2023,,,,,,,608070,2,5,Bot,58.78,131.81,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,0.9,,1,0,,43,1,,3,3,3,3,3,3,3,3,,,,0.035,0.368,,,,-0.368,,0,0,0.531,0.531,31,30,32,31,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",608070,592716,single,hit_into_play,,,,,,Jose Ramirez singles on a line drive to center fielder Mike Tauchman.,S,L,R,CLE,CHC,X,8,line_drive,0,0,2023,,,,,,,,2,5,Bot,159.2,98.31,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,0.9,,1,0,,42,1,,3,3,3,3,3,3,3,3,,,,0.017,0.344,,,,-0.344,,0,0,0.514,0.514,31,30,32,31,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",642708,592716,field_out,hit_into_play,,,,,,"Amed Rosario grounds out, third baseman Luis Verdugo to first baseman Edwin Rios.",S,R,R,CLE,CHC,X,5,ground_ball,0,0,2023,,,,,,,,1,5,Bot,106.85,164.29,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,0.0,,0,0,,41,1,,3,3,3,3,3,3,3,3,,,,-0.022,-0.267,,,,0.267,,0,0,0.536,0.536,31,27,32,28,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",680757,592716,field_out,hit_into_play,,,,,,Steven Kwan flies out to center fielder Mike Tauchman.,S,L,R,CLE,CHC,X,8,fly_ball,0,0,2023,,,,,,,,0,5,Bot,128.75,93.74,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,0.0,,0,0,,40,1,,3,3,3,3,3,3,3,3,,,,-0.029,-0.265,,,,0.265,,0,0,0.565,0.565,31,25,32,26,3,2,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",664702,592716,home_run,hit_into_play,,,,,,Myles Straw homers (1) on a fly ball to left field.,S,R,R,CLE,CHC,X,,fly_ball,0,0,2023,,,,,,,,0,5,Bot,41.68,61.76,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,677605,656716,676369,643565,666624,,,,2.0,,0,3,,39,1,,2,3,2,3,3,3,3,3,,,,0.158,1.114,,,,-1.114,,-1,-1,0.407,0.407,31,28,32,29,2,1,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",572287,592716,field_out,hit_into_play,,,,,,Mike Zunino flies out to center fielder Mike Tauchman.,S,R,R,CLE,CHC,X,8,fly_ball,0,0,2023,,,,,,,665926,2,4,Bot,137.3,103.89,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,621550,656716,676369,643565,666624,,,,0.0,,0,0,,33,1,,2,2,2,2,2,2,2,2,,,,-0.028,-0.286,,,,0.286,,0,0,0.528,0.528,31,32,32,32,2,1,,,,,,,,
,2023-03-24,,,,"Sampson, Adrian",665926,592716,walk,ball,,,,,,Andres Gimenez walks.,S,L,R,CLE,CHC,B,,,3,0,2023,,,,,,,,2,4,Bot,,,,,,,,,,,,,,,,,,,,,718974,571466,621458,623520,621550,656716,676369,643565,666624,,,,0.7,,0,0,,32,4,,2,2,2,2,2,2,2,2,,,,0.015,0.136,,,,-0.136,,0,0,0.513,0.513,31,24,32,25,2,1,,,,,,,,
