pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-03,93.9,-2.95,5.54,"Sands, Cole",669701,663485,strikeout,swinging_strike,,,,,11,Josh H.   Smith strikes out swinging.,R,L,R,TEX,MIN,S,2,,1,2,2023,-1.03,1.06,-0.91,3.36,,,,2,7,Bot,,,,,,,7.428178990781832,-136.5002496109948,-2.187052888444544,-14.581124601475327,32.411510839284496,-18.723088221830565,3.24,1.5,,,,92.1,2312,5.5,716737,543877,456781,593871,668904,621043,670242,664057,596146,55.03,,0.0,0.0,1,0,0,,70,5,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,236,-0.009,-0.191,60.3,5.4,,0.191,,1,1,0.762,0.762,25,25,26,26,2,3,5,1,,1,1.55,1.03,-1.03,20.4
FS,2023-09-03,86.2,-2.64,5.58,"Sands, Cole",669701,663485,,ball,,,,,13,Josh H.   Smith strikes out swinging.,R,L,R,TEX,MIN,B,,,0,2,2023,-1.26,-0.14,-1.43,2.38,,,,2,7,Bot,,,,,,,5.3594114994422934,-125.4606451811337,-1.0722483659543016,-14.408961179206043,26.48052122172062,-33.69548289837982,3.32,1.61,,,,84.7,1215,5.4,716737,543877,456781,593871,668904,621043,670242,664057,596146,55.08,,,,,,,,70,4,Split-Finger,5,4,5,4,4,5,5,4,Standard,Standard,248,0.0,0.022,,,,-0.022,,1,1,0.762,0.762,25,25,26,26,2,3,5,1,,1,3.22,1.26,-1.26,21.2
FF,2023-09-03,94.6,-2.85,5.55,"Sands, Cole",669701,663485,,foul,,,,,12,Josh H.   Smith strikes out swinging.,R,L,R,TEX,MIN,S,,,0,2,2023,-1.14,1.09,0.83,2.93,,,,2,7,Bot,,,,,,,11.935281891832672,-137.25274808017792,-3.493088956151678,-17.01279172859166,30.61465047063765,-17.827068561128367,3.24,1.5,128,78.0,11,93.1,2385,5.6,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.9,,,,,,,,70,3,4-Seam Fastball,5,4,5,4,4,5,5,4,Infield shade,Standard,236,0.0,0.0,61.0,5.6,,0.0,88.0,1,1,0.762,0.762,25,25,26,26,2,3,5,1,,1,1.48,1.14,-1.14,21.6
FS,2023-09-03,86.4,-2.78,5.58,"Sands, Cole",669701,663485,,foul,,,,,5,Josh H.   Smith strikes out swinging.,R,L,R,TEX,MIN,S,,,0,1,2023,-1.02,-0.11,0.08,2.42,,,,2,7,Bot,,,,,,,8.758836558117588,-125.57432229122854,-1.0895441140888096,-12.559380373602323,24.0747083432184,-33.363877725674,3.24,1.5,4,72.4,-29,85.4,1291,5.6,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.89,,,,,,,,70,2,Split-Finger,5,4,5,4,4,5,5,4,Standard,Standard,250,0.0,-0.061,72.3,6.5,,0.061,88.0,1,1,0.762,0.762,25,25,26,26,2,3,5,1,,1,3.16,1.02,-1.02,20.5
CU,2023-09-03,79.7,-2.83,5.49,"Sands, Cole",669701,663485,,called_strike,,,,,2,Josh H.   Smith strikes out swinging.,R,L,R,TEX,MIN,S,,,0,0,2023,1.06,-0.12,0.22,2.92,,,,2,7,Bot,,,,,,,4.639895102577809,-116.05366930789224,1.2858038639713805,8.708555667749433,22.206539920366723,-33.761715164707816,3.24,1.5,,,,78.6,2766,5.5,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.98,,,,,,,,70,1,Curveball,5,4,5,4,4,5,5,4,Standard,Standard,51,0.0,-0.045,,,,0.045,,1,1,0.762,0.762,25,25,26,26,2,3,5,1,,1,3.71,-1.06,1.06,20.2
FF,2023-09-03,93.1,-2.79,5.55,"Sands, Cole",543257,663485,strikeout,swinging_strike,,,,,2,Robbie Grossman strikes out swinging.,R,L,R,TEX,MIN,S,2,,2,2,2023,-0.71,1.35,0.17,3.13,,,,1,7,Bot,,,,,,,9.03536905639436,-135.32040536391568,-3.3652400823022193,-10.643529813735062,28.411151874236097,-14.96465259945594,3.13,1.51,,,,92.2,2319,5.7,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.76,,0.0,0.0,1,0,0,,69,5,4-Seam Fastball,5,4,5,4,4,5,5,4,Strategic,Standard,229,-0.014,-0.234,69.7,6.0,,0.234,,1,1,0.776,0.776,25,33,26,34,1,3,5,1,,1,1.27,0.71,-0.71,26.8
FF,2023-09-03,92.6,-2.88,5.46,"Sands, Cole",543257,663485,,foul,,,,,9,Robbie Grossman strikes out swinging.,R,L,R,TEX,MIN,S,,,2,1,2023,-1.22,1.17,0.46,1.77,,,,1,7,Bot,,,,,,,11.013187367799151,-134.36153945404558,-6.074495819547906,-17.14790042550514,29.80899953361512,-16.757137429606846,3.13,1.51,167,70.1,62,91.3,2422,5.7,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.81,,,,,,,,69,4,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,233,0.0,-0.076,74.8,6.4,,0.076,88.0,1,1,0.776,0.776,25,33,26,34,1,3,5,1,,1,1.5,1.22,-1.22,18.9
CU,2023-09-03,80.3,-2.87,5.46,"Sands, Cole",543257,663485,,ball,,,,,11,Robbie Grossman strikes out swinging.,R,L,R,TEX,MIN,B,,,1,1,2023,1.13,-0.16,-1.12,3.23,,,,1,7,Bot,,,,,,,1.71177909201911,-116.84464491639017,2.037328412146413,10.01183057783355,22.88779496203217,-34.25917410382166,3.1,1.46,,,,79.0,2608,5.5,716737,543877,456781,593871,668904,621043,670242,664057,596146,55.02,,,,,,,,69,3,Curveball,5,4,5,4,4,5,5,4,Standard,Standard,51,0.0,0.054,,,,-0.054,,1,1,0.776,0.776,25,33,26,34,1,3,5,1,,1,3.71,-1.13,1.13,20.3
FF,2023-09-03,93.2,-2.72,5.58,"Sands, Cole",543257,663485,,called_strike,,,,,12,Robbie Grossman strikes out swinging.,R,L,R,TEX,MIN,S,,,1,0,2023,-0.91,1.24,0.58,3.56,,,,1,7,Bot,,,,,,,10.29821287965711,-135.38524816277044,-2.1114341914701416,-13.402120294380037,29.676475774712593,-16.603069242372946,3.11,1.47,,,,91.9,2269,5.6,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.89,,,,,,,,69,2,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,228,0.0,-0.05,,,,0.05,,1,1,0.776,0.776,25,33,26,34,1,3,5,1,,1,1.39,0.91,-0.91,19.0
FF,2023-09-03,93.3,-2.81,5.57,"Sands, Cole",543257,663485,,ball,,,,,14,Robbie Grossman strikes out swinging.,R,L,R,TEX,MIN,B,,,0,0,2023,-1.01,1.21,1.14,1.95,,,,1,7,Bot,,,,,,,12.164820074365862,-135.2169357692353,-6.121726845127167,-14.995657315423095,28.91878387343327,-16.059848703772506,3.32,1.64,,,,91.9,2263,5.6,716737,543877,456781,593871,668904,621043,670242,664057,596146,54.87,,,,,,,,69,1,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,229,0.0,0.039,,,,-0.039,,1,1,0.776,0.776,25,33,26,34,1,3,5,1,,1,1.42,1.01,-1.01,21.0
