pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-08-27,70.0,-1.14,6.51,"Short, Zack",676694,670097,field_out,hit_into_play,,,,,2,Jake Meyers flies out to center fielder Parker Meadows.,R,R,R,DET,HOU,X,8,fly_ball,0,0,2023,-0.44,1.65,-0.13,2.94,667452,670541,,2,9,Top,135.54,54.0,,,,,2.5871650035977827,-101.9179421387732,-1.8794421438088105,-3.5171107736342657,18.078067471882505,-20.628075698995858,3.17,1.51,359,97.6,34,67.7,1689,4.6,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.93,0.286,0.535,0.0,1,0,0,5,92,1,Other,3,17,17,3,17,3,17,3,Standard,Standard,204,0.0,-0.293,72.6,6.7,1.033,0.293,97.6,-14,14,0.0,1.0,28,27,28,27,1,1,20,1,,5,3.03,0.44,0.44,52.5
FA,2023-08-27,72.6,-1.46,6.36,"Short, Zack",670541,670097,double,hit_into_play,,,,,8,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,X,,line_drive,3,2,2023,-0.6,1.5,-0.17,2.14,673237,514888,667452,2,9,Top,211.12,115.88,,,,,3.5006727423240345,-105.7219151187568,-3.567111612662076,-5.1141926387409775,17.29523176231231,-20.531717096982124,3.42,1.7,292,102.3,20,70.8,1650,4.7,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.77,0.52,0.687,1.25,1,1,1,5,91,6,Other,3,15,15,3,17,3,17,3,Strategic,Standard,207,0.0,0.733,77.5,8.2,1.122,-0.733,102.3,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,2.81,0.6,-0.6,47.7
FA,2023-08-27,75.3,-1.46,6.38,"Short, Zack",670541,670097,,ball,,,,,11,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,B,,,2,2,2023,-0.49,1.57,-1.51,3.93,673237,514888,667452,2,9,Top,,,,,,,0.7470929683970944,-109.69471952522473,-0.7734721495187273,-4.0970037711776985,18.928842862282448,-19.55565337200788,3.6,1.75,,,,73.3,1753,4.6,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.87,,,,,,,,91,5,Other,3,15,15,3,15,3,15,3,Strategic,Standard,204,0.0,0.058,,,,-0.058,,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,2.43,0.49,-0.49,49.3
FA,2023-08-27,69.1,-1.42,6.19,"Short, Zack",670541,670097,,ball,,,,,14,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,B,,,1,2,2023,-0.77,1.25,0.34,0.98,673237,514888,667452,2,9,Top,,,,,,,4.465764956596295,-100.49474423399572,-4.090804542224379,-5.921321165003827,16.281477385265237,-23.208674544080765,3.57,1.77,,,,67.3,1188,4.8,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.67,,,,,,,,91,4,Other,3,15,15,3,15,3,15,3,Strategic,Standard,226,0.0,0.051,,,,-0.051,,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,3.52,0.77,-0.77,46.7
FA,2023-08-27,72.1,-1.5,6.34,"Short, Zack",670541,670097,,foul,,,,,12,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,S,,,1,1,2023,-0.64,1.68,0.27,4.12,673237,514888,667452,2,9,Top,,,,,,,4.478096296184288,-104.87422698087302,0.2735448433585685,-5.543634042775433,20.952446800985292,-20.25966626453149,3.42,1.7,112,72.1,72,69.5,1757,4.7,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.81,,,,,,,,91,3,Other,3,15,15,3,15,3,15,3,Strategic,Standard,211,0.0,-0.079,63.5,5.9,,0.079,88.0,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,2.78,0.64,-0.64,45.8
FA,2023-08-27,71.5,-1.41,6.47,"Short, Zack",670541,670097,,ball,,,,,11,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,B,,,0,1,2023,-0.53,1.86,-2.05,3.13,673237,514888,667452,2,9,Top,,,,,,,-0.3796343114196746,-104.07003005828372,-2.1212135709164412,-3.7518668493059097,18.884092596144033,-18.556203115898384,3.66,1.75,,,,69.1,1616,4.6,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.95,,,,,,,,91,2,Other,3,15,15,3,15,3,15,3,Strategic,Standard,205,0.0,0.034,,,,-0.034,,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,2.62,0.53,-0.53,49.8
FA,2023-08-27,72.7,-1.5,6.38,"Short, Zack",670541,670097,,called_strike,,,,,5,Yordan Alvarez hits a ground-rule double (16) on a line drive down the right-field line.   Yainer Diaz scores.    Jose Altuve scores.    Corey Julks to 3rd.,R,L,R,DET,HOU,S,,,0,0,2023,-0.57,1.62,0.08,2.71,673237,514888,667452,2,9,Top,,,,,,,4.0026842154904,-105.78536061655927,-2.6620955342596164,-5.016355241250668,18.855765222227483,-19.825303947694504,3.7,1.75,,,,70.4,1800,4.6,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.88,,,,,,,,91,1,Other,3,15,15,3,15,3,15,3,Standard,Standard,210,0.0,-0.047,,,,0.047,,-12,12,0.0,1.0,28,26,28,26,1,6,20,1,,1,2.71,0.57,-0.57,47.2
FA,2023-08-27,71.4,-1.18,6.55,"Short, Zack",667452,670097,single,hit_into_play,,,,,11,Corey Julks singles on a ground ball to left fielder Riley Greene.   Jeremy Pena scores.    Yainer Diaz to 3rd.    Jose Altuve to 2nd.,R,R,R,DET,HOU,X,7,ground_ball,0,0,2023,-0.29,1.98,-0.24,3.43,665161,673237,514888,2,9,Top,73.35,102.86,,,,,2.269932464699878,-103.83555817993816,-1.7916880398800576,-2.5151722842247453,20.22830504985224,-17.929560728528827,3.23,1.56,115,102.6,7,68.8,1785,4.6,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.88,0.689,0.648,0.9,1,1,0,4,90,1,Other,3,14,14,3,15,3,15,3,Standard,Standard,205,0.0,0.521,,,0.78,-0.521,102.6,-11,11,0.0,1.0,28,27,28,27,1,1,20,1,,,2.56,0.29,0.29,52.9
FA,2023-08-27,76.7,-1.19,6.35,"Short, Zack",514888,670097,walk,ball,,,,,14,Jose Altuve walks.   Jeremy Pena to 3rd.    Yainer Diaz to 2nd.,R,R,R,DET,HOU,B,,,3,2,2023,-0.53,1.89,0.73,0.56,,665161,673237,2,9,Top,,,,,,,4.891233007638567,-111.32721887781425,-8.367939865601175,-5.32970396676645,21.82729140107911,-15.126276068567812,3.05,1.37,,,,74.4,1897,5.0,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.55,,0.695903,0.7,1,0,0,,89,7,Other,3,14,14,3,14,3,14,3,Standard,Standard,208,0.0,0.188,,,,-0.188,,-11,11,0.0,1.0,28,33,28,33,1,6,20,1,,1,2.03,0.53,0.53,53.3
FA,2023-08-27,75.2,-1.18,6.38,"Short, Zack",514888,670097,,foul,,,,,9,Jose Altuve walks.   Jeremy Pena to 3rd.    Yainer Diaz to 2nd.,R,R,R,DET,HOU,S,,,3,2,2023,-0.46,1.65,0.55,1.71,,665161,673237,2,9,Top,,,,,,,4.265554902028338,-109.35223950751065,-5.323747248041316,-4.433742816610247,19.430843372067997,-18.19683813422577,2.83,1.28,158,61.6,39,73.2,1795,4.8,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.67,,,,,,,,89,6,Other,3,14,14,3,14,3,14,3,Standard,Standard,201,0.0,0.0,65.4,7.7,,0.0,88.0,-11,11,0.0,1.0,28,33,28,33,1,6,20,1,,1,2.39,0.46,0.46,55.3
FA,2023-08-27,75.0,-1.23,6.37,"Short, Zack",514888,670097,,ball,,,,,12,Jose Altuve walks.   Jeremy Pena to 3rd.    Yainer Diaz to 2nd.,R,R,R,DET,HOU,B,,,2,2,2023,-0.62,1.74,1.5,2.3,,665161,673237,2,9,Top,,,,,,,6.538982835319078,-108.96490955532948,-4.194711897124453,-6.084410547201039,19.329245493062142,-17.73473630447191,3.05,1.28,,,,72.9,1752,4.8,716830,668670,679529,628451,656716,595879,682985,678009,681481,55.66,,,,,,,,89,5,Other,3,14,14,3,14,3,14,3,Standard,Standard,205,0.0,0.064,,,,-0.064,,-11,11,0.0,1.0,28,33,28,33,1,6,20,1,,1,2.32,0.62,0.62,51.3
