pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-28,80.6,4.25,4.56,"Sisk, Evan",669701,681895,grounded_into_double_play,hit_into_play,,,,,4,"Josh H.   Smith grounds into a double play, second baseman Matt Duffy to shortstop Nicky Lopez to first baseman Vinnie Pasquantino.   Bubba Thompson out at 2nd.    Josh H.   Smith out at 1st.",S,L,L,TEX,KC,X,4,ground_ball,2,2,2023,-0.82,0.01,-0.4,2.56,,543543,669352,1,6,Bot,155.32,155.98,,,,,-8.812734958533673,-117.154919544811,2.213844109930779,-5.953877070043324,21.56123924965055,-32.72704759532668,3.09,1.47,103,91.0,8,81.2,2192,6.7,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.82,0.557,,0.0,,0,0,4,45,5,Slider,1,2,1,2,2,1,1,2,Standard,Standard,266,-0.153,-0.284,,,0.616,0.284,91.0,-1,-1,0.453,0.453,26,25,26,26,1,0,,,,,3.5,-0.82,-0.82,
SI,2023-03-28,91.0,4.09,4.46,"Sisk, Evan",669701,681895,,ball,,,,,13,"Josh H.   Smith grounds into a double play, second baseman Matt Duffy to shortstop Nicky Lopez to first baseman Vinnie Pasquantino.   Bubba Thompson out at 2nd.    Josh H.   Smith out at 1st.",S,L,L,TEX,KC,B,,,1,2,2023,1.19,0.38,-2.19,2.21,,543543,669352,1,6,Bot,,,,,,,-18.328992049668372,-131.277011185999,-0.4644307902167961,17.677992539830086,27.732446962588902,-27.885076189802987,3.14,1.5,,,,91.1,2039,6.8,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.67,,,,,,,,45,4,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,113,0.0,0.028,,,,-0.028,,-1,-1,0.453,0.453,26,25,26,26,1,0,,,,,2.42,1.19,1.19,
SL,2023-03-28,80.1,4.29,4.73,"Sisk, Evan",669701,681895,,foul,,,,,2,"Josh H.   Smith grounds into a double play, second baseman Matt Duffy to shortstop Nicky Lopez to first baseman Vinnie Pasquantino.   Bubba Thompson out at 2nd.    Josh H.   Smith out at 1st.",S,L,L,TEX,KC,S,,,1,1,2023,-0.86,0.37,-0.09,2.74,,543543,669352,1,6,Bot,,,,,,,-8.09368627666019,-116.50012374186306,1.570824258656415,-6.525006508722963,19.771676272451305,-29.22599219810207,3.09,1.47,204,74.0,55,80.9,2214,6.6,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.88,,,,,,,,45,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,267,0.0,-0.059,,,,0.059,88.0,-1,-1,0.453,0.453,26,25,26,26,1,0,,,,,3.15,-0.86,-0.86,
SI,2023-03-28,91.0,4.08,4.77,"Sisk, Evan",669701,681895,,called_strike,,,,,7,"Josh H.   Smith grounds into a double play, second baseman Matt Duffy to shortstop Nicky Lopez to first baseman Vinnie Pasquantino.   Bubba Thompson out at 2nd.    Josh H.   Smith out at 1st.",S,L,L,TEX,KC,S,,,1,0,2023,1.19,0.21,-0.33,1.76,,543543,669352,1,6,Bot,,,,,,,-13.608133900495917,-131.85543145089989,-2.087974766150878,16.647243606834984,26.757713983421752,-29.456527825327164,3.14,1.61,,,,91.3,1856,6.6,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.91,,,,,,,,45,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,119,0.0,-0.051,,,,0.051,,-1,-1,0.453,0.453,26,25,26,26,1,0,,,,,2.55,1.19,1.19,
SI,2023-03-28,92.1,3.97,4.71,"Sisk, Evan",669701,681895,,ball,,,,,11,"Josh H.   Smith grounds into a double play, second baseman Matt Duffy to shortstop Nicky Lopez to first baseman Vinnie Pasquantino.   Bubba Thompson out at 2nd.    Josh H.   Smith out at 1st.",S,L,L,TEX,KC,B,,,0,0,2023,1.38,0.61,-0.85,2.46,,543543,669352,1,6,Bot,,,,,,,-15.321521361233374,-133.39968029808352,-1.1929403023784595,19.577570331548017,25.987298617736823,-24.800684855296016,3.27,1.56,,,,93.0,1916,6.9,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.64,,,,,,,,45,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,115,0.0,0.042,,,,-0.042,,-1,-1,0.453,0.453,26,25,26,26,1,0,,,,,2.08,1.38,1.38,
FC,2023-03-28,89.2,4.04,4.79,"Sisk, Evan",669352,681895,walk,ball,,,,,11,Bubba Thompson walks.,S,R,L,TEX,KC,B,,,3,1,2023,0.35,0.56,-1.28,2.55,,543543,,1,6,Bot,,,,,,,-13.850596649065292,-129.33319353524894,-0.6688154195567262,6.514376261778002,23.89737926018277,-25.871068486776327,3.4,1.5,,,,89.9,2164,6.6,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.87,,,0.7,,0,0,,44,5,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,130,0.031,0.123,,,,-0.123,,-1,-1,0.422,0.422,26,25,26,25,1,0,,,,,2.3,0.35,-0.35,
SI,2023-03-28,92.0,3.93,4.75,"Sisk, Evan",669352,681895,,called_strike,,,,,2,Bubba Thompson walks.,S,R,L,TEX,KC,S,,,3,0,2023,1.39,-0.05,0.05,3.12,,543543,,1,6,Bot,,,,,,,-12.892404732140012,-133.34098602966105,1.864434834106122,19.23201653513216,27.198693105806033,-33.391931937605875,3.43,1.56,,,,92.6,1971,6.7,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.78,,,,,,,,44,4,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,112,0.0,-0.042,,,,0.042,,-1,-1,0.422,0.422,26,25,26,25,1,0,,,,,2.75,1.39,-1.39,
SI,2023-03-28,92.6,4.03,4.78,"Sisk, Evan",669352,681895,,ball,,,,,12,Bubba Thompson walks.,S,R,L,TEX,KC,B,,,2,0,2023,1.48,0.14,1.57,3.09,,543543,,1,6,Bot,,,,,,,-9.573749007390733,-134.613156548064,1.2026537979185652,20.00861345210377,28.3417665644738,-31.00581354077131,3.46,1.58,,,,93.4,2109,6.7,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.77,,,,,,,,44,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,119,0.0,0.072,,,,-0.072,,-1,-1,0.422,0.422,26,25,26,25,1,0,,,,,2.52,1.48,-1.48,
SI,2023-03-28,91.8,4.13,4.76,"Sisk, Evan",669352,681895,,ball,,,,,12,Bubba Thompson walks.,S,R,L,TEX,KC,B,,,1,0,2023,1.32,0.22,1.36,2.89,,543543,,1,6,Bot,,,,,,,-9.9416946951899,-133.34108938157456,0.6496337600555645,17.872325977513395,26.54325750915556,-29.87832049845125,3.49,1.61,,,,92.5,2010,6.6,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.87,,,,,,,,44,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,117,0.0,0.036,,,,-0.036,,-1,-1,0.422,0.422,26,25,26,25,1,0,,,,,2.48,1.32,-1.32,
FC,2023-03-28,89.0,3.96,4.78,"Sisk, Evan",669352,681895,,ball,,,,,13,Bubba Thompson walks.,S,R,L,TEX,KC,B,,,0,0,2023,0.25,0.58,-1.38,2.26,,543543,,1,6,Bot,,,,,,,-13.678367188202197,-129.09756099852646,-1.4095261294843082,5.2492348761009815,23.059042088946885,-25.526173104534458,3.4,1.56,,,,89.9,2124,6.7,719412,593993,686469,622110,681987,670032,658668,598265,687614,53.79,,,,,,,,44,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,111,0.0,0.034,,,,-0.034,,-1,-1,0.422,0.422,26,25,26,25,1,0,,,,,2.28,0.25,-0.25,
