pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-22,94.8,-0.7,6.53,"Solis, Jairo",502054,672810,field_out,hit_into_play,,,,,8,"Tommy Pham grounds out, second baseman Rylan Bannon to first baseman David Hensley.",S,R,R,NYM,HOU,X,4,ground_ball,0,0,2023,-0.67,1.61,0.19,1.52,,,,2,2,Bot,156.58,153.03,,,,,3.8422774348842905,-137.59004550894562,-10.953934359395523,-9.4270978732376,32.36947676191803,-9.441957414763628,3.37,1.59,48,97.1,0,94.4,2474,6.3,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.19,0.377,,0.0,,0,0,2,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,-0.011,-0.275,,,0.401,0.275,97.1,0,0,0.511,0.511,23,35,24,35,1,0,,,,,0.95,0.67,0.67,
SL,2023-03-22,87.0,-0.84,6.43,"Solis, Jairo",573131,672810,strikeout,swinging_strike,,,,,14,Darin Ruf strikes out swinging.,S,R,R,NYM,HOU,S,2,,0,2,2023,0.22,-0.19,1.13,0.47,,,,1,2,Bot,,,,,,,4.252727951531828,-126.43589208881556,-7.682558531437685,1.494964367301049,26.5954609161214,-32.774035189684476,3.51,1.66,,,,86.6,2414,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.32,,,0.0,,0,0,,13,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,89,-0.016,-0.17,,,,0.17,,0,0,0.527,0.527,23,36,24,37,1,0,,,,,3.21,-0.22,-0.22,
SL,2023-03-22,85.8,-0.99,6.58,"Solis, Jairo",573131,672810,,called_strike,,,,,2,Darin Ruf strikes out swinging.,S,R,R,NYM,HOU,S,,,0,1,2023,0.2,0.39,0.07,3.02,,,,1,2,Bot,,,,,,,2.088851594292964,-124.93998600934763,-2.9653437942019822,1.658942875280432,24.192973309699266,-27.72614465009513,3.51,1.66,,,,85.3,2386,5.8,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.68,,,,,,,,13,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,113,0.0,-0.057,,,,0.057,,0,0,0.527,0.527,23,36,24,37,1,0,,,,,2.69,-0.2,-0.2,
SL,2023-03-22,84.7,-0.97,6.47,"Solis, Jairo",573131,672810,,called_strike,,,,,7,Darin Ruf strikes out swinging.,S,R,R,NYM,HOU,S,,,0,0,2023,0.33,0.03,-0.39,1.9,,,,1,2,Bot,,,,,,,0.708751805288093,-123.46885239063,-4.42930823481543,3.234252985799706,23.084348234302222,-31.230891677325356,3.51,1.66,,,,84.4,2302,5.9,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.63,,,,,,,,13,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,98,0.0,-0.041,,,,0.041,,0,0,0.527,0.527,23,36,24,37,1,0,,,,,3.12,-0.33,-0.33,
FF,2023-03-22,93.6,-0.87,6.59,"Solis, Jairo",592192,672810,field_out,hit_into_play,,,,,6,Mark Canha flies out sharply to center fielder Justin Dirden.,S,R,R,NYM,HOU,X,8,fly_ball,2,0,2023,-0.48,1.61,0.5,2.54,,,,0,2,Bot,136.51,55.42,,,,,4.548235493077551,-136.1261050396174,-8.199340120648406,-6.992904845404381,29.489415316576817,-10.587986704680176,3.35,1.58,355,101.8,36,92.9,2410,5.9,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.6,0.429,,0.0,,0,0,6,12,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200,-0.023,-0.377,,,1.594,0.377,101.8,0,0,0.55,0.55,23,34,24,34,1,0,,,,,1.0,0.48,0.48,
SL,2023-03-22,85.6,-0.88,6.47,"Solis, Jairo",592192,672810,,ball,,,,,14,Mark Canha flies out sharply to center fielder Justin Dirden.,S,R,R,NYM,HOU,B,,,1,0,2023,0.31,0.09,1.41,1.56,,,,0,2,Bot,,,,,,,4.779824109782058,-124.53852216341473,-5.516381871523758,2.323537617491702,23.938190189877755,-30.331311192627084,3.35,1.58,,,,85.6,2312,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.29,,,,,,,,12,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,131,0.0,0.071,,,,-0.071,,0,0,0.55,0.55,23,34,24,34,1,0,,,,,3.01,-0.31,-0.31,
FF,2023-03-22,93.7,-0.85,6.68,"Solis, Jairo",592192,672810,,ball,,,,,11,Mark Canha flies out sharply to center fielder Justin Dirden.,S,R,R,NYM,HOU,B,,,0,0,2023,-0.55,1.46,-1.09,4.37,,,,0,2,Bot,,,,,,,0.5721762238150162,-136.61437124418026,-3.5087652538077903,-7.047052470422567,27.83971036680451,-13.213407440433771,3.35,1.58,,,,93.3,2425,5.8,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.75,,,,,,,,12,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200,0.0,0.04,,,,-0.04,,0,0,0.55,0.55,23,34,24,34,1,0,,,,,1.11,0.55,0.55,
FF,2023-03-22,95.6,-0.55,6.61,"Solis, Jairo",596129,672810,field_out,hit_into_play,,,,,11,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,X,7,fly_ball,2,2,2023,-0.23,1.63,-0.29,3.65,,500871,,2,1,Bot,60.38,91.04,,,,,1.210790589587276,-139.26249846234478,-5.904592580075668,-3.3050596508556507,29.841105500331576,-9.769300218290942,3.3,1.58,313,87.2,41,95.6,2416,6.1,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.39,0.006,,0.0,,0,0,3,7,6,4-Seam Fastball,0,0,0,0,0,0,0,0,,,200,-0.033,-0.22,,,0.01,0.22,88.0,0,0,0.533,0.533,23,30,24,31,1,0,,,,,0.84,0.23,-0.23,
CU,2023-03-22,82.1,-0.89,6.45,"Solis, Jairo",596129,672810,,foul,,,,,14,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,S,,,2,2,2023,0.43,-1.25,0.4,1.06,,500871,,2,1,Bot,,,,,,,2.0813300238392283,-119.52403307138484,-3.1736378364875604,3.598851954344852,25.96119207424826,-43.58869708197792,3.3,1.58,6,66.3,-12,81.5,2506,6.1,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.35,,,,,,,,7,5,Curveball,0,0,0,0,0,0,0,0,,,33,0.0,0.0,,,,0.0,88.0,0,0,0.533,0.533,23,30,24,31,1,0,,,,,4.66,-0.43,0.43,
CU,2023-03-22,81.7,-0.83,6.57,"Solis, Jairo",596129,672810,,called_strike,,,,,14,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,S,,,2,1,2023,0.35,-1.0,0.9,2.34,,500871,,2,1,Bot,,,,,,,3.2029919605933075,-118.96372190834748,-1.0341716520190478,2.7325825791862335,23.075599277762525,-41.65780974356789,3.3,1.58,,,,81.4,2483,6.1,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.4,,,,,,,,7,4,Curveball,0,0,0,0,0,0,0,0,,,34,0.0,-0.069,,,,0.069,,0,0,0.533,0.533,23,30,24,31,1,0,,,,,4.41,-0.35,0.35,
CU,2023-03-22,81.5,-0.84,6.63,"Solis, Jairo",596129,672810,,ball,,,,,11,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,B,,,1,1,2023,0.45,-1.11,-0.39,4.01,,500871,,2,1,Bot,,,,,,,0.1530454679525117,-118.6942852962955,2.8160464747924228,4.186881217692531,23.518902658839593,-43.42604927240229,3.3,1.58,,,,80.9,2539,5.9,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.6,,,,,,,,7,3,Curveball,0,0,0,0,0,0,0,0,,,36,0.0,0.021,,,,-0.021,,0,0,0.533,0.533,23,30,24,31,1,0,,,,,4.55,-0.45,0.45,
CH,2023-03-22,90.6,-1.14,6.26,"Solis, Jairo",596129,672810,,ball,,,,,14,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,B,,,0,1,2023,-1.41,0.88,1.23,0.68,,,500871,2,1,Bot,,,,,,,8.892764767636072,-131.53322921210756,-9.923112330477537,-18.18416949326543,22.689918633111184,-20.19251053426688,3.3,1.58,,,,90.9,2200,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.31,,,,,,,,7,2,Changeup,0,0,0,0,0,0,0,0,,,238,0.011,0.025,,,,-0.025,,0,0,0.522,0.522,23,30,24,31,1,0,,,,,1.87,1.41,-1.41,
FF,2023-03-22,95.9,-0.67,6.63,"Solis, Jairo",596129,672810,,foul,,,,,12,Daniel Vogelbach flies out to left fielder J.  J. Matijevic.,S,L,R,NYM,HOU,S,,,0,0,2023,-0.49,1.6,0.87,2.93,,,500871,2,1,Bot,,,,,,,5.184074241993378,-139.3917987578945,-7.7919645726715885,-7.486461936152312,30.42432948348948,-9.756693149379734,3.3,1.58,229,103.6,15,96.0,2453,6.3,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.18,,,,,,,,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,,197,0.0,-0.045,,,,0.045,103.6,0,0,0.522,0.522,23,30,24,31,1,0,,,,,0.88,0.49,-0.49,
FF,2023-03-22,95.6,-0.54,6.62,"Solis, Jairo",596019,672810,strikeout,swinging_strike,,,,,11,Francisco Lindor strikes out swinging.,S,L,R,NYM,HOU,S,2,,0,2,2023,-0.62,1.74,-0.96,2.86,,,500871,1,1,Bot,,,,,,,0.2970719532002414,-139.07106934007325,-8.157408905150694,-8.100174131467526,32.575028030534526,-8.01523233506509,3.36,1.54,,,,95.2,2501,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.35,,,0.0,,0,0,,6,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,,197,-0.028,-0.16,,,,0.16,,0,0,0.55,0.55,23,29,24,30,1,0,,,,,0.77,0.62,-0.62,
FF,2023-03-22,96.1,-0.65,6.59,"Solis, Jairo",596019,672810,,called_strike,,,,,1,Francisco Lindor strikes out swinging.,S,L,R,NYM,HOU,S,,,0,1,2023,-0.4,1.68,-0.64,3.17,,,500871,1,1,Bot,,,,,,,0.9280320558124306,-139.83107427689222,-7.261037903946382,-5.483448551925272,31.72841227308901,-8.682670059317548,3.36,1.54,,,,96.1,2445,6.3,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.21,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,,197,0.0,-0.053,,,,0.053,,0,0,0.55,0.55,23,29,24,30,1,0,,,,,0.79,0.4,-0.4,
FF,2023-03-22,95.2,-0.89,6.54,"Solis, Jairo",596019,672810,,called_strike,,,,,6,Francisco Lindor strikes out swinging.,S,L,R,NYM,HOU,S,,,0,0,2023,-0.41,1.7,0.33,2.25,,,500871,1,1,Bot,,,,,,,4.094178208880346,-138.34620467447584,-9.382896046818882,-6.16538952849747,31.160235822244875,-8.470642966594443,3.36,1.54,,,,95.1,2475,6.3,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.17,,,,,,,,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,,199,0.0,-0.042,,,,0.042,,0,0,0.55,0.55,23,29,24,30,1,0,,,,,0.83,0.41,-0.41,
FF,2023-03-22,94.6,-0.86,6.52,"Solis, Jairo",516782,672810,field_out,hit_into_play,,,,,5,Starling Marte flies out to center fielder Justin Dirden.,S,R,R,NYM,HOU,X,8,fly_ball,1,2,2023,-0.61,1.49,-0.26,2.81,,,500871,0,1,Bot,118.85,85.81,,,,,2.9221458237635396,-137.55236356523463,-7.302628144436346,-8.42173469113981,30.40326737547511,-11.793841208588018,3.52,1.65,282,93.9,44,94.5,2297,6.3,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.24,0.017,,0.0,,0,0,3,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,,,204,-0.033,-0.17,,,0.045,0.17,93.9,0,0,0.583,0.583,23,34,24,35,1,0,,,,,1.06,0.61,0.61,
CU,2023-03-22,81.4,-0.79,6.58,"Solis, Jairo",516782,672810,,blocked_ball,,,,,14,Starling Marte flies out to center fielder Justin Dirden.,S,R,R,NYM,HOU,B,,,0,2,2023,0.14,-1.18,0.71,0.09,,,500871,0,1,Bot,,,,,,,3.07597539600063,-118.43989577090274,-5.65544372617771,0.6805020673080376,23.397081839048305,-42.331670794872714,3.52,1.65,,,,80.9,2540,6.0,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.46,,,,,,,,5,3,Curveball,0,0,0,0,0,0,0,0,,,34,0.0,0.008,,,,-0.008,,0,0,0.583,0.583,23,34,24,35,1,0,,,,,4.63,-0.14,-0.14,
CU,2023-03-22,80.8,-0.84,6.61,"Solis, Jairo",516782,672810,,called_strike,,,,,5,Starling Marte flies out to center fielder Justin Dirden.,S,R,R,NYM,HOU,S,,,0,1,2023,0.76,-1.17,0.02,2.86,,,500871,0,1,Bot,,,,,,,0.4551394179775093,-117.62995810551962,0.5220119990989438,6.959928405813226,22.868413240323676,-43.320235411706335,3.52,1.65,,,,80.7,2523,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.26,,,,,,,,5,2,Curveball,0,0,0,0,0,0,0,0,,,29,0.0,-0.043,,,,0.043,,0,0,0.583,0.583,23,34,24,35,1,0,,,,,4.66,-0.76,-0.76,
FF,2023-03-22,93.8,-0.86,6.55,"Solis, Jairo",516782,672810,,called_strike,,,,,3,Starling Marte flies out to center fielder Justin Dirden.,S,R,R,NYM,HOU,S,,,0,0,2023,-0.45,1.54,0.74,3.26,,,500871,0,1,Bot,,,,,,,5.133898668017341,-136.55977236438582,-6.233962702015317,-6.718251009253964,28.058286594022167,-11.67470700943882,3.52,1.65,,,,94.0,2299,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.27,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,,201,0.0,-0.036,,,,0.036,,0,0,0.583,0.583,23,34,24,35,1,0,,,,,1.03,0.45,0.45,
FF,2023-03-22,94.5,-0.86,6.66,"Solis, Jairo",500871,672810,walk,ball,,,,,11,Eduardo Escobar walks.,S,L,R,NYM,HOU,B,,,3,0,2023,-0.65,1.29,-1.5,3.21,,,,0,1,Bot,,,,,,,-0.1969767439926988,-137.67599484927968,-6.22624577280819,-8.319627159710706,28.02081088810986,-14.546853316442109,3.14,1.47,,,,94.5,2169,6.0,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.46,,,0.7,,0,0,,4,4,4-Seam Fastball,0,0,0,0,0,0,0,0,,,198,0.036,0.173,,,,-0.173,,0,0,0.547,0.547,23,34,24,34,1,0,,,,,1.24,0.65,-0.65,
FF,2023-03-22,94.4,-1.04,6.59,"Solis, Jairo",500871,672810,,ball,,,,,11,Eduardo Escobar walks.,S,L,R,NYM,HOU,B,,,2,0,2023,-0.61,1.46,-1.04,3.76,,,,0,1,Bot,,,,,,,1.3315280867904142,-137.5040160473134,-4.942719858846933,-7.999755368009746,28.77798969613681,-12.690133723827804,3.14,1.47,,,,94.4,2233,6.1,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.4,,,,,,,,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,,200,0.0,0.151,,,,-0.151,,0,0,0.547,0.547,23,34,24,34,1,0,,,,,1.08,0.61,-0.61,
FF,2023-03-22,94.7,-1.08,6.5,"Solis, Jairo",500871,672810,,ball,,,,,11,Eduardo Escobar walks.,S,L,R,NYM,HOU,B,,,1,0,2023,-0.57,1.38,-1.31,2.42,,,,0,1,Bot,,,,,,,0.672949139850736,-137.76438441617594,-8.093008982018942,-7.483225543651388,28.3054384307533,-12.982927992696808,3.14,1.47,,,,94.7,2223,6.2,719013,673237,682073,676625,666197,553988,656695,688869,667452,54.34,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,,209,0.0,0.071,,,,-0.071,,0,0,0.547,0.547,23,34,24,34,1,0,,,,,1.14,0.57,-0.57,
