pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-03-26,87.5,-0.48,6.22,"Steckenrider, Drew",689172,608716,strikeout,swinging_strike_blocked,,,,,14,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,S,2,,3,2,2023,-0.84,1.19,0.48,0.36,,,,2,9,Top,,,,,,,4.028267635321286,-127.20202482110923,-10.454114338892673,-9.926004839375716,21.81591205156104,-17.506757270296077,3.3,1.5,,,,87.5,1838,6.0,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.51,,,0.0,,0,0,,80,6,Changeup,3,9,9,3,9,3,9,3,Standard,Standard,227,0.0,-0.336,,,,0.336,,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,1.76,0.84,-0.84,
CH,2023-03-26,86.9,-0.68,6.16,"Steckenrider, Drew",689172,608716,,ball,,,,,13,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,B,,,2,2,2023,-0.8,1.09,-1.2,-0.15,,,,2,9,Top,,,,,,,0.3898744124804351,-126.28837608814648,-11.146594810118703,-8.76297075252449,22.45703232635532,-18.613874922813903,3.06,1.39,,,,86.7,1857,6.0,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.54,,,,,,,,80,5,Changeup,3,9,9,3,9,3,9,3,Standard,Standard,232,0.0,0.104,,,,-0.104,,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,1.91,0.8,-0.8,
FF,2023-03-26,93.9,-0.76,6.1,"Steckenrider, Drew",689172,608716,,ball,,,,,11,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,B,,,1,2,2023,-0.79,1.4,-1.41,3.57,,,,2,9,Top,,,,,,,0.0807574154052702,-136.8569904421394,-3.959005970240443,-10.007634892044688,28.56432971362372,-13.82972784251044,3.06,1.39,,,,93.6,2173,5.9,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.6,,,,,,,,80,4,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,208,0.0,0.041,,,,-0.041,,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,1.16,0.79,-0.79,
FF,2023-03-26,93.8,-0.76,6.15,"Steckenrider, Drew",689172,608716,,ball,,,,,12,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,B,,,0,2,2023,-0.66,1.56,0.29,4.49,,,,2,9,Top,,,,,,,4.150928167107294,-136.62061513823454,-2.0267718129243812,-9.225332747517609,28.6426101630817,-12.37267666497988,3.08,1.44,,,,93.3,2139,5.8,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.69,,,,,,,,80,3,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,210,0.0,0.022,,,,-0.022,,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,1.02,0.66,-0.66,
FF,2023-03-26,94.4,-0.58,6.23,"Steckenrider, Drew",689172,608716,,foul,,,,,6,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,S,,,0,1,2023,-0.73,1.64,0.6,2.46,,,,2,9,Top,,,,,,,4.671114589954508,-137.3072169424964,-7.706343430929832,-10.332751937726222,30.396489235069716,-9.96193337576474,3.3,1.5,181,68.4,31,93.7,2248,5.9,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.58,,,,,,,,80,2,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,202,0.0,-0.061,,,,0.061,88.0,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,0.92,0.73,-0.73,
FF,2023-03-26,93.2,-0.54,6.21,"Steckenrider, Drew",689172,608716,,called_strike,,,,,5,"Brett Wisely strikes out swinging, catcher Carlos Perez to first baseman Ryan Noda.",S,L,R,OAK,SF,S,,,0,0,2023,-0.81,1.86,-0.21,2.08,,,,2,9,Top,,,,,,,2.6160428588284708,-135.4322745496636,-8.858740323792725,-10.585805730641898,29.629675922527223,-7.51403864121258,3.19,1.5,,,,92.5,2285,5.9,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.57,,,,,,,,80,1,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,200,0.0,-0.045,,,,0.045,,-6,6,0.003,0.997,32,24,32,24,1,4,,,,,0.77,0.81,-0.81,
FF,2023-03-26,93.9,-0.5,6.21,"Steckenrider, Drew",682266,608716,field_out,hit_into_play,,,,,1,Brett Auerbach pops out to second baseman Tyler Wade.,S,R,R,OAK,SF,X,4,popup,1,0,2023,-0.64,1.66,-0.44,2.91,,,,1,9,Top,130.02,124.61,,,,,1.561023119710095,-136.65940139071054,-6.468251502249578,-8.359767333278684,29.43867064825857,-10.158950634955549,3.29,1.49,191,78.6,52,93.3,2264,5.9,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.62,0.049,,0.0,,0,0,3,79,2,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,200,0.001,-0.306,,,0.067,0.306,88.0,-6,6,0.002,0.998,32,24,32,25,1,4,,,,,0.92,0.64,0.64,
CU,2023-03-26,80.9,-0.63,6.25,"Steckenrider, Drew",682266,608716,,ball,,,,,14,Brett Auerbach pops out to second baseman Tyler Wade.,S,R,R,OAK,SF,B,,,0,0,2023,-0.18,-0.61,1.37,0.16,,,,1,9,Top,,,,,,,4.78182770667288,-117.72763144223916,-5.801834488632394,-2.5550486577040203,20.360139975313896,-37.10506994454019,2.92,1.49,,,,80.6,2148,5.9,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.61,,,,,,,,79,1,Curveball,3,9,9,3,9,3,9,3,Standard,Standard,10,0.0,0.039,,,,-0.039,,-6,6,0.002,0.998,32,24,32,25,1,4,,,,,4.07,0.18,0.18,
FF,2023-03-26,94.3,-0.61,6.15,"Steckenrider, Drew",642851,608716,field_out,hit_into_play,,,,,6,"Austin Wynns grounds out, shortstop Kevin Smith to first baseman Ryan Noda.",S,R,R,OAK,SF,X,6,ground_ball,3,2,2023,-0.81,1.61,0.52,2.23,,,,0,9,Top,114.5,148.72,,,,,4.725669726425776,-137.02661649957082,-7.972931168726155,-11.27647788793008,33.419112321675605,-10.328640723768592,3.47,1.64,62,105.2,2,93.5,2115,6.1,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.37,0.526,,0.0,,0,0,4,78,8,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,209,0.0,-0.353,,,0.561,0.353,105.2,-6,6,0.002,0.998,32,32,32,33,1,0,,,,,0.98,0.81,0.81,
FF,2023-03-26,95.0,-0.45,6.16,"Steckenrider, Drew",642851,608716,,ball,,,,,12,"Austin Wynns grounds out, shortstop Kevin Smith to first baseman Ryan Noda.",S,R,R,OAK,SF,B,,,2,2,2023,-0.74,1.67,1.22,2.9,,,,0,9,Top,,,,,,,5.989680464223116,-138.12417923635584,-6.5587837595058005,-10.85406409747384,32.657681286109096,-9.522512199348936,3.62,1.71,,,,94.2,2215,6.0,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.51,,,,,,,,78,7,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,203,0.0,0.115,,,,-0.115,,-6,6,0.002,0.998,32,32,32,33,1,0,,,,,0.87,0.74,0.74,
