pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-03-28,98.5,-2.59,4.81,"Vennaro, Zach",676701,691109,field_out,hit_into_play,,,,,13,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,X,5,ground_ball,3,2,2023,-1.28,0.12,-1.01,2.17,,,663731,2,7,Bot,101.48,170.41,,,,,7.248570565081721,-143.42108522769587,-2.0639239788056543,-19.361488730615346,28.60739369561501,-30.242981613494777,3.36,1.56,3,77.6,-36,99.1,2133,6.3,719545,691620,682265,699130,680518,699126,676473,800325,680911,54.24,0.046,,0.0,,0,0,2,63,6,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,238,-0.004,-0.305,,,0.046,0.305,88.0,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.2,1.28,1.28,
SI,2023-03-28,97.7,-2.52,4.72,"Vennaro, Zach",676701,691109,,foul,,,,,8,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,S,,,3,1,2023,-1.45,0.05,-0.05,1.87,,,663731,2,7,Bot,,,,,,,10.103736900937353,-142.10806585946605,-2.389343800844494,-21.876843193426993,27.06010164483369,-31.159464589000127,3.36,1.56,210,98.9,10,99.4,2164,6.9,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.61,,,,,,,,63,5,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,242,0.0,-0.094,,,,0.094,98.9,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.31,1.45,1.45,
SI,2023-03-28,97.0,-2.66,4.76,"Vennaro, Zach",676701,691109,,called_strike,,,,,9,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,S,,,3,0,2023,-1.34,-0.08,0.62,1.98,,,663731,2,7,Bot,,,,,,,11.9110504320239,-140.97412605515515,-1.8229655845458623,-20.253778570982355,25.064009532438412,-33.02763233492638,3.36,1.63,,,,98.5,2128,6.7,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.8,,,,,,,,63,4,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,233,0.0,-0.058,,,,0.058,,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.46,1.34,1.34,
FC,2023-03-28,84.8,-2.68,4.74,"Vennaro, Zach",676701,691109,,ball,,,,,11,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,B,,,2,0,2023,0.61,0.82,-0.9,3.19,,,663731,2,7,Bot,,,,,,,2.942845024401995,-123.56585633544296,0.9838468123786392,5.812983206992429,21.4709310689139,-24.065246902712683,3.3,1.58,,,,85.3,2279,6.3,719545,691620,682265,699130,680518,699126,676473,800325,680911,54.22,,,,,,,,63,3,Cutter,0,6,0,6,6,0,0,6,Standard,Standard,90,0.0,0.104,,,,-0.104,,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.31,-0.61,-0.61,
SI,2023-03-28,97.7,-2.37,4.79,"Vennaro, Zach",676701,691109,,ball,,,,,14,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,B,,,1,0,2023,-1.34,-0.06,0.61,1.35,,,663731,2,7,Bot,,,,,,,11.271713971266376,-141.97186656113826,-3.7601392790612063,-20.43558516245715,26.09394948011395,-32.43462355621325,3.32,1.58,,,,100.0,2071,7.2,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.32,,,,,,,,63,2,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,237,0.0,0.037,,,,-0.037,,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.42,1.34,1.34,
SI,2023-03-28,96.7,-2.52,4.76,"Vennaro, Zach",676701,691109,,ball,,,,,6,"Alan Trejo grounds out, third baseman Zavier Warren to first baseman Wes Clarke.",S,R,R,COL,MIL,B,,,0,0,2023,-1.29,-0.03,0.44,2.5,,,663731,2,7,Bot,,,,,,,10.887037923444796,-140.56053979560545,-0.4946988017905092,-19.315297555891352,25.52235293585242,-32.66192800847413,3.13,1.49,,,,98.1,2098,6.7,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.83,,,,,,,,63,1,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,235,0.0,0.03,,,,-0.03,,-6,-6,0.011,0.011,27,27,27,27,1,1,,,,,2.43,1.29,1.29,
SI,2023-03-28,96.6,-2.85,4.76,"Vennaro, Zach",663731,691109,walk,ball,,,,,13,Connor Kaiser walks.,S,R,R,COL,MIL,B,,,3,1,2023,-1.34,0.0,-1.77,2.68,,,,2,7,Bot,,,,,,,5.9438589197193465,-140.67542586041273,-0.0358662101226687,-19.196489975211502,28.67886108216001,-32.427913423514326,3.76,1.84,,,,97.3,2082,6.4,719545,691620,682265,699130,680518,699126,676473,800325,680911,54.08,,,0.7,,0,0,,62,5,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,238,0.003,0.193,,,,-0.193,,-6,-6,0.008,0.008,27,26,27,27,1,0,,,,,2.42,1.34,1.34,
SI,2023-03-28,97.1,-2.52,4.82,"Vennaro, Zach",663731,691109,,called_strike,,,,,6,Connor Kaiser walks.,S,R,R,COL,MIL,S,,,3,0,2023,-1.25,0.01,0.39,2.49,,,,2,7,Bot,,,,,,,10.8059515313353,-141.1318982593705,-0.7963621177140013,-18.963139791791072,26.516979572985413,-32.121887133621414,3.83,1.86,,,,99.2,2114,7.1,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.38,,,,,,,,62,4,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,233,0.0,-0.057,,,,0.057,,-6,-6,0.008,0.008,27,26,27,27,1,0,,,,,2.38,1.25,1.25,
SI,2023-03-28,96.8,-2.7,4.77,"Vennaro, Zach",663731,691109,,ball,,,,,13,Connor Kaiser walks.,S,R,R,COL,MIL,B,,,2,0,2023,-1.29,-0.2,-1.37,1.11,,,,2,7,Bot,,,,,,,6.5550758853388364,-140.9719011843212,-3.867896362515816,-18.637553884140655,27.221016414432764,-34.34715906055945,3.79,1.84,,,,98.4,2054,6.8,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.68,,,,,,,,62,3,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,245,0.0,0.113,,,,-0.113,,-6,-6,0.008,0.008,27,26,27,27,1,0,,,,,2.6,1.29,1.29,
SI,2023-03-28,96.8,-2.59,4.92,"Vennaro, Zach",663731,691109,,ball,,,,,11,Connor Kaiser walks.,S,R,R,COL,MIL,B,,,1,0,2023,-1.26,0.28,-1.61,4.56,,,,2,7,Bot,,,,,,,5.598092947423231,-140.98305020960814,3.9582098143344377,-18.140701682352137,26.49600697026851,-29.357222868722744,3.74,1.74,,,,99.1,2046,7.1,719545,691620,682265,699130,680518,699126,676473,800325,680911,53.38,,,,,,,,62,2,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,228,0.0,0.056,,,,-0.056,,-6,-6,0.008,0.008,27,26,27,27,1,0,,,,,2.12,1.26,1.26,
