pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-08-15,88.4,-1.75,5.95,"Watkins, Spenser",571448,657093,single,hit_into_play,,,,,8,Nolan Arenado singles on a ground ball to left fielder Tony Kemp.   Paul Goldschmidt to 2nd.,R,R,R,STL,OAK,X,7,ground_ball,0,0,2023,-0.95,0.76,0.18,2.15,,,502671,1,5,Bot,88.66,103.09,,,,,6.727832895238606,-128.6278534822103,-4.846212170154181,-11.91774255946178,25.105456892353217,-22.898060774555336,3.42,1.68,24,91.5,-4,89.2,1882,6.6,716984,691016,664913,680869,672478,669397,643393,671732,665923,53.85,0.206,0.166,0.9,1,1,0,2,39,1,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,190,0.004,0.415,73.4,8.4,0.229,-0.415,91.5,5,5,0.965,0.965,30,32,31,32,3,2,,1,,1,2.14,0.95,0.95,51.7
FF,2023-08-15,89.2,-1.6,6.04,"Watkins, Spenser",502671,657093,walk,ball,,,,,14,Paul Goldschmidt walks.,R,R,R,STL,OAK,B,,,3,1,2023,-0.21,1.2,0.95,1.52,,,,1,5,Bot,,,,,,,6.7232858502080575,-129.67446850920354,-7.665656571949118,-3.65265499140031,25.21533312753501,-17.234635364618914,3.43,1.59,,,,89.7,2235,6.5,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.01,,0.695903,0.7,1,0,0,,38,5,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,193,0.003,0.255,,,,-0.255,,5,5,0.962,0.962,30,35,31,36,3,2,,1,,1,1.65,0.21,0.21,53.9
SI,2023-08-15,89.9,-1.76,6.02,"Watkins, Spenser",502671,657093,,ball,,,,,11,Paul Goldschmidt walks.,R,R,R,STL,OAK,B,,,2,1,2023,-0.87,1.0,-1.13,3.72,,,,1,5,Bot,,,,,,,3.4195796049210845,-131.0133963427638,-1.858140910698008,-10.741239919587484,27.094077900247957,-20.490495132425227,3.43,1.69,,,,90.2,1868,6.3,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.17,,,,,,,,38,4,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,184,0.0,0.122,,,,-0.122,,5,5,0.962,0.962,30,35,31,36,3,2,,1,,1,1.81,0.87,0.87,49.4
SI,2023-08-15,88.7,-1.69,6.06,"Watkins, Spenser",502671,657093,,ball,,,,,11,Paul Goldschmidt walks.,R,R,R,STL,OAK,B,,,1,1,2023,-0.95,1.12,-1.59,4.12,,,,1,5,Bot,,,,,,,2.2268228193274524,-129.2374243834454,-1.102786488383839,-11.152908063381547,24.57831954852536,-19.53240626574677,3.43,1.64,,,,89.1,2043,6.3,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.23,,,,,,,,38,3,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,191,0.0,0.054,,,,-0.054,,5,5,0.962,0.962,30,35,31,36,3,2,,1,,1,1.75,0.95,0.95,48.4
FF,2023-08-15,89.0,-1.61,6.07,"Watkins, Spenser",502671,657093,,swinging_strike,,,,,5,Paul Goldschmidt walks.,R,R,R,STL,OAK,S,,,1,0,2023,-0.04,1.36,0.13,2.73,,,,1,5,Bot,,,,,,,4.378737816640407,-129.58465920019407,-5.069018095829871,-1.3309732978267703,25.065798762243652,-16.003119282027136,3.43,1.63,,,,89.6,2177,6.5,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.02,,,,,,,,38,2,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,194,0.0,-0.05,75.3,7.7,,0.05,,5,5,0.962,0.962,30,35,31,36,3,2,,1,,1,1.5,0.04,0.04,53.4
SL,2023-08-15,75.3,-1.89,5.94,"Watkins, Spenser",502671,657093,,ball,,,,,14,Paul Goldschmidt walks.,R,R,R,STL,OAK,B,,,0,0,2023,0.97,-0.42,1.28,0.53,,,,1,5,Bot,,,,,,,4.875798293907845,-109.51874979503675,-3.274192258533865,6.780904191480816,21.547533840267597,-35.113383054210615,3.43,1.61,,,,75.6,2519,6.8,716984,691016,664913,680869,672478,669397,643393,671732,665923,53.73,,,,,,,,38,1,Slider,5,0,5,0,0,5,5,0,Standard,Standard,59,0.0,0.039,,,,-0.039,,5,5,0.962,0.962,30,35,31,36,3,2,,1,,1,4.48,-0.97,-0.97,48.1
FC,2023-08-15,83.5,-1.74,6.09,"Watkins, Spenser",663457,657093,field_out,hit_into_play,,,,,3,"Lars Nootbaar grounds out, second baseman Zack Gelof to first baseman Seth Brown.",R,L,R,STL,OAK,X,4,ground_ball,1,0,2023,0.52,0.5,0.43,3.27,,,,0,5,Bot,157.19,152.93,,,,,3.977017495769081,-121.59790363061023,-1.1041371283720087,4.495157607260639,21.758631456508493,-27.140195245687433,3.47,1.69,64,85.6,3,83.9,2241,6.3,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.21,0.386,0.364,0.0,1,0,0,2,37,2,Cutter,5,0,5,0,0,5,5,0,Standard,Standard,134,-0.003,-0.306,73.8,6.6,0.458,0.306,88.0,5,5,0.965,0.965,30,25,31,26,3,2,,1,,1,2.74,-0.52,0.52,55.7
CU,2023-08-15,72.7,-1.75,6.02,"Watkins, Spenser",663457,657093,,ball,,,,,13,"Lars Nootbaar grounds out, second baseman Zack Gelof to first baseman Seth Brown.",R,L,R,STL,OAK,B,,,0,0,2023,0.76,-1.29,-1.34,1.41,,,,0,5,Bot,,,,,,,-0.4854263950783687,-105.85616889099164,0.4313314889268635,5.766707115862318,19.9615728279284,-42.08610004457682,3.43,1.66,,,,72.7,2571,6.5,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.03,,,,,,,,37,1,Curveball,5,0,5,0,0,5,5,0,Standard,Standard,37,0.0,0.04,,,,-0.04,,5,5,0.965,0.965,30,25,31,26,3,2,,1,,1,5.63,-0.76,0.76,52.0
FC,2023-08-15,84.5,-2.04,6.07,"Watkins, Spenser",669242,657093,double_play,hit_into_play,,,,,2,"Tommy Edman flies into a double play, left fielder Tony Kemp to third baseman Jordan Diaz.   Andrew Knizner out at 3rd.",R,L,R,STL,OAK,X,7,fly_ball,0,0,2023,0.34,0.63,-0.06,2.7,668800,,,1,4,Bot,57.91,134.58,,,,,3.93598107777357,-123.15894453782902,-2.84505434285855,2.8176297523971687,21.73129497145283,-25.362313844413787,3.23,1.48,233,76.1,42,84.8,2174,6.1,716984,691016,664913,680869,672478,669397,643393,671732,665923,54.37,0.146,0.153,0.0,1,0,0,3,33,1,Cutter,5,0,5,0,0,5,5,0,Strategic,Standard,156,-0.019,-0.149,63.2,6.2,0.203,0.149,88.0,5,5,0.962,0.962,30,28,31,28,2,1,,1,,1,2.52,-0.34,0.34,47.7
FF,2023-08-15,89.3,-1.81,6.01,"Watkins, Spenser",600301,657093,field_out,hit_into_play,,,,,1,Taylor Motter flies out to right fielder Esteury Ruiz.   Andrew Knizner to 3rd.,R,R,R,STL,OAK,X,9,fly_ball,0,1,2023,0.05,0.99,-0.79,2.92,,668800,,0,4,Bot,176.41,64.36,,,,,2.424976357001162,-130.03583555486694,-3.722305175443628,0.0522002745922433,26.39660610437199,-20.4163438664661,3.22,1.55,356,95.8,31,89.9,2103,6.6,716984,691016,664913,680869,672478,669397,643393,671732,665923,53.94,0.237,0.414,0.0,1,0,0,5,32,2,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,196,-0.001,-0.221,70.7,6.7,0.772,0.221,95.8,5,5,0.963,0.963,30,33,31,34,2,1,,1,,1,1.86,-0.05,-0.05,50.8
