pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-27,84.0,-2.11,5.44,"Weiss, Ryan",543543,680802,strikeout,swinging_strike,,,,,3,Brad Miller strikes out swinging.,S,L,R,TEX,KC,S,2,,3,2,2023,1.06,0.57,0.45,3.18,663993,641598,543257,2,4,Bot,,,,,,,3.854444272774094,-122.18791398082612,0.137949613000233,9.604831611998886,28.350880176177785,-26.838114001631677,3.34,1.52,,,,84.1,2358,6.8,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.72,,,0.0,,0,0,,35,8,Slider,0,4,0,4,4,0,0,4,Standard,Standard,81,-0.064,-0.279,,,,0.279,,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.71,-1.06,1.06,
SL,2023-03-27,82.3,-2.18,5.43,"Weiss, Ryan",543543,680802,,foul,,,,,5,Brad Miller strikes out swinging.,S,L,R,TEX,KC,S,,,3,2,2023,1.31,0.54,-0.19,2.25,663993,641598,543257,2,4,Bot,,,,,,,1.9852643712720228,-119.89913353340768,-1.7227676628104116,12.164486146076651,24.509229768383474,-26.859522694682568,3.34,1.52,22,74.4,-4,82.5,2229,6.5,719414,521692,686469,686681,641531,677951,658668,664728,669004,54.01,,,,,,,,35,7,Slider,0,4,0,4,4,0,0,4,Standard,Standard,75,0.0,0.0,,,,0.0,88.0,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.83,-1.31,1.31,
SI,2023-03-27,94.1,-1.94,5.55,"Weiss, Ryan",543543,680802,,foul,,,,,6,Brad Miller strikes out swinging.,S,L,R,TEX,KC,S,,,3,2,2023,-1.26,0.42,0.5,2.1,663993,641598,543257,2,4,Bot,,,,,,,9.215096084372789,-136.71758371246938,-4.206910387654786,-17.805720780428814,30.52941438406195,-26.15026858372849,3.34,1.52,207,78.0,22,95.0,2345,6.9,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.59,,,,,,,,35,6,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,223,0.0,0.0,,,,0.0,88.0,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.16,1.26,-1.26,
SI,2023-03-27,92.3,-1.8,5.62,"Weiss, Ryan",543543,680802,,ball,,,,,14,Brad Miller strikes out swinging.,S,L,R,TEX,KC,B,,,2,2,2023,-1.16,0.56,1.16,1.98,663993,641598,543257,2,4,Bot,,,,,,,10.146446761799696,-134.06928037285883,-4.695842415396572,-16.159872223239873,28.600883808405516,-24.5321010324533,3.44,1.44,,,,93.1,2291,6.8,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.65,,,,,,,,35,5,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,223,0.0,0.058,,,,-0.058,,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.12,1.16,-1.16,
SI,2023-03-27,91.2,-2.07,5.62,"Weiss, Ryan",543543,680802,,ball,,,,,11,Brad Miller strikes out swinging.,S,L,R,TEX,KC,B,,,1,2,2023,-1.14,0.49,-2.05,3.17,663993,641598,543257,2,4,Bot,,,,,,,2.517223867984095,-132.8508456257089,-1.3378612872955764,-14.08414017667163,28.79216205079339,-26.323448196275443,3.47,1.46,,,,92.0,2314,6.7,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.79,,,,,,,,35,4,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,225,0.0,0.051,,,,-0.051,,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.25,1.14,-1.14,
SL,2023-03-27,83.3,-2.1,5.42,"Weiss, Ryan",543543,680802,,foul,,,,,6,Brad Miller strikes out swinging.,S,L,R,TEX,KC,S,,,1,1,2023,1.11,0.49,0.48,2.34,663993,641598,543257,2,4,Bot,,,,,,,3.7668590015569854,-121.266750826925,-1.540896603027505,10.127367795858104,25.371957546271247,-27.29162485520581,3.34,1.52,158,60.5,38,83.7,2369,6.7,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.79,,,,,,,,35,3,Slider,0,4,0,4,4,0,0,4,Standard,Standard,75,0.0,-0.079,,,,0.079,88.0,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.81,-1.11,1.11,
SL,2023-03-27,82.6,-2.2,5.47,"Weiss, Ryan",543543,680802,,called_strike,,,,,5,Brad Miller strikes out swinging.,S,L,R,TEX,KC,S,,,1,0,2023,1.27,0.85,0.11,2.49,663993,641598,543257,2,4,Bot,,,,,,,2.813474307160458,-120.29817863116358,-1.9605175746311063,11.75323381860084,23.834449185250797,-23.71450075670139,3.47,1.46,,,,83.1,2368,6.6,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.85,,,,,,,,35,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,89,0.0,-0.048,,,,0.048,,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.49,-1.27,1.27,
SL,2023-03-27,82.2,-2.28,5.53,"Weiss, Ryan",543543,680802,,ball,,,,,11,Brad Miller strikes out swinging.,S,L,R,TEX,KC,B,,,0,0,2023,1.22,0.73,-1.22,2.92,663993,641598,543257,2,4,Bot,,,,,,,0.0431181516393933,-119.78582520715678,-0.8048350885178298,11.700892932788983,23.5009015156849,-25.207939192164968,3.44,1.46,,,,82.7,2332,6.6,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.89,,,,,,,,35,1,Slider,0,4,0,4,4,0,0,4,Standard,Standard,83,0.0,0.035,,,,-0.035,,-4,-4,0.159,0.159,26,33,27,34,1,1,,,,,2.64,-1.22,1.22,
SL,2023-03-27,82.2,-2.09,5.41,"Weiss, Ryan",543257,680802,walk,ball,,,,,14,Robbie Grossman walks. Nathaniel Lowe to 3rd. Mitch Garver to 2nd.,S,L,R,TEX,KC,B,,,3,2,2023,0.99,0.82,1.48,1.92,,663993,641598,2,4,Bot,,,,,,,6.223169821261142,-119.61709338984669,-2.9808226095390187,8.26003429586249,23.40009748310223,-23.908375759555582,2.99,1.46,,,,82.8,2359,6.7,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.8,,,0.7,,0,0,,34,6,Slider,0,4,0,4,4,0,0,4,Standard,Standard,86,0.03,0.188,,,,-0.188,,-4,-4,0.129,0.129,26,33,27,34,1,1,,,,,2.55,-0.99,0.99,
SI,2023-03-27,91.6,-1.93,5.58,"Weiss, Ryan",543257,680802,,called_strike,,,,,6,Robbie Grossman walks. Nathaniel Lowe to 3rd. Mitch Garver to 2nd.,S,L,R,TEX,KC,S,,,3,1,2023,-1.13,0.45,0.48,2.31,,663993,641598,2,4,Bot,,,,,,,8.570560573743794,-133.1558815308669,-3.386972190045722,-15.225323140527136,28.00366169150535,-26.270864220910603,3.1,1.56,,,,92.2,2275,6.7,719414,521692,686469,686681,641531,677951,658668,664728,669004,53.83,,,,,,,,34,5,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,230,0.0,-0.048,,,,0.048,,-4,-4,0.129,0.129,26,33,27,34,1,1,,,,,2.27,1.13,-1.13,
