pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-29,89.4,-1.95,5.77,"Winans, Allan",666198,642216,walk,ball,,,,,14,Carter Kieboom walks.,R,R,R,ATL,WSH,B,,,3,1,2023,-1.48,0.46,0.88,1.6,,,,1,6,Top,,,,,,,10.201133110018812,-129.76984148239504,-5.3057224271035786,-18.83894987029829,25.836698693019304,-26.06912737308743,3.49,1.64,,,,90.5,2032,7.0,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.53,,0.695903,0.7,1,0,0,,55,5,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,235,-0.041,0.255,,,,-0.255,,1,-1,0.703,0.297,27,25,28,26,3,2,5,2,,1,2.4,1.48,1.48,34.2
CH,2023-09-29,82.2,-2.01,5.79,"Winans, Allan",666198,642216,,ball,,,,,14,Carter Kieboom walks.,R,R,R,ATL,WSH,B,,,2,1,2023,-1.16,0.15,0.72,1.22,,,,1,6,Top,,,,,,,8.455963321342907,-119.4888253700914,-4.113220528940548,-12.74592484526434,22.505365021885805,-30.11447124535895,3.49,1.62,,,,82.5,1872,6.5,716394,518595,663897,645277,663586,670032,592696,657088,607680,54.02,,,,,,,,55,4,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,252,0.0,0.122,,,,-0.122,,1,-1,0.703,0.297,27,25,28,26,3,2,5,2,,1,3.22,1.16,1.16,29.3
SI,2023-09-29,89.2,-1.91,5.78,"Winans, Allan",666198,642216,,ball,,,,,14,Carter Kieboom walks.,R,R,R,ATL,WSH,B,,,1,1,2023,-1.35,0.36,1.26,2.11,,,,1,6,Top,,,,,,,10.728994842155256,-129.4669663892949,-3.80631869083283,-17.386695818813333,25.05270058362788,-27.489248264329817,3.51,1.64,,,,90.2,2045,6.9,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.65,,,,,,,,55,3,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,232,0.0,0.054,,,,-0.054,,1,-1,0.703,0.297,27,25,28,26,3,2,5,2,,1,2.5,1.35,1.35,31.0
FF,2023-09-29,89.9,-1.83,5.87,"Winans, Allan",666198,642216,,ball,,,,,14,Carter Kieboom walks.,R,R,R,ATL,WSH,B,,,0,1,2023,-0.6,1.16,2.04,1.78,,,,1,6,Top,,,,,,,10.95179880886618,-130.44414452292352,-6.664736753556155,-9.146890802275944,26.55768909186276,-17.687930622917193,3.49,1.67,,,,90.7,2059,6.9,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.63,,,,,,,,55,2,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,226,0.0,0.03,,,,-0.03,,1,-1,0.703,0.297,27,25,28,26,3,2,5,2,,1,1.67,0.6,0.6,38.8
SI,2023-09-29,89.3,-1.94,5.86,"Winans, Allan",666198,642216,,called_strike,,,,,6,Carter Kieboom walks.,R,R,R,ATL,WSH,S,,,0,0,2023,-1.46,0.43,0.41,2.44,,,,1,6,Top,,,,,,,8.919904074831106,-129.78954380667992,-3.3211297153684973,-18.38332402911936,26.32464838137437,-26.84894453075468,3.53,1.64,,,,89.9,2128,6.6,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.88,,,,,,,,55,1,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,234,0.0,-0.041,,,,0.041,,1,-1,0.703,0.297,27,25,28,26,3,2,5,2,,1,2.43,1.46,1.46,34.4
CH,2023-09-29,83.4,-1.95,5.84,"Winans, Allan",671277,642216,field_out,hit_into_play,,,,,13,"Luis Garcia grounds out softly, catcher Travis d'Arnaud to first baseman Luke Williams.",R,L,R,ATL,WSH,X,2,ground_ball,0,1,2023,-1.2,0.34,-0.56,1.45,,,,0,6,Top,124.45,202.02,,,,,5.60317010215664,-121.16426740874677,-4.241278205765914,-12.940548601365588,26.19809325031411,-28.150918535838,3.57,1.7,1,47.8,-71,83.4,1754,6.6,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.91,0.22,0.195,0.0,1,0,0,1,54,2,Changeup,6,5,5,6,5,6,5,6,Standard,Strategic,246,0.036,-0.223,77.5,8.2,0.22,0.223,88.0,1,-1,0.667,0.333,27,23,28,23,3,2,5,2,,1,2.98,1.2,-1.2,31.3
SL,2023-09-29,79.8,-1.99,5.77,"Winans, Allan",671277,642216,,called_strike,,,,,9,"Luis Garcia grounds out softly, catcher Travis d'Arnaud to first baseman Luke Williams.",R,L,R,ATL,WSH,S,,,0,0,2023,1.39,-0.11,0.45,1.53,,,,0,6,Top,,,,,,,2.7583351850822506,-116.12075749413276,-2.348064628952339,11.949417939615758,23.920316331667507,-32.89149155061076,3.52,1.61,,,,79.8,2532,6.5,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.96,,,,,,,,54,1,Slider,6,5,5,6,5,6,5,6,Standard,Strategic,53,0.0,-0.042,,,,0.042,,1,-1,0.667,0.333,27,23,28,23,3,2,5,2,,1,3.72,-1.39,1.39,36.3
FF,2023-09-29,89.7,-1.91,5.96,"Winans, Allan",660688,642216,home_run,hit_into_play,,,,,4,Keibert Ruiz homers (18) on a fly ball to right field.,R,L,R,ATL,WSH,X,,fly_ball,0,0,2023,-0.97,1.1,-0.43,2.75,,,,0,6,Top,224.7,69.63,,,,,5.759901410677467,-130.53894030521872,-4.331536046092656,-12.27905812141482,27.37846902659739,-18.854772183054106,3.48,1.62,400,106.7,24,90.5,2134,6.7,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.75,0.946,1.787,2.0,1,0,3,6,53,1,4-Seam Fastball,6,4,4,6,5,6,5,6,Standard,Standard,229,-0.122,1.114,,,3.497,-1.114,106.7,2,-2,0.789,0.211,27,24,28,25,3,2,5,2,,1,1.73,0.97,-0.97,36.8
SI,2023-09-29,90.1,-1.86,5.85,"Winans, Allan",608841,642216,field_out,hit_into_play,,,,,6,Joey Meneses flies out to right fielder Kevin Pillar.,R,R,R,ATL,WSH,X,9,fly_ball,0,1,2023,-1.35,0.61,0.52,2.63,,,,2,5,Top,218.86,102.04,,,,,8.847305820348042,-130.9914728015806,-3.362144109899314,-17.43279583592166,26.55427690181146,-24.614703458442985,3.65,1.78,330,94.5,31,90.8,2195,6.7,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.84,0.16,0.244,0.0,1,0,0,5,43,2,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,230,0.008,-0.23,71.1,6.7,0.475,0.23,94.5,-2,2,0.269,0.731,27,31,28,31,3,2,5,2,,1,2.19,1.35,1.35,37.4
FF,2023-09-29,90.5,-1.68,5.92,"Winans, Allan",608841,642216,,called_strike,,,,,9,Joey Meneses flies out to right fielder Kevin Pillar.,R,R,R,ATL,WSH,S,,,0,0,2023,-0.74,0.87,0.79,2.06,,,,2,5,Top,,,,,,,7.8467127281206785,-131.57966247318564,-5.584749747122423,-10.2635221704149,27.647473330332858,-21.088897463561747,3.69,1.76,,,,91.6,2193,7.0,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.52,,,,,,,,43,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,225,0.0,-0.045,,,,0.045,,-2,2,0.269,0.731,27,31,28,31,3,2,5,2,,1,1.92,0.74,0.74,39.8
SI,2023-09-29,89.5,-1.97,5.83,"Winans, Allan",657041,642216,field_out,hit_into_play,,,,,5,"Lane Thomas grounds out, shortstop Nicky Lopez to first baseman Luke Williams.",R,R,R,ATL,WSH,X,6,ground_ball,0,1,2023,-1.31,0.73,0.14,2.29,,,,1,5,Top,102.08,149.55,,,,,8.035002663586091,-130.141482506092,-4.3058307224953705,-16.533523041162745,26.620565637585077,-23.176374389072837,3.16,1.51,37,95.8,-1,90.3,2176,6.7,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.76,0.363,0.373,0.0,1,0,0,2,42,2,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,231,0.013,-0.227,72.4,6.9,0.391,0.227,95.8,-2,2,0.256,0.744,27,27,28,28,3,2,5,2,,1,2.12,1.31,1.31,31.8
FF,2023-09-29,90.0,-1.88,5.92,"Winans, Allan",657041,642216,,called_strike,,,,,3,"Lane Thomas grounds out, shortstop Nicky Lopez to first baseman Luke Williams.",R,R,R,ATL,WSH,S,,,0,0,2023,-0.92,1.07,0.32,3.05,,,,1,5,Top,,,,,,,7.458911546213779,-130.86028126123009,-3.4695918906001735,-12.156422778848055,26.77826209125989,-19.26613630416007,3.18,1.51,,,,90.8,2131,6.7,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.78,,,,,,,,42,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,233,0.0,-0.041,,,,0.041,,-2,2,0.256,0.744,27,27,28,28,3,2,5,2,,1,1.74,0.92,0.92,36.6
SI,2023-09-29,88.8,-1.95,5.84,"Winans, Allan",682928,642216,field_out,hit_into_play,,,,,5,"CJ Abrams grounds out, second baseman Ozzie Albies to first baseman Luke Williams.",R,L,R,ATL,WSH,X,4,ground_ball,2,1,2023,-1.32,0.67,-0.01,2.51,,,,0,5,Top,142.13,144.48,,,,,7.58148156442132,-129.08830181139385,-3.524326716177793,-16.298116644523166,26.46140468358621,-24.188758651304376,3.51,1.61,14,91.6,-9,89.7,2092,6.9,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.64,0.191,0.198,0.0,1,0,0,2,41,4,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,225,0.017,-0.313,71.3,6.9,0.226,0.313,91.6,-2,2,0.239,0.761,27,22,28,23,3,2,5,2,,1,2.23,1.32,-1.32,32.1
FF,2023-09-29,89.8,-1.91,5.9,"Winans, Allan",682928,642216,,called_strike,,,,,9,"CJ Abrams grounds out, second baseman Ozzie Albies to first baseman Luke Williams.",R,L,R,ATL,WSH,S,,,2,0,2023,-0.75,1.2,0.71,1.95,,,,0,5,Top,,,,,,,8.132001540600465,-130.40963394977845,-6.3842148512997685,-10.285480387561789,26.60175003038532,-17.28552585647532,3.44,1.56,,,,90.6,2124,6.8,716394,518595,663897,645277,663586,670032,592696,657088,607680,53.68,,,,,,,,41,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,232,0.0,-0.065,,,,0.065,,-2,2,0.239,0.761,27,22,28,23,3,2,5,2,,1,1.63,0.75,-0.75,35.9
