pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-08-11,92.5,-2.46,5.08,"Yacabonis, Jimmy",621566,642231,field_out,hit_into_play,,,,,6,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,X,9,line_drive,3,2,2023,-1.5,0.43,0.49,2.65,,,645277,2,9,Top,170.55,107.15,,,,,10.687897524937384,-134.24892197737958,-1.2794002631670462,-20.46310069817646,29.143632194558062,-26.92106682173921,3.43,1.64,320,106.3,16,91.5,2227,5.9,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.63,0.594,0.685,0.0,1,0,0,5,77,7,Sinker,0,7,7,0,7,0,7,0,Infield shade,Standard,251,0.0,-0.305,72.3,6.6,1.064,0.305,106.3,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,2.25,1.5,-1.5,25.4
CH,2023-08-11,84.5,-2.37,5.24,"Yacabonis, Jimmy",621566,642231,,foul,,,,,8,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,S,,,3,2,2023,-1.52,-0.08,-0.16,1.63,,,645277,2,9,Top,,,,,,,8.14514950174959,-122.85822668488542,-1.8790535360092224,-17.01949882916472,23.81367757922075,-32.81943465691855,3.43,1.64,184,69.4,56,84.3,1785,6.2,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.34,,,,,,,,77,6,Changeup,0,7,7,0,7,0,7,0,Infield shade,Standard,263,0.0,0.0,74.0,7.8,,0.0,88.0,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,3.27,1.52,-1.52,27.5
ST,2023-08-11,82.6,-2.56,4.99,"Yacabonis, Jimmy",621566,642231,,ball,,,,,14,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,B,,,2,2,2023,1.35,-0.73,1.2,0.85,,,645277,2,9,Top,,,,,,,5.886686112533191,-120.1721973488088,-1.4421272371509894,11.71164552612189,26.117417551770433,-39.07321880256677,3.37,1.64,,,,82.0,2702,6.1,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.35,,,,,,,,77,5,Sweeper,0,7,7,0,7,0,7,0,Infield shade,Standard,44,0.0,0.065,,,,-0.065,,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,4.1,-1.35,1.35,23.3
SI,2023-08-11,92.9,-2.37,5.22,"Yacabonis, Jimmy",621566,642231,,ball,,,,,11,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,B,,,1,2,2023,-1.6,0.49,-1.2,3.93,,,645277,2,9,Top,,,,,,,6.4192533860187995,-135.19166275110953,1.3926197476514472,-21.04329846019036,30.145087769436454,-26.70829219588664,3.37,1.64,,,,91.9,2101,5.8,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.74,,,,,,,,77,4,Sinker,0,7,7,0,7,0,7,0,Infield shade,Standard,238,0.0,0.034,,,,-0.034,,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,2.15,1.6,-1.6,30.0
SI,2023-08-11,92.8,-2.43,5.17,"Yacabonis, Jimmy",621566,642231,,ball,,,,,11,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,B,,,0,2,2023,-1.55,0.35,-0.44,3.79,,,645277,2,9,Top,,,,,,,8.367557901241986,-134.85781329913755,1.5030158813122618,-20.741285049443256,30.488599707599235,-28.482391806243697,3.43,1.64,,,,91.7,1980,5.8,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.72,,,,,,,,77,3,Sinker,0,7,7,0,7,0,7,0,Infield shade,Standard,247,0.0,0.02,,,,-0.02,,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,2.31,1.55,-1.55,25.8
ST,2023-08-11,81.8,-2.56,5.1,"Yacabonis, Jimmy",621566,642231,,called_strike,,,,,7,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,S,,,0,1,2023,1.37,-0.2,-0.52,2.07,,,645277,2,9,Top,,,,,,,1.9302586246381648,-119.05959863922602,0.1847656510290507,12.43046634785625,26.450330101114012,-34.307525984466594,3.37,1.58,,,,80.4,2722,5.6,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.85,,,,,,,,77,2,Sweeper,0,7,7,0,7,0,7,0,Infield shade,Standard,57,0.0,-0.055,,,,0.055,,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,3.65,-1.37,1.37,26.2
ST,2023-08-11,83.7,-2.63,5.07,"Yacabonis, Jimmy",621566,642231,,foul,,,,,2,Matt Olson lines out to right fielder DJ Stewart.,R,L,R,NYM,ATL,S,,,0,0,2023,1.19,-0.08,0.02,3.29,,,645277,2,9,Top,,,,,,,3.7293185528699144,-121.72800591041344,2.506866543380026,10.94203389599367,26.707948162329227,-33.72106284299567,3.43,1.64,,,,82.4,2636,5.7,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.8,,,,,,,,77,1,Sweeper,0,7,7,0,7,0,7,0,Infield shade,Standard,51,0.0,-0.045,78.4,6.8,,0.045,,-7,7,0.001,0.999,31,29,31,29,2,4,4,1,,1,3.37,-1.19,1.19,26.7
CH,2023-08-11,84.1,-2.27,5.42,"Yacabonis, Jimmy",663586,642231,field_out,hit_into_play,,,,,7,Austin Riley flies out to right fielder DJ Stewart.,R,R,R,NYM,ATL,X,9,fly_ball,0,1,2023,-1.49,0.06,-0.4,1.8,,,645277,1,9,Top,180.58,127.18,,,,,7.299216676350232,-122.29271191420192,-2.0858391804489345,-16.402619347587258,25.159132775830884,-31.32910463842353,3.43,1.6,225,85.2,55,84.1,1645,6.4,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.1,0.02,0.023,0.0,1,0,0,3,76,2,Changeup,0,7,7,0,7,0,7,0,Standard,Standard,260,0.0,-0.215,73.5,8.2,0.035,0.215,88.0,-7,7,0.001,0.999,31,26,31,26,2,4,4,1,,1,3.18,1.49,1.49,31.6
ST,2023-08-11,82.1,-2.59,5.04,"Yacabonis, Jimmy",663586,642231,,called_strike,,,,,8,Austin Riley flies out to right fielder DJ Stewart.,R,R,R,NYM,ATL,S,,,0,0,2023,1.41,-0.1,0.12,1.9,,,645277,1,9,Top,,,,,,,3.38780537145018,-119.43615824139783,-0.2770346124305386,12.629725085900809,26.094993359864898,-33.291621880955645,3.37,1.66,,,,81.5,2737,6.2,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.32,,,,,,,,76,1,Sweeper,0,7,7,0,7,0,7,0,Standard,Standard,56,0.0,-0.042,,,,0.042,,-7,7,0.001,0.999,31,26,31,26,2,4,4,1,,1,3.52,-1.41,-1.41,23.7
SI,2023-08-11,91.9,-2.31,5.23,"Yacabonis, Jimmy",645277,642231,walk,ball,,,,,11,Ozzie Albies walks.,R,L,R,NYM,ATL,B,,,3,2,2023,-1.52,0.51,-0.93,3.65,,,,1,9,Top,,,,,,,6.708037246691381,-133.64173492913528,0.7703381521012888,-19.693094977402623,30.6326815783703,-26.52482060821033,3.2,1.61,,,,90.8,2223,5.8,717040,682626,624413,664901,668901,660620,542364,643446,621466,54.71,,0.695903,0.7,1,0,0,,75,6,Sinker,0,7,7,0,7,0,7,0,Infield shade,Standard,238,0.0,0.36,,,,-0.36,,-7,7,0.001,0.999,31,26,31,26,2,4,4,1,,1,2.21,1.52,-1.52,31.2
