pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-08-29,97.9,0.72,6.44,"Ashby, Aaron",642731,676879,field_out,hit_into_play,,,,,5,"Thairo Estrada grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,SF,X,6,ground_ball,1,2,2024,1.25,0.67,0.27,2.65,,,,1,8,Top,114.07,154.67,,,,,-3.994885561438033,-142.5391138482157,-6.190765856313377,17.91185734529321,31.60157474450795,-21.82940157844309,3.34,1.66,4,97.8,-38,96.0,2016,5.1,745945,596142,656555,668930,687401,642715,694192,663368,669003,55.39,0.063,0.068,0.0,1,0,0,2,62,5,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,144,0.002,-0.182,73.1,6.3,0.063,0.182,97.8,6,-6,0.996,0.004,26,28,26,28,1,2,4,1,2,,1.7,1.25,-1.25,46.0
CH,2024-08-29,90.5,1.05,6.31,"Ashby, Aaron",642731,676879,,foul,,,,,14,"Thairo Estrada grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,SF,S,,,1,2,2024,0.96,0.23,1.36,2.26,,,,1,8,Top,,,,,,,-1.2399397148418323,-131.73717348882406,-4.591218539536642,11.427448550860303,27.84808514148598,-28.687630622633357,3.34,1.66,173,64.2,53,88.8,1801,5.2,745945,596142,656555,668930,687401,642715,694192,663368,669003,55.32,,,,,,,,62,4,Changeup,6,0,0,6,0,6,0,6,Standard,Standard,129,0.0,0.0,61.1,7.6,,0.0,88.0,6,-6,0.996,0.004,26,28,26,28,1,2,4,1,2,,2.55,0.96,-0.96,42.7
CU,2024-08-29,84.3,0.92,6.38,"Ashby, Aaron",642731,676879,,called_strike,,,,,5,"Thairo Estrada grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,SF,S,,,1,1,2024,-0.83,-1.3,-0.03,2.42,,,,1,8,Top,,,,,,,-0.5520411755906209,-122.64275492614804,-0.1713180382657904,-8.12115137048802,28.503575738003985,-45.33458700952198,3.23,1.45,,,,82.2,2617,5.3,745945,596142,656555,668930,687401,642715,694192,663368,669003,55.2,,,,,,,,62,3,Curveball,6,0,0,6,0,6,0,6,Standard,Standard,325,0.0,-0.061,,,,0.061,,6,-6,0.996,0.004,26,28,26,28,1,2,4,1,2,,4.56,-0.83,0.83,48.8
CH,2024-08-29,90.9,1.05,6.35,"Ashby, Aaron",642731,676879,,swinging_strike,,,,,14,"Thairo Estrada grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,SF,S,,,1,0,2024,1.46,0.1,0.29,-0.01,,,,1,8,Top,,,,,,,-4.921697367964681,-131.9067110968613,-9.984119824580636,18.02518053524096,30.053820784616843,-28.959659808108583,3.34,1.66,,,,88.8,1808,5.3,745945,596142,656555,668930,687401,642715,694192,663368,669003,55.18,,,,,,,,62,2,Changeup,6,0,0,6,0,6,0,6,Standard,Standard,132,0.0,-0.051,41.1,7.6,,0.051,,6,-6,0.996,0.004,26,28,26,28,1,2,4,1,2,,2.69,1.46,-1.46,51.2
CU,2024-08-29,81.7,0.89,6.42,"Ashby, Aaron",642731,676879,,ball,,,,,12,"Thairo Estrada grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,R,L,MIL,SF,B,,,0,0,2024,-0.7,-1.4,1.04,2.86,,,,1,8,Top,,,,,,,1.6549960928576035,-118.97787455742618,1.2372697273888855,-6.98226752631223,24.9995222490507,-45.88755912914136,3.14,1.33,,,,80.0,2657,5.3,745945,596142,656555,668930,687401,642715,694192,663368,669003,55.22,,,,,,,,62,1,Curveball,6,0,0,6,0,6,0,6,Standard,Standard,331,0.0,0.039,,,,-0.039,,6,-6,0.996,0.004,26,28,26,28,1,2,4,1,2,,4.84,-0.7,0.7,49.3
SI,2024-08-29,92.2,-0.55,6.17,"Civale, Aaron",642731,650644,field_out,hit_into_play,,,,,4,Thairo Estrada lines out to left fielder Jackson Chourio.,R,R,R,MIL,SF,X,7,line_drive,0,2,2024,-1.44,1.09,-0.34,2.28,,,666464,1,5,Top,56.86,92.53,,,,,3.637348502417874,-134.06043753538071,-6.347688926413723,-18.193033825304532,29.64338392332546,-17.824413989033893,3.34,1.66,313,97.6,16,91.3,2274,5.8,745945,596142,656555,668930,687401,642715,694192,663368,669003,54.68,0.623,0.651,0.0,1,0,0,4,41,3,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,213,0.009,-0.163,73.4,7.1,0.891,0.163,97.6,6,-6,0.966,0.034,29,28,29,28,2,1,6,1,5,,1.6,1.44,1.44,44.2
SI,2024-08-29,91.9,-0.5,6.21,"Civale, Aaron",642731,650644,,swinging_strike,,,,,11,Thairo Estrada lines out to left fielder Jackson Chourio.,R,R,R,MIL,SF,S,,,0,1,2024,-1.45,1.13,-1.32,2.73,,,666464,1,5,Top,,,,,,,1.0534035804303077,-133.8087191985102,-5.367505229627013,-17.562770173520402,29.84524805739323,-17.692419919504538,3.34,1.66,,,,90.9,2216,5.7,745945,596142,656555,668930,687401,642715,694192,663368,669003,54.76,,,,,,,,41,2,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,208,0.0,-0.052,37.8,5.2,,0.052,,6,-6,0.966,0.034,29,28,29,28,2,1,6,1,5,,1.58,1.45,1.45,39.5
SI,2024-08-29,91.6,-0.4,6.25,"Civale, Aaron",642731,650644,,called_strike,,,,,2,Thairo Estrada lines out to left fielder Jackson Chourio.,R,R,R,MIL,SF,S,,,0,0,2024,-1.32,1.14,0.23,3.15,,,666464,1,5,Top,,,,,,,4.40243773275205,-133.37782544840016,-4.411408850000039,-16.697352923458133,28.83155073954852,-17.81650186861037,3.31,1.57,,,,90.7,2200,5.7,745945,596142,656555,668930,687401,642715,694192,663368,669003,54.77,,,,,,,,41,1,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,207,0.0,-0.04,,,,0.04,,6,-6,0.966,0.034,29,28,29,28,2,1,6,1,5,,1.57,1.32,1.32,42.9
CU,2024-08-29,75.5,-0.32,6.48,"Civale, Aaron",642731,650644,strikeout,swinging_strike,,,,,13,Thairo Estrada strikes out swinging.,R,R,R,MIL,SF,S,2,,1,2,2024,0.64,-1.68,0.0,1.16,,,,0,3,Top,,,,,,,-0.4706342090423695,-109.81026441306577,-0.8279424215035499,5.224267764760849,22.812808330553437,-45.675121791281775,3.34,1.66,,,,74.0,3108,5.6,745945,596142,656555,668930,687401,642715,694192,663368,669003,54.89,,0.0,0.0,1,0,0,,19,4,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,31,0.024,-0.186,25.9,6.1,,0.186,,2,-2,0.721,0.279,29,28,29,28,1,0,6,1,5,,5.74,-0.64,-0.64,59.2
CU,2024-08-29,76.3,-0.28,6.5,"Civale, Aaron",642731,650644,,ball,,,,,14,Thairo Estrada strikes out swinging.,R,R,R,MIL,SF,B,,,0,2,2024,0.99,-1.44,1.79,0.72,,,,0,3,Top,,,,,,,2.545720894110923,-111.06982834660997,-2.410973448129942,7.579218245702737,22.987466086377633,-43.734380161070845,3.38,1.61,,,,75.0,3066,5.6,745945,596142,656555,668930,687401,642715,694192,663368,669003,54.85,,,,,,,,19,3,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,38,0.0,0.023,,,,-0.023,,2,-2,0.721,0.279,29,28,29,28,1,0,6,1,5,,5.41,-0.99,-0.99,52.0
