pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-06-02,71.7,-1.14,5.81,"Bassitt, Chris",667428,605135,strikeout,swinging_strike,,,,,6,Grant Koch strikes out swinging.,R,R,R,TOR,PIT,S,2,,2,2,2024,1.22,-1.19,0.78,2.37,,642133,,2,5,Top,,,,,,,1.72290509246625,-104.26797929838804,2.8491558551204177,8.436292470386379,20.431306466777663,-41.58777313588567,3.3,1.5,,,,71.1,2383,6.3,744929,643376,457759,643396,665489,666182,676914,662139,543807,54.24,,0.0,0.0,1,0,0,,44,5,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,46,0.027,-0.25,61.1,8.6,,0.25,,-2,2,0.25,0.75,35,27,35,27,3,2,6,4,5,,5.69,-1.22,-1.22,43.1
CU,2024-06-02,70.9,-1.21,5.91,"Bassitt, Chris",667428,605135,,ball,,,,,11,Grant Koch strikes out swinging.,R,R,R,TOR,PIT,B,,,1,2,2024,1.21,-1.24,-1.25,2.92,,642133,,2,5,Top,,,,,,,-2.1217033287517277,-103.05885605138268,3.926811847309408,8.963778344933333,19.85163412202279,-41.90311296473086,3.52,1.8,,,,70.3,2367,6.3,744929,643376,457759,643396,665489,666182,676914,662139,543807,54.22,,,,,,,,44,4,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,43,0.0,0.037,,,,-0.037,,-2,2,0.25,0.75,35,27,35,27,3,2,6,4,5,,5.84,-1.21,-1.21,44.9
SI,2024-06-02,93.0,-1.59,5.3,"Bassitt, Chris",667428,605135,,ball,,,,,12,Grant Koch strikes out swinging.,R,R,R,TOR,PIT,B,,,0,2,2024,-1.25,0.45,1.56,3.01,,642133,,2,5,Top,,,,,,,10.812764295583314,-134.99727650430847,-1.059370380875079,-17.577391318513325,28.764398934889037,-26.699034264290297,3.77,1.8,,,,93.2,2227,6.5,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.98,,,,,,,,44,3,Sinker,1,3,3,1,3,1,3,1,Standard,Standard,221,0.0,0.018,,,,-0.018,,-2,2,0.25,0.75,35,27,35,27,3,2,6,4,5,,2.2,1.25,1.25,32.9
CU,2024-06-02,71.0,-1.07,5.74,"Bassitt, Chris",667428,605135,,swinging_strike,,,,,6,Grant Koch strikes out swinging.,R,R,R,TOR,PIT,S,,,0,1,2024,1.24,-1.15,0.61,2.38,,642133,,2,5,Top,,,,,,,1.2082755363571207,-103.3159594306862,3.0303581772054677,8.586745703265917,19.36320718742296,-41.14603240192999,3.3,1.5,,,,71.1,2332,6.6,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.86,,,,,,,,44,2,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,42,0.0,-0.067,58.9,8.8,,0.067,,-2,2,0.25,0.75,35,27,35,27,3,2,6,4,5,,5.72,-1.24,-1.24,45.8
ST,2024-06-02,73.5,-2.0,5.18,"Bassitt, Chris",667428,605135,,foul,,,,,5,Grant Koch strikes out swinging.,R,R,R,TOR,PIT,S,,,0,0,2024,1.47,0.22,-0.21,2.18,,642133,,2,5,Top,,,,,,,1.0829196631885052,-106.91895324788166,1.0466293591588658,10.838876117171813,22.83607756025314,-31.02523271785163,3.3,1.5,152,56.9,56,73.2,2178,6.6,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.86,,,,,,,,44,1,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,70,0.0,-0.04,61.1,8.4,,0.04,88.0,-2,2,0.25,0.75,35,27,35,27,3,2,6,4,5,,4.09,-1.47,-1.47,27.5
FC,2024-06-02,89.9,-1.44,5.49,"Bassitt, Chris",667428,605135,field_out,hit_into_play,,,,,12,Grant Koch flies out to right fielder George Springer.,R,R,R,TOR,PIT,X,9,fly_ball,2,2,2024,0.03,0.66,0.28,3.95,,,,0,4,Top,200.76,101.35,,,,,4.213802878556949,-130.90495560288295,0.7397462550280295,-0.5194037440552691,26.039252862242495,-24.902288097853567,3.3,1.5,305,89.1,36,90.6,2310,6.5,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.95,0.011,0.012,0.0,1,0,0,3,30,5,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,209,0.027,-0.227,62.9,7.2,0.021,0.227,89.1,0,0,0.5,0.5,35,27,35,27,2,1,6,4,5,,2.14,-0.03,-0.03,32.9
SI,2024-06-02,94.7,-1.38,5.45,"Bassitt, Chris",667428,605135,,ball,,,,,14,Grant Koch flies out to right fielder George Springer.,R,R,R,TOR,PIT,B,,,1,2,2024,-1.18,0.79,1.15,1.53,,,,0,4,Top,,,,,,,9.274748976336529,-137.5499762620843,-6.382133308845962,-16.983059409635622,28.19227360671473,-20.896997376127583,3.77,1.91,,,,95.3,2151,6.6,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.94,,,,,,,,30,4,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,237,0.0,0.04,,,,-0.04,,0,0,0.5,0.5,35,27,35,27,2,1,6,4,5,,1.74,1.18,1.18,30.0
FC,2024-06-02,91.1,-1.42,5.51,"Bassitt, Chris",667428,605135,,ball,,,,,12,Grant Koch flies out to right fielder George Springer.,R,R,R,TOR,PIT,B,,,0,2,2024,-0.04,0.71,0.85,3.11,,,,0,4,Top,,,,,,,5.832709507729417,-132.70161280809845,-1.717030248273641,-1.649607470570575,25.9692057914486,-23.623741948424133,3.77,1.88,,,,92.0,2257,6.6,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.93,,,,,,,,30,3,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,214,0.0,0.023,,,,-0.023,,0,0,0.5,0.5,35,27,35,27,2,1,6,4,5,,2.02,0.04,0.04,38.4
CU,2024-06-02,71.2,-1.16,5.75,"Bassitt, Chris",667428,605135,,swinging_strike,,,,,5,Grant Koch flies out to right fielder George Springer.,R,R,R,TOR,PIT,S,,,0,1,2024,1.37,-0.89,-0.06,2.68,,,,0,4,Top,,,,,,,-0.1453240424420259,-103.5882687616604,3.1095129942370896,9.811696527774258,19.060615581829374,-39.33290406369053,3.3,1.5,,,,71.2,2130,6.5,744929,643376,457759,643396,665489,666182,676914,662139,543807,54.0,,,,,,,,30,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,49,0.0,-0.054,61.4,8.7,,0.054,,0,0,0.5,0.5,35,27,35,27,2,1,6,4,5,,5.42,-1.37,-1.37,43.9
SI,2024-06-02,92.5,-1.55,5.37,"Bassitt, Chris",667428,605135,,foul,,,,,4,Grant Koch flies out to right fielder George Springer.,R,R,R,TOR,PIT,S,,,0,0,2024,-1.37,0.76,-0.44,2.68,,,,0,4,Top,,,,,,,5.872061402743497,-134.6712407051167,-2.7205848290295886,-17.96830024073446,29.08187800143129,-22.577407357333353,3.3,1.5,108,54.9,62,93.1,2018,6.6,744929,643376,457759,643396,665489,666182,676914,662139,543807,53.87,,,,,,,,30,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,220,0.0,-0.037,68.8,7.7,,0.037,88.0,0,0,0.5,0.5,35,27,35,27,2,1,6,4,5,,1.9,1.37,1.37,30.6
