pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2024-04-28,63.7,0.7,7.01,"Bauers, Jake",666211,641343,walk,ball,,,,,13,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,B,,,3,2,2024,-0.04,1.71,-2.09,2.28,,624431,683011,1,9,Top,,,,,,,-4.626604276572493,-92.71699550635778,-2.379800512452653,0.477609840330903,13.930244216416268,-22.185967855789364,3.94,1.85,,,,61.1,1761,3.9,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.55,,0.689131,0.7,1,0,0,,90,8,Other,5,15,15,5,15,5,15,5,Strategic,Standard,157,0.0,0.266,,,,-0.266,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,3.91,-0.04,-0.04,46.5
FA,2024-04-28,63.0,0.58,7.11,"Bauers, Jake",666211,641343,,foul,,,,,3,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,S,,,3,2,2024,-0.03,1.31,0.53,3.63,,624431,683011,1,9,Top,,,,,,,-0.045598241712484,-91.84422766606122,0.3698821734741342,-0.1452610184756001,12.930262710563907,-24.983614733538992,3.61,1.71,,,,60.6,1623,3.9,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.64,,,,,,,,90,7,Other,5,15,15,5,15,5,15,5,Strategic,Standard,162,0.0,0.0,80.2,7.3,,0.0,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,4.39,-0.03,-0.03,52.5
FA,2024-04-28,62.1,0.52,7.05,"Bauers, Jake",666211,641343,,blocked_ball,,,,,13,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,B,,,2,2,2024,0.13,1.2,-1.71,0.34,,624431,683011,1,9,Top,,,,,,,-3.838371276553422,-90.31632636530018,-4.470345885236766,1.2335109825523527,12.89730466218934,-25.17016567074546,3.83,1.77,,,,59.9,1528,4.3,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.25,,,,,,,,90,6,Other,5,15,15,5,15,5,15,5,Strategic,Standard,157,0.0,0.086,,,,-0.086,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,4.71,0.13,0.13,55.5
FA,2024-04-28,73.4,0.4,7.07,"Bauers, Jake",666211,641343,,foul,,,,,11,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,S,,,2,2,2024,0.33,1.62,-1.1,3.67,,624431,683011,1,9,Top,,,,,,,-3.4727000514714748,-106.87670556393064,-2.290394912206654,3.1135944389539203,19.177520041919745,-19.586272111391587,3.61,1.71,148,53.4,49,71.0,1737,4.5,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.0,,,,,,,,90,5,Other,5,15,15,5,15,5,15,5,Strategic,Standard,160,0.0,0.0,61.5,7.4,,0.0,88.0,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,2.62,0.33,0.33,56.9
FA,2024-04-28,59.5,0.63,7.1,"Bauers, Jake",666211,641343,,foul,,,,,12,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,S,,,2,1,2024,0.37,1.97,0.87,3.04,,624431,683011,1,9,Top,,,,,,,-0.1157460585932722,-86.67163344322088,-0.3937655873739639,1.8510095816234184,12.824236115016788,-22.468918420548967,3.61,1.71,99,49.6,61,57.1,1539,4.0,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.5,,,,,,,,90,4,Other,5,15,15,5,15,5,15,5,Strategic,Standard,153,0.0,-0.047,73.9,6.3,,0.047,88.0,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,4.49,0.37,0.37,50.7
FA,2024-04-28,61.1,0.47,7.25,"Bauers, Jake",666211,641343,,ball,,,,,12,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,B,,,1,1,2024,0.34,1.77,0.65,5.02,,624431,683011,1,9,Top,,,,,,,-0.1722719735722822,-88.97386809430306,2.33476205751435,1.8064587423886245,13.145056095291311,-23.36949435747036,3.87,1.82,,,,58.5,1594,3.9,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.63,,,,,,,,90,3,Other,5,15,15,5,15,5,15,5,Strategic,Standard,168,0.0,0.042,,,,-0.042,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,4.34,0.34,0.34,56.7
EP,2024-04-28,51.3,0.66,7.01,"Bauers, Jake",666211,641343,,blocked_ball,,,,,14,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,B,,,0,1,2024,-0.51,-0.21,1.37,1.03,,624431,683011,1,9,Top,,,,,,,1.535193497803697,-74.46889436160144,2.2481284134546176,-2.085892733923289,10.31509209843906,-33.490129488553066,3.88,1.82,,,,48.7,1527,3.8,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.7,,,,,,,,90,2,Eephus,5,15,15,5,15,5,15,5,Strategic,Standard,317,0.0,0.015,,,,-0.015,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,9.02,-0.51,-0.51,49.8
FA,2024-04-28,61.2,0.61,6.94,"Bauers, Jake",666211,641343,,swinging_strike,,,,,12,Taylor Trammell walks.   Jose Trevino to 3rd.    Anthony Volpe to 2nd.,R,L,L,MIL,NYY,S,,,0,0,2024,0.16,1.38,0.83,3.66,,624431,683011,1,9,Top,,,,,,,0.1499667764514633,-89.19892991418692,1.1138080378205992,0.8136863060312474,13.079677285156247,-25.19876677743887,3.61,1.71,,,,58.8,1523,3.9,746001,661388,686554,668930,687401,642715,686217,663368,694192,56.56,,,,,,,,90,1,Other,5,15,15,5,15,5,15,5,Strategic,Standard,157,0.0,-0.039,62.7,5.4,,0.039,,-10,10,0.0,1.0,28,26,29,27,1,0,,1,42,,4.7,0.16,0.16,49.0
FA,2024-04-27,58.9,-1.97,6.65,"Miller, Owen",666211,680911,single,hit_into_play,,,,,1,Taylor Trammell singles on a sharp ground ball to center fielder Blake Perkins. Anthony Volpe to 2nd.,R,L,R,MIL,NYY,X,8,ground_ball,0,1,2024,-0.49,1.4,-0.71,3.03,,,683011,0,9,Top,159.39,99.02,,,,,2.646486381727542,-85.74560697990019,1.2154685626934674,-2.8116381241801975,12.174181722456291,-25.670172529360883,3.61,1.71,21,104.1,-7,57.0,1472,4.5,745998,596142,641343,686554,686217,687401,686894,663368,694192,56.02,0.331,0.32,0.9,1,1,0,2,76,2,Other,1,11,11,1,11,1,11,1,Strategic,Standard,211,0.0,0.492,74.9,7.0,0.354,-0.492,104.1,-10,10,0.0,1.0,27,26,28,27,1,0,,12,,1,5.18,0.49,-0.49,46.6
FA,2024-04-27,57.0,-1.97,6.71,"Miller, Owen",666211,680911,,called_strike,,,,,5,Taylor Trammell singles on a sharp ground ball to center fielder Blake Perkins. Anthony Volpe to 2nd.,R,L,R,MIL,NYY,S,,,0,0,2024,-0.7,1.5,-0.1,3.13,,,683011,0,9,Top,,,,,,,3.726769982399998,-82.88201280192132,1.6931970060497692,-3.7101681899046626,11.22916100759392,-25.709198968259237,3.92,1.86,,,,55.1,1509,4.4,745998,596142,641343,686554,686217,687401,686894,663368,694192,56.1,,,,,,,,76,1,Other,1,11,11,1,11,1,11,1,Strategic,Standard,210,0.0,-0.042,,,,0.042,,-10,10,0.0,1.0,27,26,28,27,1,0,,12,,1,5.53,0.7,-0.7,47.6
