pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-03-24,94.3,-1.44,5.7,"Bender, Anthony",703159,669622,field_out,hit_into_play,,,,,11,"Simon Juan grounds out, shortstop Cody Morissette to first baseman Zach Zubia.",S,R,R,MIA,NYM,X,6,ground_ball,1,1,2024,-1.17,0.18,-0.72,3.83,,,,0,9,Top,106.9,160.85,,,,,4.442905945247469,-137.2662804617023,0.4532748863725927,-15.809182884563326,32.166916533327225,-30.27595999623513,3.17,1.6,29,87.5,-5,93.4,2168,5.8,747827,809327,687036,815842,694351,681357,669327,672537,660644,54.66,0.183,,0.0,,0,0,2,67,3,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,235,0.008,-0.243,,,0.205,0.243,88.0,4,-4,0.987,0.013,29,18,29,19,1,0,,,,,2.4,1.17,1.17,
ST,2024-03-24,84.6,-1.6,5.58,"Bender, Anthony",703159,669622,,swinging_strike,,,,,6,"Simon Juan grounds out, shortstop Cody Morissette to first baseman Zach Zubia.",S,R,R,MIA,NYM,S,,,1,0,2024,1.24,0.11,0.48,2.55,,,,0,9,Top,,,,,,,2.352582074107892,-123.17590554285478,-0.9310262628855,12.12449483701675,25.402297440985755,-31.06235570032246,3.17,1.6,,,,83.7,2629,5.8,747827,809327,687036,815842,694351,681357,669327,672537,660644,54.74,,,,,,,,67,2,Sweeper,5,1,1,5,1,5,1,5,Standard,Standard,66,0.0,-0.049,,,,0.049,,4,-4,0.987,0.013,29,18,29,19,1,0,,,,,3.08,-1.24,-1.24,
SI,2024-03-24,94.0,-1.48,5.58,"Bender, Anthony",703159,669622,,ball,,,,,14,"Simon Juan grounds out, shortstop Cody Morissette to first baseman Zach Zubia.",S,R,R,MIA,NYM,B,,,0,0,2024,-1.0,-0.15,1.31,1.87,,,,0,9,Top,,,,,,,9.373871270333034,-136.56475050146736,-3.499967653241841,-14.675546783746691,32.10510184878083,-33.41092354506588,3.63,1.74,,,,93.0,2137,5.9,747827,809327,687036,815842,694351,681357,669327,672537,660644,54.59,,,,,,,,67,1,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,238,0.0,0.038,,,,-0.038,,4,-4,0.987,0.013,29,18,29,19,1,0,,,,,2.75,1.0,1.0,
FF,2024-03-23,94.4,-1.22,6.25,"Washington, Mark",703159,675976,strikeout,swinging_strike,,,,,3,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,2,,2,2,2024,-0.2,1.18,0.55,2.89,,,,1,9,Bot,,,,,,,5.089541866440609,-137.40299999082455,-5.751248652155104,-3.6831100069621097,29.4418084730077,-16.118318759087913,3.17,1.6,,,,95.1,2038,6.6,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.89,,,0.0,,0,0,,86,6,4-Seam Fastball,5,13,5,13,13,5,5,13,Standard,Standard,212,0.0,-0.225,,,,0.225,,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,1.37,0.2,0.2,
SI,2024-03-23,93.7,-1.27,6.29,"Washington, Mark",703159,675976,,foul,,,,,4,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,,,2,2,2024,-0.84,0.96,-0.68,2.42,,,,1,9,Bot,,,,,,,3.3975771190094717,-136.4225780305157,-6.454754569467401,-11.250691646968072,29.24720457489433,-18.960725538967797,3.17,1.6,255,76.1,28,94.5,1836,6.7,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.81,,,,,,,,86,5,Sinker,5,13,5,13,13,5,5,13,Infield shade,Standard,204,0.0,0.0,,,,0.0,88.0,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,1.63,0.84,0.84,
ST,2024-03-23,82.7,-1.5,6.18,"Washington, Mark",703159,675976,,ball,,,,,14,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,B,,,1,2,2024,0.8,0.27,0.67,-0.27,,,,1,9,Bot,,,,,,,3.403652263771783,-120.17809408946,-8.791476967093018,7.150308120907067,22.007663118371735,-28.14583065238279,3.17,1.6,,,,83.3,2410,6.6,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.86,,,,,,,,86,4,Sweeper,5,13,5,13,13,5,5,13,Infield shade,Standard,65,0.0,0.043,,,,-0.043,,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,3.06,-0.8,-0.8,
SI,2024-03-23,94.4,-1.34,6.26,"Washington, Mark",703159,675976,,called_strike,,,,,8,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,,,1,1,2024,-1.11,0.81,0.12,1.99,,,,1,9,Bot,,,,,,,6.311327157941824,-137.2180724062037,-7.30950924561536,-15.413666407541152,28.586551310578542,-20.50584692747184,3.17,1.6,,,,95.1,2044,6.6,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.86,,,,,,,,86,3,Sinker,5,13,5,13,13,5,5,13,Infield shade,Standard,214,0.0,-0.061,,,,0.061,,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,1.74,1.11,1.11,
FF,2024-03-23,93.6,-1.23,6.38,"Washington, Mark",703159,675976,,ball,,,,,12,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,B,,,0,1,2024,-0.26,0.93,1.02,3.23,,,,1,9,Bot,,,,,,,6.401723144808389,-136.2409196512029,-4.50487732582023,-4.516564784148136,27.425636285679268,-19.76716107970854,3.17,1.6,,,,94.4,2057,6.6,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.92,,,,,,,,86,2,4-Seam Fastball,5,13,5,13,13,5,5,13,Infield shade,Standard,207,0.0,0.024,,,,-0.024,,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,1.65,0.26,0.26,
CU,2024-03-23,79.6,-1.39,6.26,"Washington, Mark",703159,675976,,swinging_strike,,,,,14,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,,,0,0,2024,1.74,-0.27,0.94,2.21,,,,1,9,Bot,,,,,,,1.855639058416952,-115.8881432354473,-1.5857660271738094,15.190009838868994,23.345932105992052,-34.49801190224149,3.17,1.6,,,,79.6,2452,6.5,747844,667690,685084,690474,694376,665846,689200,694388,694175,54.04,,,,,,,,86,1,Curveball,5,13,5,13,13,5,5,13,Infield shade,Standard,66,0.0,-0.037,,,,0.037,,-8,-8,0.0,0.0,28,18,28,19,1,2,,,,,3.89,-1.74,-1.74,
FF,2024-03-23,93.5,-2.22,5.5,"Contreras, Luis",703159,664351,strikeout,swinging_strike,,,,,11,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,2,,0,2,2024,-0.07,1.67,-0.71,4.85,,,,0,7,Bot,,,,,,,4.089401963607786,-136.0799543469241,0.4637241908202358,-1.8450760850651275,33.83232230160514,-12.006493059025107,3.17,1.6,,,,94.0,2641,6.9,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.6,,,0.0,,0,0,,68,3,4-Seam Fastball,5,10,5,10,10,5,5,10,Infield shade,Standard,198,-0.009,-0.163,,,,0.163,,-5,-5,0.033,0.033,28,18,28,19,1,1,,,,,0.97,0.07,0.07,
SL,2024-03-23,85.5,-2.47,5.48,"Contreras, Luis",703159,664351,,swinging_strike,,,,,6,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,,,0,1,2024,0.66,0.34,0.62,2.18,,,,0,7,Bot,,,,,,,6.032401089199317,-124.3505321559348,-2.137915234972448,5.535590104313184,26.37091015872692,-28.471842434915615,3.17,1.6,,,,86.3,2456,6.9,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.57,,,,,,,,68,2,Slider,5,10,5,10,10,5,5,10,Infield shade,Standard,135,0.0,-0.054,,,,0.054,,-5,-5,0.033,0.033,28,18,28,19,1,1,,,,,2.8,-0.66,-0.66,
FF,2024-03-23,94.0,-2.36,5.43,"Contreras, Luis",703159,664351,,called_strike,,,,,9,Simon Juan strikes out swinging.,S,R,R,NYM,HOU,S,,,0,0,2024,-0.33,1.6,0.62,1.94,,,,0,7,Bot,,,,,,,8.56875868232179,-136.45745401874842,-6.937361200659946,-6.06382828563751,30.616720920976228,-10.818029110141495,3.17,1.6,,,,95.1,2679,7.1,747844,667690,685084,690474,694376,665846,689200,694388,694175,53.41,,,,,,,,68,1,4-Seam Fastball,5,10,5,10,10,5,5,10,Infield shade,Standard,200,0.0,-0.037,,,,0.037,,-5,-5,0.033,0.033,28,18,28,19,1,1,,,,,1.0,0.33,0.33,
SL,2024-03-23,86.3,-2.51,5.55,"Abreu, Bryan",703159,650556,single,hit_into_play,,,,,1,Simon Juan singles on a line drive to right fielder Joey Loperfido.,S,R,R,NYM,HOU,X,9,line_drive,2,1,2024,0.46,-0.16,-0.4,2.68,,,,0,6,Bot,174.67,118.59,,,,,4.113730933581739,-125.777565968549,-0.305330352293289,4.12474641122685,24.45082434707262,-34.072338492805166,3.17,1.6,162,93.3,9,87.0,2584,6.5,747844,673237,685084,690474,694376,665846,689200,676801,694388,53.97,0.626,,0.9,,1,0,4,56,4,Slider,1,10,1,10,10,1,1,10,Infield shade,Standard,74,0.003,0.407,,,0.695,-0.407,93.3,-9,-9,0.004,0.004,27,18,27,19,1,0,,,,,3.2,-0.46,-0.46,
SL,2024-03-23,86.2,-2.15,5.6,"Abreu, Bryan",703159,650556,,ball,,,,,14,Simon Juan singles on a line drive to right fielder Joey Loperfido.,S,R,R,NYM,HOU,B,,,1,1,2024,0.66,-0.38,2.55,0.35,,,,0,6,Bot,,,,,,,9.833663809992103,-125.14206034726934,-5.434565007010997,4.890766540884249,25.49365861912589,-35.26290967499364,3.17,1.6,,,,86.2,2733,6.4,747844,673237,685084,690474,694376,665846,689200,676801,694388,54.07,,,,,,,,56,3,Slider,1,10,1,10,10,1,1,10,Infield shade,Standard,48,0.0,0.053,,,,-0.053,,-9,-9,0.004,0.004,27,18,27,19,1,0,,,,,3.47,-0.66,-0.66,
