pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-09-29,77.6,-1.23,6.58,"Birdsong, Hayden",572761,806185,single,hit_into_play,,,,,4,Matt Carpenter singles on a fly ball to left fielder Jerar Encarnacion.,R,L,R,SF,STL,X,7,fly_ball,0,1,2024,0.5,-1.15,-0.58,2.49,,,,0,2,Top,93.3,116.5,,,,,0.4800891359893992,-113.07343539164115,0.2582559869946534,4.233776784419595,20.718345089381906,-42.2967979456801,3.7,1.8,201,67.4,30,77.9,2846,6.4,745282,592200,664774,689172,656305,666149,666464,687529,573262,54.08,0.931,0.856,0.9,1,1,0,4,8,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,44,-0.038,0.485,63.0,7.6,0.978,-0.485,88.0,0,0,0.5,0.5,22,38,23,39,1,0,6,1,,,4.93,-0.5,0.5,46.8
SL,2024-09-29,83.7,-1.51,6.37,"Birdsong, Hayden",572761,806185,,called_strike,,,,,2,Matt Carpenter singles on a fly ball to left fielder Jerar Encarnacion.,R,L,R,SF,STL,S,,,0,0,2024,0.09,0.33,-0.19,3.21,,,,0,2,Top,,,,,,,2.8650994022697183,-121.8439776151284,-1.4507316726905282,0.2693061967057368,27.796640767008427,-28.8490582056624,3.6,1.79,,,,83.4,2429,6.4,745282,592200,664774,689172,656305,666149,666464,687529,573262,54.06,,,,,,,,8,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,73,0.0,-0.037,,,,0.037,,0,0,0.5,0.5,22,38,23,39,1,0,6,1,,,2.97,-0.09,0.09,39.6
SI,2024-09-28,95.5,-1.33,6.35,"Bivens, Spencer",572761,702352,strikeout,called_strike,,,,,9,Matt Carpenter called out on strikes.,R,L,R,SF,STL,S,2,,3,2,2024,-1.14,0.2,0.79,2.28,,,695336,1,9,Top,,,,,,,8.151678400356262,-138.8236490931473,-5.567690811284268,-16.562260199143054,28.84036539299427,-28.595102990299285,3.63,1.79,,,,95.7,1936,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.22,,0.0,0.0,1,0,0,,81,7,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,222,0.091,-0.306,,,,0.306,,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.29,1.14,-1.14,40.7
SI,2024-09-28,94.9,-1.57,6.19,"Bivens, Spencer",572761,702352,,foul,,,,,5,Matt Carpenter called out on strikes.,R,L,R,SF,STL,S,,,3,2,2024,-1.27,0.26,0.23,2.48,,,695336,1,9,Top,,,,,,,7.560841865023358,-137.89944940295305,-4.603054374493973,-17.874019984267637,31.35263623450643,-27.992216032532387,3.7,1.8,3,94.1,-34,94.9,1973,6.4,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.07,,,,,,,,81,6,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,221,0.0,0.0,68.6,8.2,,0.0,94.1,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.28,1.27,-1.27,34.6
CH,2024-09-28,89.3,-1.64,6.11,"Bivens, Spencer",572761,702352,,blocked_ball,,,,,13,Matt Carpenter called out on strikes.,R,L,R,SF,STL,B,,,2,2,2024,-0.89,0.32,-0.2,1.2,,,695336,1,9,Top,,,,,,,5.429301556091166,-129.84047269759571,-6.741939095110156,-11.206229713698306,28.32162122667774,-27.287895192902887,3.6,1.79,,,,89.4,1631,6.5,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.02,,,,,,,,81,5,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,235,0.0,0.077,,,,-0.077,,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.55,0.89,-0.89,33.8
SI,2024-09-28,94.8,-1.65,6.15,"Bivens, Spencer",572761,702352,,foul,,,,,13,Matt Carpenter called out on strikes.,R,L,R,SF,STL,S,,,2,1,2024,-1.36,0.11,-0.94,1.49,,,695336,1,9,Top,,,,,,,4.887642497481828,-137.91335204514047,-6.736116045560102,-18.488072191134993,31.443711354489913,-29.393980912764334,3.7,1.8,1,66.9,-53,94.8,1984,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.15,,,,,,,,81,4,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,224,0.0,-0.057,81.5,8.2,,0.057,88.0,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.43,1.36,-1.36,37.0
SI,2024-09-28,95.9,-1.55,6.22,"Bivens, Spencer",572761,702352,,called_strike,,,,,9,Matt Carpenter called out on strikes.,R,L,R,SF,STL,S,,,2,0,2024,-1.08,0.33,0.48,2.39,,,695336,1,9,Top,,,,,,,7.817188527534864,-139.5211082670546,-5.3233029096754,-15.747959294701774,27.667555709238112,-26.88736416575968,3.74,1.82,,,,96.4,1953,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.2,,,,,,,,81,3,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,235,0.0,-0.057,,,,0.057,,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.12,1.08,-1.08,34.5
FC,2024-09-28,90.6,-1.57,6.27,"Bivens, Spencer",572761,702352,,ball,,,,,14,Matt Carpenter called out on strikes.,R,L,R,SF,STL,B,,,1,0,2024,0.33,0.73,0.61,1.48,,,695336,1,9,Top,,,,,,,4.742352948619124,-131.79183754631072,-7.657862652070698,3.0366878265877935,24.164679494308768,-22.38669036186765,3.69,1.84,,,,91.1,2091,6.3,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.22,,,,,,,,81,2,Cutter,6,5,5,6,5,6,5,6,Standard,Standard,198,0.0,0.056,,,,-0.056,,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.02,-0.33,0.33,41.4
SI,2024-09-28,94.4,-1.46,6.32,"Bivens, Spencer",572761,702352,,ball,,,,,11,Matt Carpenter called out on strikes.,R,L,R,SF,STL,B,,,0,0,2024,-0.94,0.41,-1.08,3.07,,,695336,1,9,Top,,,,,,,3.055700093741898,-137.60187214286162,-3.76773191575879,-12.62373373550732,27.23228836556741,-26.35600708051881,3.71,1.87,,,,94.9,1887,6.2,745281,672275,664774,689172,656305,666149,671218,687529,573262,54.27,,,,,,,,81,1,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,231,0.0,0.036,,,,-0.036,,1,-1,0.831,0.169,30,38,30,39,1,0,3,1,,1,2.12,0.94,-0.94,35.9
FF,2024-09-27,94.5,-1.95,5.3,"Warren, Austin",572761,681810,strikeout,called_strike,,,,,3,Matt Carpenter called out on strikes.,R,L,R,SF,STL,S,2,,0,2,2024,-0.75,1.23,0.73,3.31,,,671056,2,9,Top,,,,,,,8.583253472416724,-137.38053353801712,-2.225309438460851,-11.451580362401415,30.572854384120618,-16.318828922733775,3.65,1.82,,,,93.9,2264,6.0,745280,672275,664774,669477,656305,666149,671218,573262,666464,54.51,,0.0,0.0,1,0,0,,78,4,4-Seam Fastball,3,6,6,3,6,3,6,3,Standard,Standard,230,0.003,-0.169,,,,0.169,,-3,3,0.035,0.965,28,38,28,39,1,4,3,3,,1,1.33,0.75,-0.75,32.0
