pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-29,99.8,-1.33,6.05,"Boyle, Joe",660844,671212,field_out,hit_into_play,,,,,6,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,X,8,fly_ball,3,1,2024,-0.57,1.36,0.55,2.26,593871,,645302,2,6,Bot,143.48,84.4,,,,,6.534234380056233,-145.01942354806997,-8.244947014626936,-9.68222699703662,35.8907957667228,-11.261934634276384,3.31,1.5,290,85.7,40,100.0,2591,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.88,0.011,0.019,0.0,1,0,0,3,48,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,-0.002,-0.406,68.8,7.4,0.031,0.406,88.0,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.95,0.57,-0.57,44.3
FF,2024-09-29,99.8,-1.27,6.05,"Boyle, Joe",660844,671212,,ball,,,,,11,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,2,1,2024,-0.5,1.38,-1.5,3.32,593871,,645302,2,6,Bot,,,,,,,0.5525073041042527,-145.2817439325536,-5.401720332414453,-7.217522644925194,35.39639725651204,-11.525545576126325,3.36,1.56,,,,100.0,2477,6.5,745201,668832,691016,680869,663527,669397,663662,668709,664913,54.01,,,,,,,,48,4,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,0.0,0.098,,,,-0.098,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.91,0.5,-0.5,44.8
FF,2024-09-29,100.2,-1.46,6.04,"Boyle, Joe",660844,671212,,ball,,,,,11,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,1,1,2024,-0.49,1.45,-1.45,3.18,593871,,645302,2,6,Bot,,,,,,,1.192656728707512,-145.89173105545856,-6.0028196143165315,-7.301664390354191,35.06613436433305,-10.235730687930674,3.41,1.62,,,,100.6,2539,6.5,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.98,,,,,,,,48,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,213,0.0,0.024,,,,-0.024,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.82,0.49,-0.49,46.7
FF,2024-09-29,100.0,-1.28,6.06,"Boyle, Joe",660844,671212,,called_strike,,,,,4,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,S,,,1,0,2024,-0.46,1.58,-0.5,2.74,593871,,645302,2,6,Bot,,,,,,,3.2393610440234974,-145.41890149674498,-7.491764897308539,-7.342001689527999,36.249944837421374,-8.274487039493549,3.4,1.57,,,,100.2,2532,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.93,,,,,,,,48,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,213,0.0,-0.045,,,,0.045,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.72,0.46,-0.46,40.3
FF,2024-09-29,99.6,-1.16,5.9,"Boyle, Joe",660844,671212,,ball,,,,,13,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,0,0,2024,-0.81,1.3,-0.23,1.32,593871,,645302,2,6,Bot,,,,,,,4.514239240846324,-144.69731111364234,-10.255705838479065,-12.420852186036866,34.978133140344084,-11.7051108252145,3.33,1.6,,,,100.1,2562,6.8,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.74,,,,,,,,48,1,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,0.0,0.03,,,,-0.03,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,1.01,0.81,-0.81,42.9
CU,2024-09-27,71.8,2.35,5.9,"Harris, Hogan",660844,663687,field_out,hit_into_play,,,,,5,"Leo Rivas grounds out, third baseman Darell Hernaiz to first baseman Tyler Soderstrom.",R,R,L,SEA,OAK,X,5,ground_ball,0,1,2024,-0.9,-1.34,0.26,2.24,,,,1,7,Bot,105.38,169.27,,,,,-2.621558674016222,-104.38015083410426,2.681018826893559,-5.952672937597353,20.75857342591105,-42.646120020463115,3.3,1.51,3,84.4,-35,71.7,2592,6.7,745202,668832,691016,680869,687231,805779,663662,668709,671732,53.84,0.063,0.066,0.0,1,0,0,2,54,2,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,333,-0.007,-0.219,67.1,7.3,0.068,0.219,88.0,2,2,0.883,0.883,27,26,28,27,1,2,2,6,,2,5.84,-0.9,0.9,52.3
FF,2024-09-27,91.5,2.3,5.82,"Harris, Hogan",660844,663687,,called_strike,,,,,2,"Leo Rivas grounds out, third baseman Darell Hernaiz to first baseman Tyler Soderstrom.",R,R,L,SEA,OAK,S,,,0,0,2024,0.83,1.52,-0.27,3.17,,,,1,7,Bot,,,,,,,-8.33305804889733,-132.93364782363756,-4.104790958612965,11.658058197517628,28.38628474408648,-13.44349507349911,3.3,1.47,,,,92.1,2199,6.7,745202,668832,691016,680869,687231,805779,663662,668709,671732,53.78,,,,,,,,54,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,145,0.0,-0.037,,,,0.037,,2,2,0.883,0.883,27,26,28,27,1,2,2,6,,2,1.21,0.83,-0.83,50.3
FF,2024-09-27,91.7,1.09,4.87,"Sears, JP",660844,676664,walk,ball,,,,,12,Leo Rivas walks. Luis Urías to 2nd.,R,R,L,SEA,OAK,B,,,3,1,2024,1.06,1.34,0.71,4.02,,,649966,0,5,Bot,,,,,,,-3.2797680260915243,-133.557822904809,0.7954794720350971,13.425802750796525,27.153163050404697,-16.485324768249548,3.33,1.48,,,,92.4,2008,6.5,745202,668832,691016,680869,687231,805779,664913,668709,671732,53.99,,0.689131,0.7,1,0,0,,37,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,131,0.03,0.252,,,,-0.252,,2,2,0.841,0.841,28,26,28,27,2,1,6,6,,2,1.36,1.06,-1.06,26.6
SI,2024-09-27,89.9,1.17,4.68,"Sears, JP",660844,676664,,ball,,,,,13,Leo Rivas walks. Luis Urías to 2nd.,R,R,L,SEA,OAK,B,,,2,1,2024,1.35,0.71,-0.19,1.09,,,649966,0,5,Bot,,,,,,,-6.254770998732433,-130.8181616588399,-4.4785118631613905,16.82877644200898,25.16161858435991,-23.27555118594765,3.33,1.52,,,,90.4,1879,6.4,745202,668832,691016,680869,687231,805779,664913,668709,671732,54.11,,,,,,,,37,4,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,122,0.0,0.109,,,,-0.109,,2,2,0.841,0.841,28,26,28,27,2,1,6,6,,2,2.09,1.35,-1.35,26.8
FF,2024-09-27,91.9,0.99,4.93,"Sears, JP",660844,676664,,ball,,,,,12,Leo Rivas walks. Luis Urías to 2nd.,R,R,L,SEA,OAK,B,,,1,1,2024,1.0,1.15,1.29,3.48,,,649966,0,5,Bot,,,,,,,-1.401531693646566,-133.9658748055639,-0.3930996399030432,12.395316465171105,25.77869526169928,-18.30721639291082,3.44,1.55,,,,92.6,1861,6.3,745202,668832,691016,680869,687231,805779,664913,668709,671732,54.16,,,,,,,,37,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,128,0.0,0.043,,,,-0.043,,2,2,0.841,0.841,28,26,28,27,2,1,6,6,,2,1.51,1.0,-1.0,28.3
