pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-03-17,81.7,2.15,5.92,"Emanuel, Kent",570560,592288,field_out,hit_into_play,,,,,12,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,X,8,fly_ball,3,2,2024,1.23,0.62,1.02,2.8,,,,0,8,Bot,107.36,73.67,,,,,-4.84366008866668,-118.88275851949774,-1.612016186759373,12.567174396321947,23.81190433393468,-26.245499851905315,2.99,1.51,314,84.7,33,80.6,1758,5.6,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.87,0.017,,0.0,,0,0,3,66,8,Changeup,6,6,6,6,6,6,6,6,Standard,Standard,116,-0.046,-0.333,,,0.031,0.333,88.0,0,0,0.605,0.605,32,32,32,32,1,0,,,,,2.81,1.23,-1.23,
CH,2024-03-17,80.4,2.33,5.89,"Emanuel, Kent",570560,592288,,foul,,,,,1,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,S,,,3,2,2024,1.41,0.29,-0.41,2.94,,,,0,8,Bot,,,,,,,-8.61238456303005,-116.71652089807478,-0.335021713907162,14.552287169308286,23.641781516642222,-29.71482225255815,2.99,1.51,6,63.7,-29,79.2,1782,5.7,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.78,,,,,,,,66,7,Changeup,6,6,6,6,6,6,6,6,Standard,Standard,109,0.0,0.0,,,,0.0,88.0,0,0,0.605,0.605,32,32,32,32,1,0,,,,,3.28,1.41,-1.41,
SI,2024-03-17,87.0,2.4,5.8,"Emanuel, Kent",570560,592288,,ball,,,,,13,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,B,,,2,2,2024,1.27,-0.04,-1.02,2.03,,,,0,8,Bot,,,,,,,-10.691578661535113,-126.28831769511848,-2.7459850641789347,15.800653975125837,25.862042434039935,-32.255903467722085,2.99,1.51,,,,86.1,1898,5.9,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.64,,,,,,,,66,6,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,115,0.0,0.107,,,,-0.107,,0,0,0.605,0.605,32,32,32,32,1,0,,,,,3.07,1.27,-1.27,
SI,2024-03-17,89.1,2.16,5.85,"Emanuel, Kent",570560,592288,,ball,,,,,11,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,B,,,1,2,2024,1.24,0.25,-0.22,3.84,,,,0,8,Bot,,,,,,,-8.338648235726628,-129.59522667277722,0.5088045634869687,15.637861815113837,25.20075336363185,-29.620403553486685,2.99,1.51,,,,88.4,2007,5.7,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.78,,,,,,,,66,5,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,37,0.0,0.04,,,,-0.04,,0,0,0.605,0.605,32,32,32,32,1,0,,,,,2.6,1.24,-1.24,
ST,2024-03-17,74.7,2.56,5.64,"Emanuel, Kent",570560,592288,,foul,,,,,6,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,S,,,1,2,2024,-1.33,0.0,0.64,2.49,,,,0,8,Bot,,,,,,,-1.5849486876090615,-108.80678467380574,0.7134279728518864,-10.228927969772226,20.291227155783833,-32.56114952110765,2.99,1.51,3,77.3,-41,73.4,2282,5.4,747922,677943,687942,691594,691268,695461,689355,677341,808516,55.07,,,,,,,,66,4,Sweeper,6,6,6,6,6,6,6,6,Standard,Standard,304,0.0,0.0,,,,0.0,88.0,0,0,0.605,0.605,32,32,32,32,1,0,,,,,4.1,-1.33,1.33,
CH,2024-03-17,80.6,2.58,5.69,"Emanuel, Kent",570560,592288,,ball,,,,,14,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,B,,,0,2,2024,1.27,0.13,2.05,1.81,,,,0,8,Bot,,,,,,,-3.5171036810834497,-117.21862697236271,-2.115448389364196,12.32270392362157,24.938955114112147,-30.73496977330228,2.99,1.51,,,,78.9,1626,5.4,747922,677943,687942,691594,691268,695461,689355,677341,808516,55.09,,,,,,,,66,3,Changeup,6,6,6,6,6,6,6,6,Standard,Standard,112,0.0,0.023,,,,-0.023,,0,0,0.605,0.605,32,32,32,32,1,0,,,,,3.41,1.27,-1.27,
SI,2024-03-17,88.6,2.23,5.74,"Emanuel, Kent",570560,592288,,called_strike,,,,,1,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,S,,,0,1,2024,1.19,-0.15,-0.37,2.89,,,,0,8,Bot,,,,,,,-8.724222955586738,-128.7440071028013,-0.5227092652556278,15.14299616588886,28.40326887755236,-33.9192200066521,2.99,1.51,,,,87.2,2016,5.6,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.86,,,,,,,,66,2,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,121,0.0,-0.054,,,,0.054,,0,0,0.605,0.605,32,32,32,32,1,0,,,,,3.07,1.19,-1.19,
SI,2024-03-17,88.2,2.23,5.82,"Emanuel, Kent",570560,592288,,foul,,,,,6,Yolmer Sánchez flies out to center fielder Osiris Johnson.,S,R,L,NYM,MIA,S,,,0,0,2024,1.27,0.21,0.31,2.29,,,,0,8,Bot,,,,,,,-7.215117137598521,-128.1953589119433,-2.8667401598744267,15.52279039163358,28.722148380196064,-29.452768602988964,3.3,1.67,1,56.8,-60,86.9,1963,5.7,747922,677943,687942,691594,691268,695461,689355,677341,808516,54.79,,,,,,,,66,1,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,118,0.0,-0.037,,,,0.037,88.0,0,0,0.605,0.605,32,32,32,32,1,0,,,,,2.75,1.27,-1.27,
,2024-03-16,,,,"Gusto, Ryan",570560,687473,strikeout,foul_tip,,,,,,Yolmer Sánchez strikes out on a foul tip.,S,L,R,HOU,NYM,S,2,,0,2,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747945,667690,685084,805168,700358,677060,663550,671113,801176,,,,0.0,,0,0,,64,3,,1,5,5,1,5,1,5,1,,,,0.003,-0.163,,,,0.163,,-4,4,0.032,0.968,25,32,25,32,1,3,,,,,,,,
,2024-03-16,,,,"Gusto, Ryan",570560,687473,,swinging_strike,,,,,,Yolmer Sánchez strikes out on a foul tip.,S,L,R,HOU,NYM,S,,,0,1,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747945,667690,685084,805168,700358,677060,663550,671113,801176,,,,,,,,,64,2,,1,5,5,1,5,1,5,1,,,,0.0,-0.054,,,,0.054,,-4,4,0.032,0.968,25,32,25,32,1,3,,,,,,,,
