pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-18,88.4,-2.24,5.78,"Francis, Bowden",673962,670102,field_out,hit_into_play,,,,,11,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,X,7,line_drive,3,2,2024,-0.6,1.42,-0.88,3.45,,,,1,6,Bot,53.27,99.76,,,,,4.59261219178373,-128.73206443886264,-2.6035379966810113,-7.56849451843312,25.66339483461824,-15.988666396292151,3.75,1.77,303,90.0,22,89.4,2189,6.8,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.69,0.203,0.217,0.0,1,0,0,3,45,7,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,212,-0.009,-0.332,70.9,6.6,0.328,0.332,90.0,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,1.48,0.6,0.6,36.8
SL,2024-09-18,80.2,-2.05,5.92,"Francis, Bowden",673962,670102,,foul,,,,,9,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,S,,,3,2,2024,0.61,-0.22,0.42,1.76,,,,1,6,Bot,,,,,,,4.331287141243144,-116.71664767645646,-2.0927542057388497,4.778864806339158,22.130773850326147,-33.96162975544271,3.75,1.77,238,82.7,49,80.8,2533,6.7,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.81,,,,,,,,45,6,Slider,2,0,2,0,0,2,2,0,Infield shade,Standard,90,0.0,0.0,76.3,7.3,,0.0,88.0,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,3.76,-0.61,-0.61,38.1
FF,2024-09-18,88.4,-2.22,5.74,"Francis, Bowden",673962,670102,,foul,,,,,3,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,S,,,3,1,2024,-0.53,1.61,0.41,3.73,,,,1,6,Bot,,,,,,,7.632876498484477,-128.54277592778024,-2.171911840064663,-7.466700959270719,27.27422578219804,-14.086226672602065,3.75,1.77,207,77.7,63,89.7,2190,7.2,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.33,,,,,,,,45,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,214,0.0,-0.092,76.6,6.9,,0.092,88.0,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,1.32,0.53,0.53,35.2
FF,2024-09-18,91.0,-2.23,5.69,"Francis, Bowden",673962,670102,,ball,,,,,14,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,B,,,2,1,2024,-0.61,1.54,0.92,1.04,,,,1,6,Bot,,,,,,,9.298311694203871,-131.9478596156046,-9.110652136676473,-9.056364120674049,27.871296416613983,-12.40426296651792,3.78,1.83,,,,91.9,2433,7.0,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.48,,,,,,,,45,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,220,0.0,0.122,,,,-0.122,,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,1.23,0.61,0.61,34.4
CU,2024-09-18,71.5,-2.12,5.88,"Francis, Bowden",673962,670102,,called_strike,,,,,6,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,S,,,2,0,2024,1.41,-0.74,0.49,2.94,,,,1,6,Bot,,,,,,,2.766464312401087,-103.85519257498112,3.165410691237157,9.476529788750584,20.74514917366101,-38.33570819325354,3.75,1.74,,,,71.2,2421,6.6,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.9,,,,,,,,45,3,Curveball,2,0,2,0,0,2,2,0,Infield shade,Standard,47,0.0,-0.065,,,,0.065,,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,5.29,-1.41,-1.41,41.1
FF,2024-09-18,90.4,-2.12,5.75,"Francis, Bowden",673962,670102,,ball,,,,,14,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,B,,,1,0,2024,-0.57,1.58,0.72,0.86,,,,1,6,Bot,,,,,,,8.359098238284401,-131.14872821621483,-9.643067125900464,-8.41353681652302,28.22654345531641,-12.023618408210092,3.87,1.79,,,,91.1,2417,6.9,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.58,,,,,,,,45,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,212,0.0,0.072,,,,-0.072,,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,1.23,0.57,0.57,35.2
FF,2024-09-18,90.5,-2.06,5.81,"Francis, Bowden",673962,670102,,ball,,,,,14,Josh Jung lines out to left fielder Davis Schneider.,R,R,R,TEX,TOR,B,,,0,0,2024,-0.58,1.6,1.05,1.86,,,,1,6,Bot,,,,,,,9.068362786584258,-131.32117770643248,-7.324421162466342,-8.66045674094599,29.175720783573706,-12.28829417786302,3.78,1.83,,,,90.9,2468,6.8,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.71,,,,,,,,45,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,210,0.0,0.039,,,,-0.039,,2,2,0.84,0.84,28,26,28,26,3,2,7,1,6,,1.21,0.58,0.58,36.0
FF,2024-09-18,91.1,-2.06,5.87,"Francis, Bowden",673962,670102,strikeout,swinging_strike,,,,,4,Josh Jung strikes out swinging.,R,R,R,TEX,TOR,S,2,,0,2,2024,-0.16,1.56,-0.43,2.98,,,,0,4,Bot,,,,,,,4.496140249319414,-132.49866474265357,-4.744493059939296,-2.9283135203328388,29.34048001377782,-12.94627923536715,3.75,1.77,,,,91.9,2405,6.9,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.6,,0.0,0.0,1,0,0,,27,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205,-0.027,-0.163,71.3,6.4,,0.163,,0,0,0.559,0.559,28,26,28,26,2,1,7,1,6,,1.19,0.16,0.16,38.5
FS,2024-09-18,83.1,-1.85,5.8,"Francis, Bowden",673962,670102,,foul,,,,,14,Josh Jung strikes out swinging.,R,R,R,TEX,TOR,S,,,0,2,2024,-1.06,0.05,0.14,1.2,,,,0,4,Bot,,,,,,,6.767298824648899,-120.84651715693536,-4.276208917626498,-11.71485756076004,22.44934518232482,-31.03791738457602,3.75,1.77,2,66.2,-34,84.8,1175,7.3,744959,672386,665489,677870,680718,676391,676914,694388,543807,53.15,,,,,,,,27,3,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,226,0.0,0.0,67.6,8.0,,0.0,88.0,0,0,0.559,0.559,28,26,28,26,2,1,7,1,6,,3.24,1.06,1.06,38.6
CU,2024-09-18,72.8,-1.9,5.92,"Francis, Bowden",673962,670102,,swinging_strike,,,,,9,Josh Jung strikes out swinging.,R,R,R,TEX,TOR,S,,,0,1,2024,1.44,-0.76,0.29,1.82,,,,0,4,Bot,,,,,,,1.942780029498434,-105.91532565827208,0.5829748878646284,10.282595686910245,21.264334311519537,-38.18596303216664,3.75,1.77,,,,72.4,2329,6.4,744959,672386,665489,677870,680718,676391,676914,694388,543807,54.08,,,,,,,,27,2,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,44,0.0,-0.054,86.8,8.1,,0.054,,0,0,0.559,0.559,28,26,28,26,2,1,7,1,6,,5.12,-1.44,-1.44,41.2
