pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-09-06,83.0,-2.68,5.73,"Garabito, Gerson",666176,642520,strikeout,swinging_strike,,,,,14,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,2,,3,2,2024,1.59,-0.22,0.86,1.82,,,,2,2,Top,,,,,,,5.0312628423222705,-120.76174472509446,-1.9684853244983604,14.291601215436476,26.54214637738282,-34.11979266427025,3.58,1.69,,,,83.2,2648,6.7,744967,608348,663993,543760,673962,677649,660758,694671,666969,53.76,,0.0,0.0,1,0,0,,10,6,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,44,0.01,-0.325,77.7,8.2,,0.325,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,3.57,-1.59,-1.59,43.8
FF,2024-09-06,93.4,-2.52,5.98,"Garabito, Gerson",666176,642520,,ball,,,,,12,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,B,,,2,2,2024,-0.32,1.39,0.19,4.36,,,,2,2,Top,,,,,,,7.74793927552408,-135.73596402962391,-1.439630819531305,-5.778675401246736,31.317303779425643,-14.942276772933432,3.58,1.5,,,,93.6,2417,6.6,744967,608348,663993,543760,673962,677649,660758,694671,666969,53.89,,,,,,,,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204,0.0,0.106,,,,-0.106,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,1.24,0.32,0.32,47.8
FF,2024-09-06,92.6,-2.67,5.91,"Garabito, Gerson",666176,642520,,ball,,,,,11,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,B,,,1,2,2024,-0.37,1.41,-0.54,4.05,,,,2,2,Top,,,,,,,6.297331136474402,-134.6147427428715,-1.9897368466622023,-5.941821587752825,31.523530756614555,-14.939520004223484,3.58,1.45,,,,93.0,2301,6.8,744967,608348,663993,543760,673962,677649,660758,694671,666969,53.72,,,,,,,,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,0.0,0.039,,,,-0.039,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,1.27,0.37,0.37,46.8
CU,2024-09-06,81.0,-2.81,5.77,"Garabito, Gerson",666176,642520,,foul,,,,,14,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,,,1,1,2024,1.6,-0.52,0.47,1.45,,,,2,2,Top,,,,,,,4.293348588612308,-117.89308052307322,-1.960652180747201,13.937889326802445,24.659329667509613,-36.77996218355843,3.58,1.69,,,,81.2,2563,6.6,744967,608348,663993,543760,673962,677649,660758,694671,666969,53.89,,,,,,,,10,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,40,0.0,-0.064,71.6,8.6,,0.064,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,4.02,-1.6,-1.6,42.5
CU,2024-09-06,81.6,-2.81,5.72,"Garabito, Gerson",666176,642520,,called_strike,,,,,6,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,,,1,0,2024,1.49,-0.28,0.54,2.84,,,,2,2,Top,,,,,,,4.702153575463593,-118.69218728685632,0.7318389167060904,12.940898650227869,25.385324710895983,-35.192827369705135,3.58,1.58,,,,81.8,2704,6.7,744967,608348,663993,543760,673962,677649,660758,694671,666969,53.81,,,,,,,,10,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,52,0.0,-0.051,,,,0.051,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,3.74,-1.49,-1.49,41.8
FF,2024-09-06,92.8,-2.57,5.98,"Garabito, Gerson",666176,642520,,ball,,,,,11,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,B,,,0,0,2024,-0.54,1.41,-0.49,4.37,,,,2,2,Top,,,,,,,6.517003973407975,-134.94027567696276,-1.3866078213974693,-8.03547854741174,30.23487297073757,-14.930307240636555,3.58,1.6,,,,92.9,2361,6.4,744967,608348,663993,543760,673962,677649,660758,694671,666969,54.05,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205,0.0,0.04,,,,-0.04,,0,0,0.54,0.46,28,25,29,25,1,0,3,1,4,,1.25,0.54,0.54,52.4
FS,2024-09-05,86.1,-2.36,5.33,"Yates, Kirby",666176,489446,strikeout,swinging_strike,,,,,14,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,2,,2,2,2024,-0.74,-0.31,1.06,1.03,,,,1,9,Top,,,,,,,9.56519091759998,-125.00970474455454,-3.263222853304469,-9.729101472504118,26.51312834645941,-34.96315245619124,3.58,1.66,,,,85.5,1235,6.1,744966,641680,663993,543760,673962,669701,608671,665750,666969,54.36,,0.0,0.0,1,0,0,,66,5,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,266,0.023,-0.225,74.1,8.0,,0.225,,2,-2,0.966,0.034,37,25,37,25,1,3,1,1,2,1,3.42,0.74,0.74,22.5
FS,2024-09-05,87.2,-2.38,5.31,"Yates, Kirby",666176,489446,,ball,,,,,14,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,B,,,1,2,2024,-0.75,-0.16,0.85,0.98,,,,1,9,Top,,,,,,,9.275763350343182,-126.61645837359076,-3.863396763962544,-9.939542697669395,26.1082066011472,-33.31126701508492,3.42,1.66,,,,86.8,1222,6.2,744966,641680,663993,543760,673962,669701,608671,665750,666969,54.31,,,,,,,,66,4,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,261,0.0,0.043,,,,-0.043,,2,-2,0.966,0.034,37,25,37,25,1,3,1,1,2,1,3.18,0.75,0.75,23.6
FF,2024-09-05,93.8,-2.35,5.48,"Yates, Kirby",666176,489446,,foul,,,,,2,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,,,0,1,2024,-1.14,1.42,-0.02,3.11,,,,1,9,Top,,,,,,,8.461801966335571,-136.1938517221129,-3.4628479638147835,-16.059621172771877,32.50035657999655,-13.958152011202891,3.58,1.66,172,65.6,47,92.8,2288,6.0,744966,641680,663993,543760,673962,669701,608671,665750,666969,54.48,,,,,,,,66,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,227,0.0,-0.057,76.5,6.7,,0.057,88.0,2,-2,0.966,0.034,37,25,37,25,1,3,1,1,2,1,1.2,1.14,1.14,27.0
FS,2024-09-05,86.2,-2.43,5.28,"Yates, Kirby",666176,489446,,called_strike,,,,,9,Jo Adell strikes out swinging.,R,R,R,TEX,LAA,S,,,0,0,2024,-0.93,-0.17,0.6,1.8,,,,1,9,Top,,,,,,,9.051910660940637,-125.28128226916922,-1.655690667981755,-11.69244758295318,26.111657257652865,-33.85191662905603,3.45,1.66,,,,85.8,1185,6.1,744966,641680,663993,543760,673962,669701,608671,665750,666969,54.36,,,,,,,,66,1,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,265,0.0,-0.037,,,,0.037,,2,-2,0.966,0.034,37,25,37,25,1,3,1,1,2,1,3.25,0.93,0.93,23.7
